Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-p0jhmsch
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.8799, Validation Loss: 2.8531
Epoch 2/1000, Train Loss: 1.9135, Validation Loss: 1.2501
Epoch 3/1000, Train Loss: 1.4779, Validation Loss: 1.8160
Epoch 4/1000, Train Loss: 1.3783, Validation Loss: 2.6311
Epoch 5/1000, Train Loss: 1.3658, Validation Loss: 2.4129
Epoch 6/1000, Train Loss: 1.3785, Validation Loss: 1.5849
Epoch 7/1000, Train Loss: 1.3587, Validation Loss: 5.1028
Epoch 8/1000, Train Loss: 1.2408, Validation Loss: 8.0700
Epoch 9/1000, Train Loss: 1.2886, Validation Loss: 1.4176
Epoch 10/1000, Train Loss: 1.2533, Validation Loss: 4.5214
Epoch 11/1000, Train Loss: 1.1800, Validation Loss: 3.9342
Epoch 12/1000, Train Loss: 1.1207, Validation Loss: 3.3968
Epoch 13/1000, Train Loss: 1.1060, Validation Loss: 1.5693
Epoch 14/1000, Train Loss: 1.0850, Validation Loss: 3.2208
Epoch 15/1000, Train Loss: 0.9940, Validation Loss: 2.2165
Epoch 16/1000, Train Loss: 0.9402, Validation Loss: 1.7780
Epoch 17/1000, Train Loss: 0.9827, Validation Loss: 3.3382
Epoch 18/1000, Train Loss: 0.9370, Validation Loss: 1.1606
Epoch 19/1000, Train Loss: 1.1777, Validation Loss: 1.5362
Epoch 20/1000, Train Loss: 0.9180, Validation Loss: 1.3229
Epoch 21/1000, Train Loss: 0.8910, Validation Loss: 1.9560
Epoch 22/1000, Train Loss: 0.8594, Validation Loss: 9.3165
Epoch 23/1000, Train Loss: 0.8440, Validation Loss: 3.6171
Epoch 24/1000, Train Loss: 1.0012, Validation Loss: 1.7928
Epoch 25/1000, Train Loss: 0.8486, Validation Loss: 1.0031
Epoch 26/1000, Train Loss: 0.8893, Validation Loss: 0.8378
Epoch 27/1000, Train Loss: 1.0435, Validation Loss: 3.0708
Epoch 28/1000, Train Loss: 0.8469, Validation Loss: 1.1692
Epoch 29/1000, Train Loss: 0.8648, Validation Loss: 0.8444
Epoch 30/1000, Train Loss: 0.7960, Validation Loss: 0.6801
Epoch 31/1000, Train Loss: 0.7943, Validation Loss: 1.7340
Epoch 32/1000, Train Loss: 0.8095, Validation Loss: 0.7211
Epoch 33/1000, Train Loss: 2.1339, Validation Loss: 1.6589
Epoch 34/1000, Train Loss: 0.9243, Validation Loss: 2.1900
Epoch 35/1000, Train Loss: 0.9019, Validation Loss: 1.1548
Epoch 36/1000, Train Loss: 0.8104, Validation Loss: 2.4012
Epoch 37/1000, Train Loss: 0.7412, Validation Loss: 1.1533
Epoch 38/1000, Train Loss: 0.8650, Validation Loss: 2.0305
Epoch 39/1000, Train Loss: 0.8269, Validation Loss: 2.7023
Epoch 40/1000, Train Loss: 0.7677, Validation Loss: 2.4517
Epoch 41/1000, Train Loss: 0.7979, Validation Loss: 1.0257
Epoch 42/1000, Train Loss: 0.7339, Validation Loss: 1.3796
Epoch 43/1000, Train Loss: 1.3503, Validation Loss: 1.2890
Epoch 44/1000, Train Loss: 0.7899, Validation Loss: 3.3893
Epoch 45/1000, Train Loss: 0.7770, Validation Loss: 3.1344
Epoch 46/1000, Train Loss: 0.7982, Validation Loss: 1.4772
Epoch 47/1000, Train Loss: 0.7589, Validation Loss: 4.8540
Epoch 48/1000, Train Loss: 1.0695, Validation Loss: 5.2637
Epoch 49/1000, Train Loss: 0.8612, Validation Loss: 2.5788
Epoch 50/1000, Train Loss: 0.7455, Validation Loss: 2.2240
Epoch 51/1000, Train Loss: 0.8922, Validation Loss: 2.6159
Epoch 52/1000, Train Loss: 0.7566, Validation Loss: 2.1041
Epoch 53/1000, Train Loss: 0.7541, Validation Loss: 3.6587
Epoch 54/1000, Train Loss: 59.4978, Validation Loss: 1.7518
Epoch 55/1000, Train Loss: 0.8005, Validation Loss: 1.1037
Epoch 56/1000, Train Loss: 0.7786, Validation Loss: 1.8981
Epoch 57/1000, Train Loss: 0.7567, Validation Loss: 4.4014
Epoch 58/1000, Train Loss: 0.9512, Validation Loss: 1.6838
Epoch 59/1000, Train Loss: 0.7770, Validation Loss: 2.6733
Epoch 60/1000, Train Loss: 0.7426, Validation Loss: 3.1065
Epoch 61/1000, Train Loss: 0.7489, Validation Loss: 2.3377
Epoch 62/1000, Train Loss: 0.7419, Validation Loss: 3.1215
Epoch 63/1000, Train Loss: 0.7560, Validation Loss: 1.2064
Epoch 64/1000, Train Loss: 0.7408, Validation Loss: 1.5906
Epoch 65/1000, Train Loss: 0.7257, Validation Loss: 1.3229
Epoch 66/1000, Train Loss: 1.0300, Validation Loss: 3.5704
Epoch 67/1000, Train Loss: 0.8109, Validation Loss: 2.2134
Epoch 68/1000, Train Loss: 7.9911, Validation Loss: 1.1859
Epoch 69/1000, Train Loss: 0.8690, Validation Loss: 0.9258
Epoch 70/1000, Train Loss: 0.7598, Validation Loss: 2.4648
Epoch 71/1000, Train Loss: 0.7129, Validation Loss: 3.7008
Epoch 72/1000, Train Loss: 0.7765, Validation Loss: 1.7766
Epoch 73/1000, Train Loss: 0.7323, Validation Loss: 2.4069
Epoch 74/1000, Train Loss: 0.7172, Validation Loss: 1.5779
Epoch 75/1000, Train Loss: 0.7678, Validation Loss: 2.8839
Epoch 76/1000, Train Loss: 73.3304, Validation Loss: 3.6307
Epoch 77/1000, Train Loss: 0.8723, Validation Loss: 1.8755
