Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-di7rg0kc
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3125, Validation Loss: 2.3641
Epoch 2/1000, Train Loss: 1.3322, Validation Loss: 5.5032
Epoch 3/1000, Train Loss: 1.2812, Validation Loss: 7.6881
Epoch 4/1000, Train Loss: 1.1775, Validation Loss: 2.4202
Epoch 5/1000, Train Loss: 2.5682, Validation Loss: 1.7243
Epoch 6/1000, Train Loss: 1.0876, Validation Loss: 1.3871
Epoch 7/1000, Train Loss: 1.0706, Validation Loss: 1.0965
Epoch 8/1000, Train Loss: 0.9941, Validation Loss: 1.4268
Epoch 9/1000, Train Loss: 0.9453, Validation Loss: 1.0604
Epoch 10/1000, Train Loss: 1.1331, Validation Loss: 3.8197
Epoch 11/1000, Train Loss: 0.9100, Validation Loss: 0.9675
Epoch 12/1000, Train Loss: 0.8863, Validation Loss: 1.1492
Epoch 13/1000, Train Loss: 0.8736, Validation Loss: 2.9746
Epoch 14/1000, Train Loss: 0.9645, Validation Loss: 5.5649
Epoch 15/1000, Train Loss: 0.8474, Validation Loss: 0.8192
Epoch 16/1000, Train Loss: 0.8806, Validation Loss: 1.6465
Epoch 17/1000, Train Loss: 0.8517, Validation Loss: 0.8519
Epoch 18/1000, Train Loss: 0.8087, Validation Loss: 3.4215
Epoch 19/1000, Train Loss: 0.8204, Validation Loss: 2.0242
Epoch 20/1000, Train Loss: 0.9688, Validation Loss: 2.1459
Epoch 21/1000, Train Loss: 0.8322, Validation Loss: 0.8924
Epoch 22/1000, Train Loss: 0.7993, Validation Loss: 3.7765
Epoch 23/1000, Train Loss: 0.7998, Validation Loss: 2.3011
Epoch 24/1000, Train Loss: 0.8726, Validation Loss: 1.4874
Epoch 25/1000, Train Loss: 1.0348, Validation Loss: 1.3169
Epoch 26/1000, Train Loss: 0.8078, Validation Loss: 3.4711
Epoch 27/1000, Train Loss: 0.7837, Validation Loss: 1.3585
Epoch 28/1000, Train Loss: 0.8576, Validation Loss: 2.5769
Epoch 29/1000, Train Loss: 1.0428, Validation Loss: 1.2873
Epoch 30/1000, Train Loss: 0.7761, Validation Loss: 1.7713
Epoch 31/1000, Train Loss: 0.9210, Validation Loss: 1.5854
Epoch 32/1000, Train Loss: 0.7993, Validation Loss: 2.4392
Epoch 33/1000, Train Loss: 0.7823, Validation Loss: 0.9556
Epoch 34/1000, Train Loss: 0.7627, Validation Loss: 1.1421
Epoch 35/1000, Train Loss: 0.8166, Validation Loss: 1.0050
Epoch 36/1000, Train Loss: 0.7689, Validation Loss: 2.6561
Epoch 37/1000, Train Loss: 0.7501, Validation Loss: 1.8421
Epoch 38/1000, Train Loss: 0.7946, Validation Loss: 3.5907
Epoch 39/1000, Train Loss: 0.7517, Validation Loss: 4.5176
Epoch 40/1000, Train Loss: 0.7556, Validation Loss: 2.6006
Epoch 41/1000, Train Loss: 0.8582, Validation Loss: 0.7486
Epoch 42/1000, Train Loss: 0.7622, Validation Loss: 1.8129
Epoch 43/1000, Train Loss: 0.7674, Validation Loss: 1.9624
Epoch 44/1000, Train Loss: 0.7734, Validation Loss: 3.8296
Epoch 45/1000, Train Loss: 1.6490, Validation Loss: 4.2689
Epoch 46/1000, Train Loss: 0.8062, Validation Loss: 5.5487
Epoch 47/1000, Train Loss: 0.7670, Validation Loss: 4.0335
Epoch 48/1000, Train Loss: 0.8013, Validation Loss: 2.3804
Epoch 49/1000, Train Loss: 0.7651, Validation Loss: 1.9181
