Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-p5p6upaf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.5293, Validation Loss: 3.2663
Epoch 2/1000, Train Loss: 1.2510, Validation Loss: 2.0981
Epoch 3/1000, Train Loss: 1.1643, Validation Loss: 2.0812
Epoch 4/1000, Train Loss: 1.1151, Validation Loss: 1.6846
Epoch 5/1000, Train Loss: 2.3749, Validation Loss: 1.4487
Epoch 6/1000, Train Loss: 1.0801, Validation Loss: 0.9820
Epoch 7/1000, Train Loss: 1.0562, Validation Loss: 1.3928
Epoch 8/1000, Train Loss: 1.0441, Validation Loss: 1.1690
Epoch 9/1000, Train Loss: 1.0544, Validation Loss: 1.3798
Epoch 10/1000, Train Loss: 0.9770, Validation Loss: 1.2288
Epoch 11/1000, Train Loss: 0.9588, Validation Loss: 3.0387
Epoch 12/1000, Train Loss: 1.1759, Validation Loss: 1.6307
Epoch 13/1000, Train Loss: 0.8898, Validation Loss: 1.9152
Epoch 14/1000, Train Loss: 0.8597, Validation Loss: 1.2181
Epoch 15/1000, Train Loss: 0.9132, Validation Loss: 1.1209
Epoch 16/1000, Train Loss: 0.8098, Validation Loss: 1.0309
Epoch 17/1000, Train Loss: 0.8245, Validation Loss: 0.7915
Epoch 18/1000, Train Loss: 0.8104, Validation Loss: 3.8642
Epoch 19/1000, Train Loss: 0.7994, Validation Loss: 4.3628
Epoch 20/1000, Train Loss: 0.7666, Validation Loss: 0.7376
Epoch 21/1000, Train Loss: 0.7810, Validation Loss: 0.8069
Epoch 22/1000, Train Loss: 0.8038, Validation Loss: 1.1752
Epoch 23/1000, Train Loss: 0.7725, Validation Loss: 1.4558
Epoch 24/1000, Train Loss: 0.7695, Validation Loss: 0.9720
Epoch 25/1000, Train Loss: 0.7434, Validation Loss: 1.3078
Epoch 26/1000, Train Loss: 0.7665, Validation Loss: 0.9761
Epoch 27/1000, Train Loss: 0.7512, Validation Loss: 1.2753
Epoch 28/1000, Train Loss: 0.7559, Validation Loss: 1.6806
Epoch 29/1000, Train Loss: 0.7357, Validation Loss: 2.5636
