Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-pr8bkbpu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 42.5101, Validation Loss: 2.6142
Epoch 2/1000, Train Loss: 2.5778, Validation Loss: 3.2796
Epoch 3/1000, Train Loss: 2.4196, Validation Loss: 39.2938
Epoch 4/1000, Train Loss: 6.5982, Validation Loss: 6.4894
Epoch 5/1000, Train Loss: 11.7718, Validation Loss: 6.0677
Epoch 6/1000, Train Loss: 11.7165, Validation Loss: 6.2532
Epoch 7/1000, Train Loss: 6.4280, Validation Loss: 7.6581
Epoch 8/1000, Train Loss: 13.0351, Validation Loss: 6.6195
Epoch 9/1000, Train Loss: 9.7780, Validation Loss: 6.0616
Epoch 10/1000, Train Loss: 21.3986, Validation Loss: 6.2829
Epoch 11/1000, Train Loss: 9.4846, Validation Loss: 6.1062
Epoch 12/1000, Train Loss: 6.2804, Validation Loss: 6.0609
Epoch 13/1000, Train Loss: 7.5739, Validation Loss: 6.0594
Epoch 14/1000, Train Loss: 136.1056, Validation Loss: 6.1159
Epoch 15/1000, Train Loss: 6.2624, Validation Loss: 6.0569
Epoch 16/1000, Train Loss: 659021.7806, Validation Loss: 6.0710
Epoch 17/1000, Train Loss: 13.5925, Validation Loss: 6.0564
Epoch 18/1000, Train Loss: 6.3467, Validation Loss: 6.3879
Epoch 19/1000, Train Loss: 9.5563, Validation Loss: 6.0818
Epoch 20/1000, Train Loss: 809.9628, Validation Loss: 6.1313
Epoch 21/1000, Train Loss: 6.2634, Validation Loss: 6.0870
Epoch 22/1000, Train Loss: 6.3942, Validation Loss: 6.1517
Epoch 23/1000, Train Loss: 6.3011, Validation Loss: 6.2812
Epoch 24/1000, Train Loss: 13.3443, Validation Loss: 6.0954
Epoch 25/1000, Train Loss: 7.3787, Validation Loss: 6.1392
Epoch 26/1000, Train Loss: 15.7144, Validation Loss: 6.2530
Epoch 27/1000, Train Loss: 6.2379, Validation Loss: 6.0957
Epoch 28/1000, Train Loss: 1109.3278, Validation Loss: 6.0568
Epoch 29/1000, Train Loss: 8.8445, Validation Loss: 6.6791
Epoch 30/1000, Train Loss: 6.3768, Validation Loss: 6.5610
Epoch 31/1000, Train Loss: 7.6647, Validation Loss: 6.1214
Epoch 32/1000, Train Loss: 441.1356, Validation Loss: 6.0964
Epoch 33/1000, Train Loss: 6.2558, Validation Loss: 6.3349
Epoch 34/1000, Train Loss: 38031.9065, Validation Loss: 6.2036
Epoch 35/1000, Train Loss: 10069.5534, Validation Loss: 6.1236
