Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-8d1c9rii
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 13.4628, Validation Loss: 2.3392
Epoch 2/1000, Train Loss: 1.4022, Validation Loss: 1.2210
Epoch 3/1000, Train Loss: 1.3165, Validation Loss: 2.4425
Epoch 4/1000, Train Loss: 1.3084, Validation Loss: 1.8019
Epoch 5/1000, Train Loss: 1.2578, Validation Loss: 3.9984
Epoch 6/1000, Train Loss: 1.1576, Validation Loss: 7.1985
Epoch 7/1000, Train Loss: 2.4381, Validation Loss: 1.9832
Epoch 8/1000, Train Loss: 6.1070, Validation Loss: 5.9120
Epoch 9/1000, Train Loss: 1.1996, Validation Loss: 1.2503
Epoch 10/1000, Train Loss: 1.0982, Validation Loss: 1.1053
Epoch 11/1000, Train Loss: 275.2089, Validation Loss: 6.1432
Epoch 12/1000, Train Loss: 6.7151, Validation Loss: 6.5888
Epoch 13/1000, Train Loss: 4.4725, Validation Loss: 1.0961
Epoch 14/1000, Train Loss: 1.2627, Validation Loss: 1.8158
Epoch 15/1000, Train Loss: 1.3619, Validation Loss: 1.0770
Epoch 16/1000, Train Loss: 1.1636, Validation Loss: 1.3529
Epoch 17/1000, Train Loss: 1.1066, Validation Loss: 1.3540
Epoch 18/1000, Train Loss: 8.3194, Validation Loss: 4.0482
Epoch 19/1000, Train Loss: 1.0616, Validation Loss: 2.0222
Epoch 20/1000, Train Loss: 1.0432, Validation Loss: 1.0316
Epoch 21/1000, Train Loss: 1567.2980, Validation Loss: 8.4180
Epoch 22/1000, Train Loss: 1.0849, Validation Loss: 3.8824
Epoch 23/1000, Train Loss: 1.0756, Validation Loss: 2.2948
Epoch 24/1000, Train Loss: 0.9708, Validation Loss: 1.8773
Epoch 25/1000, Train Loss: 1.0297, Validation Loss: 1.6893
Epoch 26/1000, Train Loss: 1.0039, Validation Loss: 1.3551
Epoch 27/1000, Train Loss: 0.9625, Validation Loss: 0.9609
Epoch 28/1000, Train Loss: 0.9587, Validation Loss: 1.9920
Epoch 29/1000, Train Loss: 6.5400, Validation Loss: 150.7022
Epoch 30/1000, Train Loss: 1.0303, Validation Loss: 1.5021
Epoch 31/1000, Train Loss: 0.9036, Validation Loss: 0.9385
Epoch 32/1000, Train Loss: 39.9575, Validation Loss: 3.5580
Epoch 33/1000, Train Loss: 0.8932, Validation Loss: 1.7387
Epoch 34/1000, Train Loss: 0.8911, Validation Loss: 3.1014
Epoch 35/1000, Train Loss: 1.2431, Validation Loss: 1.7072
Epoch 36/1000, Train Loss: 0.8720, Validation Loss: 0.8481
Epoch 37/1000, Train Loss: 0.9228, Validation Loss: 2.2699
Epoch 38/1000, Train Loss: 0.8851, Validation Loss: 2.0280
Epoch 39/1000, Train Loss: 1.0229, Validation Loss: 1.5148
Epoch 40/1000, Train Loss: 0.8294, Validation Loss: 2.0069
Epoch 41/1000, Train Loss: 0.8028, Validation Loss: 1.1096
Epoch 42/1000, Train Loss: 0.8114, Validation Loss: 0.8090
