Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-jerzjhv6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.5191, Validation Loss: 2.3573
Epoch 2/1000, Train Loss: 1.4158, Validation Loss: 1.3848
Epoch 3/1000, Train Loss: 1.3096, Validation Loss: 4.0912
Epoch 4/1000, Train Loss: 1.2349, Validation Loss: 1.1918
Epoch 5/1000, Train Loss: 1.2438, Validation Loss: 1.9272
Epoch 6/1000, Train Loss: 1.1871, Validation Loss: 2.2449
Epoch 7/1000, Train Loss: 1.1466, Validation Loss: 2.3236
Epoch 8/1000, Train Loss: 1.1399, Validation Loss: 1.5686
Epoch 9/1000, Train Loss: 1.1945, Validation Loss: 1.6891
Epoch 10/1000, Train Loss: 1.2197, Validation Loss: 2.0234
Epoch 11/1000, Train Loss: 1.0820, Validation Loss: 1.2228
Epoch 12/1000, Train Loss: 1.2587, Validation Loss: 1.0422
Epoch 13/1000, Train Loss: 1.0488, Validation Loss: 5.7553
Epoch 14/1000, Train Loss: 1.0961, Validation Loss: 0.8915
Epoch 15/1000, Train Loss: 1.0567, Validation Loss: 1.1015
Epoch 16/1000, Train Loss: 1.0477, Validation Loss: 2.6880
Epoch 17/1000, Train Loss: 1.5320, Validation Loss: 4.9643
Epoch 18/1000, Train Loss: 1.0523, Validation Loss: 2.5002
Epoch 19/1000, Train Loss: 1.0340, Validation Loss: 1.8893
Epoch 20/1000, Train Loss: 1.0224, Validation Loss: 1.0458
Epoch 21/1000, Train Loss: 1.0099, Validation Loss: 1.2398
Epoch 22/1000, Train Loss: 1.0187, Validation Loss: 1.3234
Epoch 23/1000, Train Loss: 1.0657, Validation Loss: 1.1051
Epoch 24/1000, Train Loss: 2.1379, Validation Loss: 1.1368
Epoch 25/1000, Train Loss: 0.9737, Validation Loss: 3.2275
Epoch 26/1000, Train Loss: 1.0170, Validation Loss: 1.0270
Epoch 27/1000, Train Loss: 0.9998, Validation Loss: 1.3856
Epoch 28/1000, Train Loss: 1.4789, Validation Loss: 1.2431
Epoch 29/1000, Train Loss: 1.0846, Validation Loss: 1.5903
Epoch 30/1000, Train Loss: 1.0100, Validation Loss: 8.6326
Epoch 31/1000, Train Loss: 1.0766, Validation Loss: 2.4443
Epoch 32/1000, Train Loss: 1.1990, Validation Loss: 3.4359
Epoch 33/1000, Train Loss: 0.9712, Validation Loss: 1.5963
Epoch 34/1000, Train Loss: 0.9988, Validation Loss: 2.4496
Epoch 35/1000, Train Loss: 0.9944, Validation Loss: 0.8553
Epoch 36/1000, Train Loss: 0.9394, Validation Loss: 0.8796
Epoch 37/1000, Train Loss: 0.9602, Validation Loss: 1.4585
Epoch 38/1000, Train Loss: 1.5823, Validation Loss: 1.1779
Epoch 39/1000, Train Loss: 1.0512, Validation Loss: 2.5719
Epoch 40/1000, Train Loss: 0.9892, Validation Loss: 1.0717
Epoch 41/1000, Train Loss: 18.7649, Validation Loss: 1.1575
Epoch 42/1000, Train Loss: 0.9609, Validation Loss: 1.8943
Epoch 43/1000, Train Loss: 0.9603, Validation Loss: 2.9853
Epoch 44/1000, Train Loss: 1.0040, Validation Loss: 1.0607
Epoch 45/1000, Train Loss: 1.0612, Validation Loss: 1.9461
Epoch 46/1000, Train Loss: 0.9478, Validation Loss: 2.7479
Epoch 47/1000, Train Loss: 5.0490, Validation Loss: 1.6232
Epoch 48/1000, Train Loss: 0.9670, Validation Loss: 0.8448
Epoch 49/1000, Train Loss: 0.9720, Validation Loss: 1.6123
Epoch 50/1000, Train Loss: 0.9731, Validation Loss: 3.1806
Epoch 51/1000, Train Loss: 0.9215, Validation Loss: 2.9462
Epoch 52/1000, Train Loss: 0.9666, Validation Loss: 2.4464
Epoch 53/1000, Train Loss: 0.9381, Validation Loss: 1.3368
Epoch 54/1000, Train Loss: 1.2771, Validation Loss: 2.0446
Epoch 55/1000, Train Loss: 2.4306, Validation Loss: 0.9846
Epoch 56/1000, Train Loss: 0.8986, Validation Loss: 2.7414
Epoch 57/1000, Train Loss: 1.2656, Validation Loss: 3.7517
Epoch 58/1000, Train Loss: 0.8924, Validation Loss: 5.0459
Epoch 59/1000, Train Loss: 0.9508, Validation Loss: 2.3861
Epoch 60/1000, Train Loss: 0.8643, Validation Loss: 2.3302
Epoch 61/1000, Train Loss: 0.8588, Validation Loss: 6.3296
Epoch 62/1000, Train Loss: 48.1937, Validation Loss: 2.3644
Epoch 63/1000, Train Loss: 0.8739, Validation Loss: 4.2084
Epoch 64/1000, Train Loss: 0.9082, Validation Loss: 0.9627
Epoch 65/1000, Train Loss: 0.8699, Validation Loss: 4.3374
