Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-dg51wszt
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.2260, Validation Loss: 2.3168
Epoch 2/1000, Train Loss: 1.3856, Validation Loss: 2.4809
Epoch 3/1000, Train Loss: 1.3031, Validation Loss: 3.0525
Epoch 4/1000, Train Loss: 1.2845, Validation Loss: 1.6211
Epoch 5/1000, Train Loss: 1.1955, Validation Loss: 2.8975
Epoch 6/1000, Train Loss: 1.2247, Validation Loss: 3.6230
Epoch 7/1000, Train Loss: 1.1723, Validation Loss: 2.1305
Epoch 8/1000, Train Loss: 1.1292, Validation Loss: 2.2731
Epoch 9/1000, Train Loss: 35.4192, Validation Loss: 3.8344
Epoch 10/1000, Train Loss: 1.1001, Validation Loss: 2.0153
Epoch 11/1000, Train Loss: 2.6492, Validation Loss: 2.6644
Epoch 12/1000, Train Loss: 1.0583, Validation Loss: 1.0765
Epoch 13/1000, Train Loss: 1.0515, Validation Loss: 1.4552
Epoch 14/1000, Train Loss: 3.0658, Validation Loss: 4.0132
Epoch 15/1000, Train Loss: 1.0835, Validation Loss: 1.2329
Epoch 16/1000, Train Loss: 1.0337, Validation Loss: 4.7562
Epoch 17/1000, Train Loss: 1.0373, Validation Loss: 1.2006
Epoch 18/1000, Train Loss: 1.0163, Validation Loss: 1.4648
Epoch 19/1000, Train Loss: 1.0369, Validation Loss: 1.6451
Epoch 20/1000, Train Loss: 1.0138, Validation Loss: 0.9810
Epoch 21/1000, Train Loss: 1.0465, Validation Loss: 1.1709
Epoch 22/1000, Train Loss: 0.9898, Validation Loss: 2.3313
Epoch 23/1000, Train Loss: 1.0410, Validation Loss: 3.3344
Epoch 24/1000, Train Loss: 1.0094, Validation Loss: 1.6045
Epoch 25/1000, Train Loss: 1.1830, Validation Loss: 6.6270
Epoch 26/1000, Train Loss: 1.0122, Validation Loss: 1.2054
Epoch 27/1000, Train Loss: 1.0194, Validation Loss: 1.2322
Epoch 28/1000, Train Loss: 1.0792, Validation Loss: 1.8742
Epoch 29/1000, Train Loss: 1.1105, Validation Loss: 1.0848
Epoch 30/1000, Train Loss: 0.9918, Validation Loss: 1.5706
Epoch 31/1000, Train Loss: 0.9874, Validation Loss: 1.5150
Epoch 32/1000, Train Loss: 1.1130, Validation Loss: 1.0709
Epoch 33/1000, Train Loss: 1.0012, Validation Loss: 3.0581
Epoch 34/1000, Train Loss: 1.2337, Validation Loss: 1.1247
Epoch 35/1000, Train Loss: 1.0089, Validation Loss: 0.9171
Epoch 36/1000, Train Loss: 0.9833, Validation Loss: 1.0853
Epoch 37/1000, Train Loss: 0.9854, Validation Loss: 4.5186
Epoch 38/1000, Train Loss: 0.9668, Validation Loss: 3.1509
Epoch 39/1000, Train Loss: 1.0019, Validation Loss: 3.3396
Epoch 40/1000, Train Loss: 1.0229, Validation Loss: 3.6156
Epoch 41/1000, Train Loss: 0.9795, Validation Loss: 1.6522
Epoch 42/1000, Train Loss: 0.9842, Validation Loss: 2.0973
Epoch 43/1000, Train Loss: 0.9798, Validation Loss: 2.8529
Epoch 44/1000, Train Loss: 1.7115, Validation Loss: 4.0030
Epoch 45/1000, Train Loss: 0.9797, Validation Loss: 2.4322
Epoch 46/1000, Train Loss: 0.9769, Validation Loss: 4.1226
Epoch 47/1000, Train Loss: 0.9746, Validation Loss: 3.3085
Epoch 48/1000, Train Loss: 0.9847, Validation Loss: 3.6244
Epoch 49/1000, Train Loss: 0.9887, Validation Loss: 1.9353
Epoch 50/1000, Train Loss: 1.4080, Validation Loss: 1.1303
Epoch 51/1000, Train Loss: 0.9769, Validation Loss: 1.1725
Epoch 52/1000, Train Loss: 0.9270, Validation Loss: 3.2353
Epoch 53/1000, Train Loss: 0.9557, Validation Loss: 0.8584
Epoch 54/1000, Train Loss: 0.9280, Validation Loss: 1.4834
Epoch 55/1000, Train Loss: 0.8992, Validation Loss: 1.0300
Epoch 56/1000, Train Loss: 1.0765, Validation Loss: 2.4621
Epoch 57/1000, Train Loss: 0.9286, Validation Loss: 1.0020
Epoch 58/1000, Train Loss: 1.1379, Validation Loss: 2.0580
Epoch 59/1000, Train Loss: 1.6464, Validation Loss: 32.7184
Epoch 60/1000, Train Loss: 0.9108, Validation Loss: 2.1411
Epoch 61/1000, Train Loss: 0.9394, Validation Loss: 1.5384
Epoch 62/1000, Train Loss: 0.8903, Validation Loss: 3.1812
Epoch 63/1000, Train Loss: 0.8863, Validation Loss: 2.0787
Epoch 64/1000, Train Loss: 0.9474, Validation Loss: 2.3509
Epoch 65/1000, Train Loss: 0.8882, Validation Loss: 1.6359
Epoch 66/1000, Train Loss: 0.8657, Validation Loss: 1.7654
Epoch 67/1000, Train Loss: 0.9231, Validation Loss: 1.5653
Epoch 68/1000, Train Loss: 0.8760, Validation Loss: 3.8913
Epoch 69/1000, Train Loss: 0.8894, Validation Loss: 7.1268
Epoch 70/1000, Train Loss: 0.9035, Validation Loss: 3.6183
Epoch 71/1000, Train Loss: 0.9937, Validation Loss: 3.5688
Epoch 72/1000, Train Loss: 0.8692, Validation Loss: 1.6223
Epoch 73/1000, Train Loss: 0.9124, Validation Loss: 1.9211
Epoch 74/1000, Train Loss: 0.9227, Validation Loss: 1.7516
Epoch 75/1000, Train Loss: 0.9234, Validation Loss: 1.3831
Epoch 76/1000, Train Loss: 0.8992, Validation Loss: 3.7493
Epoch 77/1000, Train Loss: 0.8880, Validation Loss: 0.8600
Epoch 78/1000, Train Loss: 0.8897, Validation Loss: 1.2894
Epoch 79/1000, Train Loss: 4.4345, Validation Loss: 2.9683
Epoch 80/1000, Train Loss: 1.9800, Validation Loss: 1.1277
Epoch 81/1000, Train Loss: 0.8525, Validation Loss: 567.8297
Epoch 82/1000, Train Loss: 0.8685, Validation Loss: 1.5166
Epoch 83/1000, Train Loss: 0.8639, Validation Loss: 1.1710
Epoch 84/1000, Train Loss: 14.1610, Validation Loss: 1.2986
Epoch 85/1000, Train Loss: 0.8870, Validation Loss: 1.7645
Epoch 86/1000, Train Loss: 0.9274, Validation Loss: 3.3339
Epoch 87/1000, Train Loss: 0.8508, Validation Loss: 2.3081
Epoch 88/1000, Train Loss: 0.8836, Validation Loss: 702.6546
Epoch 89/1000, Train Loss: 5.1746, Validation Loss: 2.9903
Epoch 90/1000, Train Loss: 0.9323, Validation Loss: 1.1819
Epoch 91/1000, Train Loss: 0.9449, Validation Loss: 3.9119
Epoch 92/1000, Train Loss: 0.9156, Validation Loss: 2.0820
Epoch 93/1000, Train Loss: 0.8694, Validation Loss: 1.8854
Epoch 94/1000, Train Loss: 0.9048, Validation Loss: 5.3095
Epoch 95/1000, Train Loss: 0.8744, Validation Loss: 1.1117
Epoch 96/1000, Train Loss: 0.8554, Validation Loss: 1.3095
Epoch 97/1000, Train Loss: 0.8999, Validation Loss: 2.6490
Epoch 98/1000, Train Loss: 1.3437, Validation Loss: 2.0780
Epoch 99/1000, Train Loss: 0.8748, Validation Loss: 2.6095
Epoch 100/1000, Train Loss: 1.0314, Validation Loss: 3.9968
Epoch 101/1000, Train Loss: 0.8540, Validation Loss: 2.0098
Epoch 102/1000, Train Loss: 0.9675, Validation Loss: 1.6488
Epoch 103/1000, Train Loss: 0.8780, Validation Loss: 77.1455
Epoch 104/1000, Train Loss: 373.4079, Validation Loss: 1.4158
Epoch 105/1000, Train Loss: 0.8660, Validation Loss: 2.8150
Epoch 106/1000, Train Loss: 0.9070, Validation Loss: 2.2981
Epoch 107/1000, Train Loss: 0.8898, Validation Loss: 3.3090
Epoch 108/1000, Train Loss: 0.9410, Validation Loss: 1.2288
Epoch 109/1000, Train Loss: 0.9139, Validation Loss: 2.1255
Epoch 110/1000, Train Loss: 3.1821, Validation Loss: 1.9641
Epoch 111/1000, Train Loss: 0.9094, Validation Loss: 3.1510
Epoch 112/1000, Train Loss: 0.8377, Validation Loss: 2.7502
Epoch 113/1000, Train Loss: 0.9581, Validation Loss: 1.9866
Epoch 114/1000, Train Loss: 0.8621, Validation Loss: 3.0363
Epoch 115/1000, Train Loss: 0.8928, Validation Loss: 1.7922
Epoch 116/1000, Train Loss: 0.8913, Validation Loss: 1.7965
Epoch 117/1000, Train Loss: 0.8654, Validation Loss: 1.6640
Epoch 118/1000, Train Loss: 1.1685, Validation Loss: 3.2790
Epoch 119/1000, Train Loss: 0.8747, Validation Loss: 3.8942
Epoch 120/1000, Train Loss: 0.9834, Validation Loss: 3.9843
Epoch 121/1000, Train Loss: 0.8624, Validation Loss: 2.5907
Epoch 122/1000, Train Loss: 1.0245, Validation Loss: 2.0253
Epoch 123/1000, Train Loss: 1.1175, Validation Loss: 2.6752
Epoch 124/1000, Train Loss: 0.8774, Validation Loss: 3.3567
Epoch 125/1000, Train Loss: 0.8508, Validation Loss: 1.6174
Epoch 126/1000, Train Loss: 0.8882, Validation Loss: 4.8346
Epoch 127/1000, Train Loss: 0.8934, Validation Loss: 4.5026
Epoch 128/1000, Train Loss: 0.8830, Validation Loss: 1.8760
Epoch 129/1000, Train Loss: 0.8961, Validation Loss: 1.4477
Epoch 130/1000, Train Loss: 0.8850, Validation Loss: 1.9493
Epoch 131/1000, Train Loss: 0.9311, Validation Loss: 5.1764
Epoch 132/1000, Train Loss: 0.8835, Validation Loss: 2.8880
Epoch 133/1000, Train Loss: 0.8643, Validation Loss: 1.1386
Epoch 134/1000, Train Loss: 0.8827, Validation Loss: 2.0379
Epoch 135/1000, Train Loss: 0.9962, Validation Loss: 3.7768
Epoch 136/1000, Train Loss: 0.8684, Validation Loss: 2.6961
Epoch 137/1000, Train Loss: 0.8578, Validation Loss: 6.1537
Epoch 138/1000, Train Loss: 1.4883, Validation Loss: 3.1740
Epoch 139/1000, Train Loss: 1.8295, Validation Loss: 1.3798
Epoch 140/1000, Train Loss: 0.8823, Validation Loss: 1.6223
Epoch 141/1000, Train Loss: 0.8658, Validation Loss: 1.0657
Epoch 142/1000, Train Loss: 0.9353, Validation Loss: 1.4662
Epoch 143/1000, Train Loss: 1.7885, Validation Loss: 1.2189
Epoch 144/1000, Train Loss: 0.8722, Validation Loss: 3.1322
Epoch 145/1000, Train Loss: 0.8788, Validation Loss: 1.0823
Epoch 146/1000, Train Loss: 0.8795, Validation Loss: 3.8021
Epoch 147/1000, Train Loss: 0.8711, Validation Loss: 2.0093
Epoch 148/1000, Train Loss: 0.8793, Validation Loss: 2.0678
Epoch 149/1000, Train Loss: 0.8756, Validation Loss: 1.8333
Epoch 150/1000, Train Loss: 0.9318, Validation Loss: 1.5943
Epoch 151/1000, Train Loss: 0.8754, Validation Loss: 1.3132
Epoch 152/1000, Train Loss: 0.9046, Validation Loss: 1.3208
Epoch 153/1000, Train Loss: 3.5179, Validation Loss: 1.6378
Epoch 154/1000, Train Loss: 0.8974, Validation Loss: 1.7349
Epoch 155/1000, Train Loss: 0.8553, Validation Loss: 3.0634
Epoch 156/1000, Train Loss: 37.0844, Validation Loss: 1.3687
Epoch 157/1000, Train Loss: 0.8560, Validation Loss: 1.2553
Epoch 158/1000, Train Loss: 0.9411, Validation Loss: 9.1440
Epoch 159/1000, Train Loss: 4.4864, Validation Loss: 1.3770
Epoch 160/1000, Train Loss: 0.8609, Validation Loss: 2.3413
Epoch 161/1000, Train Loss: 1.7339, Validation Loss: 4.3534
Epoch 162/1000, Train Loss: 0.8645, Validation Loss: 5.2019
Epoch 163/1000, Train Loss: 0.8623, Validation Loss: 1.8214
Epoch 164/1000, Train Loss: 0.8585, Validation Loss: 3.8106
Epoch 165/1000, Train Loss: 0.8567, Validation Loss: 4.0051
Epoch 166/1000, Train Loss: 0.9433, Validation Loss: 2.6069
Epoch 167/1000, Train Loss: 0.8727, Validation Loss: 1.7642
Epoch 168/1000, Train Loss: 0.8928, Validation Loss: 1.8935
Epoch 169/1000, Train Loss: 0.8503, Validation Loss: 3.7660
Epoch 170/1000, Train Loss: 0.8757, Validation Loss: 1.2341
Epoch 171/1000, Train Loss: 1.4134, Validation Loss: 1.8089
Epoch 172/1000, Train Loss: 0.8508, Validation Loss: 1.3953
Epoch 173/1000, Train Loss: 0.9432, Validation Loss: 3.7312
Epoch 174/1000, Train Loss: 0.8881, Validation Loss: 3.3945
Epoch 175/1000, Train Loss: 2.4474, Validation Loss: 1.1542
Epoch 176/1000, Train Loss: 0.8612, Validation Loss: 1.9005
Epoch 177/1000, Train Loss: 0.8876, Validation Loss: 2.3414
Epoch 178/1000, Train Loss: 0.8625, Validation Loss: 3.2248
Epoch 179/1000, Train Loss: 0.8590, Validation Loss: 3.5619
Epoch 180/1000, Train Loss: 0.8857, Validation Loss: 3.3103
Epoch 181/1000, Train Loss: 0.8753, Validation Loss: 1.7799
Epoch 182/1000, Train Loss: 0.8801, Validation Loss: 2.0650
Epoch 183/1000, Train Loss: 0.8652, Validation Loss: 2.4092
Epoch 184/1000, Train Loss: 0.8606, Validation Loss: 1.5614
Epoch 185/1000, Train Loss: 0.8762, Validation Loss: 2.6754
Epoch 186/1000, Train Loss: 1.0181, Validation Loss: 1.5106
Epoch 187/1000, Train Loss: 0.8720, Validation Loss: 4.2626
Epoch 188/1000, Train Loss: 0.8903, Validation Loss: 2.8181
Epoch 189/1000, Train Loss: 1.0916, Validation Loss: 4.4551
Epoch 190/1000, Train Loss: 0.8455, Validation Loss: 2.8023
Epoch 191/1000, Train Loss: 0.8608, Validation Loss: 0.9476
Epoch 192/1000, Train Loss: 0.8782, Validation Loss: 4.5432
Epoch 193/1000, Train Loss: 0.8736, Validation Loss: 4.1922
Epoch 194/1000, Train Loss: 0.8745, Validation Loss: 11.8669
Epoch 195/1000, Train Loss: 1.0374, Validation Loss: 1.9833
Epoch 196/1000, Train Loss: 0.8545, Validation Loss: 1.5913
Epoch 197/1000, Train Loss: 0.8413, Validation Loss: 1.5736
Epoch 198/1000, Train Loss: 1.7863, Validation Loss: 1.9025
Epoch 199/1000, Train Loss: 0.8612, Validation Loss: 1.3997
Epoch 200/1000, Train Loss: 0.9819, Validation Loss: 4.7094
Epoch 201/1000, Train Loss: 0.9222, Validation Loss: 0.9212
Epoch 202/1000, Train Loss: 0.8625, Validation Loss: 1.1118
