Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-gopzldr8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6417, Validation Loss: 1.5687
Epoch 2/1000, Train Loss: 1.1963, Validation Loss: 2.0243
Epoch 3/1000, Train Loss: 1.1071, Validation Loss: 1.2663
Epoch 4/1000, Train Loss: 1.0487, Validation Loss: 2.2620
Epoch 5/1000, Train Loss: 1.0153, Validation Loss: 1.2089
Epoch 6/1000, Train Loss: 0.9829, Validation Loss: 2.4513
Epoch 7/1000, Train Loss: 0.9557, Validation Loss: 1.8578
Epoch 8/1000, Train Loss: 0.9363, Validation Loss: 0.9183
Epoch 9/1000, Train Loss: 0.9673, Validation Loss: 3.5713
Epoch 10/1000, Train Loss: 0.9627, Validation Loss: 1.4271
Epoch 11/1000, Train Loss: 0.9037, Validation Loss: 1.4624
Epoch 12/1000, Train Loss: 5.5835, Validation Loss: 1.0659
Epoch 13/1000, Train Loss: 0.8896, Validation Loss: 2.7220
Epoch 14/1000, Train Loss: 0.8586, Validation Loss: 1.4324
Epoch 15/1000, Train Loss: 0.8445, Validation Loss: 1.7511
Epoch 16/1000, Train Loss: 0.8241, Validation Loss: 1.7563
Epoch 17/1000, Train Loss: 0.8137, Validation Loss: 2.0016
Epoch 18/1000, Train Loss: 0.9196, Validation Loss: 3.9059
Epoch 19/1000, Train Loss: 0.7792, Validation Loss: 1.6611
Epoch 20/1000, Train Loss: 0.7619, Validation Loss: 2.1130
Epoch 21/1000, Train Loss: 0.7417, Validation Loss: 1.4552
Epoch 22/1000, Train Loss: 0.7424, Validation Loss: 2.9353
Epoch 23/1000, Train Loss: 0.7315, Validation Loss: 1.6401
Epoch 24/1000, Train Loss: 0.7477, Validation Loss: 1.5621
Epoch 25/1000, Train Loss: 0.7304, Validation Loss: 2.1731
Epoch 26/1000, Train Loss: 0.7139, Validation Loss: 3.2258
Epoch 27/1000, Train Loss: 0.7219, Validation Loss: 1.2169
Epoch 28/1000, Train Loss: 0.7059, Validation Loss: 1.6131
Epoch 29/1000, Train Loss: 0.6985, Validation Loss: 1.0031
Epoch 30/1000, Train Loss: 0.7038, Validation Loss: 1.7698
Epoch 31/1000, Train Loss: 0.6949, Validation Loss: 1.3781
Epoch 32/1000, Train Loss: 0.7079, Validation Loss: 1.3828
