Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-v1lp5wrx
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.7537, Validation Loss: 1.6149
Epoch 2/1000, Train Loss: 1.3392, Validation Loss: 1.3659
Epoch 3/1000, Train Loss: 1.2377, Validation Loss: 3.1910
Epoch 4/1000, Train Loss: 1.1564, Validation Loss: 2.6341
Epoch 5/1000, Train Loss: 1.0766, Validation Loss: 2.4904
Epoch 6/1000, Train Loss: 1.0661, Validation Loss: 4.3699
Epoch 7/1000, Train Loss: 1.0700, Validation Loss: 0.9924
Epoch 8/1000, Train Loss: 1.0149, Validation Loss: 1.2140
Epoch 9/1000, Train Loss: 1.0232, Validation Loss: 1.4419
Epoch 10/1000, Train Loss: 0.9881, Validation Loss: 2.4243
Epoch 11/1000, Train Loss: 1.0194, Validation Loss: 0.9935
Epoch 12/1000, Train Loss: 0.9572, Validation Loss: 2.7169
Epoch 13/1000, Train Loss: 1.0082, Validation Loss: 2.0606
Epoch 14/1000, Train Loss: 0.9399, Validation Loss: 2.1397
Epoch 15/1000, Train Loss: 0.9718, Validation Loss: 1.4626
Epoch 16/1000, Train Loss: 0.9299, Validation Loss: 7.5794
Epoch 17/1000, Train Loss: 0.9540, Validation Loss: 1.9021
Epoch 18/1000, Train Loss: 1.0842, Validation Loss: 2.7234
Epoch 19/1000, Train Loss: 0.8900, Validation Loss: 1.3476
Epoch 20/1000, Train Loss: 0.9252, Validation Loss: 2.2248
Epoch 21/1000, Train Loss: 0.8670, Validation Loss: 2.4074
Epoch 22/1000, Train Loss: 0.8745, Validation Loss: 1.1413
Epoch 23/1000, Train Loss: 0.8398, Validation Loss: 2.1262
Epoch 24/1000, Train Loss: 0.8206, Validation Loss: 2.6163
Epoch 25/1000, Train Loss: 0.8965, Validation Loss: 10.5248
Epoch 26/1000, Train Loss: 0.8149, Validation Loss: 1.1374
Epoch 27/1000, Train Loss: 0.7997, Validation Loss: 1.2221
Epoch 28/1000, Train Loss: 0.8036, Validation Loss: 1.3960
Epoch 29/1000, Train Loss: 0.9297, Validation Loss: 3.7611
