Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0gs4iwkm
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.2917, Validation Loss: 4.5491
Epoch 2/1000, Train Loss: 1.5866, Validation Loss: 2.7214
Epoch 3/1000, Train Loss: 1.6247, Validation Loss: 1.3989
Epoch 4/1000, Train Loss: 1.4082, Validation Loss: 3.4263
Epoch 5/1000, Train Loss: 1.3471, Validation Loss: 2.6097
Epoch 6/1000, Train Loss: 1.2345, Validation Loss: 7.7256
Epoch 7/1000, Train Loss: 1.1372, Validation Loss: 3.2687
Epoch 8/1000, Train Loss: 1.0903, Validation Loss: 1.0563
Epoch 9/1000, Train Loss: 1.0839, Validation Loss: 1.9703
Epoch 10/1000, Train Loss: 1.0073, Validation Loss: 2.8475
Epoch 11/1000, Train Loss: 1.0113, Validation Loss: 2.1201
Epoch 12/1000, Train Loss: 1.0049, Validation Loss: 1.1991
Epoch 13/1000, Train Loss: 0.9533, Validation Loss: 3.5974
Epoch 14/1000, Train Loss: 0.9471, Validation Loss: 6.0490
Epoch 15/1000, Train Loss: 0.9874, Validation Loss: 0.8648
Epoch 16/1000, Train Loss: 0.9189, Validation Loss: 1.4204
Epoch 17/1000, Train Loss: 0.9602, Validation Loss: 1.6794
Epoch 18/1000, Train Loss: 0.9055, Validation Loss: 0.8601
Epoch 19/1000, Train Loss: 0.8720, Validation Loss: 2.4866
Epoch 20/1000, Train Loss: 0.8861, Validation Loss: 1.2295
Epoch 21/1000, Train Loss: 0.8636, Validation Loss: 0.9153
Epoch 22/1000, Train Loss: 0.8677, Validation Loss: 4.7419
Epoch 23/1000, Train Loss: 0.8437, Validation Loss: 0.8412
Epoch 24/1000, Train Loss: 0.8295, Validation Loss: 3.2475
Epoch 25/1000, Train Loss: 0.8591, Validation Loss: 0.8220
Epoch 26/1000, Train Loss: 0.8172, Validation Loss: 0.7486
Epoch 27/1000, Train Loss: 0.7943, Validation Loss: 2.7446
Epoch 28/1000, Train Loss: 0.8248, Validation Loss: 1.6270
Epoch 29/1000, Train Loss: 0.8060, Validation Loss: 1.1218
Epoch 30/1000, Train Loss: 0.8197, Validation Loss: 0.8793
Epoch 31/1000, Train Loss: 0.7857, Validation Loss: 2.8790
Epoch 32/1000, Train Loss: 0.7368, Validation Loss: 1.4351
Epoch 33/1000, Train Loss: 0.7607, Validation Loss: 1.1987
Epoch 34/1000, Train Loss: 0.7521, Validation Loss: 2.4908
Epoch 35/1000, Train Loss: 0.7655, Validation Loss: 0.7774
Epoch 36/1000, Train Loss: 0.7144, Validation Loss: 3.1820
