Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qtigvzbq
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3050, Validation Loss: 4.2212
Epoch 2/1000, Train Loss: 2.0560, Validation Loss: 2.7283
Epoch 3/1000, Train Loss: 1.5874, Validation Loss: 35.5295
Epoch 4/1000, Train Loss: 1.5385, Validation Loss: 1.1491
Epoch 5/1000, Train Loss: 1.6260, Validation Loss: 1.2170
Epoch 6/1000, Train Loss: 1.3943, Validation Loss: 1.8434
Epoch 7/1000, Train Loss: 1.3430, Validation Loss: 1.4896
Epoch 8/1000, Train Loss: 1.2625, Validation Loss: 5.4134
Epoch 9/1000, Train Loss: 1.3122, Validation Loss: 1.0578
Epoch 10/1000, Train Loss: 1.2027, Validation Loss: 7.9461
Epoch 11/1000, Train Loss: 1.1885, Validation Loss: 1.6869
Epoch 12/1000, Train Loss: 1.1046, Validation Loss: 1.2749
Epoch 13/1000, Train Loss: 1.0225, Validation Loss: 1.0248
Epoch 14/1000, Train Loss: 0.9833, Validation Loss: 1.7440
Epoch 15/1000, Train Loss: 0.9640, Validation Loss: 1.3155
Epoch 16/1000, Train Loss: 0.9581, Validation Loss: 3.0015
Epoch 17/1000, Train Loss: 0.9426, Validation Loss: 3.6226
Epoch 18/1000, Train Loss: 0.9148, Validation Loss: 1.4362
Epoch 19/1000, Train Loss: 0.9097, Validation Loss: 1.4845
Epoch 20/1000, Train Loss: 0.9229, Validation Loss: 2.1659
Epoch 21/1000, Train Loss: 0.8972, Validation Loss: 0.9200
Epoch 22/1000, Train Loss: 0.8637, Validation Loss: 2.1565
Epoch 23/1000, Train Loss: 0.8435, Validation Loss: 0.9783
Epoch 24/1000, Train Loss: 0.8294, Validation Loss: 2.0382
Epoch 25/1000, Train Loss: 0.8065, Validation Loss: 1.4184
Epoch 26/1000, Train Loss: 0.8166, Validation Loss: 4.4196
Epoch 27/1000, Train Loss: 0.8278, Validation Loss: 0.8224
Epoch 28/1000, Train Loss: 0.8153, Validation Loss: 0.7967
Epoch 29/1000, Train Loss: 0.8121, Validation Loss: 1.4056
Epoch 30/1000, Train Loss: 0.8014, Validation Loss: 0.8372
Epoch 31/1000, Train Loss: 0.7744, Validation Loss: 1.4728
Epoch 32/1000, Train Loss: 0.8025, Validation Loss: 0.9008
Epoch 33/1000, Train Loss: 0.7742, Validation Loss: 0.9876
Epoch 34/1000, Train Loss: 0.7301, Validation Loss: 0.8010
Epoch 35/1000, Train Loss: 0.7277, Validation Loss: 1.0338
Epoch 36/1000, Train Loss: 0.7410, Validation Loss: 0.7731
Epoch 37/1000, Train Loss: 0.7150, Validation Loss: 1.1085
Epoch 38/1000, Train Loss: 0.7095, Validation Loss: 2.3397
Epoch 39/1000, Train Loss: 0.7177, Validation Loss: 3.2792
Epoch 40/1000, Train Loss: 0.7105, Validation Loss: 1.5182
Epoch 41/1000, Train Loss: 0.6737, Validation Loss: 1.8411
Epoch 42/1000, Train Loss: 0.6817, Validation Loss: 0.8004
Epoch 43/1000, Train Loss: 0.6795, Validation Loss: 0.7336
Epoch 44/1000, Train Loss: 0.6846, Validation Loss: 1.2764
Epoch 45/1000, Train Loss: 0.6506, Validation Loss: 1.7877
Epoch 46/1000, Train Loss: 0.6730, Validation Loss: 0.9741
Epoch 47/1000, Train Loss: 0.6430, Validation Loss: 1.2230
Epoch 48/1000, Train Loss: 0.6428, Validation Loss: 0.7889
Epoch 49/1000, Train Loss: 0.6630, Validation Loss: 0.6105
Epoch 50/1000, Train Loss: 0.6346, Validation Loss: 0.7879
Epoch 51/1000, Train Loss: 0.6513, Validation Loss: 0.6820
Epoch 52/1000, Train Loss: 0.6508, Validation Loss: 0.6885
Epoch 53/1000, Train Loss: 0.6304, Validation Loss: 0.6517
Epoch 54/1000, Train Loss: 0.6328, Validation Loss: 2.2343
Epoch 55/1000, Train Loss: 0.6392, Validation Loss: 1.0986
Epoch 56/1000, Train Loss: 0.6328, Validation Loss: 2.3304
Epoch 57/1000, Train Loss: 0.6260, Validation Loss: 0.9930
Epoch 58/1000, Train Loss: 0.6228, Validation Loss: 1.1488
Epoch 59/1000, Train Loss: 0.5999, Validation Loss: 0.8846
Epoch 60/1000, Train Loss: 0.5955, Validation Loss: 2.6250
Epoch 61/1000, Train Loss: 0.6190, Validation Loss: 0.8299
Epoch 62/1000, Train Loss: 0.5908, Validation Loss: 0.6371
Epoch 63/1000, Train Loss: 0.5885, Validation Loss: 0.6599
Epoch 64/1000, Train Loss: 0.5798, Validation Loss: 1.1527
Epoch 65/1000, Train Loss: 0.5747, Validation Loss: 2.1364
Epoch 66/1000, Train Loss: 0.6038, Validation Loss: 1.9971
Epoch 67/1000, Train Loss: 0.5811, Validation Loss: 1.0082
Epoch 68/1000, Train Loss: 0.5768, Validation Loss: 1.3421
Epoch 69/1000, Train Loss: 0.5846, Validation Loss: 1.9902
Epoch 70/1000, Train Loss: 0.5851, Validation Loss: 1.5674
Epoch 71/1000, Train Loss: 0.5756, Validation Loss: 1.1918
Epoch 72/1000, Train Loss: 0.5636, Validation Loss: 2.5023
Epoch 73/1000, Train Loss: 0.5628, Validation Loss: 1.7673
Epoch 74/1000, Train Loss: 0.5609, Validation Loss: 2.4759
Epoch 75/1000, Train Loss: 0.5574, Validation Loss: 1.8136
Epoch 76/1000, Train Loss: 0.5573, Validation Loss: 1.2748
Epoch 77/1000, Train Loss: 0.5514, Validation Loss: 0.5772
Epoch 78/1000, Train Loss: 0.5672, Validation Loss: 1.3266
Epoch 79/1000, Train Loss: 0.5611, Validation Loss: 0.8082
Epoch 80/1000, Train Loss: 0.5441, Validation Loss: 2.2611
Epoch 81/1000, Train Loss: 0.5441, Validation Loss: 2.9120
Epoch 82/1000, Train Loss: 0.5464, Validation Loss: 2.9306
Epoch 83/1000, Train Loss: 0.5388, Validation Loss: 0.9727
Epoch 84/1000, Train Loss: 0.5282, Validation Loss: 2.2900
Epoch 85/1000, Train Loss: 0.5345, Validation Loss: 2.2702
Epoch 86/1000, Train Loss: 0.5464, Validation Loss: 0.7905
Epoch 87/1000, Train Loss: 0.5504, Validation Loss: 1.9486
Epoch 88/1000, Train Loss: 0.5272, Validation Loss: 0.6899
Epoch 89/1000, Train Loss: 0.5286, Validation Loss: 1.2954
Epoch 90/1000, Train Loss: 0.5257, Validation Loss: 0.8942
Epoch 91/1000, Train Loss: 0.5296, Validation Loss: 0.9062
Epoch 92/1000, Train Loss: 0.5276, Validation Loss: 0.7684
Epoch 93/1000, Train Loss: 0.5170, Validation Loss: 0.5588
Epoch 94/1000, Train Loss: 0.5161, Validation Loss: 1.3568
Epoch 95/1000, Train Loss: 0.5269, Validation Loss: 2.8338
Epoch 96/1000, Train Loss: 0.5149, Validation Loss: 1.3696
Epoch 97/1000, Train Loss: 0.5260, Validation Loss: 1.2527
Epoch 98/1000, Train Loss: 0.5131, Validation Loss: 0.8190
Epoch 99/1000, Train Loss: 0.5146, Validation Loss: 1.0454
Epoch 100/1000, Train Loss: 0.5147, Validation Loss: 0.9701
Epoch 101/1000, Train Loss: 0.5129, Validation Loss: 0.6912
Epoch 102/1000, Train Loss: 0.5115, Validation Loss: 0.6385
Epoch 103/1000, Train Loss: 0.4980, Validation Loss: 1.0192
Epoch 104/1000, Train Loss: 0.5187, Validation Loss: 0.5474
Epoch 105/1000, Train Loss: 0.4965, Validation Loss: 0.8928
Epoch 106/1000, Train Loss: 0.5053, Validation Loss: 1.3464
Epoch 107/1000, Train Loss: 0.5098, Validation Loss: 1.3312
Epoch 108/1000, Train Loss: 0.4923, Validation Loss: 0.5000
Epoch 109/1000, Train Loss: 0.4944, Validation Loss: 0.6175
Epoch 110/1000, Train Loss: 0.4949, Validation Loss: 3.2975
Epoch 111/1000, Train Loss: 0.5043, Validation Loss: 0.8016
Epoch 112/1000, Train Loss: 0.4988, Validation Loss: 0.8432
Epoch 113/1000, Train Loss: 0.4926, Validation Loss: 1.2062
Epoch 114/1000, Train Loss: 0.4928, Validation Loss: 0.6904
Epoch 115/1000, Train Loss: 0.4868, Validation Loss: 0.9528
Epoch 116/1000, Train Loss: 0.4961, Validation Loss: 0.5292
Epoch 117/1000, Train Loss: 0.4952, Validation Loss: 0.8152
Epoch 118/1000, Train Loss: 0.4895, Validation Loss: 2.1990
Epoch 119/1000, Train Loss: 0.4887, Validation Loss: 2.3147
Epoch 120/1000, Train Loss: 0.4856, Validation Loss: 0.6765
Epoch 121/1000, Train Loss: 0.4944, Validation Loss: 0.8696
Epoch 122/1000, Train Loss: 0.4782, Validation Loss: 2.5498
Epoch 123/1000, Train Loss: 0.4800, Validation Loss: 1.1786
Epoch 124/1000, Train Loss: 0.4850, Validation Loss: 3.6704
Epoch 125/1000, Train Loss: 0.4848, Validation Loss: 1.9258
Epoch 126/1000, Train Loss: 0.4875, Validation Loss: 1.5431
Epoch 127/1000, Train Loss: 0.4779, Validation Loss: 2.0866
Epoch 128/1000, Train Loss: 0.4795, Validation Loss: 1.1713
Epoch 129/1000, Train Loss: 0.4722, Validation Loss: 1.6425
Epoch 130/1000, Train Loss: 0.4750, Validation Loss: 0.5988
Epoch 131/1000, Train Loss: 0.4767, Validation Loss: 0.6039
Epoch 132/1000, Train Loss: 0.4739, Validation Loss: 0.6741
Epoch 133/1000, Train Loss: 0.4722, Validation Loss: 2.0214
Epoch 134/1000, Train Loss: 0.4705, Validation Loss: 0.9777
Epoch 135/1000, Train Loss: 0.4660, Validation Loss: 0.7096
Epoch 136/1000, Train Loss: 0.4630, Validation Loss: 1.3919
