Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-l5lgb4rc
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4949, Validation Loss: 3.0134
Epoch 2/1000, Train Loss: 1.7460, Validation Loss: 2.2407
Epoch 3/1000, Train Loss: 1.4429, Validation Loss: 1.8064
Epoch 4/1000, Train Loss: 1.4511, Validation Loss: 4.1954
Epoch 5/1000, Train Loss: 1.2906, Validation Loss: 3.4672
Epoch 6/1000, Train Loss: 1.2260, Validation Loss: 2.9413
Epoch 7/1000, Train Loss: 1.1666, Validation Loss: 1.9298
Epoch 8/1000, Train Loss: 1.1076, Validation Loss: 1.1614
Epoch 9/1000, Train Loss: 1.0455, Validation Loss: 2.7926
Epoch 10/1000, Train Loss: 1.0638, Validation Loss: 1.8462
Epoch 11/1000, Train Loss: 0.9632, Validation Loss: 1.3011
Epoch 12/1000, Train Loss: 0.9243, Validation Loss: 1.0589
Epoch 13/1000, Train Loss: 0.9313, Validation Loss: 1.5651
Epoch 14/1000, Train Loss: 0.9709, Validation Loss: 5.3590
Epoch 15/1000, Train Loss: 0.8804, Validation Loss: 2.1328
Epoch 16/1000, Train Loss: 0.8705, Validation Loss: 1.1952
Epoch 17/1000, Train Loss: 0.8474, Validation Loss: 0.8064
Epoch 18/1000, Train Loss: 0.8477, Validation Loss: 1.2253
Epoch 19/1000, Train Loss: 0.8357, Validation Loss: 2.7744
Epoch 20/1000, Train Loss: 0.7965, Validation Loss: 2.3279
Epoch 21/1000, Train Loss: 0.8003, Validation Loss: 1.0671
Epoch 22/1000, Train Loss: 0.7815, Validation Loss: 1.4190
Epoch 23/1000, Train Loss: 0.7814, Validation Loss: 2.6798
Epoch 24/1000, Train Loss: 0.7981, Validation Loss: 1.8403
Epoch 25/1000, Train Loss: 0.8062, Validation Loss: 2.9330
Epoch 26/1000, Train Loss: 0.8081, Validation Loss: 0.8615
Epoch 27/1000, Train Loss: 0.7853, Validation Loss: 1.7205
Epoch 28/1000, Train Loss: 0.7884, Validation Loss: 1.2905
Epoch 29/1000, Train Loss: 0.7382, Validation Loss: 2.8800
Epoch 30/1000, Train Loss: 0.7460, Validation Loss: 1.7305
Epoch 31/1000, Train Loss: 0.7480, Validation Loss: 0.7945
Epoch 32/1000, Train Loss: 0.7477, Validation Loss: 0.8161
Epoch 33/1000, Train Loss: 0.7263, Validation Loss: 0.8732
Epoch 34/1000, Train Loss: 0.7397, Validation Loss: 1.3410
Epoch 35/1000, Train Loss: 0.6953, Validation Loss: 0.8788
Epoch 36/1000, Train Loss: 0.7413, Validation Loss: 0.8075
Epoch 37/1000, Train Loss: 0.7071, Validation Loss: 3.6178
Epoch 38/1000, Train Loss: 0.6938, Validation Loss: 1.2036
Epoch 39/1000, Train Loss: 0.7257, Validation Loss: 4.5397
Epoch 40/1000, Train Loss: 0.7036, Validation Loss: 1.6425
Epoch 41/1000, Train Loss: 0.7123, Validation Loss: 0.9056
Epoch 42/1000, Train Loss: 0.6967, Validation Loss: 1.0477
Epoch 43/1000, Train Loss: 0.6924, Validation Loss: 3.4103
Epoch 44/1000, Train Loss: 0.6938, Validation Loss: 1.1682
Epoch 45/1000, Train Loss: 0.6554, Validation Loss: 0.8940
Epoch 46/1000, Train Loss: 0.6729, Validation Loss: 1.6026
Epoch 47/1000, Train Loss: 0.6916, Validation Loss: 3.4586
Epoch 48/1000, Train Loss: 0.6676, Validation Loss: 0.6297
Epoch 49/1000, Train Loss: 0.6575, Validation Loss: 0.6907
Epoch 50/1000, Train Loss: 0.6693, Validation Loss: 1.5695
Epoch 51/1000, Train Loss: 0.6765, Validation Loss: 1.9483
Epoch 52/1000, Train Loss: 0.6615, Validation Loss: 0.8363
Epoch 53/1000, Train Loss: 0.6181, Validation Loss: 1.4346
Epoch 54/1000, Train Loss: 0.6315, Validation Loss: 0.9659
Epoch 55/1000, Train Loss: 0.6351, Validation Loss: 2.4176
Epoch 56/1000, Train Loss: 0.6628, Validation Loss: 0.8710
Epoch 57/1000, Train Loss: 0.6461, Validation Loss: 1.2011
Epoch 58/1000, Train Loss: 0.6152, Validation Loss: 1.5591
Epoch 59/1000, Train Loss: 0.6375, Validation Loss: 1.9713
Epoch 60/1000, Train Loss: 0.6367, Validation Loss: 3.1425
Epoch 61/1000, Train Loss: 0.6034, Validation Loss: 1.5464
Epoch 62/1000, Train Loss: 0.6011, Validation Loss: 2.4454
Epoch 63/1000, Train Loss: 0.6493, Validation Loss: 1.0904
Epoch 64/1000, Train Loss: 0.6005, Validation Loss: 1.0182
Epoch 65/1000, Train Loss: 0.5765, Validation Loss: 1.2488
Epoch 66/1000, Train Loss: 0.5824, Validation Loss: 2.1788
Epoch 67/1000, Train Loss: 0.6116, Validation Loss: 0.7209
Epoch 68/1000, Train Loss: 0.5705, Validation Loss: 0.7436
Epoch 69/1000, Train Loss: 0.5698, Validation Loss: 0.8720
Epoch 70/1000, Train Loss: 0.5902, Validation Loss: 1.2324
Epoch 71/1000, Train Loss: 0.5725, Validation Loss: 3.3577
Epoch 72/1000, Train Loss: 0.5750, Validation Loss: 1.7428
Epoch 73/1000, Train Loss: 0.5656, Validation Loss: 0.8017
Epoch 74/1000, Train Loss: 0.5654, Validation Loss: 0.8110
Epoch 75/1000, Train Loss: 0.5732, Validation Loss: 2.1154
Epoch 76/1000, Train Loss: 0.5626, Validation Loss: 2.0292
Epoch 77/1000, Train Loss: 0.5665, Validation Loss: 2.1874
Epoch 78/1000, Train Loss: 0.5586, Validation Loss: 1.0615
Epoch 79/1000, Train Loss: 0.5491, Validation Loss: 0.7215
Epoch 80/1000, Train Loss: 0.5445, Validation Loss: 1.0999
Epoch 81/1000, Train Loss: 0.5532, Validation Loss: 1.3668
Epoch 82/1000, Train Loss: 0.5519, Validation Loss: 2.4051
Epoch 83/1000, Train Loss: 0.5488, Validation Loss: 2.6673
Epoch 84/1000, Train Loss: 0.5370, Validation Loss: 0.6359
Epoch 85/1000, Train Loss: 0.5507, Validation Loss: 0.8256
Epoch 86/1000, Train Loss: 0.5309, Validation Loss: 1.2857
Epoch 87/1000, Train Loss: 0.5295, Validation Loss: 1.0605
Epoch 88/1000, Train Loss: 0.5381, Validation Loss: 1.4406
Epoch 89/1000, Train Loss: 0.5252, Validation Loss: 1.1381
Epoch 90/1000, Train Loss: 0.5234, Validation Loss: 2.1034
Epoch 91/1000, Train Loss: 0.5210, Validation Loss: 3.5334
Epoch 92/1000, Train Loss: 0.5225, Validation Loss: 1.6100
Epoch 93/1000, Train Loss: 0.5122, Validation Loss: 0.9726
Epoch 94/1000, Train Loss: 0.5135, Validation Loss: 3.0612
Epoch 95/1000, Train Loss: 0.5042, Validation Loss: 5.7298
Epoch 96/1000, Train Loss: 0.5257, Validation Loss: 0.5747
Epoch 97/1000, Train Loss: 0.5017, Validation Loss: 2.0217
Epoch 98/1000, Train Loss: 0.5065, Validation Loss: 0.8530
Epoch 99/1000, Train Loss: 0.5081, Validation Loss: 0.7416
Epoch 100/1000, Train Loss: 0.5051, Validation Loss: 0.7345
Epoch 101/1000, Train Loss: 0.5053, Validation Loss: 5.5226
Epoch 102/1000, Train Loss: 0.5057, Validation Loss: 1.3871
Epoch 103/1000, Train Loss: 0.4991, Validation Loss: 0.5200
Epoch 104/1000, Train Loss: 0.5025, Validation Loss: 0.5430
Epoch 105/1000, Train Loss: 0.5011, Validation Loss: 0.6175
Epoch 106/1000, Train Loss: 0.4997, Validation Loss: 1.8620
Epoch 107/1000, Train Loss: 0.4968, Validation Loss: 1.0683
Epoch 108/1000, Train Loss: 0.4905, Validation Loss: 0.6487
Epoch 109/1000, Train Loss: 0.4838, Validation Loss: 0.9197
Epoch 110/1000, Train Loss: 0.4830, Validation Loss: 0.8559
Epoch 111/1000, Train Loss: 0.4899, Validation Loss: 0.6164
Epoch 112/1000, Train Loss: 0.4855, Validation Loss: 0.5949
Epoch 113/1000, Train Loss: 0.4904, Validation Loss: 0.8210
Epoch 114/1000, Train Loss: 0.4812, Validation Loss: 0.5363
Epoch 115/1000, Train Loss: 0.4792, Validation Loss: 1.0453
Epoch 116/1000, Train Loss: 0.4764, Validation Loss: 1.3582
Epoch 117/1000, Train Loss: 0.4792, Validation Loss: 2.9365
Epoch 118/1000, Train Loss: 0.4811, Validation Loss: 3.3889
Epoch 119/1000, Train Loss: 0.4776, Validation Loss: 0.8058
Epoch 120/1000, Train Loss: 0.4889, Validation Loss: 2.0358
Epoch 121/1000, Train Loss: 0.4745, Validation Loss: 0.7813
Epoch 122/1000, Train Loss: 0.4755, Validation Loss: 1.9811
Epoch 123/1000, Train Loss: 0.4733, Validation Loss: 0.8133
Epoch 124/1000, Train Loss: 0.4731, Validation Loss: 2.1440
Epoch 125/1000, Train Loss: 0.4734, Validation Loss: 2.7321
Epoch 126/1000, Train Loss: 0.4788, Validation Loss: 0.6366
Epoch 127/1000, Train Loss: 0.4598, Validation Loss: 0.4628
Epoch 128/1000, Train Loss: 0.4751, Validation Loss: 0.8118
Epoch 129/1000, Train Loss: 0.4757, Validation Loss: 2.4229
Epoch 130/1000, Train Loss: 0.4598, Validation Loss: 2.8721
Epoch 131/1000, Train Loss: 0.4610, Validation Loss: 0.9898
Epoch 132/1000, Train Loss: 0.4587, Validation Loss: 0.6240
Epoch 133/1000, Train Loss: 0.4518, Validation Loss: 0.7399
Epoch 134/1000, Train Loss: 0.4524, Validation Loss: 0.6396
Epoch 135/1000, Train Loss: 0.4623, Validation Loss: 1.1650
Epoch 136/1000, Train Loss: 0.4614, Validation Loss: 0.9707
Epoch 137/1000, Train Loss: 0.4516, Validation Loss: 0.6255
Epoch 138/1000, Train Loss: 0.4550, Validation Loss: 0.9060
Epoch 139/1000, Train Loss: 0.4441, Validation Loss: 1.4777
Epoch 140/1000, Train Loss: 0.4417, Validation Loss: 0.7392
Epoch 141/1000, Train Loss: 0.4613, Validation Loss: 0.6442
Epoch 142/1000, Train Loss: 0.4570, Validation Loss: 0.6687
Epoch 143/1000, Train Loss: 0.4518, Validation Loss: 0.6438
Epoch 144/1000, Train Loss: 0.4441, Validation Loss: 0.7589
Epoch 145/1000, Train Loss: 0.4469, Validation Loss: 1.8600
Epoch 146/1000, Train Loss: 0.4444, Validation Loss: 0.9074
Epoch 147/1000, Train Loss: 0.4414, Validation Loss: 0.8700
Epoch 148/1000, Train Loss: 0.4429, Validation Loss: 2.7780
Epoch 149/1000, Train Loss: 0.4429, Validation Loss: 0.5368
Epoch 150/1000, Train Loss: 0.4398, Validation Loss: 0.5434
Epoch 151/1000, Train Loss: 0.4461, Validation Loss: 0.6932
Epoch 152/1000, Train Loss: 0.4459, Validation Loss: 0.6616
Epoch 153/1000, Train Loss: 0.4411, Validation Loss: 0.6721
Epoch 154/1000, Train Loss: 0.4381, Validation Loss: 1.2825
Epoch 155/1000, Train Loss: 0.4389, Validation Loss: 2.5956
Epoch 156/1000, Train Loss: 0.4405, Validation Loss: 0.7901
