Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-jbxiks9k
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.3092, Validation Loss: 3.4427
Epoch 2/1000, Train Loss: 1.4294, Validation Loss: 1.2153
Epoch 3/1000, Train Loss: 1.2851, Validation Loss: 2.5831
Epoch 4/1000, Train Loss: 1.3038, Validation Loss: 1.4794
Epoch 5/1000, Train Loss: 1.1988, Validation Loss: 2.6762
Epoch 6/1000, Train Loss: 1.2163, Validation Loss: 2.3201
Epoch 7/1000, Train Loss: 1.2266, Validation Loss: 2.8100
Epoch 8/1000, Train Loss: 1.1391, Validation Loss: 2.3924
Epoch 9/1000, Train Loss: 1.1200, Validation Loss: 2.7745
Epoch 10/1000, Train Loss: 1.1064, Validation Loss: 4.0751
Epoch 11/1000, Train Loss: 1.0559, Validation Loss: 2.4840
Epoch 12/1000, Train Loss: 1.1324, Validation Loss: 1.4125
Epoch 13/1000, Train Loss: 1.0491, Validation Loss: 1.1541
Epoch 14/1000, Train Loss: 1.2156, Validation Loss: 1.0292
Epoch 15/1000, Train Loss: 1.0716, Validation Loss: 2.0856
Epoch 16/1000, Train Loss: 1.0646, Validation Loss: 3.2603
Epoch 17/1000, Train Loss: 1.0227, Validation Loss: 2.7961
Epoch 18/1000, Train Loss: 0.9968, Validation Loss: 3.3914
Epoch 19/1000, Train Loss: 0.9904, Validation Loss: 1.8486
Epoch 20/1000, Train Loss: 1.0401, Validation Loss: 2.1757
Epoch 21/1000, Train Loss: 0.9702, Validation Loss: 1.4154
Epoch 22/1000, Train Loss: 0.9500, Validation Loss: 3.8889
Epoch 23/1000, Train Loss: 0.9600, Validation Loss: 2.0310
Epoch 24/1000, Train Loss: 0.9305, Validation Loss: 1.4076
Epoch 25/1000, Train Loss: 0.9000, Validation Loss: 2.2367
Epoch 26/1000, Train Loss: 0.9023, Validation Loss: 1.1220
Epoch 27/1000, Train Loss: 0.9019, Validation Loss: 2.5711
Epoch 28/1000, Train Loss: 0.8850, Validation Loss: 3.8638
Epoch 29/1000, Train Loss: 0.9909, Validation Loss: 1.9106
Epoch 30/1000, Train Loss: 0.8918, Validation Loss: 1.5154
Epoch 31/1000, Train Loss: 0.8716, Validation Loss: 1.6583
Epoch 32/1000, Train Loss: 0.8446, Validation Loss: 2.1605
Epoch 33/1000, Train Loss: 0.9035, Validation Loss: 3.1487
Epoch 34/1000, Train Loss: 0.8443, Validation Loss: 1.9337
Epoch 35/1000, Train Loss: 0.8476, Validation Loss: 7.5165
Epoch 36/1000, Train Loss: 0.8478, Validation Loss: 1.8766
Epoch 37/1000, Train Loss: 0.8363, Validation Loss: 0.9268
Epoch 38/1000, Train Loss: 0.8908, Validation Loss: 1.2274
Epoch 39/1000, Train Loss: 0.8615, Validation Loss: 2.5388
Epoch 40/1000, Train Loss: 0.8094, Validation Loss: 5.3695
Epoch 41/1000, Train Loss: 0.7980, Validation Loss: 1.3102
Epoch 42/1000, Train Loss: 0.7938, Validation Loss: 0.8186
Epoch 43/1000, Train Loss: 0.7786, Validation Loss: 1.0537
Epoch 44/1000, Train Loss: 0.8008, Validation Loss: 1.1476
Epoch 45/1000, Train Loss: 0.7717, Validation Loss: 1.8622
Epoch 46/1000, Train Loss: 0.7698, Validation Loss: 7.8105
Epoch 47/1000, Train Loss: 0.7590, Validation Loss: 3.1991
Epoch 48/1000, Train Loss: 0.7683, Validation Loss: 0.7213
Epoch 49/1000, Train Loss: 0.7271, Validation Loss: 0.7293
Epoch 50/1000, Train Loss: 0.7327, Validation Loss: 0.9037
Epoch 51/1000, Train Loss: 0.7586, Validation Loss: 2.8814
Epoch 52/1000, Train Loss: 0.7572, Validation Loss: 1.1499
Epoch 53/1000, Train Loss: 0.7203, Validation Loss: 2.9178
Epoch 54/1000, Train Loss: 0.7841, Validation Loss: 1.3706
Epoch 55/1000, Train Loss: 0.7314, Validation Loss: 0.7112
Epoch 56/1000, Train Loss: 0.7216, Validation Loss: 2.0343
Epoch 57/1000, Train Loss: 0.7323, Validation Loss: 0.7020
Epoch 58/1000, Train Loss: 0.7368, Validation Loss: 0.9056
Epoch 59/1000, Train Loss: 0.7213, Validation Loss: 0.8451
Epoch 60/1000, Train Loss: 0.7316, Validation Loss: 2.1418
Epoch 61/1000, Train Loss: 0.7264, Validation Loss: 1.0510
Epoch 62/1000, Train Loss: 0.7336, Validation Loss: 1.3072
Epoch 63/1000, Train Loss: 0.7435, Validation Loss: 1.9360
Epoch 64/1000, Train Loss: 0.7111, Validation Loss: 1.6925
Epoch 65/1000, Train Loss: 0.7301, Validation Loss: 1.1487
Epoch 66/1000, Train Loss: 0.7207, Validation Loss: 1.2439
Epoch 67/1000, Train Loss: 0.7258, Validation Loss: 1.8470
Epoch 68/1000, Train Loss: 0.7299, Validation Loss: 2.9329
Epoch 69/1000, Train Loss: 0.7159, Validation Loss: 1.3475
Epoch 70/1000, Train Loss: 0.7122, Validation Loss: 1.5849
Epoch 71/1000, Train Loss: 0.7642, Validation Loss: 1.2037
Epoch 72/1000, Train Loss: 0.7259, Validation Loss: 2.6418
Epoch 73/1000, Train Loss: 4.5547, Validation Loss: 0.9151
Epoch 74/1000, Train Loss: 0.7214, Validation Loss: 1.2667
Epoch 75/1000, Train Loss: 0.7088, Validation Loss: 6.1008
Epoch 76/1000, Train Loss: 0.7399, Validation Loss: 2.0992
Epoch 77/1000, Train Loss: 0.7446, Validation Loss: 1.9866
Epoch 78/1000, Train Loss: 0.6980, Validation Loss: 4.4888
Epoch 79/1000, Train Loss: 0.7234, Validation Loss: 2.0728
Epoch 80/1000, Train Loss: 0.6894, Validation Loss: 1.4245
Epoch 81/1000, Train Loss: 0.7047, Validation Loss: 0.8202
Epoch 82/1000, Train Loss: 0.7011, Validation Loss: 2.7616
Epoch 83/1000, Train Loss: 0.7017, Validation Loss: 4.2213
Epoch 84/1000, Train Loss: 0.7156, Validation Loss: 5.9118
Epoch 85/1000, Train Loss: 0.6999, Validation Loss: 0.7398
Epoch 86/1000, Train Loss: 0.8131, Validation Loss: 2.0412
Epoch 87/1000, Train Loss: 0.6961, Validation Loss: 1.2457
Epoch 88/1000, Train Loss: 0.6894, Validation Loss: 4.4081
Epoch 89/1000, Train Loss: 0.6885, Validation Loss: 3.2033
Epoch 90/1000, Train Loss: 0.6996, Validation Loss: 2.2663
Epoch 91/1000, Train Loss: 0.6908, Validation Loss: 0.7061
Epoch 92/1000, Train Loss: 0.6538, Validation Loss: 2.4676
Epoch 93/1000, Train Loss: 0.6856, Validation Loss: 1.0485
Epoch 94/1000, Train Loss: 0.7031, Validation Loss: 2.4013
Epoch 95/1000, Train Loss: 0.6912, Validation Loss: 1.5512
Epoch 96/1000, Train Loss: 0.6748, Validation Loss: 2.8317
Epoch 97/1000, Train Loss: 0.8908, Validation Loss: 0.8340
Epoch 98/1000, Train Loss: 0.7131, Validation Loss: 1.7228
Epoch 99/1000, Train Loss: 0.6875, Validation Loss: 2.8396
Epoch 100/1000, Train Loss: 0.7130, Validation Loss: 1.5650
Epoch 101/1000, Train Loss: 0.7178, Validation Loss: 1.6951
Epoch 102/1000, Train Loss: 0.6834, Validation Loss: 0.8995
Epoch 103/1000, Train Loss: 0.6750, Validation Loss: 2.2899
Epoch 104/1000, Train Loss: 0.6763, Validation Loss: 1.8149
Epoch 105/1000, Train Loss: 0.6777, Validation Loss: 1.3513
Epoch 106/1000, Train Loss: 0.6902, Validation Loss: 0.7368
Epoch 107/1000, Train Loss: 0.6957, Validation Loss: 0.7254
Epoch 108/1000, Train Loss: 0.6772, Validation Loss: 2.3520
Epoch 109/1000, Train Loss: 0.6805, Validation Loss: 1.4781
Epoch 110/1000, Train Loss: 0.7138, Validation Loss: 1.3701
Epoch 111/1000, Train Loss: 0.6829, Validation Loss: 3.3806
Epoch 112/1000, Train Loss: 0.6558, Validation Loss: 1.5296
Epoch 113/1000, Train Loss: 0.6829, Validation Loss: 2.2875
Epoch 114/1000, Train Loss: 0.6754, Validation Loss: 1.8193
Epoch 115/1000, Train Loss: 0.6813, Validation Loss: 2.1834
Epoch 116/1000, Train Loss: 0.7132, Validation Loss: 2.4332
Epoch 117/1000, Train Loss: 0.6625, Validation Loss: 0.6635
Epoch 118/1000, Train Loss: 0.6707, Validation Loss: 0.9987
Epoch 119/1000, Train Loss: 0.7266, Validation Loss: 1.8176
Epoch 120/1000, Train Loss: 0.6578, Validation Loss: 2.6147
Epoch 121/1000, Train Loss: 0.6857, Validation Loss: 1.8373
Epoch 122/1000, Train Loss: 0.7120, Validation Loss: 3.7069
Epoch 123/1000, Train Loss: 0.6625, Validation Loss: 3.3966
Epoch 124/1000, Train Loss: 0.6668, Validation Loss: 0.9361
Epoch 125/1000, Train Loss: 0.6541, Validation Loss: 0.9159
Epoch 126/1000, Train Loss: 0.6867, Validation Loss: 1.2033
Epoch 127/1000, Train Loss: 0.6709, Validation Loss: 3.6546
Epoch 128/1000, Train Loss: 0.6533, Validation Loss: 3.0638
Epoch 129/1000, Train Loss: 0.6466, Validation Loss: 3.2012
Epoch 130/1000, Train Loss: 0.6746, Validation Loss: 0.9595
Epoch 131/1000, Train Loss: 0.6683, Validation Loss: 2.4869
Epoch 132/1000, Train Loss: 0.6759, Validation Loss: 1.7389
Epoch 133/1000, Train Loss: 0.6670, Validation Loss: 1.6602
Epoch 134/1000, Train Loss: 0.6765, Validation Loss: 1.7629
Epoch 135/1000, Train Loss: 0.6516, Validation Loss: 1.3824
Epoch 136/1000, Train Loss: 0.6782, Validation Loss: 0.6512
Epoch 137/1000, Train Loss: 0.6552, Validation Loss: 0.6552
Epoch 138/1000, Train Loss: 0.6491, Validation Loss: 1.1952
Epoch 139/1000, Train Loss: 0.6739, Validation Loss: 0.6612
Epoch 140/1000, Train Loss: 0.6666, Validation Loss: 1.1536
Epoch 141/1000, Train Loss: 0.6898, Validation Loss: 2.5501
Epoch 142/1000, Train Loss: 0.6572, Validation Loss: 0.8873
Epoch 143/1000, Train Loss: 0.6572, Validation Loss: 1.1297
Epoch 144/1000, Train Loss: 0.6658, Validation Loss: 6.0203
Epoch 145/1000, Train Loss: 0.6795, Validation Loss: 1.4853
Epoch 146/1000, Train Loss: 0.6742, Validation Loss: 3.0966
Epoch 147/1000, Train Loss: 0.6561, Validation Loss: 1.0049
Epoch 148/1000, Train Loss: 0.6552, Validation Loss: 0.8016
Epoch 149/1000, Train Loss: 0.6413, Validation Loss: 0.7372
Epoch 150/1000, Train Loss: 0.6434, Validation Loss: 1.0378
Epoch 151/1000, Train Loss: 0.6447, Validation Loss: 0.6656
Epoch 152/1000, Train Loss: 0.6622, Validation Loss: 1.0965
Epoch 153/1000, Train Loss: 0.6637, Validation Loss: 2.3442
Epoch 154/1000, Train Loss: 0.6639, Validation Loss: 1.4730
Epoch 155/1000, Train Loss: 0.6978, Validation Loss: 1.2839
Epoch 156/1000, Train Loss: 0.6708, Validation Loss: 0.8145
Epoch 157/1000, Train Loss: 0.6360, Validation Loss: 1.8785
Epoch 158/1000, Train Loss: 0.6576, Validation Loss: 1.2501
Epoch 159/1000, Train Loss: 0.6526, Validation Loss: 9.5565
Epoch 160/1000, Train Loss: 0.7003, Validation Loss: 2.0434
Epoch 161/1000, Train Loss: 0.6500, Validation Loss: 1.5942
Epoch 162/1000, Train Loss: 0.6317, Validation Loss: 2.4273
Epoch 163/1000, Train Loss: 0.6268, Validation Loss: 1.4389
Epoch 164/1000, Train Loss: 0.6458, Validation Loss: 2.7721
Epoch 165/1000, Train Loss: 0.6488, Validation Loss: 2.0090
Epoch 166/1000, Train Loss: 0.6577, Validation Loss: 0.9698
Epoch 167/1000, Train Loss: 0.6484, Validation Loss: 1.1484
Epoch 168/1000, Train Loss: 0.6535, Validation Loss: 2.1713
Epoch 169/1000, Train Loss: 0.6258, Validation Loss: 0.9664
Epoch 170/1000, Train Loss: 0.6404, Validation Loss: 1.6697
Epoch 171/1000, Train Loss: 0.6408, Validation Loss: 2.3359
Epoch 172/1000, Train Loss: 0.6477, Validation Loss: 2.1158
Epoch 173/1000, Train Loss: 0.6317, Validation Loss: 1.6067
Epoch 174/1000, Train Loss: 0.6567, Validation Loss: 1.4122
Epoch 175/1000, Train Loss: 0.6648, Validation Loss: 0.8984
Epoch 176/1000, Train Loss: 0.6332, Validation Loss: 1.8785
Epoch 177/1000, Train Loss: 0.6577, Validation Loss: 1.7248
Epoch 178/1000, Train Loss: 0.6321, Validation Loss: 0.9633
Epoch 179/1000, Train Loss: 0.6492, Validation Loss: 1.3514
Epoch 180/1000, Train Loss: 0.6341, Validation Loss: 1.1939
Epoch 181/1000, Train Loss: 0.6777, Validation Loss: 1.0412
Epoch 182/1000, Train Loss: 0.6517, Validation Loss: 0.7180
Epoch 183/1000, Train Loss: 0.6599, Validation Loss: 2.5214
Epoch 184/1000, Train Loss: 0.6600, Validation Loss: 2.1951
Epoch 185/1000, Train Loss: 0.6404, Validation Loss: 2.7286
Epoch 186/1000, Train Loss: 0.6504, Validation Loss: 2.5750
Epoch 187/1000, Train Loss: 0.6728, Validation Loss: 3.6837
Epoch 188/1000, Train Loss: 0.6477, Validation Loss: 2.1681
Epoch 189/1000, Train Loss: 0.6365, Validation Loss: 1.0712
Epoch 190/1000, Train Loss: 0.6321, Validation Loss: 0.7202
Epoch 191/1000, Train Loss: 0.6513, Validation Loss: 0.9552
Epoch 192/1000, Train Loss: 0.6630, Validation Loss: 0.6483
Epoch 193/1000, Train Loss: 0.6336, Validation Loss: 1.2237
Epoch 194/1000, Train Loss: 0.6262, Validation Loss: 2.1250
Epoch 195/1000, Train Loss: 0.6356, Validation Loss: 1.6111
Epoch 196/1000, Train Loss: 0.6441, Validation Loss: 1.8316
Epoch 197/1000, Train Loss: 0.6605, Validation Loss: 1.5782
Epoch 198/1000, Train Loss: 0.6422, Validation Loss: 0.8481
Epoch 199/1000, Train Loss: 0.6465, Validation Loss: 3.2290
Epoch 200/1000, Train Loss: 0.6359, Validation Loss: 1.4512
Epoch 201/1000, Train Loss: 0.6475, Validation Loss: 1.2401
Epoch 202/1000, Train Loss: 0.6225, Validation Loss: 0.7198
Epoch 203/1000, Train Loss: 0.6295, Validation Loss: 1.3248
Epoch 204/1000, Train Loss: 0.6571, Validation Loss: 1.9152
Epoch 205/1000, Train Loss: 0.6117, Validation Loss: 1.7963
Epoch 206/1000, Train Loss: 0.6247, Validation Loss: 3.3233
Epoch 207/1000, Train Loss: 0.6431, Validation Loss: 2.4135
Epoch 208/1000, Train Loss: 0.6375, Validation Loss: 2.1289
Epoch 209/1000, Train Loss: 0.6343, Validation Loss: 1.2104
Epoch 210/1000, Train Loss: 0.6369, Validation Loss: 3.5432
Epoch 211/1000, Train Loss: 0.7780, Validation Loss: 1.9324
Epoch 212/1000, Train Loss: 0.6176, Validation Loss: 0.8632
Epoch 213/1000, Train Loss: 0.6471, Validation Loss: 2.0365
Epoch 214/1000, Train Loss: 0.6415, Validation Loss: 2.5801
Epoch 215/1000, Train Loss: 0.6515, Validation Loss: 1.5258
Epoch 216/1000, Train Loss: 0.6267, Validation Loss: 1.8189
Epoch 217/1000, Train Loss: 0.6504, Validation Loss: 1.4244
Epoch 218/1000, Train Loss: 0.6296, Validation Loss: 0.8621
Epoch 219/1000, Train Loss: 0.6215, Validation Loss: 0.9055
Epoch 220/1000, Train Loss: 0.6352, Validation Loss: 1.1188
Epoch 221/1000, Train Loss: 0.6509, Validation Loss: 1.1636
Epoch 222/1000, Train Loss: 0.6335, Validation Loss: 2.9589
Epoch 223/1000, Train Loss: 0.6520, Validation Loss: 2.6069
Epoch 224/1000, Train Loss: 0.6333, Validation Loss: 1.5302
Epoch 225/1000, Train Loss: 0.6318, Validation Loss: 1.0914
Epoch 226/1000, Train Loss: 0.6231, Validation Loss: 1.8725
Epoch 227/1000, Train Loss: 0.6435, Validation Loss: 1.4209
Epoch 228/1000, Train Loss: 0.6470, Validation Loss: 3.1103
Epoch 229/1000, Train Loss: 0.6359, Validation Loss: 2.0826
Epoch 230/1000, Train Loss: 0.6371, Validation Loss: 1.9192
Epoch 231/1000, Train Loss: 0.6441, Validation Loss: 0.8990
Epoch 232/1000, Train Loss: 0.6285, Validation Loss: 0.7774
Epoch 233/1000, Train Loss: 0.6273, Validation Loss: 1.0769
Epoch 234/1000, Train Loss: 0.6384, Validation Loss: 1.7154
Epoch 235/1000, Train Loss: 0.6261, Validation Loss: 1.7266
Epoch 236/1000, Train Loss: 0.6410, Validation Loss: 0.9382
Epoch 237/1000, Train Loss: 0.6753, Validation Loss: 1.3376
Epoch 238/1000, Train Loss: 0.6452, Validation Loss: 2.2020
Epoch 239/1000, Train Loss: 0.6315, Validation Loss: 2.0214
Epoch 240/1000, Train Loss: 0.6372, Validation Loss: 2.1613
Epoch 241/1000, Train Loss: 0.6147, Validation Loss: 2.9096
Epoch 242/1000, Train Loss: 0.6415, Validation Loss: 0.6278
Epoch 243/1000, Train Loss: 0.6316, Validation Loss: 1.4049
Epoch 244/1000, Train Loss: 0.6413, Validation Loss: 4.1722
Epoch 245/1000, Train Loss: 0.6350, Validation Loss: 1.0330
Epoch 246/1000, Train Loss: 0.6349, Validation Loss: 1.2903
Epoch 247/1000, Train Loss: 0.6513, Validation Loss: 1.1530
Epoch 248/1000, Train Loss: 0.6211, Validation Loss: 1.9191
Epoch 249/1000, Train Loss: 0.6207, Validation Loss: 1.8549
Epoch 250/1000, Train Loss: 0.6119, Validation Loss: 0.9145
Epoch 251/1000, Train Loss: 0.6510, Validation Loss: 2.7888
Epoch 252/1000, Train Loss: 0.6355, Validation Loss: 0.8027
Epoch 253/1000, Train Loss: 0.6414, Validation Loss: 1.1838
Epoch 254/1000, Train Loss: 0.6367, Validation Loss: 3.1460
Epoch 255/1000, Train Loss: 0.6474, Validation Loss: 1.8428
Epoch 256/1000, Train Loss: 0.6269, Validation Loss: 1.6996
Epoch 257/1000, Train Loss: 0.6282, Validation Loss: 2.1549
Epoch 258/1000, Train Loss: 0.6343, Validation Loss: 0.7146
Epoch 259/1000, Train Loss: 0.6578, Validation Loss: 1.1798
Epoch 260/1000, Train Loss: 0.6838, Validation Loss: 2.2563
Epoch 261/1000, Train Loss: 0.6188, Validation Loss: 2.4936
Epoch 262/1000, Train Loss: 0.6246, Validation Loss: 0.8952
Epoch 263/1000, Train Loss: 0.6351, Validation Loss: 5.2354
Epoch 264/1000, Train Loss: 0.6238, Validation Loss: 1.1272
Epoch 265/1000, Train Loss: 0.6172, Validation Loss: 2.6182
Epoch 266/1000, Train Loss: 0.6313, Validation Loss: 1.9031
Epoch 267/1000, Train Loss: 0.6385, Validation Loss: 3.0953
Epoch 268/1000, Train Loss: 0.6558, Validation Loss: 3.0597
Epoch 269/1000, Train Loss: 0.6241, Validation Loss: 3.5828
Epoch 270/1000, Train Loss: 0.6305, Validation Loss: 1.8657
Epoch 271/1000, Train Loss: 0.6302, Validation Loss: 1.4171
Epoch 272/1000, Train Loss: 0.6324, Validation Loss: 0.8425
Epoch 273/1000, Train Loss: 0.6300, Validation Loss: 1.0546
Epoch 274/1000, Train Loss: 0.6510, Validation Loss: 0.9315
Epoch 275/1000, Train Loss: 0.6366, Validation Loss: 2.0440
Epoch 276/1000, Train Loss: 0.6401, Validation Loss: 5.4777
Epoch 277/1000, Train Loss: 0.6378, Validation Loss: 1.1356
Epoch 278/1000, Train Loss: 0.6335, Validation Loss: 0.8517
Epoch 279/1000, Train Loss: 0.6787, Validation Loss: 1.8546
Epoch 280/1000, Train Loss: 0.6290, Validation Loss: 3.0084
Epoch 281/1000, Train Loss: 0.6415, Validation Loss: 0.8505
Epoch 282/1000, Train Loss: 0.6448, Validation Loss: 2.7742
Epoch 283/1000, Train Loss: 0.6573, Validation Loss: 2.2783
Epoch 284/1000, Train Loss: 0.6161, Validation Loss: 2.0531
Epoch 285/1000, Train Loss: 0.6126, Validation Loss: 1.1826
Epoch 286/1000, Train Loss: 0.6318, Validation Loss: 0.6094
Epoch 287/1000, Train Loss: 0.6364, Validation Loss: 1.8130
Epoch 288/1000, Train Loss: 0.6284, Validation Loss: 1.0267
Epoch 289/1000, Train Loss: 0.6264, Validation Loss: 1.3113
Epoch 290/1000, Train Loss: 0.6348, Validation Loss: 0.6788
Epoch 291/1000, Train Loss: 0.6229, Validation Loss: 3.0592
Epoch 292/1000, Train Loss: 0.6411, Validation Loss: 0.8764
