Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-enjd8ets
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.6243, Validation Loss: 3.8316
Epoch 2/1000, Train Loss: 1.4207, Validation Loss: 3.1953
Epoch 3/1000, Train Loss: 1.3117, Validation Loss: 1.3607
Epoch 4/1000, Train Loss: 1.1764, Validation Loss: 1.1998
Epoch 5/1000, Train Loss: 1.1890, Validation Loss: 3.1212
Epoch 6/1000, Train Loss: 1.1466, Validation Loss: 3.1785
Epoch 7/1000, Train Loss: 1.1642, Validation Loss: 1.2519
Epoch 8/1000, Train Loss: 1.0811, Validation Loss: 2.4033
Epoch 9/1000, Train Loss: 1.0493, Validation Loss: 1.7672
Epoch 10/1000, Train Loss: 0.9925, Validation Loss: 6.5025
Epoch 11/1000, Train Loss: 1.0725, Validation Loss: 2.8150
Epoch 12/1000, Train Loss: 1.0627, Validation Loss: 2.1105
Epoch 13/1000, Train Loss: 1.0178, Validation Loss: 0.8662
Epoch 14/1000, Train Loss: 1.0631, Validation Loss: 4.8499
Epoch 15/1000, Train Loss: 1.0403, Validation Loss: 1.2648
Epoch 16/1000, Train Loss: 0.9847, Validation Loss: 1.9528
Epoch 17/1000, Train Loss: 1.0307, Validation Loss: 1.4648
Epoch 18/1000, Train Loss: 1.0087, Validation Loss: 1.7263
Epoch 19/1000, Train Loss: 1.0003, Validation Loss: 0.8592
Epoch 20/1000, Train Loss: 0.9566, Validation Loss: 6.9439
Epoch 21/1000, Train Loss: 1.0290, Validation Loss: 2.6483
Epoch 22/1000, Train Loss: 0.9851, Validation Loss: 1.0916
Epoch 23/1000, Train Loss: 3.3044, Validation Loss: 1.4179
Epoch 24/1000, Train Loss: 0.9574, Validation Loss: 3.9850
Epoch 25/1000, Train Loss: 0.9583, Validation Loss: 4.8876
Epoch 26/1000, Train Loss: 1.0482, Validation Loss: 2.2026
Epoch 27/1000, Train Loss: 0.9680, Validation Loss: 2.5563
Epoch 28/1000, Train Loss: 0.9241, Validation Loss: 2.4507
Epoch 29/1000, Train Loss: 0.8860, Validation Loss: 2.8152
Epoch 30/1000, Train Loss: 0.9286, Validation Loss: 3.3916
Epoch 31/1000, Train Loss: 0.9555, Validation Loss: 2.4711
Epoch 32/1000, Train Loss: 0.9112, Validation Loss: 11.3321
Epoch 33/1000, Train Loss: 1.0111, Validation Loss: 1.7799
Epoch 34/1000, Train Loss: 0.9111, Validation Loss: 4.4384
Epoch 35/1000, Train Loss: 15.4686, Validation Loss: 1.2485
Epoch 36/1000, Train Loss: 0.9815, Validation Loss: 3.0644
Epoch 37/1000, Train Loss: 0.9126, Validation Loss: 2.9916
Epoch 38/1000, Train Loss: 0.8851, Validation Loss: 2.1278
Epoch 39/1000, Train Loss: 0.8572, Validation Loss: 6.4763
Epoch 40/1000, Train Loss: 0.8519, Validation Loss: 20.0132
Epoch 41/1000, Train Loss: 0.8619, Validation Loss: 0.7638
Epoch 42/1000, Train Loss: 0.9061, Validation Loss: 1.2137
Epoch 43/1000, Train Loss: 0.8600, Validation Loss: 0.9110
Epoch 44/1000, Train Loss: 0.9050, Validation Loss: 2.2010
Epoch 45/1000, Train Loss: 0.9014, Validation Loss: 1.0085
Epoch 46/1000, Train Loss: 0.8847, Validation Loss: 2.2723
Epoch 47/1000, Train Loss: 0.9006, Validation Loss: 1.6003
Epoch 48/1000, Train Loss: 0.8556, Validation Loss: 2.2497
Epoch 49/1000, Train Loss: 0.8951, Validation Loss: 3.5865
Epoch 50/1000, Train Loss: 0.8242, Validation Loss: 0.9931
Epoch 51/1000, Train Loss: 0.8887, Validation Loss: 0.8175
Epoch 52/1000, Train Loss: 0.8251, Validation Loss: 3.5656
Epoch 53/1000, Train Loss: 0.9662, Validation Loss: 1.1733
Epoch 54/1000, Train Loss: 0.8554, Validation Loss: 0.9575
Epoch 55/1000, Train Loss: 0.8448, Validation Loss: 0.7100
Epoch 56/1000, Train Loss: 0.8418, Validation Loss: 9.3524
Epoch 57/1000, Train Loss: 0.8328, Validation Loss: 1.5287
Epoch 58/1000, Train Loss: 1.0580, Validation Loss: 2.3376
