Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-9wwkkwco
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.2616, Validation Loss: 1.8373
Epoch 2/1000, Train Loss: 1.3853, Validation Loss: 1.0395
Epoch 3/1000, Train Loss: 1.2726, Validation Loss: 3.1712
Epoch 4/1000, Train Loss: 1.1797, Validation Loss: 1.2330
Epoch 5/1000, Train Loss: 1.2114, Validation Loss: 3.3885
Epoch 6/1000, Train Loss: 1.1204, Validation Loss: 9.1584
Epoch 7/1000, Train Loss: 11.2827, Validation Loss: 12.4572
Epoch 8/1000, Train Loss: 1.0931, Validation Loss: 2.4073
Epoch 9/1000, Train Loss: 2.1700, Validation Loss: 3.1316
Epoch 10/1000, Train Loss: 2.3384, Validation Loss: 163.9556
Epoch 11/1000, Train Loss: 1.1072, Validation Loss: 4.0580
Epoch 12/1000, Train Loss: 1.0267, Validation Loss: 1.2300
Epoch 13/1000, Train Loss: 1.6888, Validation Loss: 1.8443
Epoch 14/1000, Train Loss: 0.9965, Validation Loss: 2.2392
Epoch 15/1000, Train Loss: 1.1250, Validation Loss: 1.9865
Epoch 16/1000, Train Loss: 1.0182, Validation Loss: 1.6513
Epoch 17/1000, Train Loss: 1.5130, Validation Loss: 0.8676
Epoch 18/1000, Train Loss: 0.9425, Validation Loss: 2.2521
Epoch 19/1000, Train Loss: 2.7055, Validation Loss: 3.5984
Epoch 20/1000, Train Loss: 1.2549, Validation Loss: 5.7156
Epoch 21/1000, Train Loss: 0.9442, Validation Loss: 3.3608
Epoch 22/1000, Train Loss: 0.9431, Validation Loss: 2.3893
Epoch 23/1000, Train Loss: 1.0434, Validation Loss: 1.2705
Epoch 24/1000, Train Loss: 0.9409, Validation Loss: 1.1786
Epoch 25/1000, Train Loss: 0.9705, Validation Loss: 0.8709
Epoch 26/1000, Train Loss: 1.4430, Validation Loss: 1.8969
Epoch 27/1000, Train Loss: 0.9310, Validation Loss: 2.8890
Epoch 28/1000, Train Loss: 0.9180, Validation Loss: 4.6740
Epoch 29/1000, Train Loss: 0.9099, Validation Loss: 3.4250
Epoch 30/1000, Train Loss: 11.4853, Validation Loss: 2.7200
Epoch 31/1000, Train Loss: 0.9021, Validation Loss: 0.9784
Epoch 32/1000, Train Loss: 1.0952, Validation Loss: 4.1905
Epoch 33/1000, Train Loss: 0.9321, Validation Loss: 2.3862
Epoch 34/1000, Train Loss: 0.9263, Validation Loss: 1.3140
Epoch 35/1000, Train Loss: 0.9783, Validation Loss: 1.1018
Epoch 36/1000, Train Loss: 0.8983, Validation Loss: 1.4150
Epoch 37/1000, Train Loss: 0.8875, Validation Loss: 3.1047
Epoch 38/1000, Train Loss: 6.5952, Validation Loss: 1.6033
Epoch 39/1000, Train Loss: 1.1874, Validation Loss: 1.2109
Epoch 40/1000, Train Loss: 0.8812, Validation Loss: 1.5712
Epoch 41/1000, Train Loss: 0.8891, Validation Loss: 0.9118
Epoch 42/1000, Train Loss: 0.8945, Validation Loss: 1.8860
Epoch 43/1000, Train Loss: 0.9319, Validation Loss: 3.8453
Epoch 44/1000, Train Loss: 0.9092, Validation Loss: 3.3380
Epoch 45/1000, Train Loss: 1.2041, Validation Loss: 2.2128
Epoch 46/1000, Train Loss: 0.8927, Validation Loss: 2.2152
Epoch 47/1000, Train Loss: 0.9229, Validation Loss: 3.4685
Epoch 48/1000, Train Loss: 0.8877, Validation Loss: 1.2305
Epoch 49/1000, Train Loss: 0.9160, Validation Loss: 2.3717
Epoch 50/1000, Train Loss: 0.8627, Validation Loss: 3.0299
Epoch 51/1000, Train Loss: 1414.7465, Validation Loss: 4.9162
Epoch 52/1000, Train Loss: 0.8885, Validation Loss: 0.9598
Epoch 53/1000, Train Loss: 0.8584, Validation Loss: 1.7914
Epoch 54/1000, Train Loss: 1.7062, Validation Loss: 1.2367
Epoch 55/1000, Train Loss: 0.8873, Validation Loss: 0.7969
Epoch 56/1000, Train Loss: 0.8858, Validation Loss: 1.3102
Epoch 57/1000, Train Loss: 0.8859, Validation Loss: 1.2934
Epoch 58/1000, Train Loss: 0.8521, Validation Loss: 0.8851
Epoch 59/1000, Train Loss: 1.2768, Validation Loss: 2.4534
Epoch 60/1000, Train Loss: 0.8678, Validation Loss: 1.4794
Epoch 61/1000, Train Loss: 1.1488, Validation Loss: 4.3601
Epoch 62/1000, Train Loss: 1.2496, Validation Loss: 2.9002
Epoch 63/1000, Train Loss: 0.8545, Validation Loss: 2.2160
Epoch 64/1000, Train Loss: 0.8497, Validation Loss: 0.7483
Epoch 65/1000, Train Loss: 0.8551, Validation Loss: 1.2450
Epoch 66/1000, Train Loss: 0.8334, Validation Loss: 2.2903
Epoch 67/1000, Train Loss: 1.6327, Validation Loss: 1.8847
Epoch 68/1000, Train Loss: 0.8463, Validation Loss: 4.7627
Epoch 69/1000, Train Loss: 0.8530, Validation Loss: 1.1881
Epoch 70/1000, Train Loss: 0.8590, Validation Loss: 2.0718
Epoch 71/1000, Train Loss: 2.4453, Validation Loss: 4.1671
Epoch 72/1000, Train Loss: 0.8395, Validation Loss: 2.2324
Epoch 73/1000, Train Loss: 1.9778, Validation Loss: 3.4014
Epoch 74/1000, Train Loss: 0.8615, Validation Loss: 2.6801
Epoch 75/1000, Train Loss: 0.8545, Validation Loss: 4.3322
Epoch 76/1000, Train Loss: 1.0199, Validation Loss: 2.5438
Epoch 77/1000, Train Loss: 0.8676, Validation Loss: 2.8623
Epoch 78/1000, Train Loss: 0.8611, Validation Loss: 3.8555
Epoch 79/1000, Train Loss: 0.9302, Validation Loss: 3.5040
Epoch 80/1000, Train Loss: 0.8475, Validation Loss: 1.5528
Epoch 81/1000, Train Loss: 7.7289, Validation Loss: 1.5945
Epoch 82/1000, Train Loss: 0.9593, Validation Loss: 1.1400
Epoch 83/1000, Train Loss: 0.8369, Validation Loss: 0.9570
Epoch 84/1000, Train Loss: 0.8689, Validation Loss: 1.7405
Epoch 85/1000, Train Loss: 0.8450, Validation Loss: 1.9921
Epoch 86/1000, Train Loss: 0.8634, Validation Loss: 3.8010
Epoch 87/1000, Train Loss: 0.8617, Validation Loss: 2.1355
Epoch 88/1000, Train Loss: 0.8634, Validation Loss: 1.9384
Epoch 89/1000, Train Loss: 0.8643, Validation Loss: 1.0983
Epoch 90/1000, Train Loss: 0.9313, Validation Loss: 1.6637
Epoch 91/1000, Train Loss: 0.8953, Validation Loss: 2.5725
Epoch 92/1000, Train Loss: 2.5389, Validation Loss: 2.5409
Epoch 93/1000, Train Loss: 0.8675, Validation Loss: 4.2919
Epoch 94/1000, Train Loss: 0.8495, Validation Loss: 0.7727
Epoch 95/1000, Train Loss: 0.8755, Validation Loss: 2.2753
Epoch 96/1000, Train Loss: 0.8431, Validation Loss: 1.5355
Epoch 97/1000, Train Loss: 0.8267, Validation Loss: 1.7077
Epoch 98/1000, Train Loss: 1.3247, Validation Loss: 0.9001
Epoch 99/1000, Train Loss: 0.8499, Validation Loss: 14.6206
Epoch 100/1000, Train Loss: 0.8544, Validation Loss: 1.7242
Epoch 101/1000, Train Loss: 1.2341, Validation Loss: 2.6644
Epoch 102/1000, Train Loss: 0.8603, Validation Loss: 1.1880
Epoch 103/1000, Train Loss: 0.8464, Validation Loss: 1.3141
Epoch 104/1000, Train Loss: 1.3910, Validation Loss: 1.1648
Epoch 105/1000, Train Loss: 0.8606, Validation Loss: 0.8755
Epoch 106/1000, Train Loss: 4.1496, Validation Loss: 1.0656
Epoch 107/1000, Train Loss: 0.8364, Validation Loss: 2.6102
Epoch 108/1000, Train Loss: 0.8492, Validation Loss: 1.0983
Epoch 109/1000, Train Loss: 0.8336, Validation Loss: 1.5730
Epoch 110/1000, Train Loss: 0.8368, Validation Loss: 2.2912
Epoch 111/1000, Train Loss: 0.8786, Validation Loss: 0.8733
Epoch 112/1000, Train Loss: 0.8476, Validation Loss: 4.8617
Epoch 113/1000, Train Loss: 8.0568, Validation Loss: 3.0456
Epoch 114/1000, Train Loss: 1.8595, Validation Loss: 2.2269
Epoch 115/1000, Train Loss: 0.8776, Validation Loss: 0.9385
Epoch 116/1000, Train Loss: 0.8148, Validation Loss: 2.8440
Epoch 117/1000, Train Loss: 0.8402, Validation Loss: 1.4412
Epoch 118/1000, Train Loss: 0.8126, Validation Loss: 3.5621
Epoch 119/1000, Train Loss: 0.8700, Validation Loss: 1.7631
Epoch 120/1000, Train Loss: 0.9634, Validation Loss: 1.3574
Epoch 121/1000, Train Loss: 0.8168, Validation Loss: 1.8237
Epoch 122/1000, Train Loss: 0.8815, Validation Loss: 1.4281
Epoch 123/1000, Train Loss: 0.8269, Validation Loss: 3.4929
Epoch 124/1000, Train Loss: 0.8227, Validation Loss: 3.4791
Epoch 125/1000, Train Loss: 6.1371, Validation Loss: 4.8048
Epoch 126/1000, Train Loss: 0.8394, Validation Loss: 8.1372
Epoch 127/1000, Train Loss: 0.8396, Validation Loss: 8.3650
Epoch 128/1000, Train Loss: 0.8330, Validation Loss: 2.6763
Epoch 129/1000, Train Loss: 5.2676, Validation Loss: 4.2065
Epoch 130/1000, Train Loss: 0.8159, Validation Loss: 2.4521
Epoch 131/1000, Train Loss: 0.8382, Validation Loss: 2.9722
Epoch 132/1000, Train Loss: 0.8368, Validation Loss: 6.1297
Epoch 133/1000, Train Loss: 0.8598, Validation Loss: 0.9296
Epoch 134/1000, Train Loss: 0.8010, Validation Loss: 0.8385
Epoch 135/1000, Train Loss: 3.0079, Validation Loss: 2.0836
Epoch 136/1000, Train Loss: 0.8312, Validation Loss: 1.5325
Epoch 137/1000, Train Loss: 0.8259, Validation Loss: 2.4875
Epoch 138/1000, Train Loss: 0.9262, Validation Loss: 1.0744
Epoch 139/1000, Train Loss: 0.8232, Validation Loss: 2.0193
Epoch 140/1000, Train Loss: 0.8309, Validation Loss: 2.0357
Epoch 141/1000, Train Loss: 0.9050, Validation Loss: 0.7151
Epoch 142/1000, Train Loss: 0.8256, Validation Loss: 1.8863
Epoch 143/1000, Train Loss: 1.3075, Validation Loss: 1.5093
Epoch 144/1000, Train Loss: 0.8060, Validation Loss: 1.2354
Epoch 145/1000, Train Loss: 0.8179, Validation Loss: 2.2344
Epoch 146/1000, Train Loss: 0.8024, Validation Loss: 4.3952
Epoch 147/1000, Train Loss: 0.8295, Validation Loss: 1.4154
Epoch 148/1000, Train Loss: 52.1011, Validation Loss: 6.1383
Epoch 149/1000, Train Loss: 1.0857, Validation Loss: 1.0673
Epoch 150/1000, Train Loss: 0.8222, Validation Loss: 0.9602
Epoch 151/1000, Train Loss: 0.8311, Validation Loss: 1.9049
Epoch 152/1000, Train Loss: 0.8185, Validation Loss: 3.8146
Epoch 153/1000, Train Loss: 23.9574, Validation Loss: 0.7226
Epoch 154/1000, Train Loss: 0.8145, Validation Loss: 1.7770
Epoch 155/1000, Train Loss: 0.8263, Validation Loss: 4.1783
Epoch 156/1000, Train Loss: 0.8564, Validation Loss: 2.4747
Epoch 157/1000, Train Loss: 0.8161, Validation Loss: 4.0459
Epoch 158/1000, Train Loss: 0.8187, Validation Loss: 3.0465
Epoch 159/1000, Train Loss: 0.8190, Validation Loss: 1.3746
Epoch 160/1000, Train Loss: 0.8488, Validation Loss: 1.1157
Epoch 161/1000, Train Loss: 0.8939, Validation Loss: 1.9051
Epoch 162/1000, Train Loss: 0.8077, Validation Loss: 0.8286
Epoch 163/1000, Train Loss: 0.8817, Validation Loss: 4.7503
Epoch 164/1000, Train Loss: 0.8099, Validation Loss: 7.9165
Epoch 165/1000, Train Loss: 0.8232, Validation Loss: 2.1219
Epoch 166/1000, Train Loss: 0.8636, Validation Loss: 5.5384
Epoch 167/1000, Train Loss: 0.7889, Validation Loss: 2.6279
Epoch 168/1000, Train Loss: 0.8382, Validation Loss: 1.6008
Epoch 169/1000, Train Loss: 0.8232, Validation Loss: 1.7289
Epoch 170/1000, Train Loss: 0.9252, Validation Loss: 1.8422
Epoch 171/1000, Train Loss: 0.8147, Validation Loss: 1.1524
Epoch 172/1000, Train Loss: 0.8152, Validation Loss: 3.8609
Epoch 173/1000, Train Loss: 0.8328, Validation Loss: 1.5862
Epoch 174/1000, Train Loss: 0.8712, Validation Loss: 1.0630
Epoch 175/1000, Train Loss: 0.8032, Validation Loss: 0.9513
Epoch 176/1000, Train Loss: 0.9610, Validation Loss: 1.6027
Epoch 177/1000, Train Loss: 0.7915, Validation Loss: 2.0081
Epoch 178/1000, Train Loss: 0.8045, Validation Loss: 1.5875
Epoch 179/1000, Train Loss: 0.8026, Validation Loss: 5.3095
Epoch 180/1000, Train Loss: 0.8481, Validation Loss: 2.2597
Epoch 181/1000, Train Loss: 0.8297, Validation Loss: 1.3711
Epoch 182/1000, Train Loss: 1.3796, Validation Loss: 1.5832
Epoch 183/1000, Train Loss: 0.8233, Validation Loss: 1.7254
Epoch 184/1000, Train Loss: 0.8060, Validation Loss: 2.2924
Epoch 185/1000, Train Loss: 0.8783, Validation Loss: 4.2364
Epoch 186/1000, Train Loss: 0.8327, Validation Loss: 1.0050
Epoch 187/1000, Train Loss: 2.5165, Validation Loss: 2.0968
Epoch 188/1000, Train Loss: 0.8050, Validation Loss: 2.2224
Epoch 189/1000, Train Loss: 2.2658, Validation Loss: 1.4355
Epoch 190/1000, Train Loss: 0.8228, Validation Loss: 1.5503
