Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-8idq20mx
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 21.3292, Validation Loss: 2.6978
Epoch 2/1000, Train Loss: 2.4378, Validation Loss: 2.3489
Epoch 3/1000, Train Loss: 1.8055, Validation Loss: 1.4979
Epoch 4/1000, Train Loss: 2493.6743, Validation Loss: 3.7878
Epoch 5/1000, Train Loss: 1.7491, Validation Loss: 2.9762
Epoch 6/1000, Train Loss: 3.3992, Validation Loss: 1.3778
Epoch 7/1000, Train Loss: 432.0575, Validation Loss: 2.7898
Epoch 8/1000, Train Loss: 1.6283, Validation Loss: 1.1176
Epoch 9/1000, Train Loss: 51.8628, Validation Loss: 6.2948
Epoch 10/1000, Train Loss: 6.4123, Validation Loss: 6.2948
Epoch 11/1000, Train Loss: 7.5008, Validation Loss: 6.0737
Epoch 12/1000, Train Loss: 35.5327, Validation Loss: 6.0924
Epoch 13/1000, Train Loss: 10.5779, Validation Loss: 6.4319
Epoch 14/1000, Train Loss: 35.1203, Validation Loss: 6.5962
Epoch 15/1000, Train Loss: 267.4645, Validation Loss: 6.1321
Epoch 16/1000, Train Loss: 9.1215, Validation Loss: 6.2259
Epoch 17/1000, Train Loss: 7131.8780, Validation Loss: 6.4447
Epoch 18/1000, Train Loss: 6.5613, Validation Loss: 6.1010
Epoch 19/1000, Train Loss: 6.2952, Validation Loss: 6.7072
Epoch 20/1000, Train Loss: 120.7380, Validation Loss: 6.0732
Epoch 21/1000, Train Loss: 200.1608, Validation Loss: 6.0698
Epoch 22/1000, Train Loss: 17.0727, Validation Loss: 6.4880
Epoch 23/1000, Train Loss: 6.4563, Validation Loss: 6.0781
Epoch 24/1000, Train Loss: 275.7668, Validation Loss: 6.1386
Epoch 25/1000, Train Loss: 23.0433, Validation Loss: 6.1166
Epoch 26/1000, Train Loss: 66.6486, Validation Loss: 7.0081
Epoch 27/1000, Train Loss: 6.4821, Validation Loss: 6.2317
Epoch 28/1000, Train Loss: 11848.2168, Validation Loss: 6.1472
Epoch 29/1000, Train Loss: 9.9602, Validation Loss: 6.2263
Epoch 30/1000, Train Loss: 8.3642, Validation Loss: 6.0842
Epoch 31/1000, Train Loss: 6.4638, Validation Loss: 6.2644
Epoch 32/1000, Train Loss: 227.1234, Validation Loss: 6.2736
Epoch 33/1000, Train Loss: 20.0340, Validation Loss: 7.2157
Epoch 34/1000, Train Loss: 6.3542, Validation Loss: 6.1277
Epoch 35/1000, Train Loss: 8.3991, Validation Loss: 6.0712
Epoch 36/1000, Train Loss: 6.3975, Validation Loss: 6.3097
Epoch 37/1000, Train Loss: 64.6006, Validation Loss: 6.3787
Epoch 38/1000, Train Loss: 1222.9115, Validation Loss: 6.0928
Epoch 39/1000, Train Loss: 6.4002, Validation Loss: 6.4221
Epoch 40/1000, Train Loss: 6.8472, Validation Loss: 6.0697
Epoch 41/1000, Train Loss: 199.1315, Validation Loss: 6.9050
Epoch 42/1000, Train Loss: 6.5698, Validation Loss: 6.0886
Epoch 43/1000, Train Loss: 39.5865, Validation Loss: 6.2018
Epoch 44/1000, Train Loss: 6.7479, Validation Loss: 7.3729
Epoch 45/1000, Train Loss: 175.8673, Validation Loss: 6.0697
Epoch 46/1000, Train Loss: 7.1262, Validation Loss: 6.2001
Epoch 47/1000, Train Loss: 25938.3286, Validation Loss: 6.0708
Epoch 48/1000, Train Loss: 6.4428, Validation Loss: 6.1097
Epoch 49/1000, Train Loss: 18.0144, Validation Loss: 6.0698
Epoch 50/1000, Train Loss: 450.5674, Validation Loss: 6.6902
Epoch 51/1000, Train Loss: 8.0894, Validation Loss: 7.0842
Epoch 52/1000, Train Loss: 43.8200, Validation Loss: 6.0705
Epoch 53/1000, Train Loss: 1442.4191, Validation Loss: 6.1766
Epoch 54/1000, Train Loss: 48.1508, Validation Loss: 6.0707
Epoch 55/1000, Train Loss: 266.1116, Validation Loss: 6.0690
Epoch 56/1000, Train Loss: 175.1894, Validation Loss: 6.2123
Epoch 57/1000, Train Loss: 115.4196, Validation Loss: 7.3570
Epoch 58/1000, Train Loss: 2279.3263, Validation Loss: 6.5598
Epoch 59/1000, Train Loss: 27.3824, Validation Loss: 6.3137
Epoch 60/1000, Train Loss: 6.4308, Validation Loss: 6.1063
Epoch 61/1000, Train Loss: 65.2692, Validation Loss: 6.1325
Epoch 62/1000, Train Loss: 262.6676, Validation Loss: 6.2167
Epoch 63/1000, Train Loss: 16548.3012, Validation Loss: 6.2061
Epoch 64/1000, Train Loss: 26.3787, Validation Loss: 6.0762
Epoch 65/1000, Train Loss: 6.5918, Validation Loss: 6.1627
Epoch 66/1000, Train Loss: 8.0798, Validation Loss: 6.1496
Epoch 67/1000, Train Loss: 6.4535, Validation Loss: 6.1592
Epoch 68/1000, Train Loss: 6.3933, Validation Loss: 7.0053
Epoch 69/1000, Train Loss: 33.3945, Validation Loss: 6.0712
Epoch 70/1000, Train Loss: 5246.4999, Validation Loss: 6.0689
