Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-6rzlob8x
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.8734, Validation Loss: 1.4995
Epoch 2/1000, Train Loss: 1.3014, Validation Loss: 2.7871
Epoch 3/1000, Train Loss: 1.1666, Validation Loss: 2.0720
Epoch 4/1000, Train Loss: 1.1037, Validation Loss: 2.2459
Epoch 5/1000, Train Loss: 1.0595, Validation Loss: 0.9495
Epoch 6/1000, Train Loss: 0.9973, Validation Loss: 2.4970
Epoch 7/1000, Train Loss: 1.0234, Validation Loss: 1.8419
Epoch 8/1000, Train Loss: 1.0103, Validation Loss: 1.2399
Epoch 9/1000, Train Loss: 1.0016, Validation Loss: 8.9397
Epoch 10/1000, Train Loss: 0.9987, Validation Loss: 1.0221
Epoch 11/1000, Train Loss: 0.9738, Validation Loss: 4.0285
Epoch 12/1000, Train Loss: 0.9490, Validation Loss: 1.0163
Epoch 13/1000, Train Loss: 0.9524, Validation Loss: 31.2508
Epoch 14/1000, Train Loss: 0.9813, Validation Loss: 4.5437
Epoch 15/1000, Train Loss: 0.9727, Validation Loss: 1.4863
Epoch 16/1000, Train Loss: 0.9361, Validation Loss: 1.6530
Epoch 17/1000, Train Loss: 0.9155, Validation Loss: 1.4825
Epoch 18/1000, Train Loss: 0.8937, Validation Loss: 1.1276
Epoch 19/1000, Train Loss: 0.8704, Validation Loss: 1.0604
Epoch 20/1000, Train Loss: 0.9302, Validation Loss: 7.4969
Epoch 21/1000, Train Loss: 0.8766, Validation Loss: 1.9301
Epoch 22/1000, Train Loss: 0.9199, Validation Loss: 1.6157
Epoch 23/1000, Train Loss: 0.8822, Validation Loss: 2.4350
Epoch 24/1000, Train Loss: 0.8656, Validation Loss: 1.4326
Epoch 25/1000, Train Loss: 0.8661, Validation Loss: 21.6796
Epoch 26/1000, Train Loss: 0.8272, Validation Loss: 1.6782
Epoch 27/1000, Train Loss: 0.8352, Validation Loss: 0.8618
Epoch 28/1000, Train Loss: 0.8612, Validation Loss: 2.0558
Epoch 29/1000, Train Loss: 0.8241, Validation Loss: 1.8915
Epoch 30/1000, Train Loss: 0.8117, Validation Loss: 1.1897
Epoch 31/1000, Train Loss: 0.7990, Validation Loss: 1.2687
Epoch 32/1000, Train Loss: 0.8301, Validation Loss: 1.1016
Epoch 33/1000, Train Loss: 0.8216, Validation Loss: 2.8133
Epoch 34/1000, Train Loss: 0.8196, Validation Loss: 2.5840
Epoch 35/1000, Train Loss: 0.8092, Validation Loss: 1.0062
Epoch 36/1000, Train Loss: 0.8067, Validation Loss: 0.8257
Epoch 37/1000, Train Loss: 0.8242, Validation Loss: 1.5365
Epoch 38/1000, Train Loss: 0.7773, Validation Loss: 1.0795
Epoch 39/1000, Train Loss: 0.8224, Validation Loss: 1.3504
Epoch 40/1000, Train Loss: 0.8003, Validation Loss: 0.8026
Epoch 41/1000, Train Loss: 0.7977, Validation Loss: 2.7737
Epoch 42/1000, Train Loss: 0.8033, Validation Loss: 131.6307
Epoch 43/1000, Train Loss: 0.7758, Validation Loss: 1.5990
Epoch 44/1000, Train Loss: 0.7816, Validation Loss: 3.9610
Epoch 45/1000, Train Loss: 0.7981, Validation Loss: 4.1802
Epoch 46/1000, Train Loss: 0.7551, Validation Loss: 2.4290
Epoch 47/1000, Train Loss: 0.8021, Validation Loss: 2.3403
Epoch 48/1000, Train Loss: 0.7855, Validation Loss: 1.1449
Epoch 49/1000, Train Loss: 0.7726, Validation Loss: 1.2996
Epoch 50/1000, Train Loss: 0.7777, Validation Loss: 100.8379
Epoch 51/1000, Train Loss: 0.7743, Validation Loss: 1.8607
Epoch 52/1000, Train Loss: 0.7803, Validation Loss: 26.0286
Epoch 53/1000, Train Loss: 0.7435, Validation Loss: 1.5042
Epoch 54/1000, Train Loss: 0.7687, Validation Loss: 0.8060
Epoch 55/1000, Train Loss: 0.7680, Validation Loss: 0.7059
Epoch 56/1000, Train Loss: 0.7814, Validation Loss: 1.0232
Epoch 57/1000, Train Loss: 0.7487, Validation Loss: 1.2033
Epoch 58/1000, Train Loss: 0.7438, Validation Loss: 11.4935
Epoch 59/1000, Train Loss: 0.7523, Validation Loss: 15.6463
Epoch 60/1000, Train Loss: 0.7449, Validation Loss: 2.4524
Epoch 61/1000, Train Loss: 0.7558, Validation Loss: 1.5470
Epoch 62/1000, Train Loss: 0.7443, Validation Loss: 2.0672
Epoch 63/1000, Train Loss: 0.7492, Validation Loss: 0.7161
Epoch 64/1000, Train Loss: 0.7550, Validation Loss: 0.7364
Epoch 65/1000, Train Loss: 0.7434, Validation Loss: 0.7524
Epoch 66/1000, Train Loss: 0.7345, Validation Loss: 1.4870
Epoch 67/1000, Train Loss: 0.7237, Validation Loss: 1.0034
Epoch 68/1000, Train Loss: 0.7784, Validation Loss: 3.7661
Epoch 69/1000, Train Loss: 0.7203, Validation Loss: 2.2136
Epoch 70/1000, Train Loss: 0.7442, Validation Loss: 1.3204
Epoch 71/1000, Train Loss: 0.7276, Validation Loss: 2.3005
Epoch 72/1000, Train Loss: 0.6994, Validation Loss: 3.2941
Epoch 73/1000, Train Loss: 0.7605, Validation Loss: 1.5607
Epoch 74/1000, Train Loss: 0.7407, Validation Loss: 1.1223
Epoch 75/1000, Train Loss: 0.7307, Validation Loss: 1.9308
Epoch 76/1000, Train Loss: 0.7141, Validation Loss: 0.9780
Epoch 77/1000, Train Loss: 0.7141, Validation Loss: 0.6869
Epoch 78/1000, Train Loss: 0.7173, Validation Loss: 1.1453
Epoch 79/1000, Train Loss: 0.8633, Validation Loss: 1.5780
Epoch 80/1000, Train Loss: 0.7255, Validation Loss: 3.3325
Epoch 81/1000, Train Loss: 0.7051, Validation Loss: 0.8729
Epoch 82/1000, Train Loss: 0.7172, Validation Loss: 1.1504
Epoch 83/1000, Train Loss: 0.7159, Validation Loss: 1.6643
Epoch 84/1000, Train Loss: 0.7481, Validation Loss: 2.8266
Epoch 85/1000, Train Loss: 0.7337, Validation Loss: 1.1237
Epoch 86/1000, Train Loss: 0.7044, Validation Loss: 2.6083
Epoch 87/1000, Train Loss: 0.7392, Validation Loss: 0.6164
Epoch 88/1000, Train Loss: 0.7144, Validation Loss: 0.9708
Epoch 89/1000, Train Loss: 0.7134, Validation Loss: 1.6505
Epoch 90/1000, Train Loss: 0.7366, Validation Loss: 1.2706
Epoch 91/1000, Train Loss: 0.8985, Validation Loss: 2.8271
Epoch 92/1000, Train Loss: 0.7161, Validation Loss: 1.1508
Epoch 93/1000, Train Loss: 0.6960, Validation Loss: 1.3775
Epoch 94/1000, Train Loss: 0.7225, Validation Loss: 2.8486
Epoch 95/1000, Train Loss: 0.7056, Validation Loss: 1.7681
Epoch 96/1000, Train Loss: 0.6778, Validation Loss: 1.6982
Epoch 97/1000, Train Loss: 0.7235, Validation Loss: 0.9359
Epoch 98/1000, Train Loss: 0.7140, Validation Loss: 1.3115
Epoch 99/1000, Train Loss: 0.7223, Validation Loss: 2.3240
Epoch 100/1000, Train Loss: 0.7325, Validation Loss: 2.0396
Epoch 101/1000, Train Loss: 0.7138, Validation Loss: 6.6466
Epoch 102/1000, Train Loss: 0.6799, Validation Loss: 2.4244
Epoch 103/1000, Train Loss: 0.7143, Validation Loss: 1.3778
