Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-bzdhkk32
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 13.2871, Validation Loss: 1.6412
Epoch 2/1000, Train Loss: 1.7279, Validation Loss: 2.7119
Epoch 3/1000, Train Loss: 19.5511, Validation Loss: 2.5859
Epoch 4/1000, Train Loss: 1.5822, Validation Loss: 1.5024
Epoch 5/1000, Train Loss: 3.0826, Validation Loss: 1.4550
Epoch 6/1000, Train Loss: 4.2591, Validation Loss: 4.7201
Epoch 7/1000, Train Loss: 3.4255, Validation Loss: 1.3586
Epoch 8/1000, Train Loss: 1.5727, Validation Loss: 5.3332
Epoch 9/1000, Train Loss: 1.3346, Validation Loss: 3.4980
Epoch 10/1000, Train Loss: 26.1617, Validation Loss: 2.1782
Epoch 11/1000, Train Loss: 18.1210, Validation Loss: 1.6671
Epoch 12/1000, Train Loss: 256.7917, Validation Loss: 6.6961
Epoch 13/1000, Train Loss: 1.8847, Validation Loss: 2.8463
Epoch 14/1000, Train Loss: 1.2022, Validation Loss: 4.8859
Epoch 15/1000, Train Loss: 587.6466, Validation Loss: 1.4360
Epoch 16/1000, Train Loss: 50.3158, Validation Loss: 1.9260
Epoch 17/1000, Train Loss: 1.1477, Validation Loss: 2.3609
Epoch 18/1000, Train Loss: 3.7183, Validation Loss: 1.4929
Epoch 19/1000, Train Loss: 1.1403, Validation Loss: 4.0696
Epoch 20/1000, Train Loss: 4.1935, Validation Loss: 1.4915
Epoch 21/1000, Train Loss: 1.4851, Validation Loss: 1.3965
Epoch 22/1000, Train Loss: 4.1917, Validation Loss: 1.0755
Epoch 23/1000, Train Loss: 4.9319, Validation Loss: 1.8297
Epoch 24/1000, Train Loss: 1.1209, Validation Loss: 6.6707
Epoch 25/1000, Train Loss: 9.0727, Validation Loss: 3.9960
Epoch 26/1000, Train Loss: 21.3546, Validation Loss: 1.5934
Epoch 27/1000, Train Loss: 1.4595, Validation Loss: 11.9104
Epoch 28/1000, Train Loss: 1.0863, Validation Loss: 2.2276
Epoch 29/1000, Train Loss: 1.0899, Validation Loss: 3.1569
Epoch 30/1000, Train Loss: 1.1152, Validation Loss: 4.9823
Epoch 31/1000, Train Loss: 248.7577, Validation Loss: 12.3543
Epoch 32/1000, Train Loss: 1.0739, Validation Loss: 1.1215
Epoch 33/1000, Train Loss: 46.2084, Validation Loss: 4.0751
Epoch 34/1000, Train Loss: 2.5373, Validation Loss: 1.1137
Epoch 35/1000, Train Loss: 1.1868, Validation Loss: 2.2342
Epoch 36/1000, Train Loss: 1.6626, Validation Loss: 2.8754
Epoch 37/1000, Train Loss: 1.1316, Validation Loss: 1.7891
Epoch 38/1000, Train Loss: 4.3881, Validation Loss: 6.3629
Epoch 39/1000, Train Loss: 6.6175, Validation Loss: 17.9370
Epoch 40/1000, Train Loss: 8.8000, Validation Loss: 6.0738
Epoch 41/1000, Train Loss: 13.5038, Validation Loss: 2.6461
Epoch 42/1000, Train Loss: 1.7470, Validation Loss: 5.0568
Epoch 43/1000, Train Loss: 1.2110, Validation Loss: 7.9420
Epoch 44/1000, Train Loss: 411.9533, Validation Loss: 4.6286
Epoch 45/1000, Train Loss: 1.2319, Validation Loss: 2.5758
Epoch 46/1000, Train Loss: 1.0457, Validation Loss: 1.7040
Epoch 47/1000, Train Loss: 851.6154, Validation Loss: 279.1191
Epoch 48/1000, Train Loss: 4.4904, Validation Loss: 2.3647
Epoch 49/1000, Train Loss: 6.4025, Validation Loss: 4.6558
Epoch 50/1000, Train Loss: 1.1556, Validation Loss: 1.5549
Epoch 51/1000, Train Loss: 54.5778, Validation Loss: 2.7182
Epoch 52/1000, Train Loss: 1.0437, Validation Loss: 0.8963
Epoch 53/1000, Train Loss: 42.5482, Validation Loss: 1.4425
Epoch 54/1000, Train Loss: 1.0738, Validation Loss: 1.1357
Epoch 55/1000, Train Loss: 1642.7589, Validation Loss: 1.9403
Epoch 56/1000, Train Loss: 2.4048, Validation Loss: 0.8087
Epoch 57/1000, Train Loss: 1.0531, Validation Loss: 53.8904
Epoch 58/1000, Train Loss: 1.0526, Validation Loss: 2.3458
Epoch 59/1000, Train Loss: 2.2829, Validation Loss: 3.9076
Epoch 60/1000, Train Loss: 1.0330, Validation Loss: 1.3759
Epoch 61/1000, Train Loss: 13.8573, Validation Loss: 5.7705
Epoch 62/1000, Train Loss: 21.4161, Validation Loss: 3.9295
Epoch 63/1000, Train Loss: 1.0681, Validation Loss: 2.9234
Epoch 64/1000, Train Loss: 0.9958, Validation Loss: 1.8691
Epoch 65/1000, Train Loss: 2.2604, Validation Loss: 4.8085
Epoch 66/1000, Train Loss: 1.0301, Validation Loss: 2.8746
Epoch 67/1000, Train Loss: 21.5014, Validation Loss: 1.8414
Epoch 68/1000, Train Loss: 1.1151, Validation Loss: 7.5898
Epoch 69/1000, Train Loss: 8.1481, Validation Loss: 2.2998
Epoch 70/1000, Train Loss: 610.0307, Validation Loss: 1.3365
Epoch 71/1000, Train Loss: 1.1275, Validation Loss: 1.0577
Epoch 72/1000, Train Loss: 9123.2823, Validation Loss: 38.7023
Epoch 73/1000, Train Loss: 1137.5518, Validation Loss: 2.6101
Epoch 74/1000, Train Loss: 1.2644, Validation Loss: 5.4168
Epoch 75/1000, Train Loss: 1.0894, Validation Loss: 3.5164
Epoch 76/1000, Train Loss: 167.3903, Validation Loss: 0.9532
Epoch 77/1000, Train Loss: 7191.1048, Validation Loss: 1.3828
Epoch 78/1000, Train Loss: 5.6786, Validation Loss: 1.3079
Epoch 79/1000, Train Loss: 1.0852, Validation Loss: 1.5101
Epoch 80/1000, Train Loss: 450.5553, Validation Loss: 2.9199
Epoch 81/1000, Train Loss: 710.6591, Validation Loss: 5.5519
Epoch 82/1000, Train Loss: 23.9342, Validation Loss: 55.5745
Epoch 83/1000, Train Loss: 1.0249, Validation Loss: 4.0842
Epoch 84/1000, Train Loss: 101.3946, Validation Loss: 5.0584
Epoch 85/1000, Train Loss: 0.9574, Validation Loss: 3.4710
Epoch 86/1000, Train Loss: 14826.2523, Validation Loss: 2.8415
Epoch 87/1000, Train Loss: 1.0131, Validation Loss: 0.8635
Epoch 88/1000, Train Loss: 30.6920, Validation Loss: 3.9848
Epoch 89/1000, Train Loss: 229.6072, Validation Loss: 6.0757
Epoch 90/1000, Train Loss: 2.4867, Validation Loss: 1.9295
Epoch 91/1000, Train Loss: 0.9515, Validation Loss: 2.8122
Epoch 92/1000, Train Loss: 6.9303, Validation Loss: 1.8972
Epoch 93/1000, Train Loss: 1.1799, Validation Loss: 3.0011
Epoch 94/1000, Train Loss: 0.9972, Validation Loss: 387.4629
Epoch 95/1000, Train Loss: 1065.4477, Validation Loss: 3.9119
Epoch 96/1000, Train Loss: 2.0909, Validation Loss: 1.5811
Epoch 97/1000, Train Loss: 1.0067, Validation Loss: 1.5402
Epoch 98/1000, Train Loss: 0.9903, Validation Loss: 139.2049
Epoch 99/1000, Train Loss: 13.7810, Validation Loss: 6.9586
Epoch 100/1000, Train Loss: 2.6859, Validation Loss: 23.7573
Epoch 101/1000, Train Loss: 1.0225, Validation Loss: 3.0373
Epoch 102/1000, Train Loss: 1.3096, Validation Loss: 1.0106
Epoch 103/1000, Train Loss: 2.5705, Validation Loss: 4.5803
Epoch 104/1000, Train Loss: 0.9673, Validation Loss: 3.1436
Epoch 105/1000, Train Loss: 153.2743, Validation Loss: 6.8488
Epoch 106/1000, Train Loss: 6.8060, Validation Loss: 1.1953
Epoch 107/1000, Train Loss: 1.0386, Validation Loss: 4.4510
Epoch 108/1000, Train Loss: 4.1254, Validation Loss: 6.3036
Epoch 109/1000, Train Loss: 7.1409, Validation Loss: 6.0808
Epoch 110/1000, Train Loss: 94.2907, Validation Loss: 6.0687
Epoch 111/1000, Train Loss: 14.3423, Validation Loss: 6.0688
Epoch 112/1000, Train Loss: 137.7735, Validation Loss: 6.0932
Epoch 113/1000, Train Loss: 25.4830, Validation Loss: 6.0858
Epoch 114/1000, Train Loss: 30.3824, Validation Loss: 7.0923
Epoch 115/1000, Train Loss: 6.2591, Validation Loss: 6.3575
Epoch 116/1000, Train Loss: 1826.2615, Validation Loss: 6.4367
Epoch 117/1000, Train Loss: 36.8021, Validation Loss: 6.3475
Epoch 118/1000, Train Loss: 7.2499, Validation Loss: 6.1217
Epoch 119/1000, Train Loss: 19.7926, Validation Loss: 7.4712
Epoch 120/1000, Train Loss: 171.7687, Validation Loss: 6.1968
Epoch 121/1000, Train Loss: 35.5216, Validation Loss: 6.3689
Epoch 122/1000, Train Loss: 6.2386, Validation Loss: 6.1823
Epoch 123/1000, Train Loss: 56.2021, Validation Loss: 6.0708
Epoch 124/1000, Train Loss: 23.1940, Validation Loss: 6.1795
Epoch 125/1000, Train Loss: 6.2713, Validation Loss: 6.0733
Epoch 126/1000, Train Loss: 6.9009, Validation Loss: 6.0761
Epoch 127/1000, Train Loss: 29.9156, Validation Loss: 6.3336
Epoch 128/1000, Train Loss: 981.5492, Validation Loss: 6.1776
Epoch 129/1000, Train Loss: 29.6615, Validation Loss: 6.1297
Epoch 130/1000, Train Loss: 443.1171, Validation Loss: 6.0843
Epoch 131/1000, Train Loss: 27.3578, Validation Loss: 6.1921
Epoch 132/1000, Train Loss: 499.2440, Validation Loss: 6.0713
