Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-xbvf50er
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 11.8951, Validation Loss: 5.8689
Epoch 2/1000, Train Loss: 1.3925, Validation Loss: 1.4130
Epoch 3/1000, Train Loss: 1.3173, Validation Loss: 1.6333
Epoch 4/1000, Train Loss: 1.2346, Validation Loss: 2.0390
Epoch 5/1000, Train Loss: 1.2241, Validation Loss: 1.6952
Epoch 6/1000, Train Loss: 1.1719, Validation Loss: 1.1816
Epoch 7/1000, Train Loss: 1.1676, Validation Loss: 1.4051
Epoch 8/1000, Train Loss: 1.1129, Validation Loss: 2.0496
Epoch 9/1000, Train Loss: 1.0588, Validation Loss: 2.0637
Epoch 10/1000, Train Loss: 1.1081, Validation Loss: 1.0048
Epoch 11/1000, Train Loss: 1.0163, Validation Loss: 1.4386
Epoch 12/1000, Train Loss: 1.0230, Validation Loss: 1.2979
Epoch 13/1000, Train Loss: 0.9684, Validation Loss: 1.2716
Epoch 14/1000, Train Loss: 0.9563, Validation Loss: 1.3803
Epoch 15/1000, Train Loss: 0.9996, Validation Loss: 1.4385
Epoch 16/1000, Train Loss: 0.9491, Validation Loss: 0.8494
Epoch 17/1000, Train Loss: 0.9527, Validation Loss: 1.3419
Epoch 18/1000, Train Loss: 0.9270, Validation Loss: 1.3475
Epoch 19/1000, Train Loss: 0.9106, Validation Loss: 2.5612
Epoch 20/1000, Train Loss: 0.8725, Validation Loss: 0.7468
Epoch 21/1000, Train Loss: 0.9223, Validation Loss: 1.1757
Epoch 22/1000, Train Loss: 0.8887, Validation Loss: 0.9224
Epoch 23/1000, Train Loss: 0.8829, Validation Loss: 1.8489
Epoch 24/1000, Train Loss: 0.8946, Validation Loss: 2.9259
Epoch 25/1000, Train Loss: 0.8389, Validation Loss: 2.3878
Epoch 26/1000, Train Loss: 0.8221, Validation Loss: 2.0119
Epoch 27/1000, Train Loss: 0.8604, Validation Loss: 1.4615
Epoch 28/1000, Train Loss: 2.3978, Validation Loss: 8.5622
Epoch 29/1000, Train Loss: 1.1021, Validation Loss: 1.4052
Epoch 30/1000, Train Loss: 0.8278, Validation Loss: 1.8017
Epoch 31/1000, Train Loss: 0.8644, Validation Loss: 1.5896
Epoch 32/1000, Train Loss: 0.8349, Validation Loss: 1.1997
Epoch 33/1000, Train Loss: 1.0486, Validation Loss: 0.9397
Epoch 34/1000, Train Loss: 0.8331, Validation Loss: 4.2336
Epoch 35/1000, Train Loss: 0.7903, Validation Loss: 1.5261
Epoch 36/1000, Train Loss: 0.8517, Validation Loss: 2.9814
Epoch 37/1000, Train Loss: 0.8039, Validation Loss: 1.8469
Epoch 38/1000, Train Loss: 0.7936, Validation Loss: 2.6158
Epoch 39/1000, Train Loss: 0.9315, Validation Loss: 2.0740
Epoch 40/1000, Train Loss: 0.7890, Validation Loss: 3.5503
Epoch 41/1000, Train Loss: 0.8401, Validation Loss: 1.7159
Epoch 42/1000, Train Loss: 0.7688, Validation Loss: 2.0220
Epoch 43/1000, Train Loss: 0.7526, Validation Loss: 1.3614
Epoch 44/1000, Train Loss: 0.7671, Validation Loss: 2.4631
Epoch 45/1000, Train Loss: 0.7799, Validation Loss: 1.9951
Epoch 46/1000, Train Loss: 0.7761, Validation Loss: 1.5153
Epoch 47/1000, Train Loss: 0.7814, Validation Loss: 2.2200
Epoch 48/1000, Train Loss: 10.2547, Validation Loss: 1.6357
