Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-wrc302f6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3693, Validation Loss: 1.6930
Epoch 2/1000, Train Loss: 1.6872, Validation Loss: 1.9619
Epoch 3/1000, Train Loss: 1.4579, Validation Loss: 1.2339
Epoch 4/1000, Train Loss: 1.3397, Validation Loss: 1.8920
Epoch 5/1000, Train Loss: 1.3534, Validation Loss: 1.7033
Epoch 6/1000, Train Loss: 1.2801, Validation Loss: 1.2686
Epoch 7/1000, Train Loss: 1.1975, Validation Loss: 1.6229
Epoch 8/1000, Train Loss: 1.2403, Validation Loss: 1.1242
Epoch 9/1000, Train Loss: 1.0890, Validation Loss: 1.5399
Epoch 10/1000, Train Loss: 1.1482, Validation Loss: 2.5518
Epoch 11/1000, Train Loss: 1.3954, Validation Loss: 2.0489
Epoch 12/1000, Train Loss: 1.2770, Validation Loss: 1.1936
Epoch 13/1000, Train Loss: 1.2018, Validation Loss: 1.8602
Epoch 14/1000, Train Loss: 1.1574, Validation Loss: 2.6822
Epoch 15/1000, Train Loss: 1.0302, Validation Loss: 1.8343
Epoch 16/1000, Train Loss: 1.1185, Validation Loss: 1.3642
Epoch 17/1000, Train Loss: 1.1048, Validation Loss: 1.3502
Epoch 18/1000, Train Loss: 1.0046, Validation Loss: 1.0687
Epoch 19/1000, Train Loss: 1.0391, Validation Loss: 1.1335
Epoch 20/1000, Train Loss: 1.0199, Validation Loss: 1.4508
Epoch 21/1000, Train Loss: 0.9822, Validation Loss: 1.1454
Epoch 22/1000, Train Loss: 1.1705, Validation Loss: 1.3092
Epoch 23/1000, Train Loss: 1.0170, Validation Loss: 1.0556
Epoch 24/1000, Train Loss: 1.0123, Validation Loss: 1.2300
Epoch 25/1000, Train Loss: 0.9796, Validation Loss: 1.1778
Epoch 26/1000, Train Loss: 0.9726, Validation Loss: 1.1929
Epoch 27/1000, Train Loss: 0.9263, Validation Loss: 1.1772
Epoch 28/1000, Train Loss: 0.9500, Validation Loss: 1.1651
Epoch 29/1000, Train Loss: 0.9092, Validation Loss: 1.0297
Epoch 30/1000, Train Loss: 1.0475, Validation Loss: 1.7425
Epoch 31/1000, Train Loss: 0.9889, Validation Loss: 1.3229
Epoch 32/1000, Train Loss: 1.0705, Validation Loss: 2.0329
Epoch 33/1000, Train Loss: 0.9313, Validation Loss: 1.1177
Epoch 34/1000, Train Loss: 0.9908, Validation Loss: 0.9985
Epoch 35/1000, Train Loss: 0.9801, Validation Loss: 1.4150
Epoch 36/1000, Train Loss: 0.9842, Validation Loss: 2.3431
Epoch 37/1000, Train Loss: 0.8889, Validation Loss: 2.2596
Epoch 38/1000, Train Loss: 0.9726, Validation Loss: 0.9197
Epoch 39/1000, Train Loss: 0.9218, Validation Loss: 1.9100
Epoch 40/1000, Train Loss: 0.9746, Validation Loss: 1.1316
Epoch 41/1000, Train Loss: 0.9052, Validation Loss: 1.1070
Epoch 42/1000, Train Loss: 0.8266, Validation Loss: 0.8941
Epoch 43/1000, Train Loss: 0.8591, Validation Loss: 1.0785
Epoch 44/1000, Train Loss: 0.8952, Validation Loss: 1.6122
Epoch 45/1000, Train Loss: 0.9118, Validation Loss: 1.1257
Epoch 46/1000, Train Loss: 0.8478, Validation Loss: 1.2094
Epoch 47/1000, Train Loss: 0.8254, Validation Loss: 0.8894
Epoch 48/1000, Train Loss: 0.7972, Validation Loss: 1.8681
Epoch 49/1000, Train Loss: 0.8406, Validation Loss: 0.8717
Epoch 50/1000, Train Loss: 1.0046, Validation Loss: 1.0210
Epoch 51/1000, Train Loss: 0.8748, Validation Loss: 1.1562
Epoch 52/1000, Train Loss: 0.9139, Validation Loss: 1.3417
Epoch 53/1000, Train Loss: 0.8900, Validation Loss: 1.3590
Epoch 54/1000, Train Loss: 0.8937, Validation Loss: 0.9762
Epoch 55/1000, Train Loss: 0.8646, Validation Loss: 1.4389
Epoch 56/1000, Train Loss: 0.8063, Validation Loss: 1.3452
Epoch 57/1000, Train Loss: 0.7868, Validation Loss: 3.1902
Epoch 58/1000, Train Loss: 0.9647, Validation Loss: 1.4617
Epoch 59/1000, Train Loss: 0.8653, Validation Loss: 2.3930
Epoch 60/1000, Train Loss: 0.8986, Validation Loss: 1.0739
Epoch 61/1000, Train Loss: 0.8284, Validation Loss: 1.1477
Epoch 62/1000, Train Loss: 0.9465, Validation Loss: 2.2348
Epoch 63/1000, Train Loss: 0.9053, Validation Loss: 1.8055
Epoch 64/1000, Train Loss: 0.8660, Validation Loss: 0.9979
Epoch 65/1000, Train Loss: 0.8813, Validation Loss: 0.8983
Epoch 66/1000, Train Loss: 0.9061, Validation Loss: 1.0198
Epoch 67/1000, Train Loss: 0.9137, Validation Loss: 1.8456
Epoch 68/1000, Train Loss: 0.8518, Validation Loss: 1.2489
Epoch 69/1000, Train Loss: 0.8554, Validation Loss: 1.7416
Epoch 70/1000, Train Loss: 0.8327, Validation Loss: 1.7260
Epoch 71/1000, Train Loss: 0.8053, Validation Loss: 0.8781
Epoch 72/1000, Train Loss: 0.8574, Validation Loss: 2.0870
Epoch 73/1000, Train Loss: 0.8235, Validation Loss: 2.1734
Epoch 74/1000, Train Loss: 0.8682, Validation Loss: 1.6007
Epoch 75/1000, Train Loss: 0.7888, Validation Loss: 1.1438
Epoch 76/1000, Train Loss: 0.8862, Validation Loss: 0.9996
Epoch 77/1000, Train Loss: 0.7942, Validation Loss: 1.1144
Epoch 78/1000, Train Loss: 0.8877, Validation Loss: 1.0222
Epoch 79/1000, Train Loss: 0.7909, Validation Loss: 1.1649
Epoch 80/1000, Train Loss: 0.8591, Validation Loss: 1.2852
Epoch 81/1000, Train Loss: 0.8945, Validation Loss: 1.5426
Epoch 82/1000, Train Loss: 0.8461, Validation Loss: 1.1116
Epoch 83/1000, Train Loss: 0.8960, Validation Loss: 0.9126
Epoch 84/1000, Train Loss: 0.8472, Validation Loss: 1.0711
Epoch 85/1000, Train Loss: 0.8263, Validation Loss: 1.0000
Epoch 86/1000, Train Loss: 0.9164, Validation Loss: 0.7921
Epoch 87/1000, Train Loss: 0.8376, Validation Loss: 0.9818
Epoch 88/1000, Train Loss: 0.8090, Validation Loss: 0.7260
Epoch 89/1000, Train Loss: 0.7802, Validation Loss: 2.7844
Epoch 90/1000, Train Loss: 0.7899, Validation Loss: 1.0000
Epoch 91/1000, Train Loss: 0.8206, Validation Loss: 0.8672
Epoch 92/1000, Train Loss: 0.8073, Validation Loss: 2.8907
Epoch 93/1000, Train Loss: 0.8273, Validation Loss: 2.3828
Epoch 94/1000, Train Loss: 0.7777, Validation Loss: 1.1679
Epoch 95/1000, Train Loss: 0.7913, Validation Loss: 1.1462
Epoch 96/1000, Train Loss: 0.7161, Validation Loss: 1.1085
Epoch 97/1000, Train Loss: 0.8769, Validation Loss: 1.9904
Epoch 98/1000, Train Loss: 0.8243, Validation Loss: 1.2029
Epoch 99/1000, Train Loss: 0.8698, Validation Loss: 1.0309
Epoch 100/1000, Train Loss: 0.8711, Validation Loss: 1.1525
Epoch 101/1000, Train Loss: 0.8657, Validation Loss: 0.9724
Epoch 102/1000, Train Loss: 0.7293, Validation Loss: 0.8138
Epoch 103/1000, Train Loss: 0.7755, Validation Loss: 0.8066
Epoch 104/1000, Train Loss: 0.8647, Validation Loss: 2.1479
Epoch 105/1000, Train Loss: 0.7800, Validation Loss: 0.9174
Epoch 106/1000, Train Loss: 0.7689, Validation Loss: 1.0149
Epoch 107/1000, Train Loss: 0.7342, Validation Loss: 1.2193
Epoch 108/1000, Train Loss: 0.7525, Validation Loss: 0.8935
Epoch 109/1000, Train Loss: 0.7403, Validation Loss: 1.5920
Epoch 110/1000, Train Loss: 0.7592, Validation Loss: 1.7777
Epoch 111/1000, Train Loss: 0.7674, Validation Loss: 1.3752
Epoch 112/1000, Train Loss: 0.7372, Validation Loss: 1.3566
Epoch 113/1000, Train Loss: 0.6771, Validation Loss: 0.8543
Epoch 114/1000, Train Loss: 0.7459, Validation Loss: 0.8811
Epoch 115/1000, Train Loss: 0.7664, Validation Loss: 2.0523
Epoch 116/1000, Train Loss: 0.7565, Validation Loss: 1.4607
Epoch 117/1000, Train Loss: 0.7515, Validation Loss: 2.5397
Epoch 118/1000, Train Loss: 0.6993, Validation Loss: 1.3653
Epoch 119/1000, Train Loss: 0.7457, Validation Loss: 0.6676
Epoch 120/1000, Train Loss: 0.8213, Validation Loss: 0.8182
Epoch 121/1000, Train Loss: 0.7507, Validation Loss: 1.6265
Epoch 122/1000, Train Loss: 0.8288, Validation Loss: 0.9039
Epoch 123/1000, Train Loss: 0.7953, Validation Loss: 1.0405
Epoch 124/1000, Train Loss: 0.8015, Validation Loss: 0.8603
Epoch 125/1000, Train Loss: 0.8746, Validation Loss: 1.5420
Epoch 126/1000, Train Loss: 0.7854, Validation Loss: 1.1759
