Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-8gl659yg
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.4801, Validation Loss: 4.1308
Epoch 2/1000, Train Loss: 3.2915, Validation Loss: 1.8070
Epoch 3/1000, Train Loss: 2.0937, Validation Loss: 4.3256
Epoch 4/1000, Train Loss: 1.7436, Validation Loss: 1.3145
Epoch 5/1000, Train Loss: 1.7242, Validation Loss: 1.4770
Epoch 6/1000, Train Loss: 1.4941, Validation Loss: 1.4291
Epoch 7/1000, Train Loss: 1.3956, Validation Loss: 3.3737
Epoch 8/1000, Train Loss: 1.7338, Validation Loss: 3.0697
Epoch 9/1000, Train Loss: 1.6413, Validation Loss: 2.3296
Epoch 10/1000, Train Loss: 1.7801, Validation Loss: 3.2466
Epoch 11/1000, Train Loss: 3.0929, Validation Loss: 2.1637
Epoch 12/1000, Train Loss: 1.7716, Validation Loss: 5.4802
Epoch 13/1000, Train Loss: 1.9228, Validation Loss: 6.1974
Epoch 14/1000, Train Loss: 1.8790, Validation Loss: 2.2509
Epoch 15/1000, Train Loss: 1.4988, Validation Loss: 2.6423
Epoch 16/1000, Train Loss: 1.4048, Validation Loss: 3.5397
Epoch 17/1000, Train Loss: 1.6443, Validation Loss: 2.4913
Epoch 18/1000, Train Loss: 1.5350, Validation Loss: 2.8184
Epoch 19/1000, Train Loss: 14.1188, Validation Loss: 3.6234
Epoch 20/1000, Train Loss: 1.6906, Validation Loss: 23.7139
Epoch 21/1000, Train Loss: 1.7201, Validation Loss: 5.8419
Epoch 22/1000, Train Loss: 1.5111, Validation Loss: 4.1376
Epoch 23/1000, Train Loss: 1.5502, Validation Loss: 3.1611
Epoch 24/1000, Train Loss: 1.4191, Validation Loss: 2.4014
Epoch 25/1000, Train Loss: 1.2991, Validation Loss: 3.1402
Epoch 26/1000, Train Loss: 1.3066, Validation Loss: 1.7233
