Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-d9jxhouo
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.1198, Validation Loss: 6.1788
Epoch 2/1000, Train Loss: 5.7696, Validation Loss: 3.6837
Epoch 3/1000, Train Loss: 6.7793, Validation Loss: 4.4156
Epoch 4/1000, Train Loss: 4.7085, Validation Loss: 3.9853
Epoch 5/1000, Train Loss: 3.8351, Validation Loss: 3.1256
Epoch 6/1000, Train Loss: 6.3419, Validation Loss: 4.3019
Epoch 7/1000, Train Loss: 4.6398, Validation Loss: 6.1480
Epoch 8/1000, Train Loss: 3.7169, Validation Loss: 2.3064
Epoch 9/1000, Train Loss: 3.6448, Validation Loss: 8.4405
Epoch 10/1000, Train Loss: 4.6148, Validation Loss: 3.3716
Epoch 11/1000, Train Loss: 4.2073, Validation Loss: 5.8084
Epoch 12/1000, Train Loss: 3.7092, Validation Loss: 3.9490
Epoch 13/1000, Train Loss: 3.6010, Validation Loss: 3.8995
Epoch 14/1000, Train Loss: 3.7634, Validation Loss: 2.6257
Epoch 15/1000, Train Loss: 3.7642, Validation Loss: 5.7430
Epoch 16/1000, Train Loss: 3.6560, Validation Loss: 5.4887
Epoch 17/1000, Train Loss: 6.7825, Validation Loss: 3.6134
Epoch 18/1000, Train Loss: 4.3366, Validation Loss: 5.1123
Epoch 19/1000, Train Loss: 3.3796, Validation Loss: 9.9608
Epoch 20/1000, Train Loss: 2.7662, Validation Loss: 3.5873
Epoch 21/1000, Train Loss: 2.9819, Validation Loss: 1.9241
Epoch 22/1000, Train Loss: 2.3211, Validation Loss: 2.9283
Epoch 23/1000, Train Loss: 2.0604, Validation Loss: 2.7048
Epoch 24/1000, Train Loss: 1.8659, Validation Loss: 9.2740
Epoch 25/1000, Train Loss: 1.9370, Validation Loss: 2.5840
Epoch 26/1000, Train Loss: 2.1509, Validation Loss: 3.2301
Epoch 27/1000, Train Loss: 2.0008, Validation Loss: 2.9911
Epoch 28/1000, Train Loss: 2.3862, Validation Loss: 5.4902
Epoch 29/1000, Train Loss: 1.8750, Validation Loss: 2.0854
Epoch 30/1000, Train Loss: 2.5828, Validation Loss: 6.1882
Epoch 31/1000, Train Loss: 18.1858, Validation Loss: 16.6853
Epoch 32/1000, Train Loss: 6.3092, Validation Loss: 3.4600
Epoch 33/1000, Train Loss: 4.1184, Validation Loss: 4.8366
Epoch 34/1000, Train Loss: 2.9029, Validation Loss: 3.8832
Epoch 35/1000, Train Loss: 2.5241, Validation Loss: 3.4540
Epoch 36/1000, Train Loss: 2.5453, Validation Loss: 2.0602
Epoch 37/1000, Train Loss: 6.9322, Validation Loss: 7.8261
Epoch 38/1000, Train Loss: 2.5669, Validation Loss: 5.1468
Epoch 39/1000, Train Loss: 3.0171, Validation Loss: 4.5851
Epoch 40/1000, Train Loss: 2.8787, Validation Loss: 5.9598
Epoch 41/1000, Train Loss: 2.2938, Validation Loss: 3.3247
Epoch 42/1000, Train Loss: 3.6122, Validation Loss: 4.6542
Epoch 43/1000, Train Loss: 2.4742, Validation Loss: 3.2023
Epoch 44/1000, Train Loss: 2.2171, Validation Loss: 4.6724
Epoch 45/1000, Train Loss: 763.6468, Validation Loss: 2.6952
Epoch 46/1000, Train Loss: 2.1455, Validation Loss: 1.8015
Epoch 47/1000, Train Loss: 2.8055, Validation Loss: 2.2373
Epoch 48/1000, Train Loss: 2.0384, Validation Loss: 3.6659
Epoch 49/1000, Train Loss: 2.2013, Validation Loss: 2.2142
Epoch 50/1000, Train Loss: 2.0242, Validation Loss: 1.8915
Epoch 51/1000, Train Loss: 2.1605, Validation Loss: 4.1070
Epoch 52/1000, Train Loss: 2.2506, Validation Loss: 1.9172
Epoch 53/1000, Train Loss: 1.9779, Validation Loss: 3.1868
