Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-mlfowefb
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.2194, Validation Loss: 1.7989
Epoch 2/1000, Train Loss: 1.5155, Validation Loss: 2.6504
Epoch 3/1000, Train Loss: 1.5494, Validation Loss: 2.6666
Epoch 4/1000, Train Loss: 1.9259, Validation Loss: 1.5201
Epoch 5/1000, Train Loss: 1.8025, Validation Loss: 1.2910
Epoch 6/1000, Train Loss: 1.7669, Validation Loss: 5.2266
Epoch 7/1000, Train Loss: 2.0509, Validation Loss: 1.3237
Epoch 8/1000, Train Loss: 2.2533, Validation Loss: 4.8910
Epoch 9/1000, Train Loss: 2.0579, Validation Loss: 2.2711
Epoch 10/1000, Train Loss: 1.5553, Validation Loss: 3.2168
Epoch 11/1000, Train Loss: 1.8690, Validation Loss: 1.7742
Epoch 12/1000, Train Loss: 1.7197, Validation Loss: 1.7121
Epoch 13/1000, Train Loss: 4.4957, Validation Loss: 10.4652
Epoch 14/1000, Train Loss: 1.6498, Validation Loss: 2.7127
Epoch 15/1000, Train Loss: 1.7145, Validation Loss: 2.0494
Epoch 16/1000, Train Loss: 1.9616, Validation Loss: 3.7318
Epoch 17/1000, Train Loss: 1.5505, Validation Loss: 3.6857
Epoch 18/1000, Train Loss: 1.6308, Validation Loss: 4.8692
Epoch 19/1000, Train Loss: 1.4346, Validation Loss: 1.9841
Epoch 20/1000, Train Loss: 1.6571, Validation Loss: 1.5634
Epoch 21/1000, Train Loss: 1.3420, Validation Loss: 2.7200
Epoch 22/1000, Train Loss: 1.1301, Validation Loss: 1.2120
Epoch 23/1000, Train Loss: 1.2615, Validation Loss: 7.8095
Epoch 24/1000, Train Loss: 1.4759, Validation Loss: 2.0846
Epoch 25/1000, Train Loss: 1.5603, Validation Loss: 5.6533
Epoch 26/1000, Train Loss: 1.5882, Validation Loss: 2.7657
Epoch 27/1000, Train Loss: 1.4860, Validation Loss: 1.7453
Epoch 28/1000, Train Loss: 1.4892, Validation Loss: 6.0247
Epoch 29/1000, Train Loss: 1.5003, Validation Loss: 1.1089
Epoch 30/1000, Train Loss: 1.3683, Validation Loss: 1.5192
Epoch 31/1000, Train Loss: 1.5882, Validation Loss: 3.9384
Epoch 32/1000, Train Loss: 1.2047, Validation Loss: 2.3055
Epoch 33/1000, Train Loss: 1.2187, Validation Loss: 3.1058
Epoch 34/1000, Train Loss: 1.4281, Validation Loss: 1.1096
Epoch 35/1000, Train Loss: 1.2877, Validation Loss: 2.5049
Epoch 36/1000, Train Loss: 1.5355, Validation Loss: 2.3435
Epoch 37/1000, Train Loss: 1.2921, Validation Loss: 1.3033
Epoch 38/1000, Train Loss: 1.3238, Validation Loss: 1.3877
Epoch 39/1000, Train Loss: 1.1681, Validation Loss: 3.2013
Epoch 40/1000, Train Loss: 1.3748, Validation Loss: 1.9484
Epoch 41/1000, Train Loss: 1.2879, Validation Loss: 4.0606
Epoch 42/1000, Train Loss: 1.2883, Validation Loss: 1.9608
Epoch 43/1000, Train Loss: 1.3449, Validation Loss: 3.2629
Epoch 44/1000, Train Loss: 1.2679, Validation Loss: 2.2583
Epoch 45/1000, Train Loss: 1.2699, Validation Loss: 2.5646
Epoch 46/1000, Train Loss: 1.1389, Validation Loss: 1.5747
Epoch 47/1000, Train Loss: 1.2060, Validation Loss: 1.6628
Epoch 48/1000, Train Loss: 1.0653, Validation Loss: 1.1751
Epoch 49/1000, Train Loss: 1.1758, Validation Loss: 2.5197
Epoch 50/1000, Train Loss: 1.1226, Validation Loss: 1.0357
Epoch 51/1000, Train Loss: 1.3230, Validation Loss: 1.6502
Epoch 52/1000, Train Loss: 1.2048, Validation Loss: 86.4016
Epoch 53/1000, Train Loss: 1.1309, Validation Loss: 1.1667
Epoch 54/1000, Train Loss: 1.0677, Validation Loss: 2.1687
Epoch 55/1000, Train Loss: 1.1705, Validation Loss: 2.4174
Epoch 56/1000, Train Loss: 1.0934, Validation Loss: 5.3178
Epoch 57/1000, Train Loss: 1.0749, Validation Loss: 1.7558
Epoch 58/1000, Train Loss: 0.9829, Validation Loss: 1.4122
Epoch 59/1000, Train Loss: 0.9779, Validation Loss: 1.1602
Epoch 60/1000, Train Loss: 1.1622, Validation Loss: 1.8867
Epoch 61/1000, Train Loss: 1.1086, Validation Loss: 1.0632
Epoch 62/1000, Train Loss: 1.0609, Validation Loss: 1.2254
Epoch 63/1000, Train Loss: 1.0174, Validation Loss: 0.8997
Epoch 64/1000, Train Loss: 0.8945, Validation Loss: 2.4982
Epoch 65/1000, Train Loss: 1.0450, Validation Loss: 1.9929
Epoch 66/1000, Train Loss: 1.1220, Validation Loss: 2.9580
Epoch 67/1000, Train Loss: 0.9177, Validation Loss: 2.2991
Epoch 68/1000, Train Loss: 1.0218, Validation Loss: 0.8695
Epoch 69/1000, Train Loss: 0.9241, Validation Loss: 2.3430
Epoch 70/1000, Train Loss: 0.9375, Validation Loss: 2.6954
Epoch 71/1000, Train Loss: 1.0327, Validation Loss: 8.0806
Epoch 72/1000, Train Loss: 1.0350, Validation Loss: 1.9192
Epoch 73/1000, Train Loss: 0.8790, Validation Loss: 2.2108
Epoch 74/1000, Train Loss: 0.8939, Validation Loss: 0.9534
Epoch 75/1000, Train Loss: 0.7977, Validation Loss: 1.6151
Epoch 76/1000, Train Loss: 0.7673, Validation Loss: 3.4110
Epoch 77/1000, Train Loss: 0.7493, Validation Loss: 0.8126
Epoch 78/1000, Train Loss: 0.9990, Validation Loss: 2.4185
Epoch 79/1000, Train Loss: 0.8436, Validation Loss: 5.4065
Epoch 80/1000, Train Loss: 0.9954, Validation Loss: 2.2305
Epoch 81/1000, Train Loss: 0.8591, Validation Loss: 1.2464
Epoch 82/1000, Train Loss: 0.8322, Validation Loss: 0.7298
Epoch 83/1000, Train Loss: 0.9140, Validation Loss: 0.7308
Epoch 84/1000, Train Loss: 0.8605, Validation Loss: 1.1325
Epoch 85/1000, Train Loss: 0.9014, Validation Loss: 2.1190
Epoch 86/1000, Train Loss: 0.9371, Validation Loss: 1.6958
Epoch 87/1000, Train Loss: 0.8886, Validation Loss: 1.2794
Epoch 88/1000, Train Loss: 0.9152, Validation Loss: 1.3545
Epoch 89/1000, Train Loss: 0.8214, Validation Loss: 2.6975
Epoch 90/1000, Train Loss: 0.8281, Validation Loss: 1.1807
Epoch 91/1000, Train Loss: 0.8631, Validation Loss: 1.3547
Epoch 92/1000, Train Loss: 0.8950, Validation Loss: 0.8849
Epoch 93/1000, Train Loss: 0.8482, Validation Loss: 2.0842
Epoch 94/1000, Train Loss: 0.8678, Validation Loss: 0.8746
Epoch 95/1000, Train Loss: 0.8476, Validation Loss: 0.8383
Epoch 96/1000, Train Loss: 0.7788, Validation Loss: 2.1372
Epoch 97/1000, Train Loss: 0.7721, Validation Loss: 0.7070
Epoch 98/1000, Train Loss: 0.8580, Validation Loss: 2.0201
Epoch 99/1000, Train Loss: 0.9557, Validation Loss: 3.4255
Epoch 100/1000, Train Loss: 0.9534, Validation Loss: 0.7706
Epoch 101/1000, Train Loss: 0.8127, Validation Loss: 2.6934
Epoch 102/1000, Train Loss: 0.8261, Validation Loss: 1.0641
Epoch 103/1000, Train Loss: 0.8575, Validation Loss: 1.7605
Epoch 104/1000, Train Loss: 0.9778, Validation Loss: 1.7741
Epoch 105/1000, Train Loss: 1.0312, Validation Loss: 1.9496
