Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-nbcu409d
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 15.4835, Validation Loss: 6.3025
Epoch 2/1000, Train Loss: 6.5233, Validation Loss: 6.4485
Epoch 3/1000, Train Loss: 7.4253, Validation Loss: 6.0726
Epoch 4/1000, Train Loss: 6.2712, Validation Loss: 6.2300
Epoch 5/1000, Train Loss: 10919.3689, Validation Loss: 6.1204
Epoch 6/1000, Train Loss: 7.0133, Validation Loss: 6.1716
Epoch 7/1000, Train Loss: 27.2222, Validation Loss: 6.1077
Epoch 8/1000, Train Loss: 20.0528, Validation Loss: 6.2896
Epoch 9/1000, Train Loss: 6.2248, Validation Loss: 6.0725
Epoch 10/1000, Train Loss: 6.5069, Validation Loss: 6.0750
Epoch 11/1000, Train Loss: 15.5444, Validation Loss: 6.1967
Epoch 12/1000, Train Loss: 6.3360, Validation Loss: 6.0975
Epoch 13/1000, Train Loss: 44.1728, Validation Loss: 6.0710
Epoch 14/1000, Train Loss: 6.3074, Validation Loss: 6.1442
Epoch 15/1000, Train Loss: 7.0730, Validation Loss: 6.1541
Epoch 16/1000, Train Loss: 7.2392, Validation Loss: 6.5942
Epoch 17/1000, Train Loss: 8.3081, Validation Loss: 6.0721
Epoch 18/1000, Train Loss: 9.7351, Validation Loss: 6.2025
Epoch 19/1000, Train Loss: 6.8311, Validation Loss: 6.2474
Epoch 20/1000, Train Loss: 6.3694, Validation Loss: 6.1547
Epoch 21/1000, Train Loss: 6.3503, Validation Loss: 6.0705
Epoch 22/1000, Train Loss: 6.3867, Validation Loss: 6.0703
Epoch 23/1000, Train Loss: 6.3173, Validation Loss: 6.1110
Epoch 24/1000, Train Loss: 9.4739, Validation Loss: 6.0702
Epoch 25/1000, Train Loss: 6.4419, Validation Loss: 6.2002
Epoch 26/1000, Train Loss: 6.2816, Validation Loss: 6.0959
Epoch 27/1000, Train Loss: 6.3346, Validation Loss: 6.1433
Epoch 28/1000, Train Loss: 27.8050, Validation Loss: 6.0786
Epoch 29/1000, Train Loss: 7.1241, Validation Loss: 6.0788
Epoch 30/1000, Train Loss: 6.2874, Validation Loss: 6.1478
Epoch 31/1000, Train Loss: 6.3660, Validation Loss: 6.1730
Epoch 32/1000, Train Loss: 6.5382, Validation Loss: 6.0994
Epoch 33/1000, Train Loss: 6.8438, Validation Loss: 6.6534
Epoch 34/1000, Train Loss: 7.5698, Validation Loss: 6.1464
Epoch 35/1000, Train Loss: 6.2338, Validation Loss: 6.0710
Epoch 36/1000, Train Loss: 6.3675, Validation Loss: 6.0714
Epoch 37/1000, Train Loss: 30.0715, Validation Loss: 6.0704
Epoch 38/1000, Train Loss: 6.3309, Validation Loss: 6.0702
Epoch 39/1000, Train Loss: 15315.4386, Validation Loss: 6.0719
Epoch 40/1000, Train Loss: 6.2722, Validation Loss: 6.2391
Epoch 41/1000, Train Loss: 8.9773, Validation Loss: 6.3855
Epoch 42/1000, Train Loss: 6.2643, Validation Loss: 6.0898
Epoch 43/1000, Train Loss: 6.4698, Validation Loss: 6.0729
Epoch 44/1000, Train Loss: 18.0118, Validation Loss: 6.0689
Epoch 45/1000, Train Loss: 6.2670, Validation Loss: 6.1616
