Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-hqj5ck79
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.9264, Validation Loss: 5.6468
Epoch 2/1000, Train Loss: 3.4833, Validation Loss: 6.3236
Epoch 3/1000, Train Loss: 3.3647, Validation Loss: 4.5875
Epoch 4/1000, Train Loss: 5.1263, Validation Loss: 8.3217
Epoch 5/1000, Train Loss: 5.0094, Validation Loss: 6.1017
Epoch 6/1000, Train Loss: 6.2222, Validation Loss: 6.0809
Epoch 7/1000, Train Loss: 6.2136, Validation Loss: 6.4062
Epoch 8/1000, Train Loss: 24.0135, Validation Loss: 6.1114
Epoch 9/1000, Train Loss: 7.9121, Validation Loss: 6.0713
Epoch 10/1000, Train Loss: 6.5880, Validation Loss: 6.0952
Epoch 11/1000, Train Loss: 6.3141, Validation Loss: 6.1226
Epoch 12/1000, Train Loss: 6.3434, Validation Loss: 6.1741
Epoch 13/1000, Train Loss: 6.5736, Validation Loss: 6.4847
Epoch 14/1000, Train Loss: 6.2346, Validation Loss: 6.1786
Epoch 15/1000, Train Loss: 6.2730, Validation Loss: 6.0918
Epoch 16/1000, Train Loss: 6.2996, Validation Loss: 6.1748
Epoch 17/1000, Train Loss: 11.8759, Validation Loss: 6.0767
Epoch 18/1000, Train Loss: 5953.3020, Validation Loss: 6.0798
Epoch 19/1000, Train Loss: 6.2246, Validation Loss: 6.0702
Epoch 20/1000, Train Loss: 9.6092, Validation Loss: 6.0791
Epoch 21/1000, Train Loss: 6.5021, Validation Loss: 6.0786
Epoch 22/1000, Train Loss: 12.8478, Validation Loss: 6.5561
Epoch 23/1000, Train Loss: 6.4585, Validation Loss: 6.1220
Epoch 24/1000, Train Loss: 15.9965, Validation Loss: 6.3311
Epoch 25/1000, Train Loss: 6.1893, Validation Loss: 3.6175
Epoch 26/1000, Train Loss: 6.1603, Validation Loss: 6.0688
