Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-agmk9iwf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1933, Validation Loss: 1.4093
Epoch 2/1000, Train Loss: 1.5052, Validation Loss: 1.2884
Epoch 3/1000, Train Loss: 1.3762, Validation Loss: 1.5499
Epoch 4/1000, Train Loss: 1.2765, Validation Loss: 0.9923
Epoch 5/1000, Train Loss: 1.4007, Validation Loss: 2.7053
Epoch 6/1000, Train Loss: 1.4725, Validation Loss: 2.0000
Epoch 7/1000, Train Loss: 1.3172, Validation Loss: 2.3230
Epoch 8/1000, Train Loss: 1.1113, Validation Loss: 1.0089
Epoch 9/1000, Train Loss: 1.2150, Validation Loss: 1.2019
Epoch 10/1000, Train Loss: 1.1965, Validation Loss: 2.1330
Epoch 11/1000, Train Loss: 1.1475, Validation Loss: 1.4737
Epoch 12/1000, Train Loss: 0.9916, Validation Loss: 0.9570
Epoch 13/1000, Train Loss: 1.1404, Validation Loss: 1.2150
Epoch 14/1000, Train Loss: 1.0451, Validation Loss: 1.2457
Epoch 15/1000, Train Loss: 1.1208, Validation Loss: 1.3999
Epoch 16/1000, Train Loss: 1.0424, Validation Loss: 2.5351
Epoch 17/1000, Train Loss: 1.0953, Validation Loss: 2.1375
Epoch 18/1000, Train Loss: 1.0501, Validation Loss: 1.0802
Epoch 19/1000, Train Loss: 1.0324, Validation Loss: 2.2995
Epoch 20/1000, Train Loss: 1.0515, Validation Loss: 1.3390
Epoch 21/1000, Train Loss: 0.9700, Validation Loss: 0.9175
Epoch 22/1000, Train Loss: 0.9395, Validation Loss: 2.6686
Epoch 23/1000, Train Loss: 0.8956, Validation Loss: 0.7603
Epoch 24/1000, Train Loss: 0.8559, Validation Loss: 1.1952
Epoch 25/1000, Train Loss: 0.8290, Validation Loss: 2.4094
Epoch 26/1000, Train Loss: 0.8967, Validation Loss: 1.0362
Epoch 27/1000, Train Loss: 0.8105, Validation Loss: 1.2130
Epoch 28/1000, Train Loss: 0.8129, Validation Loss: 1.8127
Epoch 29/1000, Train Loss: 0.9202, Validation Loss: 3.6091
Epoch 30/1000, Train Loss: 1.0639, Validation Loss: 3.2629
Epoch 31/1000, Train Loss: 0.9167, Validation Loss: 0.9802
Epoch 32/1000, Train Loss: 0.9230, Validation Loss: 0.8394
Epoch 33/1000, Train Loss: 0.8863, Validation Loss: 2.1629
Epoch 34/1000, Train Loss: 0.8094, Validation Loss: 1.9522
Epoch 35/1000, Train Loss: 0.8132, Validation Loss: 3.2154
Epoch 36/1000, Train Loss: 0.8023, Validation Loss: 3.0339
Epoch 37/1000, Train Loss: 0.7666, Validation Loss: 0.7180
Epoch 38/1000, Train Loss: 0.7725, Validation Loss: 1.9596
Epoch 39/1000, Train Loss: 0.8120, Validation Loss: 19.0561
Epoch 40/1000, Train Loss: 0.9113, Validation Loss: 1.0868
Epoch 41/1000, Train Loss: 0.9356, Validation Loss: 1.6888
Epoch 42/1000, Train Loss: 0.9198, Validation Loss: 1.0613
Epoch 43/1000, Train Loss: 0.8178, Validation Loss: 0.7762
Epoch 44/1000, Train Loss: 0.7756, Validation Loss: 1.8115
Epoch 45/1000, Train Loss: 0.7785, Validation Loss: 3.4617
Epoch 46/1000, Train Loss: 0.7661, Validation Loss: 3.3468
Epoch 47/1000, Train Loss: 0.8052, Validation Loss: 9.3156
Epoch 48/1000, Train Loss: 0.7671, Validation Loss: 1.5770
Epoch 49/1000, Train Loss: 0.7455, Validation Loss: 1.0091
Epoch 50/1000, Train Loss: 0.8232, Validation Loss: 0.8105
Epoch 51/1000, Train Loss: 0.7698, Validation Loss: 1.2439
Epoch 52/1000, Train Loss: 0.7469, Validation Loss: 1.2464
Epoch 53/1000, Train Loss: 0.7267, Validation Loss: 2.4434
Epoch 54/1000, Train Loss: 0.7280, Validation Loss: 1.0716
Epoch 55/1000, Train Loss: 0.7094, Validation Loss: 1.1763
Epoch 56/1000, Train Loss: 0.7631, Validation Loss: 1.2979
Epoch 57/1000, Train Loss: 0.7579, Validation Loss: 0.9649
Epoch 58/1000, Train Loss: 0.7499, Validation Loss: 1.1796
Epoch 59/1000, Train Loss: 0.7549, Validation Loss: 2.4319
Epoch 60/1000, Train Loss: 0.7607, Validation Loss: 3.5731
Epoch 61/1000, Train Loss: 0.6558, Validation Loss: 0.8665
Epoch 62/1000, Train Loss: 0.7505, Validation Loss: 0.9513
Epoch 63/1000, Train Loss: 0.6951, Validation Loss: 1.2589
Epoch 64/1000, Train Loss: 0.7257, Validation Loss: 5.7709
Epoch 65/1000, Train Loss: 0.6888, Validation Loss: 0.7796
Epoch 66/1000, Train Loss: 0.7104, Validation Loss: 0.9922
Epoch 67/1000, Train Loss: 0.6741, Validation Loss: 0.8977
Epoch 68/1000, Train Loss: 0.6916, Validation Loss: 0.7609
Epoch 69/1000, Train Loss: 0.6521, Validation Loss: 5.4772
Epoch 70/1000, Train Loss: 0.6325, Validation Loss: 0.8680
Epoch 71/1000, Train Loss: 0.6924, Validation Loss: 1.7430
