Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-bdf90guv
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.2130, Validation Loss: 2.6226
Epoch 2/1000, Train Loss: 1.7141, Validation Loss: 1.3500
Epoch 3/1000, Train Loss: 1.8401, Validation Loss: 4.7980
Epoch 4/1000, Train Loss: 2.2659, Validation Loss: 2.2774
Epoch 5/1000, Train Loss: 1.5552, Validation Loss: 1.2511
Epoch 6/1000, Train Loss: 1.6228, Validation Loss: 4.3692
Epoch 7/1000, Train Loss: 1.3582, Validation Loss: 2.9447
Epoch 8/1000, Train Loss: 1.2772, Validation Loss: 2.5187
Epoch 9/1000, Train Loss: 1.1722, Validation Loss: 2.2317
Epoch 10/1000, Train Loss: 1.1082, Validation Loss: 2.5670
Epoch 11/1000, Train Loss: 1.1696, Validation Loss: 1.5554
Epoch 12/1000, Train Loss: 1.2079, Validation Loss: 1.2621
Epoch 13/1000, Train Loss: 1.9536, Validation Loss: 1.7782
Epoch 14/1000, Train Loss: 1.9738, Validation Loss: 2.1923
Epoch 15/1000, Train Loss: 1.9060, Validation Loss: 5.1954
Epoch 16/1000, Train Loss: 1.5506, Validation Loss: 1.0278
Epoch 17/1000, Train Loss: 1.3096, Validation Loss: 2.9075
Epoch 18/1000, Train Loss: 1.2885, Validation Loss: 4.6452
Epoch 19/1000, Train Loss: 1.0993, Validation Loss: 2.0691
Epoch 20/1000, Train Loss: 1.3522, Validation Loss: 3.2476
Epoch 21/1000, Train Loss: 1.1212, Validation Loss: 2.7687
Epoch 22/1000, Train Loss: 1.3085, Validation Loss: 2.0282
Epoch 23/1000, Train Loss: 1.4029, Validation Loss: 2.6839
Epoch 24/1000, Train Loss: 1.3643, Validation Loss: 3.4835
Epoch 25/1000, Train Loss: 1.0297, Validation Loss: 2.1051
Epoch 26/1000, Train Loss: 0.9772, Validation Loss: 1.6881
Epoch 27/1000, Train Loss: 0.9063, Validation Loss: 1.3983
Epoch 28/1000, Train Loss: 0.8901, Validation Loss: 0.9354
Epoch 29/1000, Train Loss: 0.8945, Validation Loss: 1.9923
Epoch 30/1000, Train Loss: 0.8449, Validation Loss: 1.2436
Epoch 31/1000, Train Loss: 0.8339, Validation Loss: 2.8048
Epoch 32/1000, Train Loss: 0.7850, Validation Loss: 2.1077
Epoch 33/1000, Train Loss: 0.7763, Validation Loss: 3.4416
Epoch 34/1000, Train Loss: 0.8514, Validation Loss: 1.3014
Epoch 35/1000, Train Loss: 0.7637, Validation Loss: 1.9770
Epoch 36/1000, Train Loss: 1.3650, Validation Loss: 1.2284
Epoch 37/1000, Train Loss: 1.4350, Validation Loss: 3.8652
Epoch 38/1000, Train Loss: 1.4387, Validation Loss: 1.5043
Epoch 39/1000, Train Loss: 0.8221, Validation Loss: 0.8730
Epoch 40/1000, Train Loss: 0.8547, Validation Loss: 4.0528
Epoch 41/1000, Train Loss: 0.9256, Validation Loss: 7.7342
Epoch 42/1000, Train Loss: 0.9890, Validation Loss: 2.1006
Epoch 43/1000, Train Loss: 0.8189, Validation Loss: 1.3178
Epoch 44/1000, Train Loss: 1.0143, Validation Loss: 1.5254
Epoch 45/1000, Train Loss: 0.8723, Validation Loss: 0.9634
Epoch 46/1000, Train Loss: 1.2180, Validation Loss: 6.8207
Epoch 47/1000, Train Loss: 1.1569, Validation Loss: 0.8083
Epoch 48/1000, Train Loss: 1.3601, Validation Loss: 1.4755
Epoch 49/1000, Train Loss: 1.1336, Validation Loss: 3.4414
Epoch 50/1000, Train Loss: 0.9272, Validation Loss: 1.5854
Epoch 51/1000, Train Loss: 1.1245, Validation Loss: 2.2644
Epoch 52/1000, Train Loss: 1.6139, Validation Loss: 2.6728
Epoch 53/1000, Train Loss: 1.3217, Validation Loss: 2.4085
Epoch 54/1000, Train Loss: 1.2579, Validation Loss: 2.3488
Epoch 55/1000, Train Loss: 1.4240, Validation Loss: 2.3515
Epoch 56/1000, Train Loss: 1.1938, Validation Loss: 2.3626
Epoch 57/1000, Train Loss: 1.3802, Validation Loss: 5.2860
Epoch 58/1000, Train Loss: 1.7373, Validation Loss: 2.6863
Epoch 59/1000, Train Loss: 1.2043, Validation Loss: 2.8603
Epoch 60/1000, Train Loss: 0.9956, Validation Loss: 1.7905
Epoch 61/1000, Train Loss: 1.1926, Validation Loss: 2.6511
Epoch 62/1000, Train Loss: 0.8599, Validation Loss: 1.5525
Epoch 63/1000, Train Loss: 1.0043, Validation Loss: 8.3456
Epoch 64/1000, Train Loss: 1.3780, Validation Loss: 3.4581
Epoch 65/1000, Train Loss: 1.1848, Validation Loss: 2.2439
Epoch 66/1000, Train Loss: 0.7533, Validation Loss: 1.1194
Epoch 67/1000, Train Loss: 1.4235, Validation Loss: 2.9074
Epoch 68/1000, Train Loss: 1.4243, Validation Loss: 1.9972
Epoch 69/1000, Train Loss: 1.4651, Validation Loss: 3.7846
Epoch 70/1000, Train Loss: 1.3858, Validation Loss: 2.9415
Epoch 71/1000, Train Loss: 1.3740, Validation Loss: 3.7829
Epoch 72/1000, Train Loss: 1.1426, Validation Loss: 2.0483
Epoch 73/1000, Train Loss: 1.1365, Validation Loss: 1.9273
Epoch 74/1000, Train Loss: 1.1047, Validation Loss: 2.7052
Epoch 75/1000, Train Loss: 1.5110, Validation Loss: 1.7714
Epoch 76/1000, Train Loss: 1.2378, Validation Loss: 1.3202
Epoch 77/1000, Train Loss: 1.1560, Validation Loss: 1.9969
Epoch 78/1000, Train Loss: 1.2388, Validation Loss: 3.3629
Epoch 79/1000, Train Loss: 1.2941, Validation Loss: 3.5803
Epoch 80/1000, Train Loss: 1.1704, Validation Loss: 3.2069
Epoch 81/1000, Train Loss: 1.1405, Validation Loss: 1.5708
Epoch 82/1000, Train Loss: 1.0181, Validation Loss: 1.5297
Epoch 83/1000, Train Loss: 0.9340, Validation Loss: 1.7356
Epoch 84/1000, Train Loss: 1.0406, Validation Loss: 2.7218
Epoch 85/1000, Train Loss: 1.1110, Validation Loss: 4.3691
Epoch 86/1000, Train Loss: 1.2699, Validation Loss: 2.1274
Epoch 87/1000, Train Loss: 1.2546, Validation Loss: 3.0716
Epoch 88/1000, Train Loss: 1.0943, Validation Loss: 2.6405
Epoch 89/1000, Train Loss: 1.1037, Validation Loss: 2.8332
Epoch 90/1000, Train Loss: 1.0999, Validation Loss: 3.0392
Epoch 91/1000, Train Loss: 1.1565, Validation Loss: 5.5977
Epoch 92/1000, Train Loss: 1.2428, Validation Loss: 0.9160
Epoch 93/1000, Train Loss: 0.9848, Validation Loss: 1.9639
Epoch 94/1000, Train Loss: 1.0948, Validation Loss: 2.9988
Epoch 95/1000, Train Loss: 1.0389, Validation Loss: 1.4611
Epoch 96/1000, Train Loss: 0.9781, Validation Loss: 1.7297
Epoch 97/1000, Train Loss: 0.9830, Validation Loss: 3.4727
Epoch 98/1000, Train Loss: 1.0576, Validation Loss: 5.8232
Epoch 99/1000, Train Loss: 1.0615, Validation Loss: 1.3001
Epoch 100/1000, Train Loss: 1.0139, Validation Loss: 1.2077
Epoch 101/1000, Train Loss: 0.9339, Validation Loss: 4.4147
Epoch 102/1000, Train Loss: 1.1574, Validation Loss: 5.0213
Epoch 103/1000, Train Loss: 0.9586, Validation Loss: 1.6999
Epoch 104/1000, Train Loss: 0.8966, Validation Loss: 1.0379
Epoch 105/1000, Train Loss: 1.0560, Validation Loss: 2.2016
Epoch 106/1000, Train Loss: 1.1498, Validation Loss: 0.7470
Epoch 107/1000, Train Loss: 1.0247, Validation Loss: 1.1358
Epoch 108/1000, Train Loss: 0.8419, Validation Loss: 1.2262
Epoch 109/1000, Train Loss: 0.8474, Validation Loss: 4.5043
Epoch 110/1000, Train Loss: 0.8685, Validation Loss: 1.1238
Epoch 111/1000, Train Loss: 0.8391, Validation Loss: 0.9355
Epoch 112/1000, Train Loss: 0.8247, Validation Loss: 5.4227
Epoch 113/1000, Train Loss: 1.0103, Validation Loss: 1.6116
Epoch 114/1000, Train Loss: 0.8906, Validation Loss: 1.9916
Epoch 115/1000, Train Loss: 0.7885, Validation Loss: 1.4608
Epoch 116/1000, Train Loss: 0.9353, Validation Loss: 0.9035
Epoch 117/1000, Train Loss: 0.8382, Validation Loss: 2.7140
Epoch 118/1000, Train Loss: 0.8891, Validation Loss: 2.0402
Epoch 119/1000, Train Loss: 0.7814, Validation Loss: 3.1598
Epoch 120/1000, Train Loss: 0.8650, Validation Loss: 3.9162
Epoch 121/1000, Train Loss: 0.9179, Validation Loss: 2.2956
Epoch 122/1000, Train Loss: 0.7992, Validation Loss: 1.6605
Epoch 123/1000, Train Loss: 0.8557, Validation Loss: 2.6726
Epoch 124/1000, Train Loss: 0.8275, Validation Loss: 1.9792
Epoch 125/1000, Train Loss: 0.8637, Validation Loss: 3.0410
