Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-1ef54o8d
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1486, Validation Loss: 2.4991
Epoch 2/1000, Train Loss: 14.8559, Validation Loss: 5.2300
Epoch 3/1000, Train Loss: 2.0224, Validation Loss: 4.6402
Epoch 4/1000, Train Loss: 1.9535, Validation Loss: 1.4212
Epoch 5/1000, Train Loss: 1.8711, Validation Loss: 2.7753
Epoch 6/1000, Train Loss: 2.5583, Validation Loss: 2.2887
Epoch 7/1000, Train Loss: 9.2119, Validation Loss: 1.7975
Epoch 8/1000, Train Loss: 2.2048, Validation Loss: 8.8557
Epoch 9/1000, Train Loss: 2.2488, Validation Loss: 3.2996
Epoch 10/1000, Train Loss: 1.8664, Validation Loss: 2.5568
Epoch 11/1000, Train Loss: 1.6783, Validation Loss: 2.8524
Epoch 12/1000, Train Loss: 1.7452, Validation Loss: 2.9250
Epoch 13/1000, Train Loss: 1.6568, Validation Loss: 3.3916
Epoch 14/1000, Train Loss: 1.5018, Validation Loss: 1.2082
Epoch 15/1000, Train Loss: 1.5088, Validation Loss: 1.1727
Epoch 16/1000, Train Loss: 1.5229, Validation Loss: 1.7745
Epoch 17/1000, Train Loss: 1.4947, Validation Loss: 1.4657
Epoch 18/1000, Train Loss: 1.4916, Validation Loss: 2.9258
Epoch 19/1000, Train Loss: 1.4958, Validation Loss: 14.6473
Epoch 20/1000, Train Loss: 1.5332, Validation Loss: 1.1958
Epoch 21/1000, Train Loss: 1.4852, Validation Loss: 1.2098
Epoch 22/1000, Train Loss: 1.4886, Validation Loss: 9.4413
Epoch 23/1000, Train Loss: 1.4243, Validation Loss: 1.4095
Epoch 24/1000, Train Loss: 1.4057, Validation Loss: 1.8209
Epoch 25/1000, Train Loss: 1.4938, Validation Loss: 2.4646
Epoch 26/1000, Train Loss: 1.4236, Validation Loss: 3.8348
Epoch 27/1000, Train Loss: 1.4358, Validation Loss: 1.7838
Epoch 28/1000, Train Loss: 1.3633, Validation Loss: 2.6777
Epoch 29/1000, Train Loss: 1.4073, Validation Loss: 2.7670
Epoch 30/1000, Train Loss: 1.3972, Validation Loss: 1.4885
Epoch 31/1000, Train Loss: 1.2793, Validation Loss: 10.8350
Epoch 32/1000, Train Loss: 1.2814, Validation Loss: 1.7290
Epoch 33/1000, Train Loss: 1.3698, Validation Loss: 2.6232
Epoch 34/1000, Train Loss: 1.3402, Validation Loss: 6.5937
Epoch 35/1000, Train Loss: 1.3108, Validation Loss: 2.1653
Epoch 36/1000, Train Loss: 1.3490, Validation Loss: 2.6016
Epoch 37/1000, Train Loss: 1.2785, Validation Loss: 1.8665
Epoch 38/1000, Train Loss: 1.1986, Validation Loss: 2.8726
Epoch 39/1000, Train Loss: 1.2011, Validation Loss: 2.2573
Epoch 40/1000, Train Loss: 1.2789, Validation Loss: 5.0474
Epoch 41/1000, Train Loss: 1.3474, Validation Loss: 1.6463
Epoch 42/1000, Train Loss: 1.3326, Validation Loss: 1.9917
Epoch 43/1000, Train Loss: 1.1587, Validation Loss: 2.6101
Epoch 44/1000, Train Loss: 1.8571, Validation Loss: 1.8653
Epoch 45/1000, Train Loss: 1.2043, Validation Loss: 1.3596
Epoch 46/1000, Train Loss: 1.1984, Validation Loss: 2.1482
Epoch 47/1000, Train Loss: 1.1889, Validation Loss: 1.6307
Epoch 48/1000, Train Loss: 1.1867, Validation Loss: 1.9383
Epoch 49/1000, Train Loss: 1.2504, Validation Loss: 2.0499
Epoch 50/1000, Train Loss: 1.2817, Validation Loss: 1.3907
Epoch 51/1000, Train Loss: 1.1687, Validation Loss: 1.9122
Epoch 52/1000, Train Loss: 1.2684, Validation Loss: 4.0508
Epoch 53/1000, Train Loss: 1.2642, Validation Loss: 0.9688
Epoch 54/1000, Train Loss: 1.2879, Validation Loss: 1.0526
Epoch 55/1000, Train Loss: 1.1994, Validation Loss: 3.9244
Epoch 56/1000, Train Loss: 1.1401, Validation Loss: 1.5823
Epoch 57/1000, Train Loss: 1.2050, Validation Loss: 1.0550
Epoch 58/1000, Train Loss: 1.6297, Validation Loss: 1.5187
Epoch 59/1000, Train Loss: 1.2510, Validation Loss: 1.9249
Epoch 60/1000, Train Loss: 1.1980, Validation Loss: 3.8584
Epoch 61/1000, Train Loss: 1.2079, Validation Loss: 2.6949
Epoch 62/1000, Train Loss: 1.2023, Validation Loss: 3.1053
Epoch 63/1000, Train Loss: 1.2389, Validation Loss: 1.0013
Epoch 64/1000, Train Loss: 1.2308, Validation Loss: 2.0060
Epoch 65/1000, Train Loss: 1.1655, Validation Loss: 1.0673
Epoch 66/1000, Train Loss: 1.1598, Validation Loss: 1.6006
Epoch 67/1000, Train Loss: 1.1799, Validation Loss: 1.2627
Epoch 68/1000, Train Loss: 2.7088, Validation Loss: 1.8516
Epoch 69/1000, Train Loss: 1.2082, Validation Loss: 1.1292
Epoch 70/1000, Train Loss: 1.1334, Validation Loss: 1.2376
Epoch 71/1000, Train Loss: 1.2749, Validation Loss: 1.9625
Epoch 72/1000, Train Loss: 1.3566, Validation Loss: 1.5246
Epoch 73/1000, Train Loss: 1.1732, Validation Loss: 3.1003
Epoch 74/1000, Train Loss: 1.1404, Validation Loss: 3.0491
Epoch 75/1000, Train Loss: 1.1365, Validation Loss: 1.2974
Epoch 76/1000, Train Loss: 1.1559, Validation Loss: 2.3276
Epoch 77/1000, Train Loss: 1.1966, Validation Loss: 1.0652
Epoch 78/1000, Train Loss: 1.1485, Validation Loss: 1.1899
Epoch 79/1000, Train Loss: 1.1950, Validation Loss: 3.4332
Epoch 80/1000, Train Loss: 1.2440, Validation Loss: 1.9458
Epoch 81/1000, Train Loss: 1.1958, Validation Loss: 2.4502
Epoch 82/1000, Train Loss: 1.1970, Validation Loss: 2.4915
Epoch 83/1000, Train Loss: 1.2088, Validation Loss: 1.1494
Epoch 84/1000, Train Loss: 1.2785, Validation Loss: 1.1814
Epoch 85/1000, Train Loss: 1.2749, Validation Loss: 2.4069
Epoch 86/1000, Train Loss: 1.0381, Validation Loss: 1.8121
Epoch 87/1000, Train Loss: 0.9843, Validation Loss: 1.5643
Epoch 88/1000, Train Loss: 1.0662, Validation Loss: 2.7666
Epoch 89/1000, Train Loss: 1.1690, Validation Loss: 1.8069
Epoch 90/1000, Train Loss: 1.1281, Validation Loss: 1.4003
Epoch 91/1000, Train Loss: 1.1613, Validation Loss: 1.4461
Epoch 92/1000, Train Loss: 1.3136, Validation Loss: 2.6482
Epoch 93/1000, Train Loss: 1.2732, Validation Loss: 1.5306
Epoch 94/1000, Train Loss: 1.2890, Validation Loss: 1.9999
Epoch 95/1000, Train Loss: 1.2640, Validation Loss: 2.3981
Epoch 96/1000, Train Loss: 1.2167, Validation Loss: 2.9618
Epoch 97/1000, Train Loss: 1.1923, Validation Loss: 1.0486
Epoch 98/1000, Train Loss: 1.2562, Validation Loss: 1.9781
Epoch 99/1000, Train Loss: 1.1744, Validation Loss: 1.3053
Epoch 100/1000, Train Loss: 1.2343, Validation Loss: 4.4926
Epoch 101/1000, Train Loss: 1.2027, Validation Loss: 1.7949
Epoch 102/1000, Train Loss: 1.1820, Validation Loss: 1.6049
Epoch 103/1000, Train Loss: 1.1244, Validation Loss: 1.2012
Epoch 104/1000, Train Loss: 1.1193, Validation Loss: 2.5338
Epoch 105/1000, Train Loss: 1.0888, Validation Loss: 1.6056
Epoch 106/1000, Train Loss: 1.2939, Validation Loss: 2.8686
Epoch 107/1000, Train Loss: 1.1427, Validation Loss: 1.0121
Epoch 108/1000, Train Loss: 1.0931, Validation Loss: 1.8937
Epoch 109/1000, Train Loss: 1.2145, Validation Loss: 1.5320
Epoch 110/1000, Train Loss: 1.3086, Validation Loss: 2.4265
Epoch 111/1000, Train Loss: 1.2239, Validation Loss: 2.2805
Epoch 112/1000, Train Loss: 1.2294, Validation Loss: 1.1831
Epoch 113/1000, Train Loss: 1.1570, Validation Loss: 0.9800
Epoch 114/1000, Train Loss: 1.1698, Validation Loss: 1.6762
Epoch 115/1000, Train Loss: 1.1610, Validation Loss: 1.4551
Epoch 116/1000, Train Loss: 1.1665, Validation Loss: 1.3310
Epoch 117/1000, Train Loss: 1.1733, Validation Loss: 2.3326
Epoch 118/1000, Train Loss: 1.1741, Validation Loss: 4.8798
Epoch 119/1000, Train Loss: 1.1702, Validation Loss: 3.5935
Epoch 120/1000, Train Loss: 1.1422, Validation Loss: 1.9780
Epoch 121/1000, Train Loss: 1.1793, Validation Loss: 1.7872
Epoch 122/1000, Train Loss: 1.1611, Validation Loss: 1.0378
Epoch 123/1000, Train Loss: 1.1200, Validation Loss: 1.6833
Epoch 124/1000, Train Loss: 1.2129, Validation Loss: 3.2150
Epoch 125/1000, Train Loss: 1.1691, Validation Loss: 1.3340
Epoch 126/1000, Train Loss: 1.6251, Validation Loss: 1.0816
Epoch 127/1000, Train Loss: 1.1873, Validation Loss: 5.4591
Epoch 128/1000, Train Loss: 1.1439, Validation Loss: 2.0315
Epoch 129/1000, Train Loss: 1.1809, Validation Loss: 5.0663
Epoch 130/1000, Train Loss: 1.1952, Validation Loss: 1.6877
Epoch 131/1000, Train Loss: 1.1328, Validation Loss: 3.4885
Epoch 132/1000, Train Loss: 1.1558, Validation Loss: 2.7638
Epoch 133/1000, Train Loss: 1.1623, Validation Loss: 1.7743
Epoch 134/1000, Train Loss: 1.1679, Validation Loss: 11.4859
Epoch 135/1000, Train Loss: 1.1898, Validation Loss: 1.9952
Epoch 136/1000, Train Loss: 1.1768, Validation Loss: 2.8181
Epoch 137/1000, Train Loss: 1.1903, Validation Loss: 2.2497
Epoch 138/1000, Train Loss: 1.2386, Validation Loss: 2.3353
Epoch 139/1000, Train Loss: 1.1992, Validation Loss: 1.1121
Epoch 140/1000, Train Loss: 1.1962, Validation Loss: 2.3278
Epoch 141/1000, Train Loss: 1.1933, Validation Loss: 2.1105
Epoch 142/1000, Train Loss: 1.0967, Validation Loss: 1.2540
Epoch 143/1000, Train Loss: 1.1386, Validation Loss: 6.8534
Epoch 144/1000, Train Loss: 1.1691, Validation Loss: 1.3138
Epoch 145/1000, Train Loss: 1.1186, Validation Loss: 4.8682
Epoch 146/1000, Train Loss: 1.1087, Validation Loss: 5.5533
Epoch 147/1000, Train Loss: 1.1145, Validation Loss: 1.6127
Epoch 148/1000, Train Loss: 1.1536, Validation Loss: 1.7274
Epoch 149/1000, Train Loss: 1.1903, Validation Loss: 1.4536
Epoch 150/1000, Train Loss: 1.1554, Validation Loss: 3.5759
Epoch 151/1000, Train Loss: 1.1662, Validation Loss: 1.4786
Epoch 152/1000, Train Loss: 1.1903, Validation Loss: 1.1369
Epoch 153/1000, Train Loss: 1.1713, Validation Loss: 7.7100
Epoch 154/1000, Train Loss: 1.2169, Validation Loss: 3.2879
Epoch 155/1000, Train Loss: 1.1427, Validation Loss: 2.6828
Epoch 156/1000, Train Loss: 1.2007, Validation Loss: 6.1869
