Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-6iqdmttf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.3104, Validation Loss: 7.8041
Epoch 2/1000, Train Loss: 6.8309, Validation Loss: 6.1063
Epoch 3/1000, Train Loss: 4.7103, Validation Loss: 7.7818
Epoch 4/1000, Train Loss: 3.7404, Validation Loss: 3.0041
Epoch 5/1000, Train Loss: 4.8068, Validation Loss: 4.3731
Epoch 6/1000, Train Loss: 4.3122, Validation Loss: 4.4652
Epoch 7/1000, Train Loss: 4.1359, Validation Loss: 5.9747
Epoch 8/1000, Train Loss: 5.0564, Validation Loss: 3.2251
Epoch 9/1000, Train Loss: 14.2376, Validation Loss: 6.2904
Epoch 10/1000, Train Loss: 6.2445, Validation Loss: 6.4152
Epoch 11/1000, Train Loss: 3.6272, Validation Loss: 4.9948
Epoch 12/1000, Train Loss: 2.3251, Validation Loss: 7.4640
Epoch 13/1000, Train Loss: 2.4962, Validation Loss: 2.6083
Epoch 14/1000, Train Loss: 4.1101, Validation Loss: 6.5107
Epoch 15/1000, Train Loss: 2.7717, Validation Loss: 7.2923
Epoch 16/1000, Train Loss: 1.8677, Validation Loss: 5.9667
Epoch 17/1000, Train Loss: 1.8453, Validation Loss: 4.3415
Epoch 18/1000, Train Loss: 1.7741, Validation Loss: 5.9816
Epoch 19/1000, Train Loss: 1.6778, Validation Loss: 2.5906
Epoch 20/1000, Train Loss: 1.6282, Validation Loss: 4.3215
Epoch 21/1000, Train Loss: 2.8573, Validation Loss: 13.0515
Epoch 22/1000, Train Loss: 2.4631, Validation Loss: 5.7037
Epoch 23/1000, Train Loss: 2.5808, Validation Loss: 4.2375
Epoch 24/1000, Train Loss: 2.0843, Validation Loss: 3.3347
Epoch 25/1000, Train Loss: 2.0954, Validation Loss: 4.3063
Epoch 26/1000, Train Loss: 2.5322, Validation Loss: 3.9561
Epoch 27/1000, Train Loss: 2.2610, Validation Loss: 1.6784
Epoch 28/1000, Train Loss: 2.3440, Validation Loss: 2.9062
Epoch 29/1000, Train Loss: 2.0501, Validation Loss: 4.3964
Epoch 30/1000, Train Loss: 3.1283, Validation Loss: 4.3143
Epoch 31/1000, Train Loss: 32.8314, Validation Loss: 2.6738
Epoch 32/1000, Train Loss: 2.5486, Validation Loss: 3.6479
Epoch 33/1000, Train Loss: 2.4119, Validation Loss: 1.7260
Epoch 34/1000, Train Loss: 2.4498, Validation Loss: 2.4764
Epoch 35/1000, Train Loss: 1.9606, Validation Loss: 1.8947
Epoch 36/1000, Train Loss: 2.6616, Validation Loss: 4.5007
Epoch 37/1000, Train Loss: 2.3601, Validation Loss: 11.9509
Epoch 38/1000, Train Loss: 4.1479, Validation Loss: 7.2822
Epoch 39/1000, Train Loss: 2.1589, Validation Loss: 2.3256
Epoch 40/1000, Train Loss: 2.1342, Validation Loss: 2.7562
Epoch 41/1000, Train Loss: 3.1889, Validation Loss: 1.5891
Epoch 42/1000, Train Loss: 1.7298, Validation Loss: 1.1978
Epoch 43/1000, Train Loss: 3.6807, Validation Loss: 1.6453
Epoch 44/1000, Train Loss: 1.9170, Validation Loss: 27.8505
Epoch 45/1000, Train Loss: 1.8717, Validation Loss: 3.7702
Epoch 46/1000, Train Loss: 2.0762, Validation Loss: 2.5153
Epoch 47/1000, Train Loss: 2.1420, Validation Loss: 4.1423
Epoch 48/1000, Train Loss: 52.6807, Validation Loss: 18.2496
Epoch 49/1000, Train Loss: 2.2340, Validation Loss: 2.4495
Epoch 50/1000, Train Loss: 770.5199, Validation Loss: 2.4515
Epoch 51/1000, Train Loss: 2.1487, Validation Loss: 3.7088
Epoch 52/1000, Train Loss: 2.4264, Validation Loss: 24.0292
Epoch 53/1000, Train Loss: 4.5236, Validation Loss: 2.6989
Epoch 54/1000, Train Loss: 1.8725, Validation Loss: 2.9850
Epoch 55/1000, Train Loss: 2.1392, Validation Loss: 3.1465
Epoch 56/1000, Train Loss: 1.9456, Validation Loss: 8.3219
Epoch 57/1000, Train Loss: 1.9414, Validation Loss: 13.7573
Epoch 58/1000, Train Loss: 5.9515, Validation Loss: 4.0239
Epoch 59/1000, Train Loss: 1.8125, Validation Loss: 3.9175
Epoch 60/1000, Train Loss: 3028.6063, Validation Loss: 2.4394
Epoch 61/1000, Train Loss: 2.1153, Validation Loss: 4.4881
Epoch 62/1000, Train Loss: 81.0668, Validation Loss: 1.5626
Epoch 63/1000, Train Loss: 2.5103, Validation Loss: 3.1375
Epoch 64/1000, Train Loss: 1.9040, Validation Loss: 6.9159
Epoch 65/1000, Train Loss: 2.8050, Validation Loss: 5.6333
Epoch 66/1000, Train Loss: 18.7564, Validation Loss: 16.4307
Epoch 67/1000, Train Loss: 1.9216, Validation Loss: 2.2950
Epoch 68/1000, Train Loss: 2.3231, Validation Loss: 3.6146
Epoch 69/1000, Train Loss: 1.8355, Validation Loss: 6.1138
Epoch 70/1000, Train Loss: 1.8688, Validation Loss: 21.9543
Epoch 71/1000, Train Loss: 1.8551, Validation Loss: 32.1797
Epoch 72/1000, Train Loss: 3.9927, Validation Loss: 7.0954
Epoch 73/1000, Train Loss: 1.6487, Validation Loss: 19.6521
Epoch 74/1000, Train Loss: 1.8616, Validation Loss: 3.2172
Epoch 75/1000, Train Loss: 1.6144, Validation Loss: 2.7073
Epoch 76/1000, Train Loss: 1.8318, Validation Loss: 6.7453
Epoch 77/1000, Train Loss: 1.8778, Validation Loss: 1.6706
Epoch 78/1000, Train Loss: 1.5295, Validation Loss: 26.5426
Epoch 79/1000, Train Loss: 1.4016, Validation Loss: 4.8682
Epoch 80/1000, Train Loss: 1.5359, Validation Loss: 5.3796
Epoch 81/1000, Train Loss: 1.5054, Validation Loss: 1.3666
Epoch 82/1000, Train Loss: 2.0323, Validation Loss: 3.6247
Epoch 83/1000, Train Loss: 1.8432, Validation Loss: 1.6947
Epoch 84/1000, Train Loss: 4.9829, Validation Loss: 4.7609
Epoch 85/1000, Train Loss: 1.9218, Validation Loss: 5.4093
Epoch 86/1000, Train Loss: 3.0123, Validation Loss: 4.4432
Epoch 87/1000, Train Loss: 1.8225, Validation Loss: 1.5179
Epoch 88/1000, Train Loss: 2.5541, Validation Loss: 3.8683
Epoch 89/1000, Train Loss: 2.3355, Validation Loss: 3.1763
Epoch 90/1000, Train Loss: 1.9947, Validation Loss: 4.1478
Epoch 91/1000, Train Loss: 1.8838, Validation Loss: 4.7553
Epoch 92/1000, Train Loss: 2.0054, Validation Loss: 2.6209
Epoch 93/1000, Train Loss: 1.8292, Validation Loss: 112.8228
Epoch 94/1000, Train Loss: 1.7441, Validation Loss: 2.3092
Epoch 95/1000, Train Loss: 1.9095, Validation Loss: 6.7319
Epoch 96/1000, Train Loss: 2.8766, Validation Loss: 3.8290
Epoch 97/1000, Train Loss: 5.5505, Validation Loss: 8.5004
Epoch 98/1000, Train Loss: 1.9700, Validation Loss: 1.8763
