Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-ztdzca8t
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.6990, Validation Loss: 6.5910
Epoch 2/1000, Train Loss: 13.0291, Validation Loss: 6.0867
Epoch 3/1000, Train Loss: 50.8576, Validation Loss: 6.0696
Epoch 4/1000, Train Loss: 448.8139, Validation Loss: 6.0758
Epoch 5/1000, Train Loss: 8.7698, Validation Loss: 6.1225
Epoch 6/1000, Train Loss: 6.4870, Validation Loss: 6.1268
Epoch 7/1000, Train Loss: 7.0089, Validation Loss: 6.1447
Epoch 8/1000, Train Loss: 7.0488, Validation Loss: 6.1878
Epoch 9/1000, Train Loss: 6.2559, Validation Loss: 6.0751
Epoch 10/1000, Train Loss: 6.4756, Validation Loss: 6.2578
Epoch 11/1000, Train Loss: 8.3981, Validation Loss: 6.2813
Epoch 12/1000, Train Loss: 8.7037, Validation Loss: 6.2959
Epoch 13/1000, Train Loss: 13218.2514, Validation Loss: 6.1864
Epoch 14/1000, Train Loss: 6.2738, Validation Loss: 6.1122
Epoch 15/1000, Train Loss: 17.5059, Validation Loss: 6.0819
Epoch 16/1000, Train Loss: 10.4652, Validation Loss: 6.0937
Epoch 17/1000, Train Loss: 7.2314, Validation Loss: 6.3802
Epoch 18/1000, Train Loss: 43.6603, Validation Loss: 6.1352
Epoch 19/1000, Train Loss: 9.1769, Validation Loss: 6.0762
Epoch 20/1000, Train Loss: 6.8377, Validation Loss: 6.0698
Epoch 21/1000, Train Loss: 15.2185, Validation Loss: 6.1106
Epoch 22/1000, Train Loss: 12.1024, Validation Loss: 6.2997
Epoch 23/1000, Train Loss: 27330.7672, Validation Loss: 6.0828
Epoch 24/1000, Train Loss: 6.3142, Validation Loss: 6.0731
Epoch 25/1000, Train Loss: 6.5911, Validation Loss: 6.0738
Epoch 26/1000, Train Loss: 6.3368, Validation Loss: 6.2103
