Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-y67gfhts
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.7641, Validation Loss: 3.8290
Epoch 2/1000, Train Loss: 2.9020, Validation Loss: 7.3152
Epoch 3/1000, Train Loss: 2.5111, Validation Loss: 1.7311
Epoch 4/1000, Train Loss: 2.7034, Validation Loss: 7.8869
Epoch 5/1000, Train Loss: 2.4230, Validation Loss: 2.7683
Epoch 6/1000, Train Loss: 2.1786, Validation Loss: 3.2236
Epoch 7/1000, Train Loss: 2.1279, Validation Loss: 1.8295
Epoch 8/1000, Train Loss: 2.0700, Validation Loss: 1.7140
Epoch 9/1000, Train Loss: 2.0905, Validation Loss: 2.2629
Epoch 10/1000, Train Loss: 2.2039, Validation Loss: 4.9998
Epoch 11/1000, Train Loss: 21.0780, Validation Loss: 1.6184
Epoch 12/1000, Train Loss: 2.0046, Validation Loss: 1.9998
Epoch 13/1000, Train Loss: 2.4093, Validation Loss: 2.2968
Epoch 14/1000, Train Loss: 1.6998, Validation Loss: 1.5134
Epoch 15/1000, Train Loss: 2.5287, Validation Loss: 1.5944
Epoch 16/1000, Train Loss: 1.8180, Validation Loss: 1.2986
Epoch 17/1000, Train Loss: 2.4178, Validation Loss: 4.2037
Epoch 18/1000, Train Loss: 2.0292, Validation Loss: 2.5282
Epoch 19/1000, Train Loss: 2.1365, Validation Loss: 3.5556
Epoch 20/1000, Train Loss: 5.5340, Validation Loss: 3.8022
Epoch 21/1000, Train Loss: 1.7248, Validation Loss: 1.4682
Epoch 22/1000, Train Loss: 1.6145, Validation Loss: 1.5941
Epoch 23/1000, Train Loss: 1.6856, Validation Loss: 2.3820
Epoch 24/1000, Train Loss: 1.4897, Validation Loss: 2.2859
Epoch 25/1000, Train Loss: 1.4118, Validation Loss: 1.3126
Epoch 26/1000, Train Loss: 1.6116, Validation Loss: 2.9205
Epoch 27/1000, Train Loss: 1.7238, Validation Loss: 5.0325
Epoch 28/1000, Train Loss: 1.4999, Validation Loss: 3.3915
Epoch 29/1000, Train Loss: 1.4417, Validation Loss: 5.4667
Epoch 30/1000, Train Loss: 1.4281, Validation Loss: 2.1434
Epoch 31/1000, Train Loss: 1.3935, Validation Loss: 1.3984
Epoch 32/1000, Train Loss: 1.4457, Validation Loss: 2.1591
Epoch 33/1000, Train Loss: 1.5724, Validation Loss: 6.4733
Epoch 34/1000, Train Loss: 1.4042, Validation Loss: 1.9891
Epoch 35/1000, Train Loss: 1.4245, Validation Loss: 3.6214
Epoch 36/1000, Train Loss: 1.4142, Validation Loss: 5.1000
Epoch 37/1000, Train Loss: 1.3016, Validation Loss: 3.8171
Epoch 38/1000, Train Loss: 1.2866, Validation Loss: 3.2368
Epoch 39/1000, Train Loss: 1.7530, Validation Loss: 3.4983
Epoch 40/1000, Train Loss: 1.6449, Validation Loss: 26.9038
Epoch 41/1000, Train Loss: 1.7012, Validation Loss: 3.4165
Epoch 42/1000, Train Loss: 1.9907, Validation Loss: 1.7421
Epoch 43/1000, Train Loss: 1.5641, Validation Loss: 1.9013
Epoch 44/1000, Train Loss: 1.5652, Validation Loss: 2.8162
Epoch 45/1000, Train Loss: 1.3423, Validation Loss: 9.2135
Epoch 46/1000, Train Loss: 1.3880, Validation Loss: 2.2900
Epoch 47/1000, Train Loss: 1.3084, Validation Loss: 4.7753
Epoch 48/1000, Train Loss: 1.9240, Validation Loss: 2.3640
Epoch 49/1000, Train Loss: 1.9053, Validation Loss: 1.6432
Epoch 50/1000, Train Loss: 1.4351, Validation Loss: 2.9440
Epoch 51/1000, Train Loss: 1.3987, Validation Loss: 1.3524
Epoch 52/1000, Train Loss: 1.2358, Validation Loss: 1.3454
Epoch 53/1000, Train Loss: 1.7407, Validation Loss: 3.3881
