Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-fmbi5hhz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.5364, Validation Loss: 4.2645
Epoch 2/1000, Train Loss: 2.3957, Validation Loss: 2.5094
Epoch 3/1000, Train Loss: 2.3026, Validation Loss: 3.5681
Epoch 4/1000, Train Loss: 2.1608, Validation Loss: 5.1998
Epoch 5/1000, Train Loss: 2.1385, Validation Loss: 2.4159
Epoch 6/1000, Train Loss: 1.8927, Validation Loss: 1.4307
Epoch 7/1000, Train Loss: 1.9757, Validation Loss: 6.6387
Epoch 8/1000, Train Loss: 1.9211, Validation Loss: 1.6247
Epoch 9/1000, Train Loss: 1.9651, Validation Loss: 2.0693
Epoch 10/1000, Train Loss: 2.0222, Validation Loss: 1.2493
Epoch 11/1000, Train Loss: 1.6328, Validation Loss: 1.5727
Epoch 12/1000, Train Loss: 1.7618, Validation Loss: 1.3293
Epoch 13/1000, Train Loss: 1.8679, Validation Loss: 1.3265
Epoch 14/1000, Train Loss: 1.9188, Validation Loss: 2.5344
Epoch 15/1000, Train Loss: 1.8692, Validation Loss: 2.0431
Epoch 16/1000, Train Loss: 1.9528, Validation Loss: 2.9636
Epoch 17/1000, Train Loss: 3.3777, Validation Loss: 1.9226
Epoch 18/1000, Train Loss: 1.5867, Validation Loss: 2.0796
Epoch 19/1000, Train Loss: 1.6325, Validation Loss: 4.5366
Epoch 20/1000, Train Loss: 2.0664, Validation Loss: 2.3948
Epoch 21/1000, Train Loss: 1.6485, Validation Loss: 1.2814
Epoch 22/1000, Train Loss: 1.5234, Validation Loss: 5.0031
Epoch 23/1000, Train Loss: 1.7701, Validation Loss: 3.0179
Epoch 24/1000, Train Loss: 1.9389, Validation Loss: 2.3683
Epoch 25/1000, Train Loss: 1.6955, Validation Loss: 4.8859
Epoch 26/1000, Train Loss: 1.6350, Validation Loss: 1.3090
Epoch 27/1000, Train Loss: 1.8293, Validation Loss: 4.6324
Epoch 28/1000, Train Loss: 1.6699, Validation Loss: 2.2422
Epoch 29/1000, Train Loss: 1.5836, Validation Loss: 1.7666
Epoch 30/1000, Train Loss: 1.4871, Validation Loss: 1.2459
Epoch 31/1000, Train Loss: 1.3618, Validation Loss: 3.8546
Epoch 32/1000, Train Loss: 1.6587, Validation Loss: 1.1106
Epoch 33/1000, Train Loss: 1.5320, Validation Loss: 1.1628
Epoch 34/1000, Train Loss: 1.6559, Validation Loss: 1.3973
Epoch 35/1000, Train Loss: 1.4769, Validation Loss: 1.7135
Epoch 36/1000, Train Loss: 1.1939, Validation Loss: 1.3084
Epoch 37/1000, Train Loss: 1.6658, Validation Loss: 1.3679
Epoch 38/1000, Train Loss: 1.6555, Validation Loss: 1.1783
Epoch 39/1000, Train Loss: 1.6474, Validation Loss: 3.4638
Epoch 40/1000, Train Loss: 1.7652, Validation Loss: 1.6748
Epoch 41/1000, Train Loss: 1.7358, Validation Loss: 3.1709
Epoch 42/1000, Train Loss: 1.6850, Validation Loss: 4.9158
Epoch 43/1000, Train Loss: 1.5175, Validation Loss: 1.3767
Epoch 44/1000, Train Loss: 1.5972, Validation Loss: 1.5809
Epoch 45/1000, Train Loss: 1.5693, Validation Loss: 3.5336
Epoch 46/1000, Train Loss: 1.6286, Validation Loss: 1.8438
Epoch 47/1000, Train Loss: 1.6514, Validation Loss: 3.1808
Epoch 48/1000, Train Loss: 1.6618, Validation Loss: 3.4262
Epoch 49/1000, Train Loss: 1.6933, Validation Loss: 2.2115
Epoch 50/1000, Train Loss: 1.6371, Validation Loss: 1.4961
Epoch 51/1000, Train Loss: 1.6832, Validation Loss: 1.3104
Epoch 52/1000, Train Loss: 1.6376, Validation Loss: 8.0116
Epoch 53/1000, Train Loss: 1.6018, Validation Loss: 3.6506
Epoch 54/1000, Train Loss: 1.5465, Validation Loss: 2.1198
Epoch 55/1000, Train Loss: 1.5740, Validation Loss: 3.7931
Epoch 56/1000, Train Loss: 1.4768, Validation Loss: 3.2179
Epoch 57/1000, Train Loss: 1.4258, Validation Loss: 1.2232
Epoch 58/1000, Train Loss: 1.4204, Validation Loss: 2.4782
Epoch 59/1000, Train Loss: 1.2923, Validation Loss: 1.3974
Epoch 60/1000, Train Loss: 1.3400, Validation Loss: 2.9638
Epoch 61/1000, Train Loss: 1.2977, Validation Loss: 3.8551
Epoch 62/1000, Train Loss: 1.2576, Validation Loss: 2.1595
Epoch 63/1000, Train Loss: 1.2205, Validation Loss: 2.3028
Epoch 64/1000, Train Loss: 1.2978, Validation Loss: 2.8392
Epoch 65/1000, Train Loss: 1.2640, Validation Loss: 1.8354
Epoch 66/1000, Train Loss: 1.2840, Validation Loss: 1.1384
Epoch 67/1000, Train Loss: 1.2361, Validation Loss: 1.0374
Epoch 68/1000, Train Loss: 1.1163, Validation Loss: 1.2195
Epoch 69/1000, Train Loss: 1.1028, Validation Loss: 2.3172
Epoch 70/1000, Train Loss: 1.1652, Validation Loss: 0.9220
Epoch 71/1000, Train Loss: 1.1866, Validation Loss: 1.2622
Epoch 72/1000, Train Loss: 1.1779, Validation Loss: 1.2109
Epoch 73/1000, Train Loss: 1.1818, Validation Loss: 3.5272
Epoch 74/1000, Train Loss: 1.5671, Validation Loss: 2.2593
Epoch 75/1000, Train Loss: 1.1948, Validation Loss: 2.3287
Epoch 76/1000, Train Loss: 1.1544, Validation Loss: 0.9944
Epoch 77/1000, Train Loss: 1.1533, Validation Loss: 1.0847
Epoch 78/1000, Train Loss: 1.1872, Validation Loss: 0.9722
Epoch 79/1000, Train Loss: 1.2907, Validation Loss: 2.2249
Epoch 80/1000, Train Loss: 1.2690, Validation Loss: 2.1602
Epoch 81/1000, Train Loss: 1.2344, Validation Loss: 9.1248
Epoch 82/1000, Train Loss: 1.2145, Validation Loss: 2.0076
Epoch 83/1000, Train Loss: 1.1408, Validation Loss: 1.1516
Epoch 84/1000, Train Loss: 1.1166, Validation Loss: 1.9367
Epoch 85/1000, Train Loss: 1.0670, Validation Loss: 1.0512
Epoch 86/1000, Train Loss: 1.2273, Validation Loss: 2.4941
Epoch 87/1000, Train Loss: 1.1394, Validation Loss: 1.5052
Epoch 88/1000, Train Loss: 1.1709, Validation Loss: 2.2524
Epoch 89/1000, Train Loss: 1.1902, Validation Loss: 1.2519
Epoch 90/1000, Train Loss: 1.2311, Validation Loss: 1.2884
Epoch 91/1000, Train Loss: 1.2227, Validation Loss: 1.7883
Epoch 92/1000, Train Loss: 1.2659, Validation Loss: 1.6242
Epoch 93/1000, Train Loss: 1.2534, Validation Loss: 3.3725
Epoch 94/1000, Train Loss: 1.2342, Validation Loss: 2.0507
Epoch 95/1000, Train Loss: 1.2012, Validation Loss: 1.1594
Epoch 96/1000, Train Loss: 1.2792, Validation Loss: 5.3726
Epoch 97/1000, Train Loss: 1.1785, Validation Loss: 1.8638
Epoch 98/1000, Train Loss: 1.2891, Validation Loss: 9.9358
Epoch 99/1000, Train Loss: 1.1666, Validation Loss: 1.8646
Epoch 100/1000, Train Loss: 1.1349, Validation Loss: 3.2374
Epoch 101/1000, Train Loss: 1.1529, Validation Loss: 1.4126
Epoch 102/1000, Train Loss: 1.2081, Validation Loss: 4.8833
Epoch 103/1000, Train Loss: 1.1528, Validation Loss: 1.2573
Epoch 104/1000, Train Loss: 1.3346, Validation Loss: 3.2195
Epoch 105/1000, Train Loss: 1.1414, Validation Loss: 4.6202
Epoch 106/1000, Train Loss: 1.1475, Validation Loss: 1.0784
Epoch 107/1000, Train Loss: 1.1455, Validation Loss: 1.5995
Epoch 108/1000, Train Loss: 1.1245, Validation Loss: 1.5101
Epoch 109/1000, Train Loss: 1.1474, Validation Loss: 4.6818
Epoch 110/1000, Train Loss: 1.1592, Validation Loss: 2.1284
Epoch 111/1000, Train Loss: 1.0516, Validation Loss: 1.4665
Epoch 112/1000, Train Loss: 1.1037, Validation Loss: 1.2845
Epoch 113/1000, Train Loss: 1.1154, Validation Loss: 1.2002
Epoch 114/1000, Train Loss: 1.3523, Validation Loss: 4.6128
Epoch 115/1000, Train Loss: 1.1617, Validation Loss: 1.5969
Epoch 116/1000, Train Loss: 1.1108, Validation Loss: 4.4796
Epoch 117/1000, Train Loss: 1.1727, Validation Loss: 1.0832
Epoch 118/1000, Train Loss: 1.1146, Validation Loss: 2.4368
Epoch 119/1000, Train Loss: 1.1261, Validation Loss: 1.4467
Epoch 120/1000, Train Loss: 1.1302, Validation Loss: 2.0393
Epoch 121/1000, Train Loss: 1.1363, Validation Loss: 1.8502
Epoch 122/1000, Train Loss: 1.1619, Validation Loss: 2.3211
Epoch 123/1000, Train Loss: 1.2230, Validation Loss: 0.8840
Epoch 124/1000, Train Loss: 1.1676, Validation Loss: 1.1176
Epoch 125/1000, Train Loss: 1.1456, Validation Loss: 1.3934
Epoch 126/1000, Train Loss: 1.1320, Validation Loss: 3.0757
Epoch 127/1000, Train Loss: 1.1087, Validation Loss: 9.0471
Epoch 128/1000, Train Loss: 1.1163, Validation Loss: 1.0587
Epoch 129/1000, Train Loss: 1.1187, Validation Loss: 3.9711
Epoch 130/1000, Train Loss: 1.1710, Validation Loss: 3.0723
Epoch 131/1000, Train Loss: 1.2076, Validation Loss: 1.1810
Epoch 132/1000, Train Loss: 1.1660, Validation Loss: 1.1713
Epoch 133/1000, Train Loss: 1.1511, Validation Loss: 1.5134
Epoch 134/1000, Train Loss: 1.1286, Validation Loss: 5.9367
Epoch 135/1000, Train Loss: 1.0791, Validation Loss: 2.2594
Epoch 136/1000, Train Loss: 1.1538, Validation Loss: 18.6073
Epoch 137/1000, Train Loss: 1.1779, Validation Loss: 1.4711
Epoch 138/1000, Train Loss: 1.1443, Validation Loss: 3.3418
Epoch 139/1000, Train Loss: 1.1364, Validation Loss: 1.9534
Epoch 140/1000, Train Loss: 1.1504, Validation Loss: 2.0815
Epoch 141/1000, Train Loss: 1.2375, Validation Loss: 1.6874
Epoch 142/1000, Train Loss: 1.1882, Validation Loss: 16.8627
Epoch 143/1000, Train Loss: 1.2268, Validation Loss: 1.1520
Epoch 144/1000, Train Loss: 1.2701, Validation Loss: 2.3107
Epoch 145/1000, Train Loss: 1.2142, Validation Loss: 1.4193
Epoch 146/1000, Train Loss: 1.2118, Validation Loss: 1.4011
Epoch 147/1000, Train Loss: 1.5776, Validation Loss: 5.8603
Epoch 148/1000, Train Loss: 1.1647, Validation Loss: 1.3038
Epoch 149/1000, Train Loss: 1.1220, Validation Loss: 0.8955
Epoch 150/1000, Train Loss: 1.1335, Validation Loss: 2.4242
Epoch 151/1000, Train Loss: 1.1624, Validation Loss: 2.2909
