Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-3i5ns2hi
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 81.4665, Validation Loss: 4.2527
Epoch 2/1000, Train Loss: 3.1747, Validation Loss: 2.7867
Epoch 3/1000, Train Loss: 2.5681, Validation Loss: 2.1811
Epoch 4/1000, Train Loss: 2.2923, Validation Loss: 2.2329
Epoch 5/1000, Train Loss: 2.4828, Validation Loss: 3.1451
Epoch 6/1000, Train Loss: 2.2797, Validation Loss: 3.3142
Epoch 7/1000, Train Loss: 2.0468, Validation Loss: 2.1157
Epoch 8/1000, Train Loss: 1.5431, Validation Loss: 1.5210
Epoch 9/1000, Train Loss: 1.4604, Validation Loss: 3.6310
Epoch 10/1000, Train Loss: 1.4422, Validation Loss: 2.6822
Epoch 11/1000, Train Loss: 1.8184, Validation Loss: 1.3302
Epoch 12/1000, Train Loss: 1.6465, Validation Loss: 1.8711
Epoch 13/1000, Train Loss: 6.7836, Validation Loss: 2.1957
Epoch 14/1000, Train Loss: 1.6532, Validation Loss: 3.1831
Epoch 15/1000, Train Loss: 1.6518, Validation Loss: 3.2256
Epoch 16/1000, Train Loss: 1.6486, Validation Loss: 2.5424
Epoch 17/1000, Train Loss: 1.7640, Validation Loss: 1.6444
Epoch 18/1000, Train Loss: 1.4244, Validation Loss: 3.1102
Epoch 19/1000, Train Loss: 1.3637, Validation Loss: 4.4341
Epoch 20/1000, Train Loss: 1.6272, Validation Loss: 2.3536
Epoch 21/1000, Train Loss: 1.4817, Validation Loss: 1.0841
Epoch 22/1000, Train Loss: 1.4722, Validation Loss: 1.3982
Epoch 23/1000, Train Loss: 1.6104, Validation Loss: 3.5687
Epoch 24/1000, Train Loss: 1.4627, Validation Loss: 3.5501
Epoch 25/1000, Train Loss: 1.3645, Validation Loss: 1.4290
Epoch 26/1000, Train Loss: 1.7425, Validation Loss: 2.6892
Epoch 27/1000, Train Loss: 1.3932, Validation Loss: 1.8137
Epoch 28/1000, Train Loss: 1.4357, Validation Loss: 1.6690
Epoch 29/1000, Train Loss: 1.5009, Validation Loss: 2.2258
Epoch 30/1000, Train Loss: 1.4377, Validation Loss: 2.0704
Epoch 31/1000, Train Loss: 1.5335, Validation Loss: 2.4549
