Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-wbxtg325
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 9.5554, Validation Loss: 6.4233
Epoch 2/1000, Train Loss: 6.0523, Validation Loss: 2.6247
Epoch 3/1000, Train Loss: 3.6302, Validation Loss: 3.0494
Epoch 4/1000, Train Loss: 3.7804, Validation Loss: 3.7745
Epoch 5/1000, Train Loss: 3.5879, Validation Loss: 15.2070
Epoch 6/1000, Train Loss: 3.3454, Validation Loss: 4.8006
Epoch 7/1000, Train Loss: 6.3081, Validation Loss: 3.7582
Epoch 8/1000, Train Loss: 3.2612, Validation Loss: 6.8040
Epoch 9/1000, Train Loss: 2.9281, Validation Loss: 3.2360
Epoch 10/1000, Train Loss: 2.8032, Validation Loss: 3.5141
Epoch 11/1000, Train Loss: 2.9067, Validation Loss: 3.1148
Epoch 12/1000, Train Loss: 2.7349, Validation Loss: 3.1333
Epoch 13/1000, Train Loss: 2.7585, Validation Loss: 3.1836
Epoch 14/1000, Train Loss: 2.6222, Validation Loss: 8.7850
Epoch 15/1000, Train Loss: 2.5852, Validation Loss: 2.7523
Epoch 16/1000, Train Loss: 2.5861, Validation Loss: 2.9014
Epoch 17/1000, Train Loss: 2.5713, Validation Loss: 5.9388
Epoch 18/1000, Train Loss: 2.6399, Validation Loss: 4.3926
Epoch 19/1000, Train Loss: 2.8667, Validation Loss: 2.9665
Epoch 20/1000, Train Loss: 4.2039, Validation Loss: 5.3491
Epoch 21/1000, Train Loss: 3.9430, Validation Loss: 3.1318
Epoch 22/1000, Train Loss: 3.1552, Validation Loss: 6.3531
Epoch 23/1000, Train Loss: 5.4916, Validation Loss: 3.9060
Epoch 24/1000, Train Loss: 496.2864, Validation Loss: 7.1582
Epoch 25/1000, Train Loss: 6.3365, Validation Loss: 6.0716
Epoch 26/1000, Train Loss: 3.3503, Validation Loss: 5.6677
Epoch 27/1000, Train Loss: 2.6195, Validation Loss: 4.2909
Epoch 28/1000, Train Loss: 2.4785, Validation Loss: 2.5886
Epoch 29/1000, Train Loss: 22.9966, Validation Loss: 6.2497
Epoch 30/1000, Train Loss: 6.3226, Validation Loss: 13.6131
Epoch 31/1000, Train Loss: 2.9501, Validation Loss: 4.6649
Epoch 32/1000, Train Loss: 2.3450, Validation Loss: 4.0456
Epoch 33/1000, Train Loss: 3.3743, Validation Loss: 5.2661
Epoch 34/1000, Train Loss: 2.0893, Validation Loss: 4.4630
Epoch 35/1000, Train Loss: 5.6405, Validation Loss: 2.8042
Epoch 36/1000, Train Loss: 2.2216, Validation Loss: 2.7451
Epoch 37/1000, Train Loss: 20.7559, Validation Loss: 5.8636
Epoch 38/1000, Train Loss: 2.5445, Validation Loss: 3.5695
Epoch 39/1000, Train Loss: 15.8188, Validation Loss: 4.1009
Epoch 40/1000, Train Loss: 2.7874, Validation Loss: 3.5280
Epoch 41/1000, Train Loss: 3.0964, Validation Loss: 5.1815
Epoch 42/1000, Train Loss: 3.0539, Validation Loss: 3.3345
Epoch 43/1000, Train Loss: 2.7718, Validation Loss: 3.1030
Epoch 44/1000, Train Loss: 3.4888, Validation Loss: 4.6674
Epoch 45/1000, Train Loss: 2.6602, Validation Loss: 4.9178
Epoch 46/1000, Train Loss: 2.6929, Validation Loss: 4.2342
Epoch 47/1000, Train Loss: 2.9047, Validation Loss: 2.5854
Epoch 48/1000, Train Loss: 2.8948, Validation Loss: 2.5264
Epoch 49/1000, Train Loss: 2.8720, Validation Loss: 2.8596
Epoch 50/1000, Train Loss: 3.1252, Validation Loss: 3.6030
Epoch 51/1000, Train Loss: 2.7257, Validation Loss: 3.1568
Epoch 52/1000, Train Loss: 2.5925, Validation Loss: 2.6715
Epoch 53/1000, Train Loss: 2.9997, Validation Loss: 4.7001
Epoch 54/1000, Train Loss: 2.6498, Validation Loss: 3.7214
Epoch 55/1000, Train Loss: 3.9423, Validation Loss: 2.2392
Epoch 56/1000, Train Loss: 2.7325, Validation Loss: 2.7281
Epoch 57/1000, Train Loss: 614.0358, Validation Loss: 2.6082
Epoch 58/1000, Train Loss: 35.7883, Validation Loss: 2.2757
Epoch 59/1000, Train Loss: 6.2979, Validation Loss: 2.6501
Epoch 60/1000, Train Loss: 377.9290, Validation Loss: 4.5131
Epoch 61/1000, Train Loss: 2.8913, Validation Loss: 6.5520
Epoch 62/1000, Train Loss: 2.9587, Validation Loss: 5.9143
Epoch 63/1000, Train Loss: 338.2519, Validation Loss: 3.4972
Epoch 64/1000, Train Loss: 2.6576, Validation Loss: 3.7936
Epoch 65/1000, Train Loss: 2.4706, Validation Loss: 2.5987
Epoch 66/1000, Train Loss: 2.8489, Validation Loss: 2.1698
Epoch 67/1000, Train Loss: 2.3635, Validation Loss: 3.9300
Epoch 68/1000, Train Loss: 6.2800, Validation Loss: 6.6910
Epoch 69/1000, Train Loss: 7.9595, Validation Loss: 6.1485
Epoch 70/1000, Train Loss: 17.3241, Validation Loss: 6.1157
Epoch 71/1000, Train Loss: 17.2604, Validation Loss: 6.1110
Epoch 72/1000, Train Loss: 6.3765, Validation Loss: 6.1429
Epoch 73/1000, Train Loss: 6.2481, Validation Loss: 6.1529
Epoch 74/1000, Train Loss: 6.2416, Validation Loss: 6.2951
Epoch 75/1000, Train Loss: 36584.5222, Validation Loss: 6.2996
Epoch 76/1000, Train Loss: 11.2550, Validation Loss: 6.1179
