Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-wkdhqwpn
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.1509, Validation Loss: 3.4341
Epoch 2/1000, Train Loss: 2.2680, Validation Loss: 1.8118
Epoch 3/1000, Train Loss: 2.0543, Validation Loss: 8.2950
Epoch 4/1000, Train Loss: 1.9907, Validation Loss: 1.6216
Epoch 5/1000, Train Loss: 1.7913, Validation Loss: 1.6028
Epoch 6/1000, Train Loss: 1.6944, Validation Loss: 1.9964
Epoch 7/1000, Train Loss: 1.7377, Validation Loss: 2.2299
Epoch 8/1000, Train Loss: 1.7576, Validation Loss: 3.2073
Epoch 9/1000, Train Loss: 1.9872, Validation Loss: 2.4366
Epoch 10/1000, Train Loss: 1.7989, Validation Loss: 2.0281
Epoch 11/1000, Train Loss: 2.2228, Validation Loss: 1.9781
Epoch 12/1000, Train Loss: 1.7513, Validation Loss: 1.3197
Epoch 13/1000, Train Loss: 2.0017, Validation Loss: 1.5682
Epoch 14/1000, Train Loss: 1.6803, Validation Loss: 15.6909
Epoch 15/1000, Train Loss: 1.7898, Validation Loss: 2.6260
Epoch 16/1000, Train Loss: 1.6438, Validation Loss: 1.8808
Epoch 17/1000, Train Loss: 1.5495, Validation Loss: 1.6238
Epoch 18/1000, Train Loss: 1.3974, Validation Loss: 2.1132
Epoch 19/1000, Train Loss: 1.6969, Validation Loss: 1.9355
Epoch 20/1000, Train Loss: 1.7293, Validation Loss: 3.0057
Epoch 21/1000, Train Loss: 1.7816, Validation Loss: 3.2067
Epoch 22/1000, Train Loss: 1.6007, Validation Loss: 3.7136
Epoch 23/1000, Train Loss: 1.5435, Validation Loss: 1.2001
Epoch 24/1000, Train Loss: 1.6528, Validation Loss: 7.8526
Epoch 25/1000, Train Loss: 1.4780, Validation Loss: 2.4936
Epoch 26/1000, Train Loss: 1.4868, Validation Loss: 4.5182
Epoch 27/1000, Train Loss: 3.8966, Validation Loss: 1.7025
Epoch 28/1000, Train Loss: 1.5529, Validation Loss: 5.0583
Epoch 29/1000, Train Loss: 1.4717, Validation Loss: 2.9331
Epoch 30/1000, Train Loss: 1.4771, Validation Loss: 1.5222
Epoch 31/1000, Train Loss: 1.4685, Validation Loss: 2.8190
Epoch 32/1000, Train Loss: 1.7097, Validation Loss: 9.0584
Epoch 33/1000, Train Loss: 1.7924, Validation Loss: 1.2913
Epoch 34/1000, Train Loss: 1.5111, Validation Loss: 10.1249
Epoch 35/1000, Train Loss: 1.5976, Validation Loss: 3.4599
Epoch 36/1000, Train Loss: 4.7603, Validation Loss: 2.2769
Epoch 37/1000, Train Loss: 1.6138, Validation Loss: 4.4848
Epoch 38/1000, Train Loss: 1.5172, Validation Loss: 3.0725
Epoch 39/1000, Train Loss: 1.5613, Validation Loss: 2.2798
Epoch 40/1000, Train Loss: 1.5007, Validation Loss: 2.1937
Epoch 41/1000, Train Loss: 1.4416, Validation Loss: 2.3770
Epoch 42/1000, Train Loss: 1.3635, Validation Loss: 2.9707
Epoch 43/1000, Train Loss: 1.4326, Validation Loss: 1.1479
Epoch 44/1000, Train Loss: 1.4774, Validation Loss: 1.1889
Epoch 45/1000, Train Loss: 1.3540, Validation Loss: 2.5708
Epoch 46/1000, Train Loss: 1.6032, Validation Loss: 19.1611
Epoch 47/1000, Train Loss: 1.3371, Validation Loss: 2.8333
Epoch 48/1000, Train Loss: 2.2135, Validation Loss: 1.8272
Epoch 49/1000, Train Loss: 1.3307, Validation Loss: 2.5245
Epoch 50/1000, Train Loss: 1.3370, Validation Loss: 1.7994
Epoch 51/1000, Train Loss: 1.3868, Validation Loss: 2.2038
Epoch 52/1000, Train Loss: 1.5149, Validation Loss: 1.0124
Epoch 53/1000, Train Loss: 1.3457, Validation Loss: 3.0619
Epoch 54/1000, Train Loss: 1.2727, Validation Loss: 1.2240
Epoch 55/1000, Train Loss: 1.5066, Validation Loss: 2.3787
Epoch 56/1000, Train Loss: 1.3563, Validation Loss: 1.1497
Epoch 57/1000, Train Loss: 1.3068, Validation Loss: 3.5683
Epoch 58/1000, Train Loss: 1.3757, Validation Loss: 2.2920
Epoch 59/1000, Train Loss: 1.3147, Validation Loss: 2.0601
Epoch 60/1000, Train Loss: 1.2905, Validation Loss: 3.3686
Epoch 61/1000, Train Loss: 1.6871, Validation Loss: 2.3489
Epoch 62/1000, Train Loss: 1.3188, Validation Loss: 3.8748
Epoch 63/1000, Train Loss: 1.7205, Validation Loss: 4.7322
Epoch 64/1000, Train Loss: 1.7945, Validation Loss: 2.3300
Epoch 65/1000, Train Loss: 2.3284, Validation Loss: 1.9054
Epoch 66/1000, Train Loss: 1.4795, Validation Loss: 67.6429
Epoch 67/1000, Train Loss: 1.5015, Validation Loss: 1.9830
Epoch 68/1000, Train Loss: 2.7194, Validation Loss: 4.2766
Epoch 69/1000, Train Loss: 1.3957, Validation Loss: 3.7213
Epoch 70/1000, Train Loss: 1.4143, Validation Loss: 4.9601
Epoch 71/1000, Train Loss: 1.7948, Validation Loss: 2.6171
Epoch 72/1000, Train Loss: 12.3631, Validation Loss: 3.2100
Epoch 73/1000, Train Loss: 1.4667, Validation Loss: 1.0705
Epoch 74/1000, Train Loss: 1.6410, Validation Loss: 2.9803
