Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-k4l82ft5
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3276, Validation Loss: 1.3787
Epoch 2/1000, Train Loss: 2.9821, Validation Loss: 1.8039
Epoch 3/1000, Train Loss: 2.8678, Validation Loss: 1.5263
Epoch 4/1000, Train Loss: 2.2961, Validation Loss: 5.9375
Epoch 5/1000, Train Loss: 1.9187, Validation Loss: 3.0775
Epoch 6/1000, Train Loss: 1.8501, Validation Loss: 2.8202
Epoch 7/1000, Train Loss: 1.6673, Validation Loss: 1.9013
Epoch 8/1000, Train Loss: 1.7303, Validation Loss: 19.6818
Epoch 9/1000, Train Loss: 2.0951, Validation Loss: 1.3492
Epoch 10/1000, Train Loss: 2.0012, Validation Loss: 7.8853
Epoch 11/1000, Train Loss: 2.0326, Validation Loss: 3.7473
Epoch 12/1000, Train Loss: 1.8998, Validation Loss: 1.6108
Epoch 13/1000, Train Loss: 1.8340, Validation Loss: 3.5137
Epoch 14/1000, Train Loss: 1.8681, Validation Loss: 5.3139
Epoch 15/1000, Train Loss: 1.8378, Validation Loss: 2.2171
Epoch 16/1000, Train Loss: 1.9152, Validation Loss: 1.6418
Epoch 17/1000, Train Loss: 1.7605, Validation Loss: 3.4731
Epoch 18/1000, Train Loss: 1.7546, Validation Loss: 2.5584
Epoch 19/1000, Train Loss: 1.5147, Validation Loss: 2.0496
Epoch 20/1000, Train Loss: 1.6438, Validation Loss: 1.9099
Epoch 21/1000, Train Loss: 1.6299, Validation Loss: 2.6371
Epoch 22/1000, Train Loss: 1.5646, Validation Loss: 2.3453
Epoch 23/1000, Train Loss: 1.4757, Validation Loss: 2.8420
Epoch 24/1000, Train Loss: 1.4219, Validation Loss: 1.1871
Epoch 25/1000, Train Loss: 1.4576, Validation Loss: 4.4245
Epoch 26/1000, Train Loss: 1.3933, Validation Loss: 6.1469
Epoch 27/1000, Train Loss: 1.3573, Validation Loss: 2.8885
Epoch 28/1000, Train Loss: 1.3192, Validation Loss: 1.8775
Epoch 29/1000, Train Loss: 3.8180, Validation Loss: 1.2812
Epoch 30/1000, Train Loss: 1.3139, Validation Loss: 2.6328
Epoch 31/1000, Train Loss: 1.3637, Validation Loss: 1.6008
Epoch 32/1000, Train Loss: 1.3192, Validation Loss: 1.4448
Epoch 33/1000, Train Loss: 1.2978, Validation Loss: 1.7789
Epoch 34/1000, Train Loss: 1.2022, Validation Loss: 2.0450
Epoch 35/1000, Train Loss: 1.1412, Validation Loss: 1.1580
Epoch 36/1000, Train Loss: 2.5713, Validation Loss: 2.1014
Epoch 37/1000, Train Loss: 1.3508, Validation Loss: 2.9470
Epoch 38/1000, Train Loss: 1.3305, Validation Loss: 8.5468
Epoch 39/1000, Train Loss: 1.5142, Validation Loss: 2.0900
Epoch 40/1000, Train Loss: 1.3908, Validation Loss: 9.9676
Epoch 41/1000, Train Loss: 1.3016, Validation Loss: 2.3729
Epoch 42/1000, Train Loss: 1.4564, Validation Loss: 3.0536
Epoch 43/1000, Train Loss: 1.4288, Validation Loss: 3.5104
Epoch 44/1000, Train Loss: 1.3617, Validation Loss: 3.6096
Epoch 45/1000, Train Loss: 1.3589, Validation Loss: 2.3959
Epoch 46/1000, Train Loss: 2.0448, Validation Loss: 5.0912
Epoch 47/1000, Train Loss: 1.2317, Validation Loss: 1.7743
Epoch 48/1000, Train Loss: 1.2871, Validation Loss: 5.9669
Epoch 49/1000, Train Loss: 1.3668, Validation Loss: 5.3633
Epoch 50/1000, Train Loss: 1.5582, Validation Loss: 1.8848
Epoch 51/1000, Train Loss: 1.4356, Validation Loss: 1.5618
Epoch 52/1000, Train Loss: 1.3509, Validation Loss: 2.6013
Epoch 53/1000, Train Loss: 1.3216, Validation Loss: 4.7479
Epoch 54/1000, Train Loss: 1.3363, Validation Loss: 6.5039
Epoch 55/1000, Train Loss: 1.3452, Validation Loss: 2.9301
Epoch 56/1000, Train Loss: 1.3845, Validation Loss: 2.2241
Epoch 57/1000, Train Loss: 1.3166, Validation Loss: 3.0767
Epoch 58/1000, Train Loss: 1.2012, Validation Loss: 1.0520
Epoch 59/1000, Train Loss: 1.2916, Validation Loss: 3.4059
Epoch 60/1000, Train Loss: 1.4211, Validation Loss: 4.4893
Epoch 61/1000, Train Loss: 1.2807, Validation Loss: 2.9222
Epoch 62/1000, Train Loss: 1.4193, Validation Loss: 2.6494
Epoch 63/1000, Train Loss: 1.5580, Validation Loss: 1.8600
Epoch 64/1000, Train Loss: 1.3887, Validation Loss: 1.6399
Epoch 65/1000, Train Loss: 1.2908, Validation Loss: 5.1664
Epoch 66/1000, Train Loss: 1.2560, Validation Loss: 1.8464
Epoch 67/1000, Train Loss: 1.1953, Validation Loss: 3.5976
Epoch 68/1000, Train Loss: 1.1715, Validation Loss: 4.0757
Epoch 69/1000, Train Loss: 1.2243, Validation Loss: 4.4480
Epoch 70/1000, Train Loss: 1.3299, Validation Loss: 1.5050
Epoch 71/1000, Train Loss: 1.2811, Validation Loss: 2.1054
Epoch 72/1000, Train Loss: 1.1511, Validation Loss: 2.9107
Epoch 73/1000, Train Loss: 1.1951, Validation Loss: 4.6135
Epoch 74/1000, Train Loss: 1.2588, Validation Loss: 2.2859
Epoch 75/1000, Train Loss: 1.1721, Validation Loss: 1.5075
Epoch 76/1000, Train Loss: 1.2154, Validation Loss: 4.5072
Epoch 77/1000, Train Loss: 1.1694, Validation Loss: 8.6481
Epoch 78/1000, Train Loss: 1.5545, Validation Loss: 3.1896
Epoch 79/1000, Train Loss: 1.2553, Validation Loss: 1.2919
Epoch 80/1000, Train Loss: 1.2843, Validation Loss: 3.6136
Epoch 81/1000, Train Loss: 1.2275, Validation Loss: 6.5856
Epoch 82/1000, Train Loss: 1.3764, Validation Loss: 4.3142
Epoch 83/1000, Train Loss: 1.2526, Validation Loss: 4.3288
Epoch 84/1000, Train Loss: 1.2371, Validation Loss: 1.0973
Epoch 85/1000, Train Loss: 1.2162, Validation Loss: 4.5324
