Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-rbt4x3zj
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3749, Validation Loss: 2.8143
Epoch 2/1000, Train Loss: 1.4473, Validation Loss: 2.0641
Epoch 3/1000, Train Loss: 1.5841, Validation Loss: 2.1419
Epoch 4/1000, Train Loss: 1.9338, Validation Loss: 4.3849
Epoch 5/1000, Train Loss: 1.7985, Validation Loss: 2.5346
Epoch 6/1000, Train Loss: 1.5812, Validation Loss: 1.9649
Epoch 7/1000, Train Loss: 1.6429, Validation Loss: 3.7119
Epoch 8/1000, Train Loss: 1.4585, Validation Loss: 1.7952
Epoch 9/1000, Train Loss: 1.3435, Validation Loss: 1.0805
Epoch 10/1000, Train Loss: 1.1724, Validation Loss: 1.0847
Epoch 11/1000, Train Loss: 1.3528, Validation Loss: 1.6815
Epoch 12/1000, Train Loss: 1.5070, Validation Loss: 1.3190
Epoch 13/1000, Train Loss: 1.4270, Validation Loss: 1.6885
Epoch 14/1000, Train Loss: 1.4960, Validation Loss: 2.2884
Epoch 15/1000, Train Loss: 1.5055, Validation Loss: 1.4543
Epoch 16/1000, Train Loss: 1.3563, Validation Loss: 2.8459
Epoch 17/1000, Train Loss: 1.3960, Validation Loss: 1.5813
Epoch 18/1000, Train Loss: 1.2822, Validation Loss: 1.8912
Epoch 19/1000, Train Loss: 1.2658, Validation Loss: 1.5795
Epoch 20/1000, Train Loss: 1.2655, Validation Loss: 1.5007
Epoch 21/1000, Train Loss: 1.2814, Validation Loss: 2.3053
Epoch 22/1000, Train Loss: 1.2896, Validation Loss: 1.5147
Epoch 23/1000, Train Loss: 1.3448, Validation Loss: 1.0480
Epoch 24/1000, Train Loss: 1.4198, Validation Loss: 1.8141
Epoch 25/1000, Train Loss: 1.3140, Validation Loss: 1.1370
Epoch 26/1000, Train Loss: 1.1592, Validation Loss: 1.1279
Epoch 27/1000, Train Loss: 1.1183, Validation Loss: 1.0371
Epoch 28/1000, Train Loss: 1.1167, Validation Loss: 2.6247
Epoch 29/1000, Train Loss: 1.2046, Validation Loss: 1.2676
Epoch 30/1000, Train Loss: 1.1887, Validation Loss: 1.2136
