Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-vtu9thsf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8684, Validation Loss: 1.8336
Epoch 2/1000, Train Loss: 1.9037, Validation Loss: 3.0841
Epoch 3/1000, Train Loss: 2.1301, Validation Loss: 2.3816
Epoch 4/1000, Train Loss: 2.0422, Validation Loss: 2.6706
Epoch 5/1000, Train Loss: 1.8139, Validation Loss: 1.4298
Epoch 6/1000, Train Loss: 1.7457, Validation Loss: 1.6513
Epoch 7/1000, Train Loss: 1.6181, Validation Loss: 1.4195
Epoch 8/1000, Train Loss: 1.4036, Validation Loss: 1.3796
Epoch 9/1000, Train Loss: 1.3118, Validation Loss: 1.3798
Epoch 10/1000, Train Loss: 1.2542, Validation Loss: 1.3397
Epoch 11/1000, Train Loss: 1.2246, Validation Loss: 2.4626
Epoch 12/1000, Train Loss: 1.5342, Validation Loss: 2.0556
Epoch 13/1000, Train Loss: 1.4856, Validation Loss: 14.2824
Epoch 14/1000, Train Loss: 1.5903, Validation Loss: 8.7947
Epoch 15/1000, Train Loss: 1.3829, Validation Loss: 2.1982
Epoch 16/1000, Train Loss: 1.4238, Validation Loss: 1.1383
Epoch 17/1000, Train Loss: 1.3184, Validation Loss: 1.5305
Epoch 18/1000, Train Loss: 1.2365, Validation Loss: 1.4191
Epoch 19/1000, Train Loss: 1.3760, Validation Loss: 1.3579
Epoch 20/1000, Train Loss: 1.2442, Validation Loss: 1.5131
Epoch 21/1000, Train Loss: 1.2140, Validation Loss: 1.3293
Epoch 22/1000, Train Loss: 1.2137, Validation Loss: 2.1257
Epoch 23/1000, Train Loss: 1.2036, Validation Loss: 1.3239
Epoch 24/1000, Train Loss: 1.1941, Validation Loss: 1.4812
Epoch 25/1000, Train Loss: 1.2186, Validation Loss: 1.0422
Epoch 26/1000, Train Loss: 1.2181, Validation Loss: 2.2501
Epoch 27/1000, Train Loss: 1.4332, Validation Loss: 3.9924
Epoch 28/1000, Train Loss: 1.2298, Validation Loss: 1.9124
Epoch 29/1000, Train Loss: 1.2079, Validation Loss: 1.0525
Epoch 30/1000, Train Loss: 1.1971, Validation Loss: 1.5446
Epoch 31/1000, Train Loss: 1.1562, Validation Loss: 1.3365
Epoch 32/1000, Train Loss: 1.1164, Validation Loss: 3.8515
Epoch 33/1000, Train Loss: 1.0690, Validation Loss: 1.3012
Epoch 34/1000, Train Loss: 1.0954, Validation Loss: 1.0990
Epoch 35/1000, Train Loss: 1.1968, Validation Loss: 4.3357
