Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-g8kbsv0f
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.7423, Validation Loss: 7.4728
Epoch 2/1000, Train Loss: 3.1863, Validation Loss: 3.3832
Epoch 3/1000, Train Loss: 2.9574, Validation Loss: 6.9441
Epoch 4/1000, Train Loss: 2.5942, Validation Loss: 4.9844
Epoch 5/1000, Train Loss: 2.8119, Validation Loss: 17.0519
Epoch 6/1000, Train Loss: 2.5100, Validation Loss: 4.3982
Epoch 7/1000, Train Loss: 2.3004, Validation Loss: 4.9964
Epoch 8/1000, Train Loss: 2.1714, Validation Loss: 2.3103
Epoch 9/1000, Train Loss: 2.1508, Validation Loss: 1.8408
Epoch 10/1000, Train Loss: 2.0680, Validation Loss: 4.3398
Epoch 11/1000, Train Loss: 2.0823, Validation Loss: 4.5055
Epoch 12/1000, Train Loss: 1.9560, Validation Loss: 5.0188
Epoch 13/1000, Train Loss: 2.0987, Validation Loss: 3.8481
Epoch 14/1000, Train Loss: 1.8492, Validation Loss: 3.4151
Epoch 15/1000, Train Loss: 2.1232, Validation Loss: 3.5745
Epoch 16/1000, Train Loss: 1.8063, Validation Loss: 6.7594
Epoch 17/1000, Train Loss: 1.4711, Validation Loss: 2.0967
Epoch 18/1000, Train Loss: 1.4183, Validation Loss: 1.5728
Epoch 19/1000, Train Loss: 1.4074, Validation Loss: 1.5401
Epoch 20/1000, Train Loss: 1.3307, Validation Loss: 2.6826
Epoch 21/1000, Train Loss: 1.1622, Validation Loss: 2.2452
Epoch 22/1000, Train Loss: 1.8906, Validation Loss: 1.9358
Epoch 23/1000, Train Loss: 1.6877, Validation Loss: 2.7872
Epoch 24/1000, Train Loss: 1.5812, Validation Loss: 1.9136
Epoch 25/1000, Train Loss: 1.5972, Validation Loss: 1.5362
Epoch 26/1000, Train Loss: 1.5942, Validation Loss: 2.7580
Epoch 27/1000, Train Loss: 1.6410, Validation Loss: 1.7613
Epoch 28/1000, Train Loss: 1.6025, Validation Loss: 3.0912
Epoch 29/1000, Train Loss: 1.6607, Validation Loss: 3.6420
Epoch 30/1000, Train Loss: 41.6657, Validation Loss: 3.5111
Epoch 31/1000, Train Loss: 1.6709, Validation Loss: 2.3937
Epoch 32/1000, Train Loss: 1.6654, Validation Loss: 2.2535
Epoch 33/1000, Train Loss: 1.6023, Validation Loss: 3.0324
Epoch 34/1000, Train Loss: 1.5400, Validation Loss: 1.3804
Epoch 35/1000, Train Loss: 1.4837, Validation Loss: 1.1380
Epoch 36/1000, Train Loss: 1.5026, Validation Loss: 1.1186
Epoch 37/1000, Train Loss: 1.5914, Validation Loss: 2.5402
Epoch 38/1000, Train Loss: 1.5199, Validation Loss: 1.8246
Epoch 39/1000, Train Loss: 7.6668, Validation Loss: 4.0132
Epoch 40/1000, Train Loss: 1.3739, Validation Loss: 5.3670
Epoch 41/1000, Train Loss: 1.5097, Validation Loss: 5.4176
Epoch 42/1000, Train Loss: 1.4954, Validation Loss: 1.0961
Epoch 43/1000, Train Loss: 7.3019, Validation Loss: 2.9873
Epoch 44/1000, Train Loss: 1.5086, Validation Loss: 2.6614
Epoch 45/1000, Train Loss: 1.6570, Validation Loss: 2.8805
Epoch 46/1000, Train Loss: 1.7251, Validation Loss: 7.0120
Epoch 47/1000, Train Loss: 1.6528, Validation Loss: 4.2061
Epoch 48/1000, Train Loss: 1.5111, Validation Loss: 2.0250
Epoch 49/1000, Train Loss: 2.7031, Validation Loss: 1.9130
Epoch 50/1000, Train Loss: 1.5728, Validation Loss: 3.3828
Epoch 51/1000, Train Loss: 1.6910, Validation Loss: 2.9310
Epoch 52/1000, Train Loss: 1.5616, Validation Loss: 1.9075
Epoch 53/1000, Train Loss: 1.5678, Validation Loss: 2.0717
Epoch 54/1000, Train Loss: 1.5707, Validation Loss: 4.8913
Epoch 55/1000, Train Loss: 14.2770, Validation Loss: 1.8468
Epoch 56/1000, Train Loss: 1.6204, Validation Loss: 3.1912
Epoch 57/1000, Train Loss: 1.7088, Validation Loss: 1.4697
Epoch 58/1000, Train Loss: 1.5074, Validation Loss: 2.0268
Epoch 59/1000, Train Loss: 2.9658, Validation Loss: 1.5924
Epoch 60/1000, Train Loss: 5.3732, Validation Loss: 2.9293
Epoch 61/1000, Train Loss: 1.5490, Validation Loss: 1.9851
Epoch 62/1000, Train Loss: 1.6650, Validation Loss: 1.8505
Epoch 63/1000, Train Loss: 1.6661, Validation Loss: 2.3849
Epoch 64/1000, Train Loss: 1.5478, Validation Loss: 2.6999
Epoch 65/1000, Train Loss: 2.0316, Validation Loss: 2.4650
Epoch 66/1000, Train Loss: 1.5385, Validation Loss: 3.6425
Epoch 67/1000, Train Loss: 1.5460, Validation Loss: 2.0524
Epoch 68/1000, Train Loss: 1.5580, Validation Loss: 1.4998
Epoch 69/1000, Train Loss: 1.6219, Validation Loss: 1.6752
Epoch 70/1000, Train Loss: 1.5081, Validation Loss: 1.4469
Epoch 71/1000, Train Loss: 1.9288, Validation Loss: 1.1852
Epoch 72/1000, Train Loss: 1.5255, Validation Loss: 2.1568
Epoch 73/1000, Train Loss: 1.5459, Validation Loss: 2.0629
Epoch 74/1000, Train Loss: 1.7191, Validation Loss: 4.4787
Epoch 75/1000, Train Loss: 1.5554, Validation Loss: 2.6450
Epoch 76/1000, Train Loss: 1.6033, Validation Loss: 5.2517
Epoch 77/1000, Train Loss: 1.4838, Validation Loss: 1.9793
Epoch 78/1000, Train Loss: 1.5574, Validation Loss: 1.7424
Epoch 79/1000, Train Loss: 1.6493, Validation Loss: 1.2126
Epoch 80/1000, Train Loss: 1.5835, Validation Loss: 2.8618
Epoch 81/1000, Train Loss: 1.7013, Validation Loss: 6.9976
Epoch 82/1000, Train Loss: 1.5640, Validation Loss: 1.7032
Epoch 83/1000, Train Loss: 1.5063, Validation Loss: 2.1077
Epoch 84/1000, Train Loss: 1.6506, Validation Loss: 2.7169
Epoch 85/1000, Train Loss: 1.5614, Validation Loss: 4.5624
Epoch 86/1000, Train Loss: 1.5466, Validation Loss: 2.5071
Epoch 87/1000, Train Loss: 1.4802, Validation Loss: 2.7072
Epoch 88/1000, Train Loss: 1.2832, Validation Loss: 1.0429
Epoch 89/1000, Train Loss: 1.0922, Validation Loss: 1.8461
Epoch 90/1000, Train Loss: 1.3621, Validation Loss: 3.5471
Epoch 91/1000, Train Loss: 1.7324, Validation Loss: 1.1169
Epoch 92/1000, Train Loss: 1.8557, Validation Loss: 1.1390
Epoch 93/1000, Train Loss: 1.6994, Validation Loss: 1.0577
Epoch 94/1000, Train Loss: 1.5532, Validation Loss: 22.8113
Epoch 95/1000, Train Loss: 1.5376, Validation Loss: 6.4686
Epoch 96/1000, Train Loss: 1.6099, Validation Loss: 2.3295
Epoch 97/1000, Train Loss: 1.3023, Validation Loss: 1.4487
Epoch 98/1000, Train Loss: 1.8321, Validation Loss: 1.1278
Epoch 99/1000, Train Loss: 2.1873, Validation Loss: 2.1961
Epoch 100/1000, Train Loss: 1.4593, Validation Loss: 1.1246
Epoch 101/1000, Train Loss: 1.6019, Validation Loss: 1.4972
Epoch 102/1000, Train Loss: 1.6294, Validation Loss: 1.9033
Epoch 103/1000, Train Loss: 1.5563, Validation Loss: 2.3151
Epoch 104/1000, Train Loss: 1.5370, Validation Loss: 3.0598
Epoch 105/1000, Train Loss: 1.6054, Validation Loss: 4.0305
Epoch 106/1000, Train Loss: 1.5664, Validation Loss: 4.2806
Epoch 107/1000, Train Loss: 1.7336, Validation Loss: 3.7112
Epoch 108/1000, Train Loss: 1.5709, Validation Loss: 4.9752
Epoch 109/1000, Train Loss: 1.6039, Validation Loss: 1.2870
Epoch 110/1000, Train Loss: 2.8986, Validation Loss: 2.3789
Epoch 111/1000, Train Loss: 3.4723, Validation Loss: 1.8368
Epoch 112/1000, Train Loss: 1.6309, Validation Loss: 2.3780
Epoch 113/1000, Train Loss: 1.9283, Validation Loss: 6.5522
Epoch 114/1000, Train Loss: 1.5451, Validation Loss: 2.8380
Epoch 115/1000, Train Loss: 6.6839, Validation Loss: 3.0779
Epoch 116/1000, Train Loss: 1.6196, Validation Loss: 1.5037
Epoch 117/1000, Train Loss: 1.5448, Validation Loss: 2.4748
Epoch 118/1000, Train Loss: 1.8249, Validation Loss: 1.4109
Epoch 119/1000, Train Loss: 1.5142, Validation Loss: 1.7505
Epoch 120/1000, Train Loss: 1.5031, Validation Loss: 1.5812
Epoch 121/1000, Train Loss: 1.5943, Validation Loss: 2.1669
Epoch 122/1000, Train Loss: 1.4707, Validation Loss: 1.5294
