Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-mwj59wxn
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 10.1468, Validation Loss: 4.3442
Epoch 2/1000, Train Loss: 2.8233, Validation Loss: 5.6140
Epoch 3/1000, Train Loss: 5.8491, Validation Loss: 2.0220
Epoch 4/1000, Train Loss: 2.0438, Validation Loss: 2.1460
Epoch 5/1000, Train Loss: 1.8126, Validation Loss: 2.3974
Epoch 6/1000, Train Loss: 2.2092, Validation Loss: 4.3358
Epoch 7/1000, Train Loss: 1.9367, Validation Loss: 4.3254
Epoch 8/1000, Train Loss: 2.1983, Validation Loss: 1.6884
Epoch 9/1000, Train Loss: 1.9394, Validation Loss: 4.1447
Epoch 10/1000, Train Loss: 1.7886, Validation Loss: 3.4777
Epoch 11/1000, Train Loss: 1.6317, Validation Loss: 1.3480
Epoch 12/1000, Train Loss: 1.5275, Validation Loss: 2.2435
Epoch 13/1000, Train Loss: 36.0777, Validation Loss: 2.0962
Epoch 14/1000, Train Loss: 2.0829, Validation Loss: 2.3651
Epoch 15/1000, Train Loss: 1.6977, Validation Loss: 1.8251
Epoch 16/1000, Train Loss: 1.7978, Validation Loss: 1.8035
Epoch 17/1000, Train Loss: 2.1082, Validation Loss: 6.6358
Epoch 18/1000, Train Loss: 25.9136, Validation Loss: 2.3107
Epoch 19/1000, Train Loss: 3.9124, Validation Loss: 2.3955
Epoch 20/1000, Train Loss: 2.0123, Validation Loss: 2.0055
Epoch 21/1000, Train Loss: 1.7603, Validation Loss: 4.0367
Epoch 22/1000, Train Loss: 1.6331, Validation Loss: 3.3321
Epoch 23/1000, Train Loss: 6.5724, Validation Loss: 2.1136
Epoch 24/1000, Train Loss: 1.6776, Validation Loss: 1.5842
Epoch 25/1000, Train Loss: 1.4217, Validation Loss: 1.6349
Epoch 26/1000, Train Loss: 1.8000, Validation Loss: 2.0088
Epoch 27/1000, Train Loss: 1.3993, Validation Loss: 2.4004
Epoch 28/1000, Train Loss: 3.2731, Validation Loss: 2.2988
Epoch 29/1000, Train Loss: 1.4240, Validation Loss: 2.6174
Epoch 30/1000, Train Loss: 1.9597, Validation Loss: 2.2003
Epoch 31/1000, Train Loss: 1.4093, Validation Loss: 3.0455
Epoch 32/1000, Train Loss: 1.4062, Validation Loss: 2.6101
Epoch 33/1000, Train Loss: 1.3777, Validation Loss: 2.2684
Epoch 34/1000, Train Loss: 1.4159, Validation Loss: 5.5405
Epoch 35/1000, Train Loss: 1.3955, Validation Loss: 1.6380
Epoch 36/1000, Train Loss: 1.7340, Validation Loss: 2.8310
Epoch 37/1000, Train Loss: 1.4360, Validation Loss: 2.4076
Epoch 38/1000, Train Loss: 2.9968, Validation Loss: 1.9668
Epoch 39/1000, Train Loss: 1.9780, Validation Loss: 1.7136
Epoch 40/1000, Train Loss: 1.6974, Validation Loss: 4.2805
Epoch 41/1000, Train Loss: 1.6035, Validation Loss: 1.4645
Epoch 42/1000, Train Loss: 1.6688, Validation Loss: 1.6947
Epoch 43/1000, Train Loss: 1.4220, Validation Loss: 2.1413
Epoch 44/1000, Train Loss: 8.7876, Validation Loss: 2.8676
Epoch 45/1000, Train Loss: 5.6881, Validation Loss: 2.2974
Epoch 46/1000, Train Loss: 1.9123, Validation Loss: 1.3666
Epoch 47/1000, Train Loss: 1.9625, Validation Loss: 3.6909
Epoch 48/1000, Train Loss: 1.8345, Validation Loss: 2.0403
Epoch 49/1000, Train Loss: 11278.3458, Validation Loss: 6.1472
Epoch 50/1000, Train Loss: 1.7934, Validation Loss: 2.8607
Epoch 51/1000, Train Loss: 1.3464, Validation Loss: 1.6065
Epoch 52/1000, Train Loss: 12.0061, Validation Loss: 249.7712
Epoch 53/1000, Train Loss: 2.3535, Validation Loss: 1.5175
Epoch 54/1000, Train Loss: 3.4747, Validation Loss: 3.8444
Epoch 55/1000, Train Loss: 1.2828, Validation Loss: 1.5682
Epoch 56/1000, Train Loss: 1.4528, Validation Loss: 2.5254
Epoch 57/1000, Train Loss: 1.2532, Validation Loss: 1.3871
Epoch 58/1000, Train Loss: 1.4604, Validation Loss: 2.6945
Epoch 59/1000, Train Loss: 1.4193, Validation Loss: 1.2688
Epoch 60/1000, Train Loss: 1.5232, Validation Loss: 2.2130
Epoch 61/1000, Train Loss: 4.8114, Validation Loss: 5.3651
Epoch 62/1000, Train Loss: 1.9216, Validation Loss: 1.4246
Epoch 63/1000, Train Loss: 2.1520, Validation Loss: 4.3183
Epoch 64/1000, Train Loss: 1.8238, Validation Loss: 1.4666
Epoch 65/1000, Train Loss: 1.9280, Validation Loss: 2.4940
Epoch 66/1000, Train Loss: 9.6923, Validation Loss: 3.6855
Epoch 67/1000, Train Loss: 2.3423, Validation Loss: 2.5769
Epoch 68/1000, Train Loss: 2.0179, Validation Loss: 4.8661
Epoch 69/1000, Train Loss: 1.5718, Validation Loss: 2.2536
Epoch 70/1000, Train Loss: 3.3996, Validation Loss: 1.1708
Epoch 71/1000, Train Loss: 2.2308, Validation Loss: 2.0467
Epoch 72/1000, Train Loss: 2.8110, Validation Loss: 5.4079
Epoch 73/1000, Train Loss: 1.6167, Validation Loss: 9.0889
Epoch 74/1000, Train Loss: 1.3931, Validation Loss: 3.8357
Epoch 75/1000, Train Loss: 1.5531, Validation Loss: 1.9213
Epoch 76/1000, Train Loss: 1.4232, Validation Loss: 2.4043
Epoch 77/1000, Train Loss: 1.4055, Validation Loss: 2.8708
Epoch 78/1000, Train Loss: 1.4161, Validation Loss: 5.9096
Epoch 79/1000, Train Loss: 1.3739, Validation Loss: 4.0666
Epoch 80/1000, Train Loss: 1.3239, Validation Loss: 1.6373
Epoch 81/1000, Train Loss: 2.1261, Validation Loss: 3.9201
Epoch 82/1000, Train Loss: 2.1587, Validation Loss: 1.3444
Epoch 83/1000, Train Loss: 3.6601, Validation Loss: 3.3048
