Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-32r7pgld
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.5088, Validation Loss: 4.0777
Epoch 2/1000, Train Loss: 2.5359, Validation Loss: 3.1232
Epoch 3/1000, Train Loss: 2.6261, Validation Loss: 1.4080
Epoch 4/1000, Train Loss: 2.2153, Validation Loss: 3.4122
Epoch 5/1000, Train Loss: 2.1309, Validation Loss: 1.6768
Epoch 6/1000, Train Loss: 2.1297, Validation Loss: 2.2479
Epoch 7/1000, Train Loss: 2.3699, Validation Loss: 4.2398
Epoch 8/1000, Train Loss: 1.8540, Validation Loss: 3.5347
Epoch 9/1000, Train Loss: 1.9355, Validation Loss: 2.5184
Epoch 10/1000, Train Loss: 2.7006, Validation Loss: 5.8840
Epoch 11/1000, Train Loss: 2.1712, Validation Loss: 2.0239
Epoch 12/1000, Train Loss: 2.2177, Validation Loss: 3.3960
Epoch 13/1000, Train Loss: 10.1348, Validation Loss: 2.2649
Epoch 14/1000, Train Loss: 1.9244, Validation Loss: 6.5675
Epoch 15/1000, Train Loss: 1.7647, Validation Loss: 1.7463
Epoch 16/1000, Train Loss: 1.5584, Validation Loss: 2.5834
Epoch 17/1000, Train Loss: 2.2451, Validation Loss: 3.3712
Epoch 18/1000, Train Loss: 2.0038, Validation Loss: 1.9725
Epoch 19/1000, Train Loss: 1.8857, Validation Loss: 3.0814
Epoch 20/1000, Train Loss: 1.7781, Validation Loss: 3.5485
Epoch 21/1000, Train Loss: 2.5259, Validation Loss: 1.9661
Epoch 22/1000, Train Loss: 1.7037, Validation Loss: 5.4319
Epoch 23/1000, Train Loss: 1.7151, Validation Loss: 3.2411
Epoch 24/1000, Train Loss: 3.9110, Validation Loss: 9.5760
Epoch 25/1000, Train Loss: 2.4362, Validation Loss: 2.7995
Epoch 26/1000, Train Loss: 1.6452, Validation Loss: 2.5318
Epoch 27/1000, Train Loss: 1.9235, Validation Loss: 4.0533
Epoch 28/1000, Train Loss: 1.5427, Validation Loss: 1.8591
Epoch 29/1000, Train Loss: 1.9880, Validation Loss: 1.6636
Epoch 30/1000, Train Loss: 1.5785, Validation Loss: 1.8966
Epoch 31/1000, Train Loss: 3.5520, Validation Loss: 1.2113
Epoch 32/1000, Train Loss: 1.5941, Validation Loss: 3.2588
Epoch 33/1000, Train Loss: 1.4585, Validation Loss: 1.4589
Epoch 34/1000, Train Loss: 1.5224, Validation Loss: 3.5317
Epoch 35/1000, Train Loss: 39.6468, Validation Loss: 1.7716
Epoch 36/1000, Train Loss: 1.6240, Validation Loss: 2.8634
Epoch 37/1000, Train Loss: 1.6072, Validation Loss: 3.4150
Epoch 38/1000, Train Loss: 1.4919, Validation Loss: 2.7303
Epoch 39/1000, Train Loss: 2.3885, Validation Loss: 2.1668
Epoch 40/1000, Train Loss: 6.1588, Validation Loss: 1.1561
Epoch 41/1000, Train Loss: 1.5214, Validation Loss: 2.4657
Epoch 42/1000, Train Loss: 4.2670, Validation Loss: 2.6829
Epoch 43/1000, Train Loss: 1.5422, Validation Loss: 3.4280
Epoch 44/1000, Train Loss: 1.4324, Validation Loss: 4.2057
Epoch 45/1000, Train Loss: 1.5096, Validation Loss: 2.0148
Epoch 46/1000, Train Loss: 4.1638, Validation Loss: 2.1806
Epoch 47/1000, Train Loss: 1.3724, Validation Loss: 1.2098
Epoch 48/1000, Train Loss: 1.4346, Validation Loss: 2.9469
Epoch 49/1000, Train Loss: 1.5640, Validation Loss: 16.1802
Epoch 50/1000, Train Loss: 2.4430, Validation Loss: 1.2221
Epoch 51/1000, Train Loss: 1.3961, Validation Loss: 1.7713
Epoch 52/1000, Train Loss: 1.4765, Validation Loss: 2.3440
Epoch 53/1000, Train Loss: 5.4065, Validation Loss: 1.2775
Epoch 54/1000, Train Loss: 1.5326, Validation Loss: 5.9158
Epoch 55/1000, Train Loss: 1.4665, Validation Loss: 4.8743
Epoch 56/1000, Train Loss: 1.8230, Validation Loss: 1.3236
Epoch 57/1000, Train Loss: 1.4109, Validation Loss: 2.1440
Epoch 58/1000, Train Loss: 1.4861, Validation Loss: 19.5316
Epoch 59/1000, Train Loss: 1.3596, Validation Loss: 2.7679
Epoch 60/1000, Train Loss: 1.5883, Validation Loss: 1.3931
Epoch 61/1000, Train Loss: 1.3763, Validation Loss: 1.0800
Epoch 62/1000, Train Loss: 1.7145, Validation Loss: 9.3747
Epoch 63/1000, Train Loss: 1.8379, Validation Loss: 7.5030
Epoch 64/1000, Train Loss: 1.8133, Validation Loss: 2.0035
Epoch 65/1000, Train Loss: 1.4045, Validation Loss: 2.3488
Epoch 66/1000, Train Loss: 1.4907, Validation Loss: 3.4344
Epoch 67/1000, Train Loss: 9.4912, Validation Loss: 3.0608
Epoch 68/1000, Train Loss: 1.7721, Validation Loss: 1.2447
Epoch 69/1000, Train Loss: 1.6885, Validation Loss: 2.2187
Epoch 70/1000, Train Loss: 1.5755, Validation Loss: 1.0889
Epoch 71/1000, Train Loss: 1.8324, Validation Loss: 3.6207
Epoch 72/1000, Train Loss: 1.6800, Validation Loss: 1.3217
Epoch 73/1000, Train Loss: 1.6149, Validation Loss: 1.2107
Epoch 74/1000, Train Loss: 1.5552, Validation Loss: 2.3489
Epoch 75/1000, Train Loss: 1.9239, Validation Loss: 3.3671
Epoch 76/1000, Train Loss: 1.6137, Validation Loss: 1.5152
Epoch 77/1000, Train Loss: 1.6618, Validation Loss: 1.7831
Epoch 78/1000, Train Loss: 1.8352, Validation Loss: 5.8903
Epoch 79/1000, Train Loss: 1.5943, Validation Loss: 1.0878
Epoch 80/1000, Train Loss: 1.4941, Validation Loss: 1.5371
Epoch 81/1000, Train Loss: 1.3802, Validation Loss: 1.4096
Epoch 82/1000, Train Loss: 1.2492, Validation Loss: 1.6524
Epoch 83/1000, Train Loss: 1.6053, Validation Loss: 2.0958
Epoch 84/1000, Train Loss: 1.7464, Validation Loss: 1.9702
Epoch 85/1000, Train Loss: 1.9438, Validation Loss: 1.4962
Epoch 86/1000, Train Loss: 1.7442, Validation Loss: 3.1549
