Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-lwgouoz7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3722, Validation Loss: 1.4989
Epoch 2/1000, Train Loss: 1.9514, Validation Loss: 2.0076
Epoch 3/1000, Train Loss: 1.6819, Validation Loss: 1.9294
Epoch 4/1000, Train Loss: 1.6092, Validation Loss: 3.0006
Epoch 5/1000, Train Loss: 1.7638, Validation Loss: 4.3974
Epoch 6/1000, Train Loss: 1.5950, Validation Loss: 2.9979
Epoch 7/1000, Train Loss: 1.4892, Validation Loss: 1.7965
Epoch 8/1000, Train Loss: 1.3798, Validation Loss: 1.4891
Epoch 9/1000, Train Loss: 1.3857, Validation Loss: 1.7227
Epoch 10/1000, Train Loss: 1.3173, Validation Loss: 2.5460
Epoch 11/1000, Train Loss: 1.2583, Validation Loss: 1.6882
Epoch 12/1000, Train Loss: 1.2557, Validation Loss: 1.1583
Epoch 13/1000, Train Loss: 1.2572, Validation Loss: 3.2696
Epoch 14/1000, Train Loss: 1.2531, Validation Loss: 3.1526
Epoch 15/1000, Train Loss: 1.2165, Validation Loss: 2.8137
Epoch 16/1000, Train Loss: 1.1327, Validation Loss: 1.7726
Epoch 17/1000, Train Loss: 1.1800, Validation Loss: 1.0833
Epoch 18/1000, Train Loss: 1.1633, Validation Loss: 2.1737
Epoch 19/1000, Train Loss: 1.0835, Validation Loss: 2.1162
Epoch 20/1000, Train Loss: 1.1868, Validation Loss: 2.0472
Epoch 21/1000, Train Loss: 1.1769, Validation Loss: 1.1473
Epoch 22/1000, Train Loss: 1.1314, Validation Loss: 1.0124
Epoch 23/1000, Train Loss: 1.1573, Validation Loss: 1.9537
Epoch 24/1000, Train Loss: 1.1346, Validation Loss: 1.9866
Epoch 25/1000, Train Loss: 1.0922, Validation Loss: 1.5068
Epoch 26/1000, Train Loss: 1.1234, Validation Loss: 1.1911
Epoch 27/1000, Train Loss: 1.0421, Validation Loss: 1.2165
Epoch 28/1000, Train Loss: 1.1305, Validation Loss: 1.8239
Epoch 29/1000, Train Loss: 1.0569, Validation Loss: 1.9746
Epoch 30/1000, Train Loss: 1.1022, Validation Loss: 1.3176
Epoch 31/1000, Train Loss: 0.9863, Validation Loss: 1.7248
Epoch 32/1000, Train Loss: 1.0154, Validation Loss: 1.1578
Epoch 33/1000, Train Loss: 1.0506, Validation Loss: 1.4429
Epoch 34/1000, Train Loss: 1.0308, Validation Loss: 1.4577
Epoch 35/1000, Train Loss: 1.0022, Validation Loss: 0.8803
