Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-ga5zpkye
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3633, Validation Loss: 1.7076
Epoch 2/1000, Train Loss: 1.3889, Validation Loss: 3.0509
Epoch 3/1000, Train Loss: 1.2410, Validation Loss: 1.3394
Epoch 4/1000, Train Loss: 1.1796, Validation Loss: 1.7856
Epoch 5/1000, Train Loss: 1.1269, Validation Loss: 1.9837
Epoch 6/1000, Train Loss: 1.1083, Validation Loss: 2.6489
Epoch 7/1000, Train Loss: 1.0616, Validation Loss: 1.5328
Epoch 8/1000, Train Loss: 1.0280, Validation Loss: 0.8750
Epoch 9/1000, Train Loss: 0.9962, Validation Loss: 1.7552
Epoch 10/1000, Train Loss: 0.9710, Validation Loss: 1.1324
Epoch 11/1000, Train Loss: 0.9618, Validation Loss: 0.8427
Epoch 12/1000, Train Loss: 0.9301, Validation Loss: 1.7507
Epoch 13/1000, Train Loss: 0.8867, Validation Loss: 1.3377
Epoch 14/1000, Train Loss: 0.8635, Validation Loss: 0.9160
Epoch 15/1000, Train Loss: 0.8538, Validation Loss: 0.8318
Epoch 16/1000, Train Loss: 0.8510, Validation Loss: 0.9124
Epoch 17/1000, Train Loss: 0.8263, Validation Loss: 0.8770
Epoch 18/1000, Train Loss: 0.8275, Validation Loss: 0.8907
Epoch 19/1000, Train Loss: 0.8020, Validation Loss: 0.9780
Epoch 20/1000, Train Loss: 0.7839, Validation Loss: 2.5627
Epoch 21/1000, Train Loss: 0.7811, Validation Loss: 0.6905
Epoch 22/1000, Train Loss: 0.7562, Validation Loss: 1.0211
Epoch 23/1000, Train Loss: 0.7654, Validation Loss: 0.8050
Epoch 24/1000, Train Loss: 0.7418, Validation Loss: 2.2797
Epoch 25/1000, Train Loss: 0.7451, Validation Loss: 0.6915
Epoch 26/1000, Train Loss: 0.7352, Validation Loss: 1.2009
Epoch 27/1000, Train Loss: 0.7289, Validation Loss: 1.2197
Epoch 28/1000, Train Loss: 0.7208, Validation Loss: 0.8847
Epoch 29/1000, Train Loss: 0.7170, Validation Loss: 1.0321
Epoch 30/1000, Train Loss: 0.7083, Validation Loss: 1.3470
Epoch 31/1000, Train Loss: 0.6961, Validation Loss: 0.6108
Epoch 32/1000, Train Loss: 0.6817, Validation Loss: 0.6527
Epoch 33/1000, Train Loss: 0.6722, Validation Loss: 0.9573
Epoch 34/1000, Train Loss: 0.6737, Validation Loss: 0.5973
Epoch 35/1000, Train Loss: 0.6660, Validation Loss: 0.6573
Epoch 36/1000, Train Loss: 0.6562, Validation Loss: 0.5808
Epoch 37/1000, Train Loss: 0.6651, Validation Loss: 0.8112
Epoch 38/1000, Train Loss: 0.6550, Validation Loss: 0.8856
Epoch 39/1000, Train Loss: 0.6460, Validation Loss: 0.7582
Epoch 40/1000, Train Loss: 0.6516, Validation Loss: 0.6118
Epoch 41/1000, Train Loss: 0.6474, Validation Loss: 0.8461
Epoch 42/1000, Train Loss: 0.6265, Validation Loss: 0.5182
Epoch 43/1000, Train Loss: 0.6289, Validation Loss: 0.5750
Epoch 44/1000, Train Loss: 0.6169, Validation Loss: 0.9008
Epoch 45/1000, Train Loss: 0.6202, Validation Loss: 0.5334
Epoch 46/1000, Train Loss: 0.6083, Validation Loss: 0.5772
Epoch 47/1000, Train Loss: 0.6087, Validation Loss: 0.6670
Epoch 48/1000, Train Loss: 0.6059, Validation Loss: 0.5365
Epoch 49/1000, Train Loss: 0.6042, Validation Loss: 0.6197
Epoch 50/1000, Train Loss: 0.5749, Validation Loss: 0.9687
Epoch 51/1000, Train Loss: 0.5912, Validation Loss: 0.6060
Epoch 52/1000, Train Loss: 0.5748, Validation Loss: 0.5109
Epoch 53/1000, Train Loss: 0.5994, Validation Loss: 1.0647
Epoch 54/1000, Train Loss: 0.5705, Validation Loss: 1.3239
Epoch 55/1000, Train Loss: 0.5812, Validation Loss: 0.5110
Epoch 56/1000, Train Loss: 0.5670, Validation Loss: 0.5401
Epoch 57/1000, Train Loss: 0.5668, Validation Loss: 0.5347
Epoch 58/1000, Train Loss: 0.5625, Validation Loss: 0.5906
Epoch 59/1000, Train Loss: 0.5673, Validation Loss: 0.5435
Epoch 60/1000, Train Loss: 0.5614, Validation Loss: 1.1661
Epoch 61/1000, Train Loss: 0.5562, Validation Loss: 1.0477
Epoch 62/1000, Train Loss: 0.5498, Validation Loss: 2.3114
Epoch 63/1000, Train Loss: 0.5554, Validation Loss: 0.6849
Epoch 64/1000, Train Loss: 0.5447, Validation Loss: 0.7064
Epoch 65/1000, Train Loss: 0.5438, Validation Loss: 0.5773
Epoch 66/1000, Train Loss: 0.5343, Validation Loss: 0.5403
Epoch 67/1000, Train Loss: 0.5452, Validation Loss: 0.5145
Epoch 68/1000, Train Loss: 0.5397, Validation Loss: 0.6270
Epoch 69/1000, Train Loss: 0.5297, Validation Loss: 0.5258
Epoch 70/1000, Train Loss: 0.5321, Validation Loss: 0.6171
