Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-df2k909t
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.2936, Validation Loss: 1.9966
Epoch 2/1000, Train Loss: 1.4279, Validation Loss: 2.3662
Epoch 3/1000, Train Loss: 1.2905, Validation Loss: 5.8429
Epoch 4/1000, Train Loss: 1.2114, Validation Loss: 5.7905
Epoch 5/1000, Train Loss: 1.1393, Validation Loss: 3.8128
Epoch 6/1000, Train Loss: 1.0905, Validation Loss: 0.9324
Epoch 7/1000, Train Loss: 1.0950, Validation Loss: 1.4713
Epoch 8/1000, Train Loss: 1.0263, Validation Loss: 1.3898
Epoch 9/1000, Train Loss: 1.0123, Validation Loss: 1.7198
Epoch 10/1000, Train Loss: 1.0367, Validation Loss: 1.6615
Epoch 11/1000, Train Loss: 0.9573, Validation Loss: 0.9123
Epoch 12/1000, Train Loss: 0.9442, Validation Loss: 1.5861
Epoch 13/1000, Train Loss: 0.9616, Validation Loss: 1.1087
Epoch 14/1000, Train Loss: 1.0141, Validation Loss: 1.6458
Epoch 15/1000, Train Loss: 0.9613, Validation Loss: 2.1704
Epoch 16/1000, Train Loss: 0.9368, Validation Loss: 1.2433
Epoch 17/1000, Train Loss: 0.9377, Validation Loss: 1.3735
Epoch 18/1000, Train Loss: 0.8563, Validation Loss: 1.6263
Epoch 19/1000, Train Loss: 0.9031, Validation Loss: 0.8089
Epoch 20/1000, Train Loss: 0.8516, Validation Loss: 1.6360
Epoch 21/1000, Train Loss: 0.8422, Validation Loss: 1.7714
Epoch 22/1000, Train Loss: 0.8203, Validation Loss: 1.1669
Epoch 23/1000, Train Loss: 0.8368, Validation Loss: 0.8885
Epoch 24/1000, Train Loss: 0.8429, Validation Loss: 2.2731
Epoch 25/1000, Train Loss: 0.7747, Validation Loss: 4.5694
Epoch 26/1000, Train Loss: 0.7724, Validation Loss: 0.8109
Epoch 27/1000, Train Loss: 0.7240, Validation Loss: 2.5237
Epoch 28/1000, Train Loss: 0.7791, Validation Loss: 1.5717
Epoch 29/1000, Train Loss: 0.7355, Validation Loss: 0.6122
Epoch 30/1000, Train Loss: 0.7342, Validation Loss: 1.0707
Epoch 31/1000, Train Loss: 0.7085, Validation Loss: 3.2150
Epoch 32/1000, Train Loss: 1.3642, Validation Loss: 2.8858
Epoch 33/1000, Train Loss: 0.7488, Validation Loss: 1.6444
Epoch 34/1000, Train Loss: 0.7322, Validation Loss: 2.5358
Epoch 35/1000, Train Loss: 0.7191, Validation Loss: 0.9175
Epoch 36/1000, Train Loss: 0.7303, Validation Loss: 2.6382
Epoch 37/1000, Train Loss: 0.7168, Validation Loss: 1.4426
Epoch 38/1000, Train Loss: 0.6743, Validation Loss: 1.2987
Epoch 39/1000, Train Loss: 0.6711, Validation Loss: 1.1078
Epoch 40/1000, Train Loss: 0.6548, Validation Loss: 3.0221
Epoch 41/1000, Train Loss: 0.7248, Validation Loss: 1.2501
Epoch 42/1000, Train Loss: 0.7102, Validation Loss: 7.4660
Epoch 43/1000, Train Loss: 0.6792, Validation Loss: 2.0098
Epoch 44/1000, Train Loss: 0.6764, Validation Loss: 1.2181
Epoch 45/1000, Train Loss: 0.7666, Validation Loss: 1.7950
Epoch 46/1000, Train Loss: 0.6800, Validation Loss: 1.3922
Epoch 47/1000, Train Loss: 0.6645, Validation Loss: 0.6637
Epoch 48/1000, Train Loss: 0.6719, Validation Loss: 0.8615
Epoch 49/1000, Train Loss: 0.8044, Validation Loss: 1.2233
Epoch 50/1000, Train Loss: 0.7182, Validation Loss: 5.2089
Epoch 51/1000, Train Loss: 0.6733, Validation Loss: 1.0207
Epoch 52/1000, Train Loss: 0.6387, Validation Loss: 0.9008
Epoch 53/1000, Train Loss: 0.6906, Validation Loss: 1.0520
Epoch 54/1000, Train Loss: 0.6489, Validation Loss: 0.6782
Epoch 55/1000, Train Loss: 0.6467, Validation Loss: 2.9558
Epoch 56/1000, Train Loss: 0.6330, Validation Loss: 1.3025
Epoch 57/1000, Train Loss: 0.6532, Validation Loss: 1.4892
Epoch 58/1000, Train Loss: 0.6415, Validation Loss: 0.6721
Epoch 59/1000, Train Loss: 0.6696, Validation Loss: 0.7597
Epoch 60/1000, Train Loss: 0.9851, Validation Loss: 2.2672
Epoch 61/1000, Train Loss: 0.6608, Validation Loss: 0.7136
Epoch 62/1000, Train Loss: 0.6623, Validation Loss: 5.4346
Epoch 63/1000, Train Loss: 0.6325, Validation Loss: 5.2910
Epoch 64/1000, Train Loss: 0.6290, Validation Loss: 0.8181
Epoch 65/1000, Train Loss: 0.6344, Validation Loss: 1.9339
Epoch 66/1000, Train Loss: 0.6579, Validation Loss: 1.7247
Epoch 67/1000, Train Loss: 0.8907, Validation Loss: 0.6701
Epoch 68/1000, Train Loss: 0.6651, Validation Loss: 1.2607
Epoch 69/1000, Train Loss: 0.6747, Validation Loss: 1.3762
Epoch 70/1000, Train Loss: 0.6367, Validation Loss: 1.3703
Epoch 71/1000, Train Loss: 0.6249, Validation Loss: 1.2305
Epoch 72/1000, Train Loss: 0.6196, Validation Loss: 3.1162
Epoch 73/1000, Train Loss: 0.6349, Validation Loss: 0.6744
Epoch 74/1000, Train Loss: 0.6018, Validation Loss: 2.5100
Epoch 75/1000, Train Loss: 0.6244, Validation Loss: 1.1486
Epoch 76/1000, Train Loss: 0.6171, Validation Loss: 6.0552
Epoch 77/1000, Train Loss: 0.6032, Validation Loss: 1.2370
Epoch 78/1000, Train Loss: 0.6233, Validation Loss: 1.1387
Epoch 79/1000, Train Loss: 0.6275, Validation Loss: 4.1169
Epoch 80/1000, Train Loss: 0.5914, Validation Loss: 1.7308
Epoch 81/1000, Train Loss: 0.6103, Validation Loss: 1.8247
Epoch 82/1000, Train Loss: 0.6802, Validation Loss: 1.3963
Epoch 83/1000, Train Loss: 0.6066, Validation Loss: 4.9262
Epoch 84/1000, Train Loss: 0.6093, Validation Loss: 1.2534
Epoch 85/1000, Train Loss: 0.6024, Validation Loss: 1.3981
Epoch 86/1000, Train Loss: 0.6100, Validation Loss: 1.2527
Epoch 87/1000, Train Loss: 0.5954, Validation Loss: 1.0067
Epoch 88/1000, Train Loss: 0.6344, Validation Loss: 1.5057
Epoch 89/1000, Train Loss: 0.5977, Validation Loss: 1.1055
Epoch 90/1000, Train Loss: 0.6374, Validation Loss: 1.4513
Epoch 91/1000, Train Loss: 0.6154, Validation Loss: 0.6659
Epoch 92/1000, Train Loss: 0.5778, Validation Loss: 1.7236
Epoch 93/1000, Train Loss: 0.6005, Validation Loss: 1.4484
Epoch 94/1000, Train Loss: 40.0984, Validation Loss: 1.1765
Epoch 95/1000, Train Loss: 0.5923, Validation Loss: 3.6543
Epoch 96/1000, Train Loss: 0.5859, Validation Loss: 1.2614
Epoch 97/1000, Train Loss: 0.5865, Validation Loss: 0.8233
Epoch 98/1000, Train Loss: 0.5920, Validation Loss: 0.8041
Epoch 99/1000, Train Loss: 0.5917, Validation Loss: 2.2555
Epoch 100/1000, Train Loss: 0.5979, Validation Loss: 0.6733
Epoch 101/1000, Train Loss: 0.6117, Validation Loss: 2.4409
Epoch 102/1000, Train Loss: 0.6045, Validation Loss: 0.9663
Epoch 103/1000, Train Loss: 0.6008, Validation Loss: 2.6127
Epoch 104/1000, Train Loss: 0.5939, Validation Loss: 0.9778
Epoch 105/1000, Train Loss: 0.5840, Validation Loss: 1.5421
Epoch 106/1000, Train Loss: 0.5756, Validation Loss: 1.2893
Epoch 107/1000, Train Loss: 0.5844, Validation Loss: 2.6723
Epoch 108/1000, Train Loss: 0.6025, Validation Loss: 2.6031
Epoch 109/1000, Train Loss: 0.6249, Validation Loss: 0.8811
Epoch 110/1000, Train Loss: 0.6066, Validation Loss: 0.7271
Epoch 111/1000, Train Loss: 0.5684, Validation Loss: 1.4442
Epoch 112/1000, Train Loss: 0.5848, Validation Loss: 1.1947
Epoch 113/1000, Train Loss: 0.5595, Validation Loss: 0.7137
Epoch 114/1000, Train Loss: 0.6118, Validation Loss: 0.6372
