Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-eq929xek
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.5519, Validation Loss: 2.3143
Epoch 2/1000, Train Loss: 1.5825, Validation Loss: 3.2934
Epoch 3/1000, Train Loss: 1.3685, Validation Loss: 2.3326
Epoch 4/1000, Train Loss: 126.5008, Validation Loss: 1.3064
Epoch 5/1000, Train Loss: 9.1978, Validation Loss: 1.2429
Epoch 6/1000, Train Loss: 3.1115, Validation Loss: 5.1448
Epoch 7/1000, Train Loss: 1.2850, Validation Loss: 1.9556
Epoch 8/1000, Train Loss: 1.2307, Validation Loss: 1.8495
Epoch 9/1000, Train Loss: 1.0895, Validation Loss: 1.1636
Epoch 10/1000, Train Loss: 1.4691, Validation Loss: 2.3101
Epoch 11/1000, Train Loss: 1.2044, Validation Loss: 1.1339
Epoch 12/1000, Train Loss: 30.0161, Validation Loss: 1.0476
Epoch 13/1000, Train Loss: 1.0539, Validation Loss: 1.9403
Epoch 14/1000, Train Loss: 1.2564, Validation Loss: 1.8636
Epoch 15/1000, Train Loss: 1.0921, Validation Loss: 1.6938
Epoch 16/1000, Train Loss: 1.3131, Validation Loss: 0.8722
Epoch 17/1000, Train Loss: 1.1635, Validation Loss: 0.8467
Epoch 18/1000, Train Loss: 4.3591, Validation Loss: 3.2111
Epoch 19/1000, Train Loss: 1.0592, Validation Loss: 1.4806
Epoch 20/1000, Train Loss: 6.5553, Validation Loss: 1.5404
Epoch 21/1000, Train Loss: 1.4580, Validation Loss: 1.9155
Epoch 22/1000, Train Loss: 4.1858, Validation Loss: 1.7116
Epoch 23/1000, Train Loss: 1.0416, Validation Loss: 1.5535
Epoch 24/1000, Train Loss: 0.9942, Validation Loss: 1.5985
Epoch 25/1000, Train Loss: 1.6654, Validation Loss: 3.1530
Epoch 26/1000, Train Loss: 0.9375, Validation Loss: 1.0726
Epoch 27/1000, Train Loss: 0.9816, Validation Loss: 1.2676
Epoch 28/1000, Train Loss: 0.9124, Validation Loss: 1.1653
Epoch 29/1000, Train Loss: 1.6531, Validation Loss: 2.4199
Epoch 30/1000, Train Loss: 1.0564, Validation Loss: 1.1463
Epoch 31/1000, Train Loss: 0.9178, Validation Loss: 0.7812
Epoch 32/1000, Train Loss: 0.8916, Validation Loss: 1.0303
Epoch 33/1000, Train Loss: 7.7861, Validation Loss: 1.5245
Epoch 34/1000, Train Loss: 0.8816, Validation Loss: 3.6507
Epoch 35/1000, Train Loss: 0.8562, Validation Loss: 1.0494
Epoch 36/1000, Train Loss: 2.0485, Validation Loss: 1.0958
Epoch 37/1000, Train Loss: 29.2953, Validation Loss: 1.6135
Epoch 38/1000, Train Loss: 0.8632, Validation Loss: 1.0126
Epoch 39/1000, Train Loss: 6.4649, Validation Loss: 1.1438
Epoch 40/1000, Train Loss: 0.8946, Validation Loss: 2.5738
Epoch 41/1000, Train Loss: 0.9006, Validation Loss: 2.2501
Epoch 42/1000, Train Loss: 0.8504, Validation Loss: 1.0950
Epoch 43/1000, Train Loss: 0.8268, Validation Loss: 1.3231
Epoch 44/1000, Train Loss: 2.0007, Validation Loss: 1.3298
Epoch 45/1000, Train Loss: 0.8593, Validation Loss: 1.8766
Epoch 46/1000, Train Loss: 0.8398, Validation Loss: 0.9439
Epoch 47/1000, Train Loss: 1.8974, Validation Loss: 1.8112
Epoch 48/1000, Train Loss: 19.7879, Validation Loss: 0.9925
Epoch 49/1000, Train Loss: 0.8415, Validation Loss: 1.9159
Epoch 50/1000, Train Loss: 0.9791, Validation Loss: 0.8980
Epoch 51/1000, Train Loss: 1.2329, Validation Loss: 0.9304
Epoch 52/1000, Train Loss: 14.3208, Validation Loss: 517.7243
Epoch 53/1000, Train Loss: 1.3160, Validation Loss: 0.7653
Epoch 54/1000, Train Loss: 1.1484, Validation Loss: 0.7040
Epoch 55/1000, Train Loss: 0.8445, Validation Loss: 2.4743
Epoch 56/1000, Train Loss: 11.3759, Validation Loss: 0.8415
Epoch 57/1000, Train Loss: 0.8777, Validation Loss: 2.0802
Epoch 58/1000, Train Loss: 0.9444, Validation Loss: 2.0000
Epoch 59/1000, Train Loss: 0.8517, Validation Loss: 1.1415
Epoch 60/1000, Train Loss: 0.9062, Validation Loss: 1.8125
Epoch 61/1000, Train Loss: 0.8334, Validation Loss: 1.2841
Epoch 62/1000, Train Loss: 4.0321, Validation Loss: 0.9572
Epoch 63/1000, Train Loss: 0.8507, Validation Loss: 2.5063
Epoch 64/1000, Train Loss: 27.7992, Validation Loss: 1.2127
Epoch 65/1000, Train Loss: 0.8038, Validation Loss: 1.6436
Epoch 66/1000, Train Loss: 16.8553, Validation Loss: 0.8149
Epoch 67/1000, Train Loss: 1.5238, Validation Loss: 1.9915
Epoch 68/1000, Train Loss: 0.8672, Validation Loss: 0.8523
Epoch 69/1000, Train Loss: 0.8252, Validation Loss: 0.9649
Epoch 70/1000, Train Loss: 0.9028, Validation Loss: 1.4011
Epoch 71/1000, Train Loss: 1.1403, Validation Loss: 1.2056
Epoch 72/1000, Train Loss: 1.0414, Validation Loss: 1.0429
Epoch 73/1000, Train Loss: 1.9220, Validation Loss: 0.7810
Epoch 74/1000, Train Loss: 0.7929, Validation Loss: 0.9919
Epoch 75/1000, Train Loss: 0.7999, Validation Loss: 1.6048
Epoch 76/1000, Train Loss: 0.8985, Validation Loss: 0.8102
Epoch 77/1000, Train Loss: 0.8052, Validation Loss: 3.7858
Epoch 78/1000, Train Loss: 1.0237, Validation Loss: 2.2934
Epoch 79/1000, Train Loss: 1.7459, Validation Loss: 1.6171
Epoch 80/1000, Train Loss: 0.9568, Validation Loss: 1.2550
Epoch 81/1000, Train Loss: 0.8005, Validation Loss: 1.2646
Epoch 82/1000, Train Loss: 43.9567, Validation Loss: 1.2323
Epoch 83/1000, Train Loss: 1.3472, Validation Loss: 1.8913
Epoch 84/1000, Train Loss: 0.7970, Validation Loss: 0.8201
Epoch 85/1000, Train Loss: 0.9858, Validation Loss: 1.2443
Epoch 86/1000, Train Loss: 0.9011, Validation Loss: 1.3983
Epoch 87/1000, Train Loss: 4.2696, Validation Loss: 1.2049
Epoch 88/1000, Train Loss: 514.3174, Validation Loss: 1.9543
Epoch 89/1000, Train Loss: 0.8436, Validation Loss: 1.5657
Epoch 90/1000, Train Loss: 0.7829, Validation Loss: 2.8648
Epoch 91/1000, Train Loss: 0.8566, Validation Loss: 1.3753
Epoch 92/1000, Train Loss: 2.1186, Validation Loss: 1.2180
Epoch 93/1000, Train Loss: 0.7906, Validation Loss: 3.2083
Epoch 94/1000, Train Loss: 2.4380, Validation Loss: 0.6332
Epoch 95/1000, Train Loss: 0.8009, Validation Loss: 1.2799
Epoch 96/1000, Train Loss: 2.9532, Validation Loss: 0.7855
Epoch 97/1000, Train Loss: 1.0189, Validation Loss: 2.2602
Epoch 98/1000, Train Loss: 0.7991, Validation Loss: 0.9812
Epoch 99/1000, Train Loss: 6.2579, Validation Loss: 0.7859
Epoch 100/1000, Train Loss: 0.7992, Validation Loss: 0.7261
Epoch 101/1000, Train Loss: 0.8015, Validation Loss: 1.2458
Epoch 102/1000, Train Loss: 1.2668, Validation Loss: 0.6982
Epoch 103/1000, Train Loss: 2.9810, Validation Loss: 3.5871
Epoch 104/1000, Train Loss: 0.8920, Validation Loss: 0.8409
Epoch 105/1000, Train Loss: 0.8975, Validation Loss: 1.1238
Epoch 106/1000, Train Loss: 0.9035, Validation Loss: 1.3373
Epoch 107/1000, Train Loss: 0.7801, Validation Loss: 1.5812
Epoch 108/1000, Train Loss: 0.8999, Validation Loss: 1.1155
Epoch 109/1000, Train Loss: 0.9775, Validation Loss: 1.6086
Epoch 110/1000, Train Loss: 8.7819, Validation Loss: 2.1238
Epoch 111/1000, Train Loss: 1.3479, Validation Loss: 1.0720
Epoch 112/1000, Train Loss: 0.7553, Validation Loss: 0.8458
Epoch 113/1000, Train Loss: 0.8858, Validation Loss: 0.6153
Epoch 114/1000, Train Loss: 0.8378, Validation Loss: 1.1565
Epoch 115/1000, Train Loss: 0.7827, Validation Loss: 1.8209
Epoch 116/1000, Train Loss: 29.2540, Validation Loss: 0.7419
Epoch 117/1000, Train Loss: 0.8022, Validation Loss: 0.6553
Epoch 118/1000, Train Loss: 3.5162, Validation Loss: 0.6845
Epoch 119/1000, Train Loss: 0.8966, Validation Loss: 1.3750
Epoch 120/1000, Train Loss: 0.8783, Validation Loss: 0.7963
Epoch 121/1000, Train Loss: 0.8007, Validation Loss: 1.0748
Epoch 122/1000, Train Loss: 6.5984, Validation Loss: 1.0395
Epoch 123/1000, Train Loss: 0.8622, Validation Loss: 1.3780
Epoch 124/1000, Train Loss: 3.3307, Validation Loss: 1.2354
Epoch 125/1000, Train Loss: 0.7704, Validation Loss: 1.3002
