Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-zspsra3s
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.4131, Validation Loss: 1.3500
Epoch 2/1000, Train Loss: 1.5396, Validation Loss: 1.6041
Epoch 3/1000, Train Loss: 1.4272, Validation Loss: 3.5275
Epoch 4/1000, Train Loss: 1.3818, Validation Loss: 2.6521
Epoch 5/1000, Train Loss: 116.3300, Validation Loss: 1.2897
Epoch 6/1000, Train Loss: 1.4747, Validation Loss: 1.8496
Epoch 7/1000, Train Loss: 26.6669, Validation Loss: 1.2408
Epoch 8/1000, Train Loss: 1.3071, Validation Loss: 4.0475
Epoch 9/1000, Train Loss: 5.0244, Validation Loss: 4.3559
Epoch 10/1000, Train Loss: 1.6763, Validation Loss: 4.9379
Epoch 11/1000, Train Loss: 2.4161, Validation Loss: 1.8182
Epoch 12/1000, Train Loss: 22.7438, Validation Loss: 1.2175
Epoch 13/1000, Train Loss: 1.2146, Validation Loss: 0.9994
Epoch 14/1000, Train Loss: 4.5908, Validation Loss: 1.5457
Epoch 15/1000, Train Loss: 264.3605, Validation Loss: 3.5844
Epoch 16/1000, Train Loss: 2.2632, Validation Loss: 1.0615
Epoch 17/1000, Train Loss: 1.4926, Validation Loss: 1.6867
Epoch 18/1000, Train Loss: 1.3213, Validation Loss: 3.4845
Epoch 19/1000, Train Loss: 2.0494, Validation Loss: 1.6225
Epoch 20/1000, Train Loss: 1.1347, Validation Loss: 1.4183
Epoch 21/1000, Train Loss: 4.9041, Validation Loss: 3.6028
Epoch 22/1000, Train Loss: 1.3486, Validation Loss: 1.5114
Epoch 23/1000, Train Loss: 1.1455, Validation Loss: 1.7651
Epoch 24/1000, Train Loss: 4.6465, Validation Loss: 4.5652
Epoch 25/1000, Train Loss: 1.1685, Validation Loss: 1.5667
Epoch 26/1000, Train Loss: 1.1390, Validation Loss: 1.1437
Epoch 27/1000, Train Loss: 3.8440, Validation Loss: 1.6334
Epoch 28/1000, Train Loss: 1.0935, Validation Loss: 1.3638
Epoch 29/1000, Train Loss: 1.1946, Validation Loss: 3.8014
Epoch 30/1000, Train Loss: 1.0790, Validation Loss: 1.8036
Epoch 31/1000, Train Loss: 2.3005, Validation Loss: 1.3590
Epoch 32/1000, Train Loss: 1.0483, Validation Loss: 1.6590
Epoch 33/1000, Train Loss: 1.0552, Validation Loss: 1.5254
Epoch 34/1000, Train Loss: 13.6908, Validation Loss: 1.3869
Epoch 35/1000, Train Loss: 9.7000, Validation Loss: 2.6351
Epoch 36/1000, Train Loss: 1.3534, Validation Loss: 1.5082
Epoch 37/1000, Train Loss: 2.0063, Validation Loss: 2.3668
Epoch 38/1000, Train Loss: 1.3617, Validation Loss: 1.3663
Epoch 39/1000, Train Loss: 127.8250, Validation Loss: 2.1481
Epoch 40/1000, Train Loss: 1.2793, Validation Loss: 15.1078
Epoch 41/1000, Train Loss: 1.5905, Validation Loss: 3.0072
Epoch 42/1000, Train Loss: 1.8087, Validation Loss: 3.1606
Epoch 43/1000, Train Loss: 1.0722, Validation Loss: 2.1651
Epoch 44/1000, Train Loss: 1.2521, Validation Loss: 0.9100
Epoch 45/1000, Train Loss: 1.1093, Validation Loss: 1.4625
Epoch 46/1000, Train Loss: 1.5322, Validation Loss: 1.0528
Epoch 47/1000, Train Loss: 1.0660, Validation Loss: 1.5254
Epoch 48/1000, Train Loss: 46.0277, Validation Loss: 1.7495
Epoch 49/1000, Train Loss: 1.0868, Validation Loss: 1.2456
Epoch 50/1000, Train Loss: 1.0840, Validation Loss: 1.8170
Epoch 51/1000, Train Loss: 1.1444, Validation Loss: 2.1227
Epoch 52/1000, Train Loss: 2.0823, Validation Loss: 1.2547
Epoch 53/1000, Train Loss: 2.6909, Validation Loss: 1.2640
Epoch 54/1000, Train Loss: 1.8670, Validation Loss: 1.2035
Epoch 55/1000, Train Loss: 1.1628, Validation Loss: 2.0796
Epoch 56/1000, Train Loss: 1.6842, Validation Loss: 3.1707
Epoch 57/1000, Train Loss: 1.0927, Validation Loss: 4.4795
Epoch 58/1000, Train Loss: 57.3723, Validation Loss: 32.1437
Epoch 59/1000, Train Loss: 1.0667, Validation Loss: 0.9096
Epoch 60/1000, Train Loss: 1.2496, Validation Loss: 1.1966
Epoch 61/1000, Train Loss: 6.4191, Validation Loss: 1.2548
Epoch 62/1000, Train Loss: 1.1164, Validation Loss: 2.6358
Epoch 63/1000, Train Loss: 1.1411, Validation Loss: 3.6879
Epoch 64/1000, Train Loss: 1.0445, Validation Loss: 1.0606
Epoch 65/1000, Train Loss: 9.0554, Validation Loss: 1.1388
Epoch 66/1000, Train Loss: 2.2510, Validation Loss: 2.6715
Epoch 67/1000, Train Loss: 1.2241, Validation Loss: 1.6650
Epoch 68/1000, Train Loss: 1.0528, Validation Loss: 2.0622
Epoch 69/1000, Train Loss: 2.2374, Validation Loss: 1.5283
Epoch 70/1000, Train Loss: 9.5302, Validation Loss: 0.9541
Epoch 71/1000, Train Loss: 196.5419, Validation Loss: 1.1055
Epoch 72/1000, Train Loss: 0.9942, Validation Loss: 1.7417
Epoch 73/1000, Train Loss: 7.7419, Validation Loss: 0.9715
