Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-nv2n9pxg
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.1440, Validation Loss: 3.8143
Epoch 2/1000, Train Loss: 1.4061, Validation Loss: 2.2314
Epoch 3/1000, Train Loss: 1.2885, Validation Loss: 1.4896
Epoch 4/1000, Train Loss: 1.3635, Validation Loss: 2.2573
Epoch 5/1000, Train Loss: 1.2015, Validation Loss: 2.1634
Epoch 6/1000, Train Loss: 1.1615, Validation Loss: 1.2285
Epoch 7/1000, Train Loss: 1.1123, Validation Loss: 1.0083
Epoch 8/1000, Train Loss: 1.0648, Validation Loss: 0.9397
Epoch 9/1000, Train Loss: 1.0739, Validation Loss: 3.0931
Epoch 10/1000, Train Loss: 1.0518, Validation Loss: 1.5518
Epoch 11/1000, Train Loss: 0.9817, Validation Loss: 3.2135
Epoch 12/1000, Train Loss: 1.0128, Validation Loss: 0.9414
Epoch 13/1000, Train Loss: 0.9586, Validation Loss: 1.6869
Epoch 14/1000, Train Loss: 3.7708, Validation Loss: 1.6768
Epoch 15/1000, Train Loss: 0.9262, Validation Loss: 1.2013
Epoch 16/1000, Train Loss: 0.9099, Validation Loss: 3.0534
Epoch 17/1000, Train Loss: 0.8579, Validation Loss: 2.2610
Epoch 18/1000, Train Loss: 0.8957, Validation Loss: 3.3943
Epoch 19/1000, Train Loss: 1.0726, Validation Loss: 2.4176
Epoch 20/1000, Train Loss: 0.8396, Validation Loss: 3.1838
Epoch 21/1000, Train Loss: 1.3591, Validation Loss: 1.0438
Epoch 22/1000, Train Loss: 0.8555, Validation Loss: 1.3416
Epoch 23/1000, Train Loss: 0.8237, Validation Loss: 1.5535
Epoch 24/1000, Train Loss: 0.8022, Validation Loss: 1.1610
Epoch 25/1000, Train Loss: 21.7634, Validation Loss: 4.6417
Epoch 26/1000, Train Loss: 0.8594, Validation Loss: 1.8449
Epoch 27/1000, Train Loss: 0.8451, Validation Loss: 1.0960
Epoch 28/1000, Train Loss: 0.7818, Validation Loss: 0.9438
Epoch 29/1000, Train Loss: 0.7942, Validation Loss: 1.2443
Epoch 30/1000, Train Loss: 0.7897, Validation Loss: 4.7195
Epoch 31/1000, Train Loss: 0.7472, Validation Loss: 1.0355
Epoch 32/1000, Train Loss: 0.7474, Validation Loss: 0.9254
Epoch 33/1000, Train Loss: 0.7372, Validation Loss: 1.3600
Epoch 34/1000, Train Loss: 0.8091, Validation Loss: 1.1584
Epoch 35/1000, Train Loss: 0.7394, Validation Loss: 6.3921
Epoch 36/1000, Train Loss: 0.7437, Validation Loss: 0.7624
Epoch 37/1000, Train Loss: 73.8677, Validation Loss: 2.1311
Epoch 38/1000, Train Loss: 0.9070, Validation Loss: 0.7258
Epoch 39/1000, Train Loss: 0.7830, Validation Loss: 2.7151
Epoch 40/1000, Train Loss: 0.7586, Validation Loss: 2.3380
Epoch 41/1000, Train Loss: 0.7306, Validation Loss: 0.7645
Epoch 42/1000, Train Loss: 0.7262, Validation Loss: 1.9892
Epoch 43/1000, Train Loss: 0.7383, Validation Loss: 1.5394
Epoch 44/1000, Train Loss: 0.8074, Validation Loss: 7.2690
Epoch 45/1000, Train Loss: 0.7225, Validation Loss: 10.5529
Epoch 46/1000, Train Loss: 0.8857, Validation Loss: 1.7906
Epoch 47/1000, Train Loss: 0.7190, Validation Loss: 2.3632
Epoch 48/1000, Train Loss: 0.7155, Validation Loss: 0.9570
Epoch 49/1000, Train Loss: 0.7100, Validation Loss: 0.9237
Epoch 50/1000, Train Loss: 0.7074, Validation Loss: 0.7623
Epoch 51/1000, Train Loss: 0.7658, Validation Loss: 0.9424
Epoch 52/1000, Train Loss: 0.7154, Validation Loss: 1.7715
Epoch 53/1000, Train Loss: 0.6892, Validation Loss: 3.1320
Epoch 54/1000, Train Loss: 0.6991, Validation Loss: 0.8275
Epoch 55/1000, Train Loss: 45.7971, Validation Loss: 6.1588
Epoch 56/1000, Train Loss: 1.3525, Validation Loss: 2.7584
Epoch 57/1000, Train Loss: 0.7113, Validation Loss: 1.9261
Epoch 58/1000, Train Loss: 0.7079, Validation Loss: 1.1590
Epoch 59/1000, Train Loss: 0.7081, Validation Loss: 1.2016
Epoch 60/1000, Train Loss: 0.6808, Validation Loss: 0.6296
Epoch 61/1000, Train Loss: 0.6927, Validation Loss: 0.8175
Epoch 62/1000, Train Loss: 0.9644, Validation Loss: 1.2376
Epoch 63/1000, Train Loss: 0.7051, Validation Loss: 1.6341
Epoch 64/1000, Train Loss: 0.6778, Validation Loss: 0.7087
Epoch 65/1000, Train Loss: 0.6732, Validation Loss: 3.1972
Epoch 66/1000, Train Loss: 0.6620, Validation Loss: 1.3208
Epoch 67/1000, Train Loss: 0.6777, Validation Loss: 2.7896
Epoch 68/1000, Train Loss: 0.7360, Validation Loss: 1.1725
Epoch 69/1000, Train Loss: 0.6797, Validation Loss: 0.7655
Epoch 70/1000, Train Loss: 0.6698, Validation Loss: 3.3601
Epoch 71/1000, Train Loss: 0.6695, Validation Loss: 9.0295
Epoch 72/1000, Train Loss: 1.5713, Validation Loss: 3.1616
Epoch 73/1000, Train Loss: 0.7148, Validation Loss: 2.2520
Epoch 74/1000, Train Loss: 0.6855, Validation Loss: 0.7675
Epoch 75/1000, Train Loss: 0.6515, Validation Loss: 1.2249
Epoch 76/1000, Train Loss: 0.6646, Validation Loss: 2.8993
Epoch 77/1000, Train Loss: 0.6585, Validation Loss: 1.8613
Epoch 78/1000, Train Loss: 0.6490, Validation Loss: 1.1725
Epoch 79/1000, Train Loss: 0.6745, Validation Loss: 2.5338
Epoch 80/1000, Train Loss: 0.6552, Validation Loss: 1.0223
Epoch 81/1000, Train Loss: 0.8959, Validation Loss: 2.0912
Epoch 82/1000, Train Loss: 0.6731, Validation Loss: 0.8305
Epoch 83/1000, Train Loss: 0.6603, Validation Loss: 0.8475
Epoch 84/1000, Train Loss: 0.6673, Validation Loss: 3.6587
Epoch 85/1000, Train Loss: 0.7114, Validation Loss: 2.9251
Epoch 86/1000, Train Loss: 0.6474, Validation Loss: 1.4193
Epoch 87/1000, Train Loss: 0.6598, Validation Loss: 3.3823
Epoch 88/1000, Train Loss: 0.8767, Validation Loss: 0.9297
Epoch 89/1000, Train Loss: 0.6608, Validation Loss: 0.8109
Epoch 90/1000, Train Loss: 0.6444, Validation Loss: 2.4354
Epoch 91/1000, Train Loss: 0.6427, Validation Loss: 8.5715
Epoch 92/1000, Train Loss: 0.6497, Validation Loss: 11.4607
Epoch 93/1000, Train Loss: 0.6636, Validation Loss: 2.1439
Epoch 94/1000, Train Loss: 0.6491, Validation Loss: 1.0200
Epoch 95/1000, Train Loss: 0.6656, Validation Loss: 2.3258
Epoch 96/1000, Train Loss: 0.8999, Validation Loss: 1.9578
Epoch 97/1000, Train Loss: 0.6651, Validation Loss: 2.1041
Epoch 98/1000, Train Loss: 0.6591, Validation Loss: 1.4995
Epoch 99/1000, Train Loss: 0.6485, Validation Loss: 0.7500
Epoch 100/1000, Train Loss: 0.7142, Validation Loss: 3.0179
Epoch 101/1000, Train Loss: 0.6737, Validation Loss: 2.3044
Epoch 102/1000, Train Loss: 0.6493, Validation Loss: 2.7016
Epoch 103/1000, Train Loss: 0.6557, Validation Loss: 4.2513
