Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-o0rcy8es
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.4708, Validation Loss: 1.7273
Epoch 2/1000, Train Loss: 1.6888, Validation Loss: 2.2369
Epoch 3/1000, Train Loss: 1.5240, Validation Loss: 3.9354
Epoch 4/1000, Train Loss: 1.4456, Validation Loss: 1.8779
Epoch 5/1000, Train Loss: 1.4135, Validation Loss: 1.8278
Epoch 6/1000, Train Loss: 1.3166, Validation Loss: 2.6789
Epoch 7/1000, Train Loss: 1.1955, Validation Loss: 1.1538
Epoch 8/1000, Train Loss: 1.2339, Validation Loss: 1.4975
Epoch 9/1000, Train Loss: 1.1683, Validation Loss: 1.1001
Epoch 10/1000, Train Loss: 1.2279, Validation Loss: 1.0706
Epoch 11/1000, Train Loss: 1.1616, Validation Loss: 1.8606
Epoch 12/1000, Train Loss: 1.0911, Validation Loss: 2.1644
Epoch 13/1000, Train Loss: 1.0615, Validation Loss: 3.8883
Epoch 14/1000, Train Loss: 1.1273, Validation Loss: 4.9917
Epoch 15/1000, Train Loss: 1.0170, Validation Loss: 1.1950
Epoch 16/1000, Train Loss: 0.9926, Validation Loss: 1.2906
Epoch 17/1000, Train Loss: 1.0598, Validation Loss: 1.1779
Epoch 18/1000, Train Loss: 1.0112, Validation Loss: 1.1930
Epoch 19/1000, Train Loss: 0.9497, Validation Loss: 0.9839
Epoch 20/1000, Train Loss: 1.0303, Validation Loss: 3.6280
Epoch 21/1000, Train Loss: 0.9245, Validation Loss: 0.9619
Epoch 22/1000, Train Loss: 0.9474, Validation Loss: 1.3071
Epoch 23/1000, Train Loss: 0.8988, Validation Loss: 1.7795
Epoch 24/1000, Train Loss: 0.8574, Validation Loss: 1.0181
