Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-hecswger
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 1.9537, Validation Loss: 1.6257
Epoch 2/1000, Train Loss: 1.2977, Validation Loss: 1.9960
Epoch 3/1000, Train Loss: 1.2007, Validation Loss: 5.5769
Epoch 4/1000, Train Loss: 1.1097, Validation Loss: 1.5736
Epoch 5/1000, Train Loss: 1.0436, Validation Loss: 2.3054
Epoch 6/1000, Train Loss: 0.9887, Validation Loss: 1.8379
Epoch 7/1000, Train Loss: 1.0354, Validation Loss: 0.9293
Epoch 8/1000, Train Loss: 0.9107, Validation Loss: 1.4958
Epoch 9/1000, Train Loss: 0.8826, Validation Loss: 1.4423
Epoch 10/1000, Train Loss: 0.8513, Validation Loss: 3.1147
Epoch 11/1000, Train Loss: 0.8170, Validation Loss: 1.0926
Epoch 12/1000, Train Loss: 0.7936, Validation Loss: 1.2411
Epoch 13/1000, Train Loss: 0.7732, Validation Loss: 0.8756
Epoch 14/1000, Train Loss: 0.7652, Validation Loss: 0.7802
Epoch 15/1000, Train Loss: 0.7395, Validation Loss: 1.1875
Epoch 16/1000, Train Loss: 0.7258, Validation Loss: 2.0194
Epoch 17/1000, Train Loss: 0.7118, Validation Loss: 0.8781
Epoch 18/1000, Train Loss: 0.7074, Validation Loss: 1.1415
Epoch 19/1000, Train Loss: 0.7002, Validation Loss: 0.9073
Epoch 20/1000, Train Loss: 0.6963, Validation Loss: 0.8847
Epoch 21/1000, Train Loss: 0.6773, Validation Loss: 0.9752
Epoch 22/1000, Train Loss: 0.6607, Validation Loss: 1.4108
Epoch 23/1000, Train Loss: 0.6687, Validation Loss: 1.9960
Epoch 24/1000, Train Loss: 0.6576, Validation Loss: 0.6886
Epoch 25/1000, Train Loss: 0.6511, Validation Loss: 1.5258
Epoch 26/1000, Train Loss: 0.6395, Validation Loss: 1.1236
Epoch 27/1000, Train Loss: 0.6482, Validation Loss: 0.8179
Epoch 28/1000, Train Loss: 0.6304, Validation Loss: 0.5812
Epoch 29/1000, Train Loss: 0.6316, Validation Loss: 1.6570
Epoch 30/1000, Train Loss: 0.6236, Validation Loss: 1.4962
Epoch 31/1000, Train Loss: 0.6307, Validation Loss: 3.7656
Epoch 32/1000, Train Loss: 0.6179, Validation Loss: 1.5424
Epoch 33/1000, Train Loss: 0.6083, Validation Loss: 0.6412
Epoch 34/1000, Train Loss: 0.6117, Validation Loss: 0.6571
Epoch 35/1000, Train Loss: 0.6003, Validation Loss: 0.7376
Epoch 36/1000, Train Loss: 0.5998, Validation Loss: 1.7619
Epoch 37/1000, Train Loss: 0.5926, Validation Loss: 0.9021
Epoch 38/1000, Train Loss: 0.5936, Validation Loss: 1.1404
Epoch 39/1000, Train Loss: 0.5940, Validation Loss: 0.6225
Epoch 40/1000, Train Loss: 0.5896, Validation Loss: 1.4114
Epoch 41/1000, Train Loss: 0.5805, Validation Loss: 1.1976
Epoch 42/1000, Train Loss: 0.5825, Validation Loss: 0.5612
Epoch 43/1000, Train Loss: 0.5717, Validation Loss: 0.7622
Epoch 44/1000, Train Loss: 0.5732, Validation Loss: 0.8220
Epoch 45/1000, Train Loss: 0.5720, Validation Loss: 1.1607
Epoch 46/1000, Train Loss: 0.5683, Validation Loss: 1.3106
Epoch 47/1000, Train Loss: 0.5642, Validation Loss: 0.5983
Epoch 48/1000, Train Loss: 0.5597, Validation Loss: 1.0819
Epoch 49/1000, Train Loss: 0.5508, Validation Loss: 0.7765
Epoch 50/1000, Train Loss: 0.5495, Validation Loss: 1.0058
Epoch 51/1000, Train Loss: 0.5396, Validation Loss: 0.5613
Epoch 52/1000, Train Loss: 0.5459, Validation Loss: 0.5127
Epoch 53/1000, Train Loss: 0.5417, Validation Loss: 0.6720
Epoch 54/1000, Train Loss: 0.5429, Validation Loss: 0.8675
Epoch 55/1000, Train Loss: 0.5351, Validation Loss: 0.6442
Epoch 56/1000, Train Loss: 0.5381, Validation Loss: 1.4038
Epoch 57/1000, Train Loss: 0.5321, Validation Loss: 0.6546
Epoch 58/1000, Train Loss: 0.5311, Validation Loss: 1.4716
Epoch 59/1000, Train Loss: 0.5341, Validation Loss: 0.7328
Epoch 60/1000, Train Loss: 0.5417, Validation Loss: 1.0034
Epoch 61/1000, Train Loss: 0.5363, Validation Loss: 0.5934
Epoch 62/1000, Train Loss: 0.5303, Validation Loss: 0.7420
Epoch 63/1000, Train Loss: 0.5257, Validation Loss: 0.6058
Epoch 64/1000, Train Loss: 0.5240, Validation Loss: 1.2515
Epoch 65/1000, Train Loss: 0.5222, Validation Loss: 1.8191
Epoch 66/1000, Train Loss: 0.5219, Validation Loss: 0.7766
Epoch 67/1000, Train Loss: 0.5170, Validation Loss: 0.5334
Epoch 68/1000, Train Loss: 0.5149, Validation Loss: 0.9873
Epoch 69/1000, Train Loss: 0.5140, Validation Loss: 1.8756
Epoch 70/1000, Train Loss: 0.5201, Validation Loss: 0.8747
Epoch 71/1000, Train Loss: 0.5058, Validation Loss: 0.8025
Epoch 72/1000, Train Loss: 0.5079, Validation Loss: 0.7599
Epoch 73/1000, Train Loss: 0.5079, Validation Loss: 0.7525
Epoch 74/1000, Train Loss: 0.5119, Validation Loss: 0.5903
Epoch 75/1000, Train Loss: 0.5094, Validation Loss: 0.5180
Epoch 76/1000, Train Loss: 0.5037, Validation Loss: 0.5429
Epoch 77/1000, Train Loss: 0.4984, Validation Loss: 1.3370
Epoch 78/1000, Train Loss: 0.5024, Validation Loss: 0.8144
Epoch 79/1000, Train Loss: 0.5005, Validation Loss: 0.5819
Epoch 80/1000, Train Loss: 0.4936, Validation Loss: 0.8318
Epoch 81/1000, Train Loss: 0.4981, Validation Loss: 0.7167
Epoch 82/1000, Train Loss: 0.4957, Validation Loss: 0.9744
Epoch 83/1000, Train Loss: 0.4940, Validation Loss: 1.4907
Epoch 84/1000, Train Loss: 0.4934, Validation Loss: 0.6110
Epoch 85/1000, Train Loss: 0.4881, Validation Loss: 0.6919
Epoch 86/1000, Train Loss: 0.4893, Validation Loss: 0.4889
Epoch 87/1000, Train Loss: 0.4911, Validation Loss: 0.6745
Epoch 88/1000, Train Loss: 0.4996, Validation Loss: 2.0185
Epoch 89/1000, Train Loss: 0.4872, Validation Loss: 0.9312
Epoch 90/1000, Train Loss: 0.4916, Validation Loss: 1.3315
Epoch 91/1000, Train Loss: 0.4894, Validation Loss: 1.5418
Epoch 92/1000, Train Loss: 0.4842, Validation Loss: 0.5670
Epoch 93/1000, Train Loss: 0.4819, Validation Loss: 1.1223
Epoch 94/1000, Train Loss: 0.4822, Validation Loss: 0.5348
Epoch 95/1000, Train Loss: 0.4836, Validation Loss: 0.6009
Epoch 96/1000, Train Loss: 0.4828, Validation Loss: 0.9055
Epoch 97/1000, Train Loss: 0.4782, Validation Loss: 0.6046
Epoch 98/1000, Train Loss: 0.4762, Validation Loss: 0.9869
Epoch 99/1000, Train Loss: 0.4727, Validation Loss: 1.4314
Epoch 100/1000, Train Loss: 0.4822, Validation Loss: 0.6678
Epoch 101/1000, Train Loss: 0.4770, Validation Loss: 0.6877
Epoch 102/1000, Train Loss: 0.4720, Validation Loss: 0.5542
Epoch 103/1000, Train Loss: 0.4742, Validation Loss: 0.9417
Epoch 104/1000, Train Loss: 0.4748, Validation Loss: 0.4720
Epoch 105/1000, Train Loss: 0.4709, Validation Loss: 0.6994
Epoch 106/1000, Train Loss: 0.4714, Validation Loss: 0.6258
Epoch 107/1000, Train Loss: 0.4696, Validation Loss: 0.4568
Epoch 108/1000, Train Loss: 0.4657, Validation Loss: 0.5925
Epoch 109/1000, Train Loss: 0.4676, Validation Loss: 0.4663
Epoch 110/1000, Train Loss: 0.4621, Validation Loss: 0.7472
Epoch 111/1000, Train Loss: 0.4687, Validation Loss: 1.2561
Epoch 112/1000, Train Loss: 0.4669, Validation Loss: 0.7297
Epoch 113/1000, Train Loss: 0.4669, Validation Loss: 0.5593
Epoch 114/1000, Train Loss: 0.4602, Validation Loss: 0.9717
Epoch 115/1000, Train Loss: 0.4627, Validation Loss: 0.7399
Epoch 116/1000, Train Loss: 0.4648, Validation Loss: 1.2947
Epoch 117/1000, Train Loss: 0.4592, Validation Loss: 0.4960
Epoch 118/1000, Train Loss: 0.4585, Validation Loss: 0.7552
Epoch 119/1000, Train Loss: 0.4570, Validation Loss: 1.5590
Epoch 120/1000, Train Loss: 0.4605, Validation Loss: 1.1735
Epoch 121/1000, Train Loss: 0.4626, Validation Loss: 1.4852
Epoch 122/1000, Train Loss: 0.4614, Validation Loss: 1.0534
Epoch 123/1000, Train Loss: 0.4589, Validation Loss: 0.5386
Epoch 124/1000, Train Loss: 0.4606, Validation Loss: 0.6969
