Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-9bl5ednu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.4736, Validation Loss: 1.3606
Epoch 2/1000, Train Loss: 1.4181, Validation Loss: 4.4258
Epoch 3/1000, Train Loss: 1.2834, Validation Loss: 1.1143
Epoch 4/1000, Train Loss: 1.2202, Validation Loss: 1.7138
Epoch 5/1000, Train Loss: 1.1702, Validation Loss: 2.4037
Epoch 6/1000, Train Loss: 1.0779, Validation Loss: 0.8988
Epoch 7/1000, Train Loss: 1.0456, Validation Loss: 0.9441
Epoch 8/1000, Train Loss: 0.9994, Validation Loss: 1.4221
Epoch 9/1000, Train Loss: 0.9687, Validation Loss: 1.3253
Epoch 10/1000, Train Loss: 1.0071, Validation Loss: 1.8726
Epoch 11/1000, Train Loss: 0.9464, Validation Loss: 0.9569
Epoch 12/1000, Train Loss: 0.9054, Validation Loss: 0.7682
Epoch 13/1000, Train Loss: 0.8909, Validation Loss: 1.1116
Epoch 14/1000, Train Loss: 0.9004, Validation Loss: 0.9642
Epoch 15/1000, Train Loss: 0.8422, Validation Loss: 0.8860
Epoch 16/1000, Train Loss: 0.8351, Validation Loss: 1.0933
Epoch 17/1000, Train Loss: 0.8984, Validation Loss: 1.1764
Epoch 18/1000, Train Loss: 0.8571, Validation Loss: 3.4148
Epoch 19/1000, Train Loss: 0.8281, Validation Loss: 2.1140
Epoch 20/1000, Train Loss: 0.8502, Validation Loss: 1.0649
Epoch 21/1000, Train Loss: 26.8764, Validation Loss: 0.9596
Epoch 22/1000, Train Loss: 0.8724, Validation Loss: 8.3649
Epoch 23/1000, Train Loss: 0.8077, Validation Loss: 0.8887
Epoch 24/1000, Train Loss: 0.8506, Validation Loss: 127.2849
Epoch 25/1000, Train Loss: 0.8754, Validation Loss: 1.4799
Epoch 26/1000, Train Loss: 0.7862, Validation Loss: 1.8544
Epoch 27/1000, Train Loss: 0.8155, Validation Loss: 1.1767
Epoch 28/1000, Train Loss: 0.7568, Validation Loss: 2.2990
Epoch 29/1000, Train Loss: 0.7950, Validation Loss: 0.6900
Epoch 30/1000, Train Loss: 0.7619, Validation Loss: 1.2207
Epoch 31/1000, Train Loss: 0.7489, Validation Loss: 0.7152
Epoch 32/1000, Train Loss: 0.7524, Validation Loss: 1.5555
Epoch 33/1000, Train Loss: 0.7278, Validation Loss: 0.8181
Epoch 34/1000, Train Loss: 0.7276, Validation Loss: 0.6749
Epoch 35/1000, Train Loss: 0.7234, Validation Loss: 1.0215
Epoch 36/1000, Train Loss: 0.7009, Validation Loss: 0.9212
Epoch 37/1000, Train Loss: 0.7024, Validation Loss: 1.4130
Epoch 38/1000, Train Loss: 2.0670, Validation Loss: 1.2176
Epoch 39/1000, Train Loss: 0.7096, Validation Loss: 0.9520
Epoch 40/1000, Train Loss: 0.7064, Validation Loss: 0.7329
Epoch 41/1000, Train Loss: 0.7259, Validation Loss: 1.0362
Epoch 42/1000, Train Loss: 0.7024, Validation Loss: 0.7465
Epoch 43/1000, Train Loss: 0.7001, Validation Loss: 1.1738
Epoch 44/1000, Train Loss: 0.6802, Validation Loss: 1.1460
Epoch 45/1000, Train Loss: 0.6634, Validation Loss: 0.6640
Epoch 46/1000, Train Loss: 0.6904, Validation Loss: 0.6654
Epoch 47/1000, Train Loss: 0.6974, Validation Loss: 0.6964
Epoch 48/1000, Train Loss: 0.6781, Validation Loss: 2.2503
Epoch 49/1000, Train Loss: 0.6909, Validation Loss: 0.6570
Epoch 50/1000, Train Loss: 0.6993, Validation Loss: 0.7111
Epoch 51/1000, Train Loss: 0.6827, Validation Loss: 1.2855
Epoch 52/1000, Train Loss: 0.6660, Validation Loss: 0.6679
Epoch 53/1000, Train Loss: 0.6576, Validation Loss: 1.4929
Epoch 54/1000, Train Loss: 0.7047, Validation Loss: 0.6275
Epoch 55/1000, Train Loss: 0.6633, Validation Loss: 1.2749
Epoch 56/1000, Train Loss: 0.6674, Validation Loss: 0.8560
Epoch 57/1000, Train Loss: 0.7023, Validation Loss: 0.5548
Epoch 58/1000, Train Loss: 0.6753, Validation Loss: 1.0405
Epoch 59/1000, Train Loss: 0.6626, Validation Loss: 0.8167
Epoch 60/1000, Train Loss: 0.6777, Validation Loss: 0.7353
Epoch 61/1000, Train Loss: 0.6663, Validation Loss: 0.6684
Epoch 62/1000, Train Loss: 0.6696, Validation Loss: 0.8677
Epoch 63/1000, Train Loss: 0.6578, Validation Loss: 1.0471
Epoch 64/1000, Train Loss: 0.6516, Validation Loss: 0.9830
Epoch 65/1000, Train Loss: 12.3103, Validation Loss: 1.7866
Epoch 66/1000, Train Loss: 0.6808, Validation Loss: 0.8513
Epoch 67/1000, Train Loss: 0.6561, Validation Loss: 1.5382
Epoch 68/1000, Train Loss: 0.6641, Validation Loss: 0.8083
Epoch 69/1000, Train Loss: 0.6504, Validation Loss: 0.8237
Epoch 70/1000, Train Loss: 1.1167, Validation Loss: 1.1027
Epoch 71/1000, Train Loss: 0.6952, Validation Loss: 0.7917
Epoch 72/1000, Train Loss: 0.6675, Validation Loss: 1.9623
Epoch 73/1000, Train Loss: 0.6589, Validation Loss: 0.6535
Epoch 74/1000, Train Loss: 0.6347, Validation Loss: 1.2864
Epoch 75/1000, Train Loss: 0.8224, Validation Loss: 0.6548
Epoch 76/1000, Train Loss: 0.6485, Validation Loss: 0.8717
Epoch 77/1000, Train Loss: 0.6487, Validation Loss: 0.7490
