Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-u36enrds
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3930, Validation Loss: 2.0933
Epoch 2/1000, Train Loss: 1.3149, Validation Loss: 1.8722
Epoch 3/1000, Train Loss: 1.3850, Validation Loss: 1.3736
Epoch 4/1000, Train Loss: 1.1633, Validation Loss: 1.1563
Epoch 5/1000, Train Loss: 1.0976, Validation Loss: 4.0744
Epoch 6/1000, Train Loss: 1.0752, Validation Loss: 1.0909
Epoch 7/1000, Train Loss: 1.0484, Validation Loss: 1.5468
Epoch 8/1000, Train Loss: 1.0131, Validation Loss: 1.5920
Epoch 9/1000, Train Loss: 1.8505, Validation Loss: 0.9879
Epoch 10/1000, Train Loss: 13.8256, Validation Loss: 3.5363
Epoch 11/1000, Train Loss: 0.9640, Validation Loss: 1.0231
Epoch 12/1000, Train Loss: 0.9124, Validation Loss: 0.9120
Epoch 13/1000, Train Loss: 0.8994, Validation Loss: 0.7690
Epoch 14/1000, Train Loss: 0.8754, Validation Loss: 0.7965
Epoch 15/1000, Train Loss: 0.8949, Validation Loss: 1.7916
Epoch 16/1000, Train Loss: 0.9075, Validation Loss: 1.1434
Epoch 17/1000, Train Loss: 0.8340, Validation Loss: 1.4571
Epoch 18/1000, Train Loss: 0.9215, Validation Loss: 0.7694
Epoch 19/1000, Train Loss: 0.7863, Validation Loss: 0.7813
Epoch 20/1000, Train Loss: 1.5871, Validation Loss: 1.7306
Epoch 21/1000, Train Loss: 0.7979, Validation Loss: 1.2172
Epoch 22/1000, Train Loss: 3.4383, Validation Loss: 0.7536
Epoch 23/1000, Train Loss: 0.8342, Validation Loss: 1.4077
Epoch 24/1000, Train Loss: 0.8482, Validation Loss: 4.0316
Epoch 25/1000, Train Loss: 0.7607, Validation Loss: 0.8873
Epoch 26/1000, Train Loss: 0.8209, Validation Loss: 2.1883
Epoch 27/1000, Train Loss: 0.7538, Validation Loss: 1.3242
Epoch 28/1000, Train Loss: 0.7744, Validation Loss: 0.8146
Epoch 29/1000, Train Loss: 0.7477, Validation Loss: 1.5621
Epoch 30/1000, Train Loss: 0.7663, Validation Loss: 1.3134
Epoch 31/1000, Train Loss: 1.1648, Validation Loss: 1.5722
Epoch 32/1000, Train Loss: 0.6992, Validation Loss: 0.9204
Epoch 33/1000, Train Loss: 0.7655, Validation Loss: 0.8885
Epoch 34/1000, Train Loss: 0.7036, Validation Loss: 1.1958
Epoch 35/1000, Train Loss: 0.7214, Validation Loss: 1.1246
Epoch 36/1000, Train Loss: 0.7508, Validation Loss: 0.6068
Epoch 37/1000, Train Loss: 0.6869, Validation Loss: 0.6349
Epoch 38/1000, Train Loss: 0.7098, Validation Loss: 0.8129
Epoch 39/1000, Train Loss: 0.7429, Validation Loss: 0.9898
Epoch 40/1000, Train Loss: 0.7299, Validation Loss: 0.9404
Epoch 41/1000, Train Loss: 0.7250, Validation Loss: 1.5836
Epoch 42/1000, Train Loss: 0.7054, Validation Loss: 1.7025
Epoch 43/1000, Train Loss: 0.7363, Validation Loss: 2.0152
Epoch 44/1000, Train Loss: 0.7093, Validation Loss: 0.7819
Epoch 45/1000, Train Loss: 0.6992, Validation Loss: 0.8621
Epoch 46/1000, Train Loss: 5.9207, Validation Loss: 1.5667
Epoch 47/1000, Train Loss: 0.7152, Validation Loss: 0.8263
Epoch 48/1000, Train Loss: 0.7050, Validation Loss: 1.3695
Epoch 49/1000, Train Loss: 1.0748, Validation Loss: 1.3421
Epoch 50/1000, Train Loss: 0.6943, Validation Loss: 1.3810
Epoch 51/1000, Train Loss: 0.6713, Validation Loss: 0.8980
Epoch 52/1000, Train Loss: 0.6848, Validation Loss: 1.1203
Epoch 53/1000, Train Loss: 1.0905, Validation Loss: 0.7762
Epoch 54/1000, Train Loss: 0.8036, Validation Loss: 0.8570
