Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-c2rle7i7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4006, Validation Loss: 2.4202
Epoch 2/1000, Train Loss: 1.3235, Validation Loss: 1.0749
Epoch 3/1000, Train Loss: 1.1884, Validation Loss: 1.1847
Epoch 4/1000, Train Loss: 1.1118, Validation Loss: 2.6047
Epoch 5/1000, Train Loss: 1.0758, Validation Loss: 2.5834
Epoch 6/1000, Train Loss: 1.0261, Validation Loss: 1.0985
Epoch 7/1000, Train Loss: 0.9989, Validation Loss: 2.1674
Epoch 8/1000, Train Loss: 0.9776, Validation Loss: 1.9208
Epoch 9/1000, Train Loss: 0.9761, Validation Loss: 2.0444
Epoch 10/1000, Train Loss: 0.9335, Validation Loss: 2.0656
Epoch 11/1000, Train Loss: 0.8943, Validation Loss: 2.3347
Epoch 12/1000, Train Loss: 0.8624, Validation Loss: 1.5355
Epoch 13/1000, Train Loss: 0.9006, Validation Loss: 1.9080
Epoch 14/1000, Train Loss: 0.8298, Validation Loss: 0.9666
Epoch 15/1000, Train Loss: 0.7905, Validation Loss: 2.3236
Epoch 16/1000, Train Loss: 0.7716, Validation Loss: 0.7613
Epoch 17/1000, Train Loss: 0.7616, Validation Loss: 0.7126
Epoch 18/1000, Train Loss: 0.7601, Validation Loss: 1.7134
Epoch 19/1000, Train Loss: 0.8033, Validation Loss: 0.9673
Epoch 20/1000, Train Loss: 0.7236, Validation Loss: 2.3543
Epoch 21/1000, Train Loss: 0.6908, Validation Loss: 2.0703
Epoch 22/1000, Train Loss: 0.6852, Validation Loss: 0.7723
Epoch 23/1000, Train Loss: 0.6882, Validation Loss: 0.7530
Epoch 24/1000, Train Loss: 0.6795, Validation Loss: 0.9053
Epoch 25/1000, Train Loss: 0.6605, Validation Loss: 0.9695
Epoch 26/1000, Train Loss: 0.6576, Validation Loss: 0.6875
Epoch 27/1000, Train Loss: 0.6538, Validation Loss: 0.8958
Epoch 28/1000, Train Loss: 0.6832, Validation Loss: 1.1615
Epoch 29/1000, Train Loss: 0.6498, Validation Loss: 2.3993
Epoch 30/1000, Train Loss: 0.6232, Validation Loss: 0.9427
Epoch 31/1000, Train Loss: 0.6337, Validation Loss: 0.6178
Epoch 32/1000, Train Loss: 0.6231, Validation Loss: 0.8639
Epoch 33/1000, Train Loss: 0.6331, Validation Loss: 0.6899
Epoch 34/1000, Train Loss: 0.6119, Validation Loss: 0.6982
Epoch 35/1000, Train Loss: 0.6124, Validation Loss: 3.8518
Epoch 36/1000, Train Loss: 0.6020, Validation Loss: 1.1845
Epoch 37/1000, Train Loss: 0.6017, Validation Loss: 3.9030
Epoch 38/1000, Train Loss: 0.5982, Validation Loss: 1.3116
Epoch 39/1000, Train Loss: 0.5917, Validation Loss: 0.8346
Epoch 40/1000, Train Loss: 0.6029, Validation Loss: 1.2831
Epoch 41/1000, Train Loss: 0.5978, Validation Loss: 0.9244
Epoch 42/1000, Train Loss: 0.6258, Validation Loss: 1.2147
Epoch 43/1000, Train Loss: 0.5935, Validation Loss: 1.1987
Epoch 44/1000, Train Loss: 0.5811, Validation Loss: 2.8395
Epoch 45/1000, Train Loss: 0.5779, Validation Loss: 0.8074
Epoch 46/1000, Train Loss: 0.5725, Validation Loss: 0.9214
Epoch 47/1000, Train Loss: 0.5744, Validation Loss: 1.8047
Epoch 48/1000, Train Loss: 0.5592, Validation Loss: 1.7484
Epoch 49/1000, Train Loss: 0.5749, Validation Loss: 0.7404
Epoch 50/1000, Train Loss: 0.5635, Validation Loss: 0.7192
Epoch 51/1000, Train Loss: 0.5673, Validation Loss: 1.1350
Epoch 52/1000, Train Loss: 0.5671, Validation Loss: 1.4591
Epoch 53/1000, Train Loss: 0.5616, Validation Loss: 1.1732
