Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-ubtkm0ji
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.7653, Validation Loss: 1.5278
Epoch 2/1000, Train Loss: 1.4009, Validation Loss: 6.4491
Epoch 3/1000, Train Loss: 1.3280, Validation Loss: 1.4369
Epoch 4/1000, Train Loss: 1.2359, Validation Loss: 1.1573
Epoch 5/1000, Train Loss: 1.1879, Validation Loss: 1.2212
Epoch 6/1000, Train Loss: 1.1281, Validation Loss: 2.8800
Epoch 7/1000, Train Loss: 1.0910, Validation Loss: 2.0218
Epoch 8/1000, Train Loss: 1.0606, Validation Loss: 0.9101
Epoch 9/1000, Train Loss: 1.1411, Validation Loss: 1.2960
Epoch 10/1000, Train Loss: 1.0798, Validation Loss: 3.3781
Epoch 11/1000, Train Loss: 1.2293, Validation Loss: 0.9465
Epoch 12/1000, Train Loss: 1.0677, Validation Loss: 1.1285
Epoch 13/1000, Train Loss: 0.9753, Validation Loss: 1.0924
Epoch 14/1000, Train Loss: 4.0242, Validation Loss: 1.1786
Epoch 15/1000, Train Loss: 0.9712, Validation Loss: 1.9383
Epoch 16/1000, Train Loss: 0.9303, Validation Loss: 9.0773
Epoch 17/1000, Train Loss: 2.9485, Validation Loss: 1.1638
Epoch 18/1000, Train Loss: 0.9155, Validation Loss: 1.2466
Epoch 19/1000, Train Loss: 0.8617, Validation Loss: 0.9186
Epoch 20/1000, Train Loss: 0.9267, Validation Loss: 6.2968
Epoch 21/1000, Train Loss: 0.8749, Validation Loss: 3.3723
Epoch 22/1000, Train Loss: 106.9938, Validation Loss: 0.9888
Epoch 23/1000, Train Loss: 0.8716, Validation Loss: 10.3282
Epoch 24/1000, Train Loss: 0.8198, Validation Loss: 2.5738
Epoch 25/1000, Train Loss: 0.8290, Validation Loss: 0.7984
Epoch 26/1000, Train Loss: 0.8046, Validation Loss: 0.8541
Epoch 27/1000, Train Loss: 0.7880, Validation Loss: 0.7987
Epoch 28/1000, Train Loss: 2.3120, Validation Loss: 0.7774
Epoch 29/1000, Train Loss: 0.7946, Validation Loss: 1.1919
Epoch 30/1000, Train Loss: 36.8010, Validation Loss: 0.8511
Epoch 31/1000, Train Loss: 0.7699, Validation Loss: 0.6962
Epoch 32/1000, Train Loss: 0.7998, Validation Loss: 0.9767
Epoch 33/1000, Train Loss: 0.7578, Validation Loss: 0.7511
Epoch 34/1000, Train Loss: 0.8099, Validation Loss: 1.1205
Epoch 35/1000, Train Loss: 0.7775, Validation Loss: 0.9785
Epoch 36/1000, Train Loss: 0.7334, Validation Loss: 0.8659
Epoch 37/1000, Train Loss: 137.1033, Validation Loss: 1.4283
Epoch 38/1000, Train Loss: 0.7599, Validation Loss: 8.7109
Epoch 39/1000, Train Loss: 0.7309, Validation Loss: 0.6729
Epoch 40/1000, Train Loss: 0.7121, Validation Loss: 1.0200
Epoch 41/1000, Train Loss: 0.7184, Validation Loss: 0.6089
Epoch 42/1000, Train Loss: 0.7373, Validation Loss: 3.8919
Epoch 43/1000, Train Loss: 123.2226, Validation Loss: 0.8792
Epoch 44/1000, Train Loss: 0.7287, Validation Loss: 1.7284
Epoch 45/1000, Train Loss: 0.7201, Validation Loss: 0.7893
Epoch 46/1000, Train Loss: 0.6702, Validation Loss: 0.6852
Epoch 47/1000, Train Loss: 0.6882, Validation Loss: 0.6176
Epoch 48/1000, Train Loss: 0.6724, Validation Loss: 0.6742
Epoch 49/1000, Train Loss: 0.6909, Validation Loss: 0.8444
Epoch 50/1000, Train Loss: 1.9302, Validation Loss: 1.1155
Epoch 51/1000, Train Loss: 0.6956, Validation Loss: 1.3163
Epoch 52/1000, Train Loss: 0.6672, Validation Loss: 0.8565
Epoch 53/1000, Train Loss: 0.8694, Validation Loss: 1.3929
Epoch 54/1000, Train Loss: 0.6538, Validation Loss: 0.8658
Epoch 55/1000, Train Loss: 0.6564, Validation Loss: 1.8195
Epoch 56/1000, Train Loss: 0.6813, Validation Loss: 0.8304
Epoch 57/1000, Train Loss: 0.6641, Validation Loss: 0.9898
Epoch 58/1000, Train Loss: 0.6490, Validation Loss: 0.8837
Epoch 59/1000, Train Loss: 0.6438, Validation Loss: 0.7678
Epoch 60/1000, Train Loss: 0.7219, Validation Loss: 0.7751
Epoch 61/1000, Train Loss: 0.6587, Validation Loss: 0.7266
Epoch 62/1000, Train Loss: 0.6444, Validation Loss: 1.0001
Epoch 63/1000, Train Loss: 0.6612, Validation Loss: 1.1846
Epoch 64/1000, Train Loss: 0.6971, Validation Loss: 1.8084
Epoch 65/1000, Train Loss: 0.6617, Validation Loss: 0.7219
Epoch 66/1000, Train Loss: 0.8304, Validation Loss: 0.6644
Epoch 67/1000, Train Loss: 0.6944, Validation Loss: 1.2540
Epoch 68/1000, Train Loss: 0.6520, Validation Loss: 1.3015
Epoch 69/1000, Train Loss: 0.6575, Validation Loss: 0.7702
Epoch 70/1000, Train Loss: 0.8755, Validation Loss: 1.6739
Epoch 71/1000, Train Loss: 0.6414, Validation Loss: 0.8220
Epoch 72/1000, Train Loss: 0.6395, Validation Loss: 0.9469
Epoch 73/1000, Train Loss: 0.8543, Validation Loss: 1.5710
Epoch 74/1000, Train Loss: 0.6384, Validation Loss: 0.9115
Epoch 75/1000, Train Loss: 0.6650, Validation Loss: 0.8147
Epoch 76/1000, Train Loss: 0.6634, Validation Loss: 0.8842
Epoch 77/1000, Train Loss: 0.6451, Validation Loss: 1.8656
Epoch 78/1000, Train Loss: 0.6408, Validation Loss: 0.7367
Epoch 79/1000, Train Loss: 2.3688, Validation Loss: 0.8206
Epoch 80/1000, Train Loss: 0.6463, Validation Loss: 0.9097
Epoch 81/1000, Train Loss: 0.6621, Validation Loss: 0.7182
Epoch 82/1000, Train Loss: 0.6333, Validation Loss: 0.7438
Epoch 83/1000, Train Loss: 0.6463, Validation Loss: 1.9091
Epoch 84/1000, Train Loss: 0.6365, Validation Loss: 0.9199
Epoch 85/1000, Train Loss: 0.6280, Validation Loss: 1.0703
Epoch 86/1000, Train Loss: 0.6445, Validation Loss: 1.4089
Epoch 87/1000, Train Loss: 0.6325, Validation Loss: 1.2369
Epoch 88/1000, Train Loss: 451.5546, Validation Loss: 0.7941
Epoch 89/1000, Train Loss: 0.6294, Validation Loss: 1.2963
Epoch 90/1000, Train Loss: 0.6253, Validation Loss: 0.7071
Epoch 91/1000, Train Loss: 0.6491, Validation Loss: 0.8145
Epoch 92/1000, Train Loss: 0.6399, Validation Loss: 1.0950
Epoch 93/1000, Train Loss: 0.6185, Validation Loss: 1.0544
Epoch 94/1000, Train Loss: 0.6086, Validation Loss: 1.3008
Epoch 95/1000, Train Loss: 1.5677, Validation Loss: 0.6307
Epoch 96/1000, Train Loss: 0.6052, Validation Loss: 0.5652
Epoch 97/1000, Train Loss: 0.6210, Validation Loss: 0.6227
Epoch 98/1000, Train Loss: 0.6256, Validation Loss: 0.6609
Epoch 99/1000, Train Loss: 0.6154, Validation Loss: 1.1419
Epoch 100/1000, Train Loss: 0.6129, Validation Loss: 1.0622
Epoch 101/1000, Train Loss: 0.6139, Validation Loss: 0.9238
Epoch 102/1000, Train Loss: 0.6163, Validation Loss: 0.6605
Epoch 103/1000, Train Loss: 0.6195, Validation Loss: 0.7755
Epoch 104/1000, Train Loss: 0.6756, Validation Loss: 0.5809
Epoch 105/1000, Train Loss: 0.6083, Validation Loss: 0.6411
Epoch 106/1000, Train Loss: 0.6081, Validation Loss: 1.4261
Epoch 107/1000, Train Loss: 0.6139, Validation Loss: 0.7035
Epoch 108/1000, Train Loss: 1.9148, Validation Loss: 0.8155
Epoch 109/1000, Train Loss: 0.6367, Validation Loss: 0.8931
Epoch 110/1000, Train Loss: 0.6100, Validation Loss: 1.0737
Epoch 111/1000, Train Loss: 0.6090, Validation Loss: 0.5871
Epoch 112/1000, Train Loss: 0.6135, Validation Loss: 0.7154
Epoch 113/1000, Train Loss: 0.6102, Validation Loss: 0.7550
Epoch 114/1000, Train Loss: 0.6033, Validation Loss: 0.9416
Epoch 115/1000, Train Loss: 0.6164, Validation Loss: 0.9169
Epoch 116/1000, Train Loss: 1.0173, Validation Loss: 1.6845
Epoch 117/1000, Train Loss: 0.6160, Validation Loss: 1.0016
Epoch 118/1000, Train Loss: 0.6402, Validation Loss: 0.7666
Epoch 119/1000, Train Loss: 0.6117, Validation Loss: 1.0756
Epoch 120/1000, Train Loss: 0.6129, Validation Loss: 0.6454
Epoch 121/1000, Train Loss: 0.6179, Validation Loss: 0.6758
Epoch 122/1000, Train Loss: 1.7877, Validation Loss: 0.8154
Epoch 123/1000, Train Loss: 0.6197, Validation Loss: 0.8229
Epoch 124/1000, Train Loss: 0.5975, Validation Loss: 1.1712
Epoch 125/1000, Train Loss: 0.7065, Validation Loss: 2.6234
Epoch 126/1000, Train Loss: 0.6368, Validation Loss: 0.6044
Epoch 127/1000, Train Loss: 0.6074, Validation Loss: 0.9092
Epoch 128/1000, Train Loss: 0.6198, Validation Loss: 0.7461
Epoch 129/1000, Train Loss: 0.6127, Validation Loss: 0.8587
Epoch 130/1000, Train Loss: 0.6279, Validation Loss: 0.7599
Epoch 131/1000, Train Loss: 0.6133, Validation Loss: 0.6528
Epoch 132/1000, Train Loss: 0.5943, Validation Loss: 2.4419
Epoch 133/1000, Train Loss: 0.6173, Validation Loss: 0.5916
Epoch 134/1000, Train Loss: 0.6023, Validation Loss: 0.8856
Epoch 135/1000, Train Loss: 3.1107, Validation Loss: 1.0086
Epoch 136/1000, Train Loss: 0.5949, Validation Loss: 0.5600
Epoch 137/1000, Train Loss: 0.6058, Validation Loss: 1.3037
Epoch 138/1000, Train Loss: 0.6142, Validation Loss: 0.7568
Epoch 139/1000, Train Loss: 0.8939, Validation Loss: 0.6981
Epoch 140/1000, Train Loss: 0.6037, Validation Loss: 0.9202
Epoch 141/1000, Train Loss: 0.6184, Validation Loss: 0.5609
Epoch 142/1000, Train Loss: 0.6243, Validation Loss: 0.8380
Epoch 143/1000, Train Loss: 0.6163, Validation Loss: 0.5297
Epoch 144/1000, Train Loss: 0.6199, Validation Loss: 0.6601
Epoch 145/1000, Train Loss: 2.8360, Validation Loss: 1.0334
Epoch 146/1000, Train Loss: 0.6163, Validation Loss: 0.6793
Epoch 147/1000, Train Loss: 0.5997, Validation Loss: 0.7600
Epoch 148/1000, Train Loss: 0.7248, Validation Loss: 3.7934
Epoch 149/1000, Train Loss: 0.6433, Validation Loss: 1.0269
Epoch 150/1000, Train Loss: 0.6048, Validation Loss: 1.0561
