Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-g3c2mlmx
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.4001, Validation Loss: 2.0949
Epoch 2/1000, Train Loss: 1.4706, Validation Loss: 2.6621
Epoch 3/1000, Train Loss: 1.2174, Validation Loss: 2.1955
Epoch 4/1000, Train Loss: 1.2159, Validation Loss: 1.0182
Epoch 5/1000, Train Loss: 1.1563, Validation Loss: 4.9161
Epoch 6/1000, Train Loss: 1.1344, Validation Loss: 2.1980
Epoch 7/1000, Train Loss: 1.1018, Validation Loss: 1.3323
Epoch 8/1000, Train Loss: 1.0816, Validation Loss: 2.0318
Epoch 9/1000, Train Loss: 1.0373, Validation Loss: 0.9848
Epoch 10/1000, Train Loss: 1.0016, Validation Loss: 1.3305
Epoch 11/1000, Train Loss: 0.9676, Validation Loss: 1.2058
Epoch 12/1000, Train Loss: 0.9559, Validation Loss: 0.8934
Epoch 13/1000, Train Loss: 0.9004, Validation Loss: 0.8684
Epoch 14/1000, Train Loss: 0.8854, Validation Loss: 1.1441
Epoch 15/1000, Train Loss: 0.8677, Validation Loss: 0.9370
Epoch 16/1000, Train Loss: 0.8706, Validation Loss: 1.1973
Epoch 17/1000, Train Loss: 0.8761, Validation Loss: 2.2215
Epoch 18/1000, Train Loss: 0.8480, Validation Loss: 1.0478
Epoch 19/1000, Train Loss: 0.8156, Validation Loss: 2.0516
Epoch 20/1000, Train Loss: 0.8184, Validation Loss: 0.8739
Epoch 21/1000, Train Loss: 0.8519, Validation Loss: 1.7420
Epoch 22/1000, Train Loss: 0.8111, Validation Loss: 2.0156
Epoch 23/1000, Train Loss: 0.7970, Validation Loss: 1.0672
Epoch 24/1000, Train Loss: 0.7622, Validation Loss: 1.7542
Epoch 25/1000, Train Loss: 0.8164, Validation Loss: 0.7450
Epoch 26/1000, Train Loss: 0.8164, Validation Loss: 0.8724
Epoch 27/1000, Train Loss: 0.7438, Validation Loss: 1.2327
Epoch 28/1000, Train Loss: 0.7472, Validation Loss: 0.6357
