Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-0abccpj7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1190, Validation Loss: 1.5654
Epoch 2/1000, Train Loss: 1.4099, Validation Loss: 2.4554
Epoch 3/1000, Train Loss: 1.2286, Validation Loss: 5.5039
Epoch 4/1000, Train Loss: 1.1723, Validation Loss: 1.3747
Epoch 5/1000, Train Loss: 1.0923, Validation Loss: 2.0321
Epoch 6/1000, Train Loss: 1.0960, Validation Loss: 1.9736
Epoch 7/1000, Train Loss: 1.0367, Validation Loss: 1.7964
Epoch 8/1000, Train Loss: 0.9786, Validation Loss: 1.6310
Epoch 9/1000, Train Loss: 0.9528, Validation Loss: 1.9485
Epoch 10/1000, Train Loss: 0.9485, Validation Loss: 0.9475
Epoch 11/1000, Train Loss: 0.9633, Validation Loss: 1.1165
Epoch 12/1000, Train Loss: 0.9389, Validation Loss: 2.1743
Epoch 13/1000, Train Loss: 0.9287, Validation Loss: 7.0612
Epoch 14/1000, Train Loss: 0.8585, Validation Loss: 1.3488
Epoch 15/1000, Train Loss: 0.8435, Validation Loss: 2.1395
Epoch 16/1000, Train Loss: 0.8394, Validation Loss: 2.4204
Epoch 17/1000, Train Loss: 0.8082, Validation Loss: 0.9529
Epoch 18/1000, Train Loss: 0.7906, Validation Loss: 1.0439
Epoch 19/1000, Train Loss: 0.8217, Validation Loss: 0.9526
Epoch 20/1000, Train Loss: 0.7578, Validation Loss: 0.8692
Epoch 21/1000, Train Loss: 0.7664, Validation Loss: 1.3773
Epoch 22/1000, Train Loss: 0.7461, Validation Loss: 1.2493
Epoch 23/1000, Train Loss: 0.7221, Validation Loss: 1.0874
Epoch 24/1000, Train Loss: 0.7267, Validation Loss: 1.0096
Epoch 25/1000, Train Loss: 0.7119, Validation Loss: 1.1075
Epoch 26/1000, Train Loss: 0.7170, Validation Loss: 0.8307
Epoch 27/1000, Train Loss: 0.6506, Validation Loss: 2.3869
Epoch 28/1000, Train Loss: 0.6552, Validation Loss: 1.4504
Epoch 29/1000, Train Loss: 0.6798, Validation Loss: 1.2712
Epoch 30/1000, Train Loss: 0.6385, Validation Loss: 0.8858
Epoch 31/1000, Train Loss: 0.6391, Validation Loss: 1.1508
Epoch 32/1000, Train Loss: 0.6196, Validation Loss: 0.7610
Epoch 33/1000, Train Loss: 0.6252, Validation Loss: 1.6600
Epoch 34/1000, Train Loss: 0.6352, Validation Loss: 1.4363
Epoch 35/1000, Train Loss: 0.6015, Validation Loss: 1.0174
Epoch 36/1000, Train Loss: 0.5841, Validation Loss: 3.7676
Epoch 37/1000, Train Loss: 0.5943, Validation Loss: 0.7154
Epoch 38/1000, Train Loss: 0.5910, Validation Loss: 2.3714
Epoch 39/1000, Train Loss: 0.5789, Validation Loss: 1.4639
Epoch 40/1000, Train Loss: 0.5835, Validation Loss: 0.6702
Epoch 41/1000, Train Loss: 0.5888, Validation Loss: 1.4672
Epoch 42/1000, Train Loss: 0.5625, Validation Loss: 1.7504
Epoch 43/1000, Train Loss: 0.5768, Validation Loss: 1.5285
Epoch 44/1000, Train Loss: 0.5593, Validation Loss: 1.2101
Epoch 45/1000, Train Loss: 0.5463, Validation Loss: 0.8979
Epoch 46/1000, Train Loss: 0.5589, Validation Loss: 0.6206
Epoch 47/1000, Train Loss: 0.5474, Validation Loss: 0.7100
Epoch 48/1000, Train Loss: 0.5376, Validation Loss: 1.3166
Epoch 49/1000, Train Loss: 0.5372, Validation Loss: 3.9420
Epoch 50/1000, Train Loss: 0.5345, Validation Loss: 1.1866
Epoch 51/1000, Train Loss: 0.5320, Validation Loss: 0.5767
Epoch 52/1000, Train Loss: 0.5382, Validation Loss: 1.3063
Epoch 53/1000, Train Loss: 0.5258, Validation Loss: 1.5218
Epoch 54/1000, Train Loss: 0.5227, Validation Loss: 1.2156
Epoch 55/1000, Train Loss: 0.5280, Validation Loss: 2.2979
Epoch 56/1000, Train Loss: 0.5279, Validation Loss: 1.8477
Epoch 57/1000, Train Loss: 0.5234, Validation Loss: 0.7697
Epoch 58/1000, Train Loss: 0.5358, Validation Loss: 2.0687
Epoch 59/1000, Train Loss: 0.5091, Validation Loss: 0.6533
Epoch 60/1000, Train Loss: 0.5214, Validation Loss: 0.5831
Epoch 61/1000, Train Loss: 0.5141, Validation Loss: 0.5011
Epoch 62/1000, Train Loss: 0.4949, Validation Loss: 0.8010
Epoch 63/1000, Train Loss: 0.5103, Validation Loss: 1.7796
Epoch 64/1000, Train Loss: 0.5077, Validation Loss: 8.8448
