Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-a4fupfc9
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.8464, Validation Loss: 1.4234
Epoch 2/1000, Train Loss: 1.3481, Validation Loss: 5.7317
Epoch 3/1000, Train Loss: 1.2384, Validation Loss: 1.8096
Epoch 4/1000, Train Loss: 1.1561, Validation Loss: 1.0347
Epoch 5/1000, Train Loss: 1.0801, Validation Loss: 1.2987
Epoch 6/1000, Train Loss: 1.0439, Validation Loss: 1.3293
Epoch 7/1000, Train Loss: 1.0162, Validation Loss: 1.4743
Epoch 8/1000, Train Loss: 0.9711, Validation Loss: 1.2186
Epoch 9/1000, Train Loss: 0.9772, Validation Loss: 1.3120
Epoch 10/1000, Train Loss: 0.9898, Validation Loss: 1.2282
Epoch 11/1000, Train Loss: 0.9495, Validation Loss: 1.8091
Epoch 12/1000, Train Loss: 0.9658, Validation Loss: 1.3725
Epoch 13/1000, Train Loss: 0.9626, Validation Loss: 2.6837
Epoch 14/1000, Train Loss: 0.9252, Validation Loss: 2.6209
Epoch 15/1000, Train Loss: 0.9215, Validation Loss: 2.5888
Epoch 16/1000, Train Loss: 0.8632, Validation Loss: 1.0847
Epoch 17/1000, Train Loss: 0.9275, Validation Loss: 2.6895
Epoch 18/1000, Train Loss: 0.8338, Validation Loss: 1.4863
Epoch 19/1000, Train Loss: 0.8890, Validation Loss: 2.1203
Epoch 20/1000, Train Loss: 0.8380, Validation Loss: 2.1011
Epoch 21/1000, Train Loss: 0.7865, Validation Loss: 1.2668
Epoch 22/1000, Train Loss: 0.8973, Validation Loss: 1.0955
Epoch 23/1000, Train Loss: 0.8652, Validation Loss: 1.1697
Epoch 24/1000, Train Loss: 0.7911, Validation Loss: 0.6770
Epoch 25/1000, Train Loss: 0.8137, Validation Loss: 2.8320
Epoch 26/1000, Train Loss: 0.8000, Validation Loss: 1.9687
Epoch 27/1000, Train Loss: 0.7877, Validation Loss: 2.1310
Epoch 28/1000, Train Loss: 0.7860, Validation Loss: 0.6818
Epoch 29/1000, Train Loss: 0.7838, Validation Loss: 2.2588
Epoch 30/1000, Train Loss: 0.8353, Validation Loss: 1.1671
Epoch 31/1000, Train Loss: 0.7711, Validation Loss: 1.1747
Epoch 32/1000, Train Loss: 0.7521, Validation Loss: 0.8261
Epoch 33/1000, Train Loss: 0.7854, Validation Loss: 0.9731
Epoch 34/1000, Train Loss: 0.7839, Validation Loss: 1.5896
Epoch 35/1000, Train Loss: 0.7262, Validation Loss: 1.3306
Epoch 36/1000, Train Loss: 0.7117, Validation Loss: 0.7503
Epoch 37/1000, Train Loss: 0.7111, Validation Loss: 1.0806
Epoch 38/1000, Train Loss: 0.7039, Validation Loss: 0.8816
Epoch 39/1000, Train Loss: 0.8062, Validation Loss: 2.5410
Epoch 40/1000, Train Loss: 0.6927, Validation Loss: 1.3732
Epoch 41/1000, Train Loss: 0.7063, Validation Loss: 2.9091
Epoch 42/1000, Train Loss: 0.6956, Validation Loss: 1.1175
Epoch 43/1000, Train Loss: 0.7138, Validation Loss: 0.6668
Epoch 44/1000, Train Loss: 0.6802, Validation Loss: 1.3716
Epoch 45/1000, Train Loss: 0.6602, Validation Loss: 0.6124
Epoch 46/1000, Train Loss: 0.6736, Validation Loss: 1.2205
Epoch 47/1000, Train Loss: 0.6454, Validation Loss: 0.6426
Epoch 48/1000, Train Loss: 0.6419, Validation Loss: 2.2930
Epoch 49/1000, Train Loss: 0.6813, Validation Loss: 1.4009
Epoch 50/1000, Train Loss: 0.6457, Validation Loss: 1.3460
Epoch 51/1000, Train Loss: 0.6500, Validation Loss: 0.7968
Epoch 52/1000, Train Loss: 0.6778, Validation Loss: 0.7676
Epoch 53/1000, Train Loss: 0.6508, Validation Loss: 1.1676
Epoch 54/1000, Train Loss: 0.6436, Validation Loss: 4.1644
Epoch 55/1000, Train Loss: 0.6344, Validation Loss: 0.7804
Epoch 56/1000, Train Loss: 0.6264, Validation Loss: 0.7222
Epoch 57/1000, Train Loss: 0.6326, Validation Loss: 0.7556
Epoch 58/1000, Train Loss: 0.6400, Validation Loss: 0.8077
Epoch 59/1000, Train Loss: 0.6529, Validation Loss: 0.9597
Epoch 60/1000, Train Loss: 0.6254, Validation Loss: 1.8126
Epoch 61/1000, Train Loss: 0.6320, Validation Loss: 1.8769
Epoch 62/1000, Train Loss: 0.6153, Validation Loss: 1.2105
Epoch 63/1000, Train Loss: 0.6104, Validation Loss: 0.8788
Epoch 64/1000, Train Loss: 0.6159, Validation Loss: 1.0540
Epoch 65/1000, Train Loss: 0.6247, Validation Loss: 0.6527
Epoch 66/1000, Train Loss: 0.5888, Validation Loss: 2.1999
Epoch 67/1000, Train Loss: 0.6496, Validation Loss: 2.0439
Epoch 68/1000, Train Loss: 0.6181, Validation Loss: 1.4335
Epoch 69/1000, Train Loss: 0.6110, Validation Loss: 0.8758
Epoch 70/1000, Train Loss: 0.6081, Validation Loss: 1.6366
Epoch 71/1000, Train Loss: 0.6009, Validation Loss: 2.2041
Epoch 72/1000, Train Loss: 0.5980, Validation Loss: 0.7636
Epoch 73/1000, Train Loss: 0.6124, Validation Loss: 0.8070
Epoch 74/1000, Train Loss: 0.5855, Validation Loss: 0.7786
Epoch 75/1000, Train Loss: 0.5677, Validation Loss: 0.9500
Epoch 76/1000, Train Loss: 0.5814, Validation Loss: 2.0278
Epoch 77/1000, Train Loss: 0.6470, Validation Loss: 0.6956
Epoch 78/1000, Train Loss: 0.5922, Validation Loss: 0.6818
Epoch 79/1000, Train Loss: 0.5764, Validation Loss: 1.0582
Epoch 80/1000, Train Loss: 0.5863, Validation Loss: 1.0931
Epoch 81/1000, Train Loss: 0.5952, Validation Loss: 2.1757
Epoch 82/1000, Train Loss: 0.5780, Validation Loss: 0.9696
Epoch 83/1000, Train Loss: 0.5842, Validation Loss: 1.0793
Epoch 84/1000, Train Loss: 0.5760, Validation Loss: 0.6588
Epoch 85/1000, Train Loss: 0.5645, Validation Loss: 0.8074
Epoch 86/1000, Train Loss: 0.5553, Validation Loss: 0.7122
Epoch 87/1000, Train Loss: 0.5695, Validation Loss: 1.2123
Epoch 88/1000, Train Loss: 0.6098, Validation Loss: 0.8454
Epoch 89/1000, Train Loss: 0.5901, Validation Loss: 1.4840
Epoch 90/1000, Train Loss: 0.5795, Validation Loss: 1.0051
Epoch 91/1000, Train Loss: 0.5742, Validation Loss: 3.3912
Epoch 92/1000, Train Loss: 0.5722, Validation Loss: 0.8739
Epoch 93/1000, Train Loss: 0.5502, Validation Loss: 0.8041
Epoch 94/1000, Train Loss: 0.5654, Validation Loss: 0.8662
Epoch 95/1000, Train Loss: 0.5566, Validation Loss: 2.0477
Epoch 96/1000, Train Loss: 0.5550, Validation Loss: 1.8382
Epoch 97/1000, Train Loss: 0.5811, Validation Loss: 0.9961
Epoch 98/1000, Train Loss: 0.5880, Validation Loss: 0.6570
Epoch 99/1000, Train Loss: 0.5556, Validation Loss: 1.2256
Epoch 100/1000, Train Loss: 0.5527, Validation Loss: 5.0458
Epoch 101/1000, Train Loss: 0.5698, Validation Loss: 1.3489
Epoch 102/1000, Train Loss: 0.5713, Validation Loss: 0.5805
Epoch 103/1000, Train Loss: 0.5730, Validation Loss: 0.8904
Epoch 104/1000, Train Loss: 0.5533, Validation Loss: 1.6902
Epoch 105/1000, Train Loss: 0.5583, Validation Loss: 2.2770
Epoch 106/1000, Train Loss: 0.5471, Validation Loss: 1.2836
Epoch 107/1000, Train Loss: 0.5569, Validation Loss: 1.7162
Epoch 108/1000, Train Loss: 0.5683, Validation Loss: 0.6768
Epoch 109/1000, Train Loss: 0.5393, Validation Loss: 1.1473
Epoch 110/1000, Train Loss: 0.5555, Validation Loss: 0.5638
Epoch 111/1000, Train Loss: 0.5355, Validation Loss: 3.9615
Epoch 112/1000, Train Loss: 0.5383, Validation Loss: 0.7411
Epoch 113/1000, Train Loss: 0.5496, Validation Loss: 0.6611
Epoch 114/1000, Train Loss: 0.5557, Validation Loss: 0.6395
Epoch 115/1000, Train Loss: 0.5295, Validation Loss: 1.7927
Epoch 116/1000, Train Loss: 0.5461, Validation Loss: 0.8240
Epoch 117/1000, Train Loss: 0.5616, Validation Loss: 1.3373
Epoch 118/1000, Train Loss: 0.5687, Validation Loss: 0.6199
