Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-zhd4mdiz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.9793, Validation Loss: 4.5105
Epoch 2/1000, Train Loss: 1.6494, Validation Loss: 1.2978
Epoch 3/1000, Train Loss: 257.9195, Validation Loss: 2.2014
Epoch 4/1000, Train Loss: 1.8979, Validation Loss: 2.1537
Epoch 5/1000, Train Loss: 2.8854, Validation Loss: 1.4216
Epoch 6/1000, Train Loss: 2.0349, Validation Loss: 3.1839
Epoch 7/1000, Train Loss: 261.5828, Validation Loss: 1.2751
Epoch 8/1000, Train Loss: 2.4514, Validation Loss: 7.8683
Epoch 9/1000, Train Loss: 3.8732, Validation Loss: 132.8458
Epoch 10/1000, Train Loss: 3.5295, Validation Loss: 1.5239
Epoch 11/1000, Train Loss: 1.6004, Validation Loss: 2.9136
Epoch 12/1000, Train Loss: 53.6204, Validation Loss: 2.1006
Epoch 13/1000, Train Loss: 3.8017, Validation Loss: 1.1498
Epoch 14/1000, Train Loss: 1.3039, Validation Loss: 1.5203
Epoch 15/1000, Train Loss: 3.5763, Validation Loss: 1.5954
Epoch 16/1000, Train Loss: 1.4474, Validation Loss: 3.0165
Epoch 17/1000, Train Loss: 105.5300, Validation Loss: 3.5145
Epoch 18/1000, Train Loss: 51.9763, Validation Loss: 1.3118
Epoch 19/1000, Train Loss: 23.4439, Validation Loss: 1.5582
Epoch 20/1000, Train Loss: 4.4379, Validation Loss: 4.3976
Epoch 21/1000, Train Loss: 1.6050, Validation Loss: 1.2174
Epoch 22/1000, Train Loss: 205.5044, Validation Loss: 2.1839
Epoch 23/1000, Train Loss: 1.2391, Validation Loss: 1.1497
Epoch 24/1000, Train Loss: 2599.1435, Validation Loss: 5.7543
Epoch 25/1000, Train Loss: 1.7840, Validation Loss: 2.0557
Epoch 26/1000, Train Loss: 9.6797, Validation Loss: 3.0840
Epoch 27/1000, Train Loss: 37.1118, Validation Loss: 1.7887
Epoch 28/1000, Train Loss: 1.5806, Validation Loss: 2.4896
Epoch 29/1000, Train Loss: 1.2240, Validation Loss: 1.6111
Epoch 30/1000, Train Loss: 66.6045, Validation Loss: 6.2047
Epoch 31/1000, Train Loss: 22.0441, Validation Loss: 6.0760
Epoch 32/1000, Train Loss: 6.7526, Validation Loss: 6.0689
Epoch 33/1000, Train Loss: 178.7810, Validation Loss: 6.2886
Epoch 34/1000, Train Loss: 34.5397, Validation Loss: 6.0924
Epoch 35/1000, Train Loss: 12.0633, Validation Loss: 6.2540
Epoch 36/1000, Train Loss: 6.5172, Validation Loss: 6.2222
Epoch 37/1000, Train Loss: 7.6353, Validation Loss: 6.1263
Epoch 38/1000, Train Loss: 1997.6256, Validation Loss: 6.1571
Epoch 39/1000, Train Loss: 6.2563, Validation Loss: 6.3199
Epoch 40/1000, Train Loss: 6.2741, Validation Loss: 6.0778
Epoch 41/1000, Train Loss: 72.8203, Validation Loss: 6.1203
Epoch 42/1000, Train Loss: 296.0133, Validation Loss: 6.1387
Epoch 43/1000, Train Loss: 6.6836, Validation Loss: 6.3941
Epoch 44/1000, Train Loss: 6.2684, Validation Loss: 6.1118
Epoch 45/1000, Train Loss: 7.3760, Validation Loss: 6.1853
Epoch 46/1000, Train Loss: 9.1956, Validation Loss: 6.2843
Epoch 47/1000, Train Loss: 16.1429, Validation Loss: 6.0755
Epoch 48/1000, Train Loss: 210.0867, Validation Loss: 6.1466
Epoch 49/1000, Train Loss: 277.3912, Validation Loss: 6.6059
Epoch 50/1000, Train Loss: 27.5731, Validation Loss: 6.0720
Epoch 51/1000, Train Loss: 926.1890, Validation Loss: 6.3806
Epoch 52/1000, Train Loss: 6.3323, Validation Loss: 6.0696
Epoch 53/1000, Train Loss: 6.2190, Validation Loss: 6.0706
Epoch 54/1000, Train Loss: 4629.0874, Validation Loss: 6.2492
Epoch 55/1000, Train Loss: 6.2713, Validation Loss: 6.0871
