Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-snhpaw8k
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1057, Validation Loss: 4.1593
Epoch 2/1000, Train Loss: 1.3282, Validation Loss: 2.3984
Epoch 3/1000, Train Loss: 1.1886, Validation Loss: 1.6507
Epoch 4/1000, Train Loss: 1.1670, Validation Loss: 2.2560
Epoch 5/1000, Train Loss: 1.0981, Validation Loss: 2.0577
Epoch 6/1000, Train Loss: 1.0304, Validation Loss: 1.4655
Epoch 7/1000, Train Loss: 1.0080, Validation Loss: 1.5224
Epoch 8/1000, Train Loss: 0.9263, Validation Loss: 1.4566
Epoch 9/1000, Train Loss: 0.9197, Validation Loss: 1.8690
Epoch 10/1000, Train Loss: 0.9061, Validation Loss: 2.3360
Epoch 11/1000, Train Loss: 0.8973, Validation Loss: 0.9720
Epoch 12/1000, Train Loss: 0.8250, Validation Loss: 1.1915
Epoch 13/1000, Train Loss: 0.8215, Validation Loss: 1.4033
Epoch 14/1000, Train Loss: 0.7796, Validation Loss: 1.3955
Epoch 15/1000, Train Loss: 0.7655, Validation Loss: 1.6783
Epoch 16/1000, Train Loss: 0.7771, Validation Loss: 2.9384
Epoch 17/1000, Train Loss: 0.7619, Validation Loss: 3.6831
Epoch 18/1000, Train Loss: 0.7756, Validation Loss: 0.8047
Epoch 19/1000, Train Loss: 0.7321, Validation Loss: 2.5342
Epoch 20/1000, Train Loss: 0.7210, Validation Loss: 0.8318
Epoch 21/1000, Train Loss: 0.7136, Validation Loss: 1.1905
Epoch 22/1000, Train Loss: 0.7182, Validation Loss: 3.6517
Epoch 23/1000, Train Loss: 0.6869, Validation Loss: 5.9781
Epoch 24/1000, Train Loss: 0.6688, Validation Loss: 1.2022
Epoch 25/1000, Train Loss: 0.6637, Validation Loss: 2.5770
Epoch 26/1000, Train Loss: 0.6589, Validation Loss: 1.3025
Epoch 27/1000, Train Loss: 0.6374, Validation Loss: 2.5684
Epoch 28/1000, Train Loss: 0.6248, Validation Loss: 1.1357
Epoch 29/1000, Train Loss: 0.6598, Validation Loss: 4.0060
Epoch 30/1000, Train Loss: 0.6218, Validation Loss: 1.5517
Epoch 31/1000, Train Loss: 0.6479, Validation Loss: 2.6497
Epoch 32/1000, Train Loss: 0.6087, Validation Loss: 3.4213
Epoch 33/1000, Train Loss: 0.6016, Validation Loss: 0.5868
Epoch 34/1000, Train Loss: 0.5899, Validation Loss: 1.2044
Epoch 35/1000, Train Loss: 0.5883, Validation Loss: 1.6895
Epoch 36/1000, Train Loss: 0.5823, Validation Loss: 2.3930
Epoch 37/1000, Train Loss: 0.5712, Validation Loss: 1.9364
Epoch 38/1000, Train Loss: 0.5693, Validation Loss: 0.6066
Epoch 39/1000, Train Loss: 0.5701, Validation Loss: 0.6188
Epoch 40/1000, Train Loss: 0.5532, Validation Loss: 1.0005
Epoch 41/1000, Train Loss: 0.5634, Validation Loss: 8.4059
Epoch 42/1000, Train Loss: 0.5486, Validation Loss: 6.1438
Epoch 43/1000, Train Loss: 0.5543, Validation Loss: 1.2063
Epoch 44/1000, Train Loss: 0.5420, Validation Loss: 2.6919
Epoch 45/1000, Train Loss: 0.5297, Validation Loss: 2.9699
Epoch 46/1000, Train Loss: 0.5317, Validation Loss: 1.0113
Epoch 47/1000, Train Loss: 0.5300, Validation Loss: 6.5426
Epoch 48/1000, Train Loss: 0.5186, Validation Loss: 1.4808
Epoch 49/1000, Train Loss: 0.5296, Validation Loss: 1.0526
Epoch 50/1000, Train Loss: 0.5181, Validation Loss: 1.2732
Epoch 51/1000, Train Loss: 0.5170, Validation Loss: 1.3201
Epoch 52/1000, Train Loss: 0.5106, Validation Loss: 1.6707
Epoch 53/1000, Train Loss: 0.5044, Validation Loss: 1.7285
Epoch 54/1000, Train Loss: 0.5160, Validation Loss: 0.7544
Epoch 55/1000, Train Loss: 0.5025, Validation Loss: 0.5495
Epoch 56/1000, Train Loss: 0.5027, Validation Loss: 3.7613
Epoch 57/1000, Train Loss: 0.5052, Validation Loss: 0.7537
Epoch 58/1000, Train Loss: 0.4904, Validation Loss: 1.1093
Epoch 59/1000, Train Loss: 0.4974, Validation Loss: 0.5496
Epoch 60/1000, Train Loss: 0.4936, Validation Loss: 1.9240
Epoch 61/1000, Train Loss: 0.4854, Validation Loss: 1.4408
Epoch 62/1000, Train Loss: 0.4877, Validation Loss: 1.5870
Epoch 63/1000, Train Loss: 0.4801, Validation Loss: 6.0476
Epoch 64/1000, Train Loss: 0.4767, Validation Loss: 1.3819
Epoch 65/1000, Train Loss: 0.4778, Validation Loss: 0.7881
Epoch 66/1000, Train Loss: 0.4739, Validation Loss: 1.5199
Epoch 67/1000, Train Loss: 0.4710, Validation Loss: 4.1280
Epoch 68/1000, Train Loss: 0.4714, Validation Loss: 0.5085
Epoch 69/1000, Train Loss: 0.4707, Validation Loss: 4.0622
Epoch 70/1000, Train Loss: 0.4709, Validation Loss: 0.6245
Epoch 71/1000, Train Loss: 0.4615, Validation Loss: 1.6157
Epoch 72/1000, Train Loss: 0.4652, Validation Loss: 0.5758
Epoch 73/1000, Train Loss: 0.4622, Validation Loss: 1.4314
Epoch 74/1000, Train Loss: 0.4554, Validation Loss: 2.6090
Epoch 75/1000, Train Loss: 0.4592, Validation Loss: 1.8141
Epoch 76/1000, Train Loss: 0.4503, Validation Loss: 1.6944
Epoch 77/1000, Train Loss: 0.4535, Validation Loss: 1.1732
Epoch 78/1000, Train Loss: 0.4584, Validation Loss: 0.9084
Epoch 79/1000, Train Loss: 0.4539, Validation Loss: 0.5551
Epoch 80/1000, Train Loss: 0.4535, Validation Loss: 0.6179
Epoch 81/1000, Train Loss: 0.4448, Validation Loss: 3.9134
Epoch 82/1000, Train Loss: 0.4408, Validation Loss: 0.6460
Epoch 83/1000, Train Loss: 0.4461, Validation Loss: 0.8061
Epoch 84/1000, Train Loss: 0.4399, Validation Loss: 0.8358
Epoch 85/1000, Train Loss: 0.4418, Validation Loss: 0.4411
Epoch 86/1000, Train Loss: 0.4355, Validation Loss: 1.4974
Epoch 87/1000, Train Loss: 0.4415, Validation Loss: 1.1602
Epoch 88/1000, Train Loss: 0.4390, Validation Loss: 1.9141
Epoch 89/1000, Train Loss: 0.4445, Validation Loss: 1.0168
Epoch 90/1000, Train Loss: 0.4290, Validation Loss: 1.9498
Epoch 91/1000, Train Loss: 0.4314, Validation Loss: 6.8027
Epoch 92/1000, Train Loss: 0.4258, Validation Loss: 1.3021
Epoch 93/1000, Train Loss: 0.4325, Validation Loss: 2.0513
Epoch 94/1000, Train Loss: 0.4250, Validation Loss: 0.6247
Epoch 95/1000, Train Loss: 0.4283, Validation Loss: 1.4675
Epoch 96/1000, Train Loss: 0.4265, Validation Loss: 0.4544
Epoch 97/1000, Train Loss: 0.4264, Validation Loss: 0.7090
Epoch 98/1000, Train Loss: 0.4164, Validation Loss: 1.4546
Epoch 99/1000, Train Loss: 0.4256, Validation Loss: 1.7049
Epoch 100/1000, Train Loss: 0.4191, Validation Loss: 0.9534
Epoch 101/1000, Train Loss: 0.4216, Validation Loss: 1.1050
Epoch 102/1000, Train Loss: 0.4119, Validation Loss: 1.2062
Epoch 103/1000, Train Loss: 0.4146, Validation Loss: 0.4173
Epoch 104/1000, Train Loss: 0.4122, Validation Loss: 1.6011
Epoch 105/1000, Train Loss: 0.4173, Validation Loss: 1.6069
Epoch 106/1000, Train Loss: 0.4149, Validation Loss: 0.5253
Epoch 107/1000, Train Loss: 0.4074, Validation Loss: 4.0218
Epoch 108/1000, Train Loss: 0.4101, Validation Loss: 1.1076
Epoch 109/1000, Train Loss: 0.4058, Validation Loss: 0.5697
Epoch 110/1000, Train Loss: 0.4026, Validation Loss: 1.0983
Epoch 111/1000, Train Loss: 0.4090, Validation Loss: 1.0502
Epoch 112/1000, Train Loss: 0.4050, Validation Loss: 0.7404
Epoch 113/1000, Train Loss: 0.4011, Validation Loss: 0.8919
Epoch 114/1000, Train Loss: 0.4064, Validation Loss: 0.8773
Epoch 115/1000, Train Loss: 0.4021, Validation Loss: 0.6192
Epoch 116/1000, Train Loss: 0.3999, Validation Loss: 0.5865
Epoch 117/1000, Train Loss: 0.4000, Validation Loss: 0.5386
Epoch 118/1000, Train Loss: 0.4051, Validation Loss: 1.2399
Epoch 119/1000, Train Loss: 0.3985, Validation Loss: 3.6618
Epoch 120/1000, Train Loss: 0.3957, Validation Loss: 0.9779
Epoch 121/1000, Train Loss: 0.3970, Validation Loss: 1.3883
