Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-sxafsi5a
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 11.8866, Validation Loss: 3.5602
Epoch 2/1000, Train Loss: 1.5787, Validation Loss: 3.0277
Epoch 3/1000, Train Loss: 1.3811, Validation Loss: 1.4480
Epoch 4/1000, Train Loss: 1.3120, Validation Loss: 1.6518
Epoch 5/1000, Train Loss: 1.2730, Validation Loss: 2.6229
Epoch 6/1000, Train Loss: 1.2783, Validation Loss: 1.4180
Epoch 7/1000, Train Loss: 1.2469, Validation Loss: 1.4566
Epoch 8/1000, Train Loss: 1.3357, Validation Loss: 4.1977
Epoch 9/1000, Train Loss: 1.1539, Validation Loss: 1.8699
Epoch 10/1000, Train Loss: 1.1320, Validation Loss: 1.1619
Epoch 11/1000, Train Loss: 1.1235, Validation Loss: 2.1205
Epoch 12/1000, Train Loss: 1.2977, Validation Loss: 1.4175
Epoch 13/1000, Train Loss: 1.3309, Validation Loss: 5.6567
Epoch 14/1000, Train Loss: 1.2195, Validation Loss: 1.6459
Epoch 15/1000, Train Loss: 1.1408, Validation Loss: 1.2729
Epoch 16/1000, Train Loss: 1.1931, Validation Loss: 3.2115
Epoch 17/1000, Train Loss: 1.0349, Validation Loss: 2.2482
Epoch 18/1000, Train Loss: 1.1128, Validation Loss: 2.7464
Epoch 19/1000, Train Loss: 1.0306, Validation Loss: 4.0337
Epoch 20/1000, Train Loss: 4.4527, Validation Loss: 5.8257
Epoch 21/1000, Train Loss: 1.1367, Validation Loss: 2.5270
Epoch 22/1000, Train Loss: 1.0399, Validation Loss: 4.7023
Epoch 23/1000, Train Loss: 1.0522, Validation Loss: 2.0467
Epoch 24/1000, Train Loss: 1.0786, Validation Loss: 1.0092
Epoch 25/1000, Train Loss: 0.9887, Validation Loss: 1.0341
Epoch 26/1000, Train Loss: 1.0502, Validation Loss: 1.3335
Epoch 27/1000, Train Loss: 0.9907, Validation Loss: 1.6392
Epoch 28/1000, Train Loss: 1.1306, Validation Loss: 1.0939
Epoch 29/1000, Train Loss: 4.7141, Validation Loss: 0.8068
Epoch 30/1000, Train Loss: 1.0457, Validation Loss: 1.2253
Epoch 31/1000, Train Loss: 1.0510, Validation Loss: 1.2853
Epoch 32/1000, Train Loss: 0.9581, Validation Loss: 0.8717
Epoch 33/1000, Train Loss: 1.0029, Validation Loss: 1.9444
