Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-h77deor6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 38.1885, Validation Loss: 7.1063
Epoch 2/1000, Train Loss: 1.8054, Validation Loss: 3.8431
Epoch 3/1000, Train Loss: 1.6550, Validation Loss: 4.1628
Epoch 4/1000, Train Loss: 1.5422, Validation Loss: 1.8357
Epoch 5/1000, Train Loss: 1.6912, Validation Loss: 5.1097
Epoch 6/1000, Train Loss: 1.5388, Validation Loss: 1.3272
Epoch 7/1000, Train Loss: 1.3922, Validation Loss: 1.0422
Epoch 8/1000, Train Loss: 1.3838, Validation Loss: 1.4275
Epoch 9/1000, Train Loss: 2.7687, Validation Loss: 4.5406
Epoch 10/1000, Train Loss: 2.1781, Validation Loss: 1.2122
Epoch 11/1000, Train Loss: 1.3590, Validation Loss: 1.5860
Epoch 12/1000, Train Loss: 1.3020, Validation Loss: 1.6291
Epoch 13/1000, Train Loss: 1.2136, Validation Loss: 1.1622
Epoch 14/1000, Train Loss: 73.0750, Validation Loss: 6.0599
Epoch 15/1000, Train Loss: 23.3404, Validation Loss: 6.1138
Epoch 16/1000, Train Loss: 6.6621, Validation Loss: 6.3434
Epoch 17/1000, Train Loss: 6.3539, Validation Loss: 6.1379
Epoch 18/1000, Train Loss: 18.4564, Validation Loss: 9.2946
Epoch 19/1000, Train Loss: 14.2726, Validation Loss: 6.0643
Epoch 20/1000, Train Loss: 12050.3501, Validation Loss: 6.1317
Epoch 21/1000, Train Loss: 6.2778, Validation Loss: 6.1936
Epoch 22/1000, Train Loss: 29.7525, Validation Loss: 6.0587
Epoch 23/1000, Train Loss: 7.6958, Validation Loss: 6.0801
Epoch 24/1000, Train Loss: 6.2356, Validation Loss: 6.2627
Epoch 25/1000, Train Loss: 14.5631, Validation Loss: 6.1032
Epoch 26/1000, Train Loss: 8.7468, Validation Loss: 6.0760
Epoch 27/1000, Train Loss: 6.2930, Validation Loss: 6.2209
Epoch 28/1000, Train Loss: 18.8948, Validation Loss: 7.6425
