Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-s9h4renb
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 44.9625, Validation Loss: 40.6779
Epoch 2/1000, Train Loss: 3.0863, Validation Loss: 3.0697
Epoch 3/1000, Train Loss: 3.0437, Validation Loss: 3.4751
Epoch 4/1000, Train Loss: 1.9598, Validation Loss: 9.7362
Epoch 5/1000, Train Loss: 1.9762, Validation Loss: 1.4734
Epoch 6/1000, Train Loss: 1.6280, Validation Loss: 1.4240
Epoch 7/1000, Train Loss: 1.6486, Validation Loss: 1.8200
Epoch 8/1000, Train Loss: 1.5776, Validation Loss: 1.3993
Epoch 9/1000, Train Loss: 1.5449, Validation Loss: 1.2999
Epoch 10/1000, Train Loss: 1.4982, Validation Loss: 1.1355
Epoch 11/1000, Train Loss: 1.3944, Validation Loss: 1.5844
Epoch 12/1000, Train Loss: 4.9185, Validation Loss: 6.0622
Epoch 13/1000, Train Loss: 4.9714, Validation Loss: 1.4135
Epoch 14/1000, Train Loss: 1.5751, Validation Loss: 10.5589
Epoch 15/1000, Train Loss: 1.3592, Validation Loss: 1.7698
Epoch 16/1000, Train Loss: 1.3235, Validation Loss: 1.2160
Epoch 17/1000, Train Loss: 6.6605, Validation Loss: 4.2055
Epoch 18/1000, Train Loss: 2.8030, Validation Loss: 2.3768
Epoch 19/1000, Train Loss: 4.5012, Validation Loss: 2.3924
Epoch 20/1000, Train Loss: 1.7874, Validation Loss: 3.3223
Epoch 21/1000, Train Loss: 1.6588, Validation Loss: 2.2472
Epoch 22/1000, Train Loss: 1.4755, Validation Loss: 3.2864
Epoch 23/1000, Train Loss: 2.1012, Validation Loss: 3.2023
Epoch 24/1000, Train Loss: 1.5268, Validation Loss: 2.3199
Epoch 25/1000, Train Loss: 1.3456, Validation Loss: 3.1937
Epoch 26/1000, Train Loss: 3.6357, Validation Loss: 3.9033
Epoch 27/1000, Train Loss: 1.3685, Validation Loss: 2.0385
Epoch 28/1000, Train Loss: 1.5088, Validation Loss: 1.3534
Epoch 29/1000, Train Loss: 1.4646, Validation Loss: 7.1619
Epoch 30/1000, Train Loss: 1.3143, Validation Loss: 4.3750
Epoch 31/1000, Train Loss: 1.4058, Validation Loss: 2.0448
Epoch 32/1000, Train Loss: 1.4475, Validation Loss: 1.3719
Epoch 33/1000, Train Loss: 1.3290, Validation Loss: 2.3820
Epoch 34/1000, Train Loss: 1.2433, Validation Loss: 2.4373
Epoch 35/1000, Train Loss: 1.4411, Validation Loss: 1.3349
Epoch 36/1000, Train Loss: 1.2990, Validation Loss: 1.5372
Epoch 37/1000, Train Loss: 4.0273, Validation Loss: 4.7517
Epoch 38/1000, Train Loss: 1702385.0017, Validation Loss: 1.4849
Epoch 39/1000, Train Loss: 1.2685, Validation Loss: 1.6725
Epoch 40/1000, Train Loss: 1.2778, Validation Loss: 2.2462
Epoch 41/1000, Train Loss: 6.0089, Validation Loss: 1.9401
Epoch 42/1000, Train Loss: 1.3321, Validation Loss: 5.9126
Epoch 43/1000, Train Loss: 1.3152, Validation Loss: 1.6908
Epoch 44/1000, Train Loss: 1.2547, Validation Loss: 0.9485
Epoch 45/1000, Train Loss: 1.2206, Validation Loss: 3.0017
Epoch 46/1000, Train Loss: 6.6925, Validation Loss: 6.3601
Epoch 47/1000, Train Loss: 11.9349, Validation Loss: 6.0903
Epoch 48/1000, Train Loss: 6.4817, Validation Loss: 6.1237
Epoch 49/1000, Train Loss: 37.4328, Validation Loss: 6.2985
Epoch 50/1000, Train Loss: 69.3646, Validation Loss: 6.0564
Epoch 51/1000, Train Loss: 13.8905, Validation Loss: 6.8630
Epoch 52/1000, Train Loss: 2553.0522, Validation Loss: 6.2025
Epoch 53/1000, Train Loss: 7.1390, Validation Loss: 6.1794
Epoch 54/1000, Train Loss: 44.3520, Validation Loss: 6.2182
Epoch 55/1000, Train Loss: 16675.5111, Validation Loss: 6.1097
