Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-w0c9hqtk
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.7695, Validation Loss: 1.2912
Epoch 2/1000, Train Loss: 1.5629, Validation Loss: 170.4648
Epoch 3/1000, Train Loss: 1.4895, Validation Loss: 4.4819
Epoch 4/1000, Train Loss: 1.6875, Validation Loss: 2.3782
Epoch 5/1000, Train Loss: 1.3647, Validation Loss: 2.1832
Epoch 6/1000, Train Loss: 448.3185, Validation Loss: 1.2888
Epoch 7/1000, Train Loss: 1.2068, Validation Loss: 1.0512
Epoch 8/1000, Train Loss: 59.6747, Validation Loss: 4.7932
Epoch 9/1000, Train Loss: 1.3823, Validation Loss: 1.4800
Epoch 10/1000, Train Loss: 1.2237, Validation Loss: 1.7428
Epoch 11/1000, Train Loss: 7.9618, Validation Loss: 2.0675
Epoch 12/1000, Train Loss: 1.2184, Validation Loss: 1.5949
Epoch 13/1000, Train Loss: 5.4525, Validation Loss: 1634.9284
Epoch 14/1000, Train Loss: 172.7063, Validation Loss: 1.8289
Epoch 15/1000, Train Loss: 2.0178, Validation Loss: 1.1550
Epoch 16/1000, Train Loss: 1.6545, Validation Loss: 3.1865
Epoch 17/1000, Train Loss: 1.2285, Validation Loss: 1.0349
Epoch 18/1000, Train Loss: 1.1841, Validation Loss: 1.4686
Epoch 19/1000, Train Loss: 4.2874, Validation Loss: 1.1457
Epoch 20/1000, Train Loss: 1.1938, Validation Loss: 2.0469
Epoch 21/1000, Train Loss: 1.1228, Validation Loss: 1.0313
Epoch 22/1000, Train Loss: 1.0466, Validation Loss: 1.0098
Epoch 23/1000, Train Loss: 3.0831, Validation Loss: 2.2509
Epoch 24/1000, Train Loss: 1.1674, Validation Loss: 2.1358
Epoch 25/1000, Train Loss: 1.1675, Validation Loss: 0.9021
Epoch 26/1000, Train Loss: 1.1352, Validation Loss: 1.8428
Epoch 27/1000, Train Loss: 7.1656, Validation Loss: 1.8826
Epoch 28/1000, Train Loss: 1.1439, Validation Loss: 7.2431
Epoch 29/1000, Train Loss: 1.3579, Validation Loss: 450.7991
Epoch 30/1000, Train Loss: 1.0290, Validation Loss: 3.4015
Epoch 31/1000, Train Loss: 0.9999, Validation Loss: 1.9257
Epoch 32/1000, Train Loss: 4.5471, Validation Loss: 1.2681
Epoch 33/1000, Train Loss: 1.1423, Validation Loss: 1.5879
Epoch 34/1000, Train Loss: 1.0337, Validation Loss: 1.8458
Epoch 35/1000, Train Loss: 1.1964, Validation Loss: 72.2839
Epoch 36/1000, Train Loss: 8.5806, Validation Loss: 0.8050
Epoch 37/1000, Train Loss: 1.0595, Validation Loss: 2.1338
Epoch 38/1000, Train Loss: 7.2401, Validation Loss: 2.4828
Epoch 39/1000, Train Loss: 1.0841, Validation Loss: 1.1242
Epoch 40/1000, Train Loss: 1.2174, Validation Loss: 2.2091
Epoch 41/1000, Train Loss: 1.3350, Validation Loss: 0.9653
Epoch 42/1000, Train Loss: 1.1026, Validation Loss: 0.9765
Epoch 43/1000, Train Loss: 799.6727, Validation Loss: 1.0146
Epoch 44/1000, Train Loss: 6.0604, Validation Loss: 6.3233
Epoch 45/1000, Train Loss: 1.9282, Validation Loss: 0.8727
Epoch 46/1000, Train Loss: 1.6240, Validation Loss: 0.9338
Epoch 47/1000, Train Loss: 1.0126, Validation Loss: 1.1874
Epoch 48/1000, Train Loss: 1.3022, Validation Loss: 1.6091
Epoch 49/1000, Train Loss: 1.0518, Validation Loss: 1.6550
Epoch 50/1000, Train Loss: 1.0395, Validation Loss: 0.8978
Epoch 51/1000, Train Loss: 1.8077, Validation Loss: 0.8348
Epoch 52/1000, Train Loss: 1.0602, Validation Loss: 1.9172
Epoch 53/1000, Train Loss: 113.6487, Validation Loss: 0.9252
Epoch 54/1000, Train Loss: 0.9880, Validation Loss: 0.8317
Epoch 55/1000, Train Loss: 8.1313, Validation Loss: 1.1134
Epoch 56/1000, Train Loss: 1.1838, Validation Loss: 0.9636
Epoch 57/1000, Train Loss: 1.7449, Validation Loss: 2.0471
Epoch 58/1000, Train Loss: 1.0557, Validation Loss: 1.1331
Epoch 59/1000, Train Loss: 1.0336, Validation Loss: 1.2177
Epoch 60/1000, Train Loss: 1.0842, Validation Loss: 1.6554
Epoch 61/1000, Train Loss: 1.0443, Validation Loss: 1.0373
Epoch 62/1000, Train Loss: 1.9029, Validation Loss: 1.0956
Epoch 63/1000, Train Loss: 7.4492, Validation Loss: 1.2554
Epoch 64/1000, Train Loss: 0.9886, Validation Loss: 1.7243
Epoch 65/1000, Train Loss: 1.3592, Validation Loss: 2.2380
Epoch 66/1000, Train Loss: 133.4310, Validation Loss: 0.8572
Epoch 67/1000, Train Loss: 1.7343, Validation Loss: 0.9069
Epoch 68/1000, Train Loss: 68.0614, Validation Loss: 0.8774
Epoch 69/1000, Train Loss: 1.0188, Validation Loss: 2.0058
Epoch 70/1000, Train Loss: 1.0149, Validation Loss: 1.3397
Epoch 71/1000, Train Loss: 27.0858, Validation Loss: 0.7760
Epoch 72/1000, Train Loss: 3.9589, Validation Loss: 0.8477
Epoch 73/1000, Train Loss: 0.9940, Validation Loss: 2.0716
Epoch 74/1000, Train Loss: 10.4416, Validation Loss: 0.7574
Epoch 75/1000, Train Loss: 1.0211, Validation Loss: 0.7485
Epoch 76/1000, Train Loss: 1.0688, Validation Loss: 1.0318
Epoch 77/1000, Train Loss: 1.0773, Validation Loss: 3.9472
Epoch 78/1000, Train Loss: 1.0637, Validation Loss: 0.7755
Epoch 79/1000, Train Loss: 1.0662, Validation Loss: 0.9667
Epoch 80/1000, Train Loss: 0.9578, Validation Loss: 1.2502
Epoch 81/1000, Train Loss: 1.0930, Validation Loss: 1.0665
Epoch 82/1000, Train Loss: 10.8842, Validation Loss: 1.4475
Epoch 83/1000, Train Loss: 1.1019, Validation Loss: 1.2682
Epoch 84/1000, Train Loss: 1.9974, Validation Loss: 1.8648
Epoch 85/1000, Train Loss: 1.1685, Validation Loss: 1.0716
Epoch 86/1000, Train Loss: 0.9945, Validation Loss: 1.7960
Epoch 87/1000, Train Loss: 2.0022, Validation Loss: 1.2772
Epoch 88/1000, Train Loss: 1.2806, Validation Loss: 1.7273
Epoch 89/1000, Train Loss: 0.9141, Validation Loss: 0.9953
Epoch 90/1000, Train Loss: 1.2744, Validation Loss: 1.2247
Epoch 91/1000, Train Loss: 3.5536, Validation Loss: 0.8142
Epoch 92/1000, Train Loss: 5.0769, Validation Loss: 1.1498
Epoch 93/1000, Train Loss: 0.9596, Validation Loss: 1.0200
Epoch 94/1000, Train Loss: 0.9261, Validation Loss: 1.4747
Epoch 95/1000, Train Loss: 1.2077, Validation Loss: 0.7505
Epoch 96/1000, Train Loss: 9.0595, Validation Loss: 0.9439
Epoch 97/1000, Train Loss: 0.9652, Validation Loss: 0.8241
Epoch 98/1000, Train Loss: 1.3183, Validation Loss: 0.6750
Epoch 99/1000, Train Loss: 0.9483, Validation Loss: 0.9384
Epoch 100/1000, Train Loss: 4.9630, Validation Loss: 1.6738
Epoch 101/1000, Train Loss: 1148.4040, Validation Loss: 0.7529
Epoch 102/1000, Train Loss: 0.9387, Validation Loss: 0.9036
Epoch 103/1000, Train Loss: 1.3395, Validation Loss: 2.7172
Epoch 104/1000, Train Loss: 1.0380, Validation Loss: 1.2257
Epoch 105/1000, Train Loss: 0.9821, Validation Loss: 0.8541
Epoch 106/1000, Train Loss: 13.9031, Validation Loss: 2.0285
Epoch 107/1000, Train Loss: 1.0653, Validation Loss: 2.0852
Epoch 108/1000, Train Loss: 1.4494, Validation Loss: 0.8091
Epoch 109/1000, Train Loss: 0.9749, Validation Loss: 0.7749
Epoch 110/1000, Train Loss: 3.6520, Validation Loss: 2.2473
Epoch 111/1000, Train Loss: 7.8451, Validation Loss: 0.8095
Epoch 112/1000, Train Loss: 0.9579, Validation Loss: 0.9553
Epoch 113/1000, Train Loss: 0.9512, Validation Loss: 1.8161
Epoch 114/1000, Train Loss: 3.0540, Validation Loss: 0.8542
Epoch 115/1000, Train Loss: 1.2022, Validation Loss: 3.1173
