Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-rzhiicf0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8173, Validation Loss: 1.6119
Epoch 2/1000, Train Loss: 1.3647, Validation Loss: 1.5113
Epoch 3/1000, Train Loss: 1.2367, Validation Loss: 1.0873
Epoch 4/1000, Train Loss: 1.1514, Validation Loss: 1.0879
Epoch 5/1000, Train Loss: 1.0629, Validation Loss: 1.0517
Epoch 6/1000, Train Loss: 1.0306, Validation Loss: 1.3901
Epoch 7/1000, Train Loss: 0.9938, Validation Loss: 1.2090
Epoch 8/1000, Train Loss: 0.9648, Validation Loss: 1.4620
Epoch 9/1000, Train Loss: 0.9551, Validation Loss: 0.9235
Epoch 10/1000, Train Loss: 0.9384, Validation Loss: 5.1168
Epoch 11/1000, Train Loss: 0.9175, Validation Loss: 1.3520
Epoch 12/1000, Train Loss: 0.9246, Validation Loss: 1.4761
Epoch 13/1000, Train Loss: 0.9226, Validation Loss: 2.1582
Epoch 14/1000, Train Loss: 0.9017, Validation Loss: 0.7668
Epoch 15/1000, Train Loss: 0.8514, Validation Loss: 1.3822
Epoch 16/1000, Train Loss: 1.2248, Validation Loss: 2.0944
Epoch 17/1000, Train Loss: 0.9146, Validation Loss: 1.0054
Epoch 18/1000, Train Loss: 0.8480, Validation Loss: 1.3596
Epoch 19/1000, Train Loss: 0.8595, Validation Loss: 1.7605
Epoch 20/1000, Train Loss: 0.8285, Validation Loss: 0.6982
Epoch 21/1000, Train Loss: 0.7804, Validation Loss: 8.1528
Epoch 22/1000, Train Loss: 3.1700, Validation Loss: 1.6365
Epoch 23/1000, Train Loss: 0.7879, Validation Loss: 1.6757
Epoch 24/1000, Train Loss: 0.7491, Validation Loss: 0.9247
Epoch 25/1000, Train Loss: 0.7794, Validation Loss: 0.8233
Epoch 26/1000, Train Loss: 0.7490, Validation Loss: 1.0344
Epoch 27/1000, Train Loss: 0.7389, Validation Loss: 1.5277
Epoch 28/1000, Train Loss: 0.7465, Validation Loss: 0.8841
Epoch 29/1000, Train Loss: 0.7202, Validation Loss: 0.9148
Epoch 30/1000, Train Loss: 0.8329, Validation Loss: 2.1171
Epoch 31/1000, Train Loss: 0.7211, Validation Loss: 0.6697
Epoch 32/1000, Train Loss: 0.7260, Validation Loss: 0.8905
Epoch 33/1000, Train Loss: 0.7130, Validation Loss: 1.0373
Epoch 34/1000, Train Loss: 0.6887, Validation Loss: 2.4531
Epoch 35/1000, Train Loss: 0.6910, Validation Loss: 4.5152
Epoch 36/1000, Train Loss: 0.6920, Validation Loss: 1.1385
Epoch 37/1000, Train Loss: 0.6852, Validation Loss: 2.2474
Epoch 38/1000, Train Loss: 0.7412, Validation Loss: 1.2457
Epoch 39/1000, Train Loss: 0.6814, Validation Loss: 3.4331
Epoch 40/1000, Train Loss: 0.6751, Validation Loss: 4.7692
Epoch 41/1000, Train Loss: 0.6735, Validation Loss: 0.9642
Epoch 42/1000, Train Loss: 0.7236, Validation Loss: 1.3113
Epoch 43/1000, Train Loss: 0.6718, Validation Loss: 1.1964
Epoch 44/1000, Train Loss: 0.6740, Validation Loss: 1.2122
