Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-f9eisgfj
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.7075, Validation Loss: 10.0060
Epoch 2/1000, Train Loss: 2.3066, Validation Loss: 3.2127
Epoch 3/1000, Train Loss: 1.5944, Validation Loss: 1.1760
Epoch 4/1000, Train Loss: 1.3573, Validation Loss: 1.8576
Epoch 5/1000, Train Loss: 1.2372, Validation Loss: 2.0837
Epoch 6/1000, Train Loss: 1.3496, Validation Loss: 4.1882
Epoch 7/1000, Train Loss: 1.1919, Validation Loss: 2.1563
Epoch 8/1000, Train Loss: 1.1286, Validation Loss: 2.0739
Epoch 9/1000, Train Loss: 1.0575, Validation Loss: 1.0638
Epoch 10/1000, Train Loss: 0.9979, Validation Loss: 1.1017
Epoch 11/1000, Train Loss: 1.0107, Validation Loss: 2.2468
Epoch 12/1000, Train Loss: 0.9553, Validation Loss: 1.8851
Epoch 13/1000, Train Loss: 0.9657, Validation Loss: 1.1632
Epoch 14/1000, Train Loss: 0.9102, Validation Loss: 1.4591
Epoch 15/1000, Train Loss: 0.8756, Validation Loss: 0.9132
Epoch 16/1000, Train Loss: 0.8453, Validation Loss: 1.9326
Epoch 17/1000, Train Loss: 0.8088, Validation Loss: 0.9469
Epoch 18/1000, Train Loss: 0.7986, Validation Loss: 1.9304
Epoch 19/1000, Train Loss: 0.7904, Validation Loss: 1.7737
Epoch 20/1000, Train Loss: 0.7710, Validation Loss: 2.7474
Epoch 21/1000, Train Loss: 0.7593, Validation Loss: 0.8897
Epoch 22/1000, Train Loss: 0.7408, Validation Loss: 1.5191
Epoch 23/1000, Train Loss: 0.7232, Validation Loss: 0.6716
Epoch 24/1000, Train Loss: 0.7071, Validation Loss: 1.3147
Epoch 25/1000, Train Loss: 0.6838, Validation Loss: 1.2277
Epoch 26/1000, Train Loss: 0.7196, Validation Loss: 1.0754
Epoch 27/1000, Train Loss: 0.6715, Validation Loss: 0.6003
Epoch 28/1000, Train Loss: 0.6622, Validation Loss: 0.7367
Epoch 29/1000, Train Loss: 0.6763, Validation Loss: 0.6854
Epoch 30/1000, Train Loss: 0.6645, Validation Loss: 0.6641
Epoch 31/1000, Train Loss: 0.6711, Validation Loss: 0.8798
Epoch 32/1000, Train Loss: 0.6490, Validation Loss: 1.4078
Epoch 33/1000, Train Loss: 0.6630, Validation Loss: 0.6456
Epoch 34/1000, Train Loss: 0.6362, Validation Loss: 0.7509
Epoch 35/1000, Train Loss: 0.6227, Validation Loss: 0.6886
Epoch 36/1000, Train Loss: 0.6188, Validation Loss: 0.6536
Epoch 37/1000, Train Loss: 0.6197, Validation Loss: 1.2265
Epoch 38/1000, Train Loss: 0.6037, Validation Loss: 0.9958
Epoch 39/1000, Train Loss: 0.6081, Validation Loss: 0.6574
Epoch 40/1000, Train Loss: 0.5831, Validation Loss: 0.5203
Epoch 41/1000, Train Loss: 0.5937, Validation Loss: 0.9768
Epoch 42/1000, Train Loss: 0.5851, Validation Loss: 0.8825
Epoch 43/1000, Train Loss: 0.5935, Validation Loss: 0.9290
Epoch 44/1000, Train Loss: 0.5795, Validation Loss: 1.0117
Epoch 45/1000, Train Loss: 0.5833, Validation Loss: 1.7098
Epoch 46/1000, Train Loss: 0.5678, Validation Loss: 0.6595
Epoch 47/1000, Train Loss: 0.5710, Validation Loss: 0.7161
Epoch 48/1000, Train Loss: 0.5859, Validation Loss: 0.6130
Epoch 49/1000, Train Loss: 0.5647, Validation Loss: 0.6139
Epoch 50/1000, Train Loss: 0.5507, Validation Loss: 1.1598
Epoch 51/1000, Train Loss: 0.5653, Validation Loss: 0.5094
Epoch 52/1000, Train Loss: 0.5398, Validation Loss: 1.0242
Epoch 53/1000, Train Loss: 0.5722, Validation Loss: 1.1991
Epoch 54/1000, Train Loss: 0.5418, Validation Loss: 1.8034
Epoch 55/1000, Train Loss: 0.5315, Validation Loss: 0.7124
Epoch 56/1000, Train Loss: 0.5287, Validation Loss: 1.1852
Epoch 57/1000, Train Loss: 0.5393, Validation Loss: 0.6583
Epoch 58/1000, Train Loss: 0.5275, Validation Loss: 0.5990
Epoch 59/1000, Train Loss: 0.5331, Validation Loss: 1.5341
Epoch 60/1000, Train Loss: 0.5208, Validation Loss: 0.5488
Epoch 61/1000, Train Loss: 0.5207, Validation Loss: 1.5844
Epoch 62/1000, Train Loss: 0.5298, Validation Loss: 0.6745
Epoch 63/1000, Train Loss: 0.5218, Validation Loss: 0.5308
Epoch 64/1000, Train Loss: 0.5160, Validation Loss: 0.5581
Epoch 65/1000, Train Loss: 0.5213, Validation Loss: 0.5507
Epoch 66/1000, Train Loss: 0.5007, Validation Loss: 2.0847
Epoch 67/1000, Train Loss: 0.5131, Validation Loss: 0.6459
Epoch 68/1000, Train Loss: 0.5201, Validation Loss: 0.7798
Epoch 69/1000, Train Loss: 0.5244, Validation Loss: 0.8906
Epoch 70/1000, Train Loss: 0.5088, Validation Loss: 0.7913
Epoch 71/1000, Train Loss: 0.5016, Validation Loss: 0.5847
Epoch 72/1000, Train Loss: 0.4991, Validation Loss: 1.1885
Epoch 73/1000, Train Loss: 0.4976, Validation Loss: 0.9728
Epoch 74/1000, Train Loss: 0.4984, Validation Loss: 0.8822
Epoch 75/1000, Train Loss: 0.5023, Validation Loss: 1.0813
Epoch 76/1000, Train Loss: 0.5022, Validation Loss: 0.7549
Epoch 77/1000, Train Loss: 0.4838, Validation Loss: 0.5817
Epoch 78/1000, Train Loss: 0.4863, Validation Loss: 0.9759
Epoch 79/1000, Train Loss: 0.4894, Validation Loss: 0.4741
Epoch 80/1000, Train Loss: 0.4790, Validation Loss: 2.4210
Epoch 81/1000, Train Loss: 0.4893, Validation Loss: 0.4747
Epoch 82/1000, Train Loss: 0.4696, Validation Loss: 0.5296
Epoch 83/1000, Train Loss: 0.4766, Validation Loss: 0.9225
Epoch 84/1000, Train Loss: 0.4822, Validation Loss: 0.6000
Epoch 85/1000, Train Loss: 0.4770, Validation Loss: 0.5986
Epoch 86/1000, Train Loss: 0.4816, Validation Loss: 0.7648
Epoch 87/1000, Train Loss: 0.4677, Validation Loss: 0.4681
Epoch 88/1000, Train Loss: 0.4717, Validation Loss: 1.6790
Epoch 89/1000, Train Loss: 0.4648, Validation Loss: 0.8127
Epoch 90/1000, Train Loss: 0.4612, Validation Loss: 0.5210
Epoch 91/1000, Train Loss: 0.4685, Validation Loss: 0.6276
Epoch 92/1000, Train Loss: 0.4670, Validation Loss: 0.7410
Epoch 93/1000, Train Loss: 0.4592, Validation Loss: 0.6887
Epoch 94/1000, Train Loss: 0.4583, Validation Loss: 0.7960
Epoch 95/1000, Train Loss: 0.4496, Validation Loss: 1.3871
Epoch 96/1000, Train Loss: 0.4619, Validation Loss: 2.0720
Epoch 97/1000, Train Loss: 0.4710, Validation Loss: 0.7317
Epoch 98/1000, Train Loss: 0.4452, Validation Loss: 0.5651
Epoch 99/1000, Train Loss: 0.4627, Validation Loss: 0.7588
Epoch 100/1000, Train Loss: 0.4556, Validation Loss: 0.7333
Epoch 101/1000, Train Loss: 0.4427, Validation Loss: 0.4711
Epoch 102/1000, Train Loss: 0.4592, Validation Loss: 1.4005
Epoch 103/1000, Train Loss: 0.4510, Validation Loss: 0.8033
Epoch 104/1000, Train Loss: 0.4400, Validation Loss: 1.3692
Epoch 105/1000, Train Loss: 0.4494, Validation Loss: 5.3032
Epoch 106/1000, Train Loss: 0.4517, Validation Loss: 0.4575
Epoch 107/1000, Train Loss: 0.4400, Validation Loss: 0.5046
Epoch 108/1000, Train Loss: 0.4483, Validation Loss: 0.5519
Epoch 109/1000, Train Loss: 0.4370, Validation Loss: 0.7116
Epoch 110/1000, Train Loss: 0.4433, Validation Loss: 0.6418
Epoch 111/1000, Train Loss: 0.4283, Validation Loss: 1.4655
Epoch 112/1000, Train Loss: 0.4367, Validation Loss: 0.6838
Epoch 113/1000, Train Loss: 0.4285, Validation Loss: 0.8726
Epoch 114/1000, Train Loss: 0.4373, Validation Loss: 0.7333
Epoch 115/1000, Train Loss: 0.4291, Validation Loss: 0.5019
Epoch 116/1000, Train Loss: 0.4252, Validation Loss: 1.1767
Epoch 117/1000, Train Loss: 0.4313, Validation Loss: 0.7994
Epoch 118/1000, Train Loss: 0.4266, Validation Loss: 0.8597
Epoch 119/1000, Train Loss: 0.4211, Validation Loss: 0.4820
Epoch 120/1000, Train Loss: 0.4338, Validation Loss: 0.5051
Epoch 121/1000, Train Loss: 0.4212, Validation Loss: 1.0397
Epoch 122/1000, Train Loss: 0.4244, Validation Loss: 0.4309
Epoch 123/1000, Train Loss: 0.4290, Validation Loss: 1.0555
Epoch 124/1000, Train Loss: 0.4204, Validation Loss: 0.8861
Epoch 125/1000, Train Loss: 0.4119, Validation Loss: 0.9796
Epoch 126/1000, Train Loss: 0.4160, Validation Loss: 0.6335
Epoch 127/1000, Train Loss: 0.4261, Validation Loss: 0.7069
Epoch 128/1000, Train Loss: 0.4199, Validation Loss: 0.7774
Epoch 129/1000, Train Loss: 0.4150, Validation Loss: 1.0750
Epoch 130/1000, Train Loss: 0.4182, Validation Loss: 0.8738
Epoch 131/1000, Train Loss: 0.4116, Validation Loss: 0.7748
Epoch 132/1000, Train Loss: 0.4112, Validation Loss: 1.2791
Epoch 133/1000, Train Loss: 0.4105, Validation Loss: 0.7385
Epoch 134/1000, Train Loss: 0.4124, Validation Loss: 0.5009
Epoch 135/1000, Train Loss: 0.4112, Validation Loss: 0.4260
Epoch 136/1000, Train Loss: 0.4178, Validation Loss: 2.3116
Epoch 137/1000, Train Loss: 0.4067, Validation Loss: 1.0155
Epoch 138/1000, Train Loss: 0.4103, Validation Loss: 0.4169
Epoch 139/1000, Train Loss: 0.4051, Validation Loss: 0.9383
Epoch 140/1000, Train Loss: 0.4062, Validation Loss: 0.4497
Epoch 141/1000, Train Loss: 0.4112, Validation Loss: 1.1461
Epoch 142/1000, Train Loss: 0.3998, Validation Loss: 0.3957
Epoch 143/1000, Train Loss: 0.4127, Validation Loss: 0.5501
Epoch 144/1000, Train Loss: 0.4021, Validation Loss: 0.5537
Epoch 145/1000, Train Loss: 0.4084, Validation Loss: 0.8622
Epoch 146/1000, Train Loss: 0.4055, Validation Loss: 0.8102
Epoch 147/1000, Train Loss: 0.3976, Validation Loss: 0.6465
Epoch 148/1000, Train Loss: 0.4050, Validation Loss: 3.1813
Epoch 149/1000, Train Loss: 0.3998, Validation Loss: 0.6520
Epoch 150/1000, Train Loss: 0.3966, Validation Loss: 0.4650
Epoch 151/1000, Train Loss: 0.3961, Validation Loss: 0.4904
Epoch 152/1000, Train Loss: 0.3902, Validation Loss: 0.6444
Epoch 153/1000, Train Loss: 0.3979, Validation Loss: 0.4371
Epoch 154/1000, Train Loss: 0.3927, Validation Loss: 1.5621
